CSX,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
978291,Head of Military Intelligence,Zhou Shutao,6,Dismal Enigma,Zhou Shutao
978245,Minister of Armament,Zhou Zhirou,6,Air Superiority Proponent,L50372
503023,Chief of Staff,Alexander von Falkenhausen,7,School of Manoeuvre,L50304
503022,Head of Government,Alexander von Falkenhausen,7,Flamboyant Tough Guy,L50304
978207,Chief of Staff,Bai Chongxi,7,School of Manoeuvre,M502007
978145,Chief of Army,Cai Chengxun,7,Static Defence Doctrine,Cai Chengxun
978261,Head of Military Intelligence,Chao-Lun Tseng,7,Technical Specialist,Chao-Lun Tseng
978248,Chief of Air Force,Chen Dexie,7,Naval Aviation Doctrine,Chen Dexie
978247,Minister of Armament,Chen Dexie,7,Air to Sea Proponent,Chen Dexie
978143,Minister of Armament,Chen Guangyun,7,Administrative Genius,Chen Guangyun
978227,Foreign Minister,Chen Jie,7,The Cloak N Dagger Schemer,Chen Jie
978249,Chief of Navy,Chen Jiliang,7,Decisive Naval Battle Doctrine,Chen Jiliang
978212,Head of Military Intelligence,Chen Yibai,7,Logistics Specialist,unknown
978221,Head of Military Intelligence,Chi Buzhou,7,Naval Intelligence Specialist,Chi Buzhou
978147,Chief of Army,Chiang Yanxing,7,Guns and Butter Doctrine,Chiang Yanxing
978146,Chief of Staff,Chiang Yanxing,7,School of Psychology,Chiang Yanxing
978144,Chief of Staff,Ding Jin,7,School of Mass Combat,Ding Jin
503009,Chief of Navy,Dmitrij Krolcheff,7,Base Control Doctrine,M503009
503010,Chief of Air Force,Fu Zuoyi,7,Army Aviation Doctrine,L50085
503004,Minister of Armament,Fu Zuoyi,7,Air to Ground Proponent,L50085
978128,Chief of Army,Gu Zhutong,7,Elastic Defence Doctrine,M750028
978289,Chief of Staff,Gu Zhutong,7,Undistinguished Suit,M52097
978203,Chief of Air Force,Gunther Pluschow,7,Naval Aviation Doctrine,Kaiserreich Plueschow
503015,Head of Government,H.H. Kung,7,Corporate Suit,kaiserHHKung
503017,Head of Military Intelligence,H.H. Kung,7,Industrial Specialist,kaiserHHKung
503016,Minister of Armament,H.H. Kung,7,Laissez-Faire Capitalist,kaiserHHKung
978270,Chief of Staff,Ha Han-chang,7,School of Mass Combat,Ha Hanzhang
978209,Chief of Navy,Hellmuth von Mucke,7,Base Control Doctrine,Kaiserreich vonMucke
978287,Chief of Army,Hu Lian,7,Elastic Defence Doctrine,L50120
978286,Chief of Staff,Hu Lian,7,School of Mass Combat,L50120
978285,Chief of Army,Hu Zongnan,7,Guns and Butter Doctrine,L50122
978253,Head of Military Intelligence,Hu Zongnan,7,Dismal Enigma,L50122
978133,Chief of Army,Huang Baitao,7,Armoured Spearhead Doctrine,M750036
978254,Head of Military Intelligence,Jiang Yiying,7,Naval Intelligence Specialist,Jiang Yiying
978259,Minister of Armament,K. C. Li,7,Laissez-Faire Capitalist,K. C. Li
978257,Head of Government,Li Kuo-chieh,7,Ambitious Union Boss,Li Kuo-chieh
978258,Head of Military Intelligence,Li Kuo-yun,7,Industrial Specialist,Li Kuo-yun
978199,Chief of Staff,Li Shuchun,7,School of Psychology,Li Shuchun
978167,Foreign Minister,Liang Ruhao,7,Apologetic Clerk,Liang Ruhao
978117,Foreign Minister,Lou Tseng-Tsiang,7,Great Compromiser,M750019
978204,Minister of Armament,Max Hermann Bauer,7,Tank Proponent,Kaiserreich MaxBauer
978188,Head of Military Intelligence,Mo Dehui,7,Logistics Specialist,Mo Dehui
978149,Chief of Air Force,Pao Pingchen,7,Vertical Envelopment Doctrine,PaoPingchen
978192,Chief of Air Force,Qian Dajun,7,Carpet Bombing Doctrine,L50385
978293,Head of Military Intelligence,Qu duizhi,7,Political Specialist,Qu duizhi
503005,Minister of Security,Qu Yangke,7,Prince of Terror,M503005
978186,Chief of Navy,Sa Shijun,7,Decisive Naval Battle Doctrine,L50363
978282,Minister of Armament,Sah Fu-moh,7,Administrative Genius,Sah Fu-moh
503006,Head of Military Intelligence,Shang Zhen,7,Naval Intelligence Specialist,M503006
978244,Minister of Armament,She Zhenxing,7,Submarine Proponent,She Zhenxing
978220,Chief of Navy,Shen Honglie,7,Indirect Approach Doctrine,Shen Honglie
978238,Minister of Armament,Shen Kun Chen,7,Air to Sea Proponent,Shen Kun Chen
978235,Foreign Minister,Tang Baoe,7,Ideological Crusader,Tang Baoe
978164,Foreign Minister,Tang Shaoyi,7,Great Compromiser,Tang Shaoyi
978163,Head of Government,Tang Shaoyi,7,Ambitious Union Boss,Tang Shaoyi
978284,Chief of Staff,Tang Shengzhi,7,School of Defence,L50280
978158,Chief of Army,Tang Zaili,7,Static Defence Doctrine,Tang Zaili
978269,Chief of Staff,Teng Hsi-hou,7,School of Fire Support,Deng Xihou
503019,Chief of Army,Walther Stennes,7,Decisive Battle Doctrine,M750035
503018,Head of Government,Walther Stennes,7,Old General,M750035
503013,Minister of Security,Walther Stennes,7,Prince of Terror,M750035
978159,Chief of Army,Wang Huaiqing,7,Decisive Battle Doctrine,Wang Huaiqing
503003,Foreign Minister,Wang Zuanxu,7,Iron Fisted Brute,L50323
978129,Minister of Armament,Weng Wenhao,7,Theoretical Scientist,M750031
503008,Chief of Army,Wu Peifu,7,Static Defence Doctrine,kaiserreich wupufei
503007,Chief of Staff,Wu Peifu,7,School of Defence,kaiserreich wupufei
978150,Chief of Navy,Wu Renli,7,Power Projection Doctrine,Wu Renli
978239,Minister of Armament,Wu Renli,7,Battle Fleet Proponent,Wu Renli
978265,Chief of Navy,Wu Yu-lin,7,Decisive Naval Battle Doctrine,Wu Yu-lin
978119,Minister of Armament,Xu Daolin,7,Administrative Genius,M750021
978120,Minister of Security,Xu Daolin,7,Crime Fighter,M750021
978234,Foreign Minister,Xu Liang,7,The Cloak N Dagger Schemer,Xu Liang
503002,Head of Government,Xu Shichang,7,Backroom Backstabber,kaiserreich Xu Shichang
978165,Head of Government,Yan Huiqing,7,Corporate Suit,M750034
978219,Minister of Armament,Yan Xishan,7,Corrupt Kleptocrat,L50348
978211,Chief of Staff,Yang Sen,7,School of Manoeuvre,L50343
978226,Minister of Security,Ye Xiufeng,7,Back Stabber,Ye Xiufeng
978168,Minister of Armament,Yu Ta-wei,7,Military Entrepreneur,Yu Ta-wei
978121,Chief of Army,Zhang Fakui,7,Elastic Defence Doctrine,M750022
978242,Minister of Armament,Zhang Huizhang,7,Strategic Air Proponent,Zhang Huizhang
978225,Head of Government,Zhang Lisheng,7,Silent Workhorse,Zhang Lisheng
978224,Minister of Security,Zhang Lisheng,7,Man of the People,Zhang Lisheng
978210,Chief of Air Force,Zhang Xueliang,7,Army Aviation Doctrine,Kaiserreich Zhang Xueliang
978154,Minister of Armament,Zhao Yuke,7,Infantry Proponent,Zhao Yuke
978137,Foreign Minister,Zheng Xiaoxu,7,Ideological Crusader,M750039
978255,Minister of Security,Zhou Yanghao,7,Silent Lawyer,Zhou Yanghao
978198,Chief of Air Force,Zhou Zhirou,7,Vertical Envelopment Doctrine,L50372
978115,Minister of Security,Aisin-Gioro Pujie,8,Compassionate Gentleman,M750012
978118,Head of Military Intelligence,Aisin-Gioro Xianyo,8,Dismal Enigma,M750024
978134,Foreign Minister,Aisin-Gioro Zaifeng,8,Apologetic Clerk,M750037
978176,Chief of Army,Aisin-Gioro Zaitao,8,Guns and Butter Doctrine,Aisin-Gioro Zaitao
978173,Head of Military Intelligence,Aisin-Gioro Zaitao,8,Political Specialist,Aisin-Gioro Zaitao
978177,Chief of Navy,Aisin-Gioro Zaixun,8,Base Control Doctrine,Aisin-Gioro Zaixun
978116,Minister of Armament,Aisin-Gioro Zaizhen,8,Infantry Proponent,M750016
978229,Foreign Minister,Cai Pei,8,Biased Intellectual,Cai Pei
978218,Minister of Armament,Chang Ching-hui,8,Military Entrepreneur,M58002
978262,Minister of Security,Chang Jen-li,8,Man of the People,Chang Jen-li
978273,Minister of Security,Chao Yu-ke,8,Compassionate Gentleman,Zhao Yuke
978200,Chief of Army,Chen Cheng,8,Static Defence Doctrine,L50030
978190,Head of Government,Chen Cheng,8,Old General,L50030
978288,Chief of Army,Chen Diaoyuan,8,Decisive Battle Doctrine,Chen Diaoyuan
978208,Chief of Army,Chen Jitang,8,Guns and Butter Doctrine,M502008
978232,Foreign Minister,Chen Lu,8,Apologetic Clerk,Chen Lu
978280,Minister of Security,Cheng Rong,8,Crime Fighter,Cheng Rong
978283,Minister of Security,Chi Hsieh-yuan,8,Efficient Sociopath,M52017
978266,Head of Military Intelligence,Chu Shen,8,Dismal Enigma,Chu Shen
978251,Head of Military Intelligence,Ding Mocun,8,Industrial Specialist,Ding Mocun
978223,Minister of Security,Ding Mocun,8,Prince of Terror,Ding Mocun
978132,Chief of Navy,Du Xigui,8,Decisive Naval Battle Doctrine,M750030
978215,Head of Government,Feng Yuxiang,8,Flamboyant Tough Guy,kai_26FengYuxiang
978114,Chief of Air Force,Groszchivili,8,Air Superiority Doctrine,L503015
978148,Chief of Navy,Gui Yongqing,8,Open Seas Doctrine,L50156
978275,Chief of Staff,Hsiung Ping-chi,8,School of Defence,Xiong Bingqi
978237,Head of Government,Jin Yunpeng,8,Old General,Jin Yunpeng
978206,Head of Military Intelligence,Li Jishen,8,Dismal Enigma,M502001
978250,Head of Military Intelligence,Li Shiqun,8,Dismal Enigma,Li Shiqun
978222,Minister of Security,Li Shiqun,8,Crooked Kleptocrat,Li Shiqun
978233,Foreign Minister,Lian Yu,8,Ideological Crusader,Lian Yu
978157,Chief of Army,Lu Jin,8,Guns and Butter Doctrine,Lu Jin
978156,Chief of Staff,Lu Jin,8,School of Fire Support,Lu Jin
978213,Head of Government,Luo Zhenyu,8,Smiling Oilman,Luo Zhenyu
503025,Chief of Navy,Otto Ciliax,8,Indirect Approach Doctrine,Kaiserreich_Ciliax
978274,Foreign Minister,S. T. Wen,8,Apologetic Clerk,S. T. Wen
978124,Chief of Navy,Sa Zhenbing,8,Decisive Naval Battle Doctrine,M750025
978185,Chief of Army,Sun Chuanfang,8,Decisive Battle Doctrine,Sun Chuanfang
978205,Minister of Security,Tang Yulin,8,Crooked Kleptocrat,Kaiserreich Tang Yulin
978263,Minister of Security,Tsen To-kuang,8,Crime Fighter,Tsen To-kuang
978278,Head of Military Intelligence,Wang I-tang,8,Political Specialist,Wang I-tang
978277,Minister of Armament,Wang I-tang,8,Corrupt Kleptocrat,Wang I-tang
978276,Chief of Army,Wang Tan,8,Guns and Butter Doctrine,Wang Tan
978281,Foreign Minister,Wang Tingzhang,8,The Cloak N Dagger Schemer,Wang Tingzhang
978162,Foreign Minister,Wang Yintai,8,Ideological Crusader,Wang Yintai
978194,Head of Military Intelligence,Wu Fan,8,Logistics Specialist,Wu Fan
978193,Minister of Security,Wu Fan,8,Prince of Terror,Wu Fan
978135,Chief of Army,Xi Qia,8,Decisive Battle Doctrine,M750038
978136,Chief of Staff,Xi Qia,8,School of Fire Support,M750038
978184,Chief of Staff,Xu Shuzheng,8,School of Mass Combat,Xu Shuzheng
978130,Foreign Minister,Yan Huiqing,8,Biased Intellectual,M750034
978292,Minister of Security,Zhang Mingqi,8,Silent Lawyer,Zhang Mingqi
978113,Chief of Air Force,Zhou Fu,8,Army Aviation Doctrine,L50058
978236,Head of Government,Zhu Qiqian,8,Political Protege,Zhu Qiqian
978126,Minister of Armament,Chen Gongbo,9,Laissez-Faire Capitalist,M750017
978127,Minister of Security,Chu Minyi,9,Silent Lawyer,M750020
503020,Head of Government,Wang Kemin,9,Silent Workhorse,M52012
503012,Minister of Armament,Wang Kemin,9,Resource Industrialist,M52012
503011,Minister of Security,Wang Kemin,9,Man of the People,M52012
978123,Foreign Minister,Zhou Fohai,9,The Cloak N Dagger Schemer,M750018
