NZL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
55067,Minister of Security,Sydney Holland,1942,1964,1999,6,Prince of Terror,Very High,M55039,x
55068,Minister of Security,Kenneth Folkes,1945,1964,1999,6,Compassionate Gentleman,Medium,M55006,x
55069,Head of Military Intelligence,Hugo Philpott,1938,1964,1999,3,Logistics Specialist,High,M55069,x
55070,Head of Military Intelligence,Tom Stanley,1943,1964,1999,3,Political Specialist,Low,M55021,x
55071,Head of Military Intelligence,Adam Hamilton,1937,1964,1999,6,Dismal Enigma,High,M55037,x
55072,Head of Military Intelligence,Ken MacKenzie,1939,1964,1999,6,Industrial Specialist,High,M55058,x
55073,Head of Military Intelligence,E.R. Drummond,1942,1964,1999,6,Naval Intelligence Specialist,High,M55009,x
55074,Head of Military Intelligence,J.E. Duigan,1942,1964,1999,6,Technical Specialist,High,M55060,x
55075,Chief of Staff,J.E. Duigan,1937,1964,1999,5,School of Manoeuvre,High,M55060,x
55076,Chief of Staff,Ronald Park,1940,1964,1999,5,School of Mass Combat,High,M55076,x
55077,Chief of Staff,Edward Puttick,1941,1964,1999,5,School of Defence,High,M55059,x
55078,Chief of Staff,William Stevens,1942,1964,1999,5,School of Fire Support,High,M55078,x
55079,Chief of Staff,N. Weir,1946,1964,1999,5,School of Psychology,High,M55079,x
55080,Chief of Army,Norris Stephen Falla,1937,1964,1999,5,Elastic Defence Doctrine,High,M55080,x
55081,Chief of Army,J.E. Duigan,1937,1964,1999,5,Armoured Spearhead Doctrine,High,M55060,x
55082,Chief of Army,J.C. Nichols,1940,1964,1999,5,Static Defence Doctrine,High,M55082,x
55083,Chief of Army,Edward Puttick,1941,1964,1999,5,Decisive Battle Doctrine,High,M55059,x
55084,Chief of Army,N. Weir,1946,1964,1999,5,Guns and Butter Doctrine,High,M55079,x
55085,Chief of Navy,H.E. Horan,1938,1964,1999,5,Open Seas Doctrine,High,M55085,x
55086,Chief of Navy,W.E. Parry,1940,1964,1999,5,Indirect Approach Doctrine,High,M55052,x
55087,Chief of Navy,Sir Frederick Field,1942,1964,1999,5,Decisive Naval Battle Doctrine,High,M55057,x
55088,Chief of Navy,W.H.Stratton,1945,1964,1999,5,Power Projection Doctrine,High,M55056,x
55089,Chief of Navy,G.W.G. Simpson,1945,1964,1999,5,Base Control Doctrine,High,M55089,x
55090,Chief of Air Force,W.H. Stratton,1939,1964,1999,5,Army Aviation Doctrine,High,M55056,x
55091,Chief of Air Force,H.D. McGregor,1941,1964,1999,5,Vertical Envelopment Doctrine,High,M55091,x
55092,Chief of Air Force,L.M. Isitt,1943,1964,1999,5,Naval Aviation Doctrine,High,M55050,x
55093,Chief of Air Force,Gordon H. Steege,1944,1964,1999,5,Air Superiority Doctrine,High,M55093,x
55094,Chief of Air Force,A. de Terrotte Neville,1945,1964,1999,5,Carpet Bombing Doctrine,High,M55055,x
55011,Head of State,T.C.A. Hislop,1936,1964,1999,7,Benevolent Gentleman,High,M55011,x
55012,Head of Government,A.E. Davy,1936,1964,1999,7,Happy Amateur,NA,M55012,x
55013,Foreign Minister,A.E. Davy,1936,1964,1999,7,Ideological Crusader,Very High,M55012,x
55014,Minister of Armament,A.J. Stallworthy,1936,1964,1999,7,Air to Sea Proponent,High,M55014,x
55015,Minister of Security,W.A. Veitch-Milne,1936,1964,1999,7,Prince of Terror,High,M55015,x
55016,Head of Military Intelligence,Arthur Dawes,1936,1964,1999,7,Naval Intelligence Specialist,High,M55016,x
55017,Chief of Staff,Seymour DeWitt,1936,1964,1999,7,School of Manoeuvre,High,M55017,x
55018,Chief of Army,Seymour DeWitt,1936,1964,1999,7,Elastic Defence Doctrine,High,M55017,x
55019,Chief of Navy,Trevor Handley,1936,1964,1999,7,Base Control Doctrine,High,M55019,x
55020,Chief of Air Force,Margaret Whittington,1936,1964,1999,7,Vertical Envelopment Doctrine,High,M55020,x
55021,Head of State,Tom Stanley,1936,1964,1999,1,Powerhungry Demagogue,High,M55021,x
55022,Head of Government,Victor Wilcox,1936,1964,1999,1,Happy Amateur,High,M55022,x
55023,Foreign Minister,Victor Wilcox,1936,1964,1999,1,Biased Intellectual,Very High,M55022,x
55024,Minister of Armament,Sid Scott,1936,1964,1999,2,Theoretical Scientist,High,M55024,x
55025,Minister of Security,Gordon Watson,1936,1964,1999,0,Efficient Sociopath,High,M55025,x
55026,Head of Military Intelligence,Frederick Freeman,1936,1964,1999,2,Technical Specialist,High,M55026,x
55027,Chief of Staff,Henry Colthorpe,1936,1964,1999,0,School of Psychology,High,M55027,x
55028,Chief of Army,Gordon Watson,1936,1964,1999,0,Guns and Butter Doctrine,High,M55025,x
55029,Chief of Navy,Eric Prendergast,1936,1964,1999,1,Decisive Naval Battle Doctrine,High,M55029,x
55030,Chief of Air Force,L.P. Peterson,1936,1964,1999,0,Air Superiority Doctrine,High,M55030,x
55095,Head of State,Willoughby Baron Norrie,1952,1964,1999,5,Weary Stiffneck,High,M55095,x
55096,Head of State,Willoughby Baron Norrie,1952,1964,1999,3,Weary Stiffneck,High,M55095,x
55097,Head of Government,Walter Nash,1947,1964,1999,3,Happy Amateur,High,M55004,x
55098,Foreign Minister,Frederick W. Doidge,1949,1964,1999,6,Biased Intellectual,Very High,M55098,x
55099,Foreign Minister,Thomas C. Webb,1951,1964,1999,6,Iron Fisted Brute,Very High,M55099,x
55100,Foreign Minister,Arnold H. Nordmeyer,1950,1964,1999,3,The Cloak N Dagger Schemer,Very High,M55100,x
55101,Minister of Security,Thomas L. MacDonald,1951,1964,1999,6,Efficient Sociopath,Medium,M55101,x
