BLR,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
971271,Head of Government,Alaksandr Carviakov,1936,1964,1999,0,Silent Workhorse,High,kai_charvyakow,x
971272,Head of Government,Iosif Adamovic,1936,1964,1999,0,Old General,High,kai_adamovich,x
971273,Head of Government,Maksim Tank,1936,1964,1999,1,Happy Amateur,High,kai_tank,x
971274,Foreign Minister,Alaksandr Carviakov,1936,1964,1999,0,General Staffer,High,kai_charvyakow,x
971275,Foreign Minister,Branislav Taraskevic,1936,1964,1999,1,Biased Intellectual,High,kai_Tarashkievich,x
971276,Foreign Minister,Symon Rak-Michajlouski ,1936,1964,1999,1,Apologetic Clerk,High,kai_symonrak,x
971277,Minister of Armament,Panteleymon Ponomarenko,1936,1964,1999,0,Resource Industrialist,High,kai_panponk,x
971278,Minister of Security,Viera Charuzaja,1936,1964,1999,1,Man of the People,High,kai_viercharuz,x
971279,Head of Military Intelligence,Anatol Kacnelson,1936,1964,1999,0,Logistics Specialist,High,kai_antkacn,x
971280,Chief of Staff,Vasil Korz,1936,1964,1999,0,School of Psychology,High,kai_vslkor,x
971281,Chief of Army,Paval Korzun,1936,1964,1999,0,Armoured Spearhead Doctrine,High,kai_pvlkorzn,x
971282,Chief of Army,Vasil Korz,1936,1964,1999,0,Guns and Butter Doctrine,High,kai_vslkor,x
971283,Chief of Air Force,Nikolay Gastello,1936,1964,1999,0,Army Aviation Doctrine,High,kai_nklgst,x
971284,Chief of Air Force,Barys Kouzan,1936,1964,1999,0,Air Superiority Doctrine,High,kai_barkuz,x
971285,Head of State,Partisan Council,1936,1964,1999,7,Weary Stiffneck,High,rusprotectorate,x
971286,Head of Government,Partisan Council,1936,1964,1999,6,old general,Very High,rusprotectorate,x
