TIB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
73059,Chief of Army,Jigme Taring,1938,1964,1999,6,Elastic Defence Doctrine,High,M73030_Jigme Taring uniforme,x
73060,Chief of Army,Ngapo Ngawang Jigme,1936,1964,1999,1,Elastic Defence Doctrine,High,M73051_Ngapoi Ngawang Jigme,x
73061,Chief of Army,Andruk Gonpo Tashi,1946,1964,1999,7,Elastic Defence Doctrine,High,M73072_Gompo Tashi Andrugtsang,x
73062,Chief of Army,Bapa Yeshe,1946,1964,1999,6,Armoured Spearhead Doctrine,High,M73020,x
73063,Chief of Air Force,Ngapo Ngawang Jigme,1936,1964,1999,1,Air Superiority Doctrine,High,M73051_Ngapoi Ngawang Jigme,x
73064,Chief of Air Force,Tendong Shappe,1938,1964,1999,7,Air Superiority Doctrine,Medium,M73067_Tendong Shappe,x
73065,Chief of Air Force,Tsarong Dzasa,1936,1964,1999,6,Army Aviation Doctrine,High,M73068_Tsarong,x
73066,Chief of Air Force,Jigme Taring,1938,1964,1999,6,Air Superiority Doctrine,High,M73030_Jigme Taring uniforme,x
73067,Chief of Air Force,Tobgyal Pangdatsang,1938,1964,1999,3,Army Aviation Doctrine,High,,x
73068,Chief of Air Force,Yuthok,1936,1964,1999,3,Air Superiority Doctrine,High,M73070_Yuthok,x
73069,Chief of Air Force,Gyato Wangdu,1946,1964,1999,7,Vertical Envelopment Doctrine,High,M73029_Gyato Wangdu,x
73070,Chief of Navy,Ngapo Ngawang Jigme,1936,1964,1999,1,Open Seas Doctrine,High,M73051_Ngapoi Ngawang Jigme,x
73071,Chief of Navy,Tendong Shappe,1938,1964,1999,7,Base Control Doctrine,Medium,M73067_Tendong Shappe,x
73072,Chief of Navy,Tsarong Dzasa,1936,1964,1999,6,Decisive Naval Battle Doctrine,High,M73068_Tsarong,x
73073,Chief of Navy,Jigme Taring,1938,1964,1999,6,Open Seas Doctrine,High,M73030_Jigme Taring uniforme,x
73074,Chief of Navy,Tobgyal Pangdatsang,1938,1964,1999,3,Power Projection Doctrine,High,,x
73075,Chief of Navy,Yuthok,1936,1964,1999,3,Base Control Doctrine,High,M73070_Yuthok,x
73076,Chief of Navy,Andruk Gonpo Tashi,1946,1964,1999,7,Power Projection Doctrine,High,M73072_Gompo Tashi Andrugtsang,x
