HOL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
8053,Head of Government,Graaf de Marchant et d'Ansembourg,1940,1964,1999,7,Flamboyant Tough Guy,High,M8013,x
8054,Head of Government,Nicolaas Beuzemaker,1936,1964,1999,0,Happy Amateur,High,M8054,x
8055,Head of Government,David Wijnkoop,1943,1964,1999,0,Naive Optimist,High,M8022,x
8056,Head of Government,Daniel Goulooze,1945,1964,1999,0,Smiling Oilman,High,M8025,x
8057,Foreign Minister,Servatius Baart,1936,1964,1999,3,Great Compromiser,Medium,M8057,x
8058,Foreign Minister,Adrianus Pelt,1938,1964,1999,3,Apologetic Clerk,Medium,M8058,x
8059,Foreign Minister,George van den Bergh,1943,1964,1999,3,Iron Fisted Brute,Medium,M8059,x
8060,Foreign Minister,Jan van Royen,1946,1964,1999,3,Biased Intellectual,Low,M8060,x
8061,Foreign Minister,Pim van Boetzelaer,1946,1964,1999,5,General Staffer,Medium,M8061,x
8062,Foreign Minister,Charles Guillaume Cramer,1947,1964,1999,3,The Cloak N Dagger Schemer,Very High,M8062,x
8063,Foreign Minister,Hendricus Colijn,1937,1964,1999,5,Ideological Crusader,Medium,M8002,x
8064,Foreign Minister,Jacobus Patijn,1937,1964,1999,5,Apologetic Clerk,Medium,M8064,x
8066,Foreign Minister,Andries Dirk de Graaf,1936,1964,1999,6,Great Compromiser,High,M8048,x
8067,Foreign Minister,Eelco van Kleffens,1939,1964,1999,6,Great Compromiser,Medium,M8065,x
8068,Foreign Minister,Jacobus Patijn,1940,1964,1999,7,Apologetic Clerk,Medium,M8064,x
8069,Foreign Minister,Graaf de Marchant et d'Ansembourg,1937,1964,1999,8,Ideological Crusader,Very Low,M8013,x
8070,Foreign Minister,Anton Mussert,1943,1964,1999,8,The Cloak N Dagger Schemer,Low,M8011,x
8071,Foreign Minister,Meinout Rost van Tonningen,1943,1964,1999,9,Iron Fisted Brute,Medium,M8012,x
8072,Foreign Minister,Benjamin Boers,1936,1964,1999,0,Great Compromiser,Medium,M8040,x
8073,Foreign Minister,Nicolaas Beuzemaker,1939,1964,1999,0,The Cloak N Dagger Schemer,Very High,M8054,x
8074,Foreign Minister,David Wijnkoop,1940,1964,1999,0,Biased Intellectual,Low,M8022,x
8075,Foreign Minister,Paul de Groot,1941,1964,1999,1,Ideological Crusader,Low,M8021,x
8076,Foreign Minister,Willem van Ravesteyn,1943,1964,1999,1,Apologetic Clerk,Medium,M8023,x
8077,Minister of Armament,Jacob van Gelderen,1937,1964,1999,3,laissez-faire capitalist,High,M8077,x
8078,Minister of Armament,Lambertus H. Mansholt,1939,1964,1999,3,Resource Industrialist,Medium,M8078,x
8079,Minister of Armament,Charles Welter,1940,1964,1999,3,Theoretical Scientist,Medium,M8079,x
8080,Minister of Armament,Johan Albarda,1941,1964,1999,3,laissez-faire capitalist,High,M8043,x
8081,Minister of Armament,Jacques de Kadt,1942,1964,1999,3,Military Entrepreneur,High,M8081,x
8082,Minister of Armament,Charles Guillaume Cramer,1944,1964,1999,3,Air Superiority Proponent,Very High,M8062,x
8083,Minister of Armament,Alexander Fiévez,1946,1964,1999,5,Administrative Genius,Medium,M8083,x
8084,Minister of Armament,Jan Tinbergen,1947,1964,1999,3,Resource Industrialist,Very High,M8084,x
8086,Minister of Armament,Tietse Pieter Sevensma,1939,1964,1999,5,Laissez-Faire Capitalist,Medium,M8086,x
8087,Minister of Armament,Daniel van der Zee,1940,1964,1999,5,Air to Sea Proponent,Medium,M8087,x
8088,Minister of Armament,W.G. van Wettum,1941,1964,1999,5,Tank Proponent,Medium,M8088,x
8089,Minister of Armament,Willem Schermerhorn,1941,1964,1999,5,Resource Industrialist,Medium,M8047,x
8090,Minister of Armament,O. van Lidth de Jeude,1942,1964,1999,5,Administrative Genius,Medium,M8090,x
8091,Minister of Armament,James de Booy,1945,1964,1999,5,Battle Fleet Proponent,Medium,M8091,x
8092,Minister of Armament,Johannes Meynen,1945,1964,1999,5,Theoretical Scientist,High,M8092,x
8093,Minister of Armament,Joest van Hamel,1946,1964,1999,5,Military Entrepreneur,High,M8093,x
8094,Minister of Armament,Dirk Jan de Geer,1937,1964,1999,6,Infantry Proponent,High,M8049,x
8095,Minister of Armament,Adriaan Dijxhoorn,1940,1964,1999,6,Tank Proponent,Very High,M8007,x
8096,Minister of Armament,Maximilien Steenberghe,1942,1964,1999,6,Air to Ground Proponent,Medium,M8096,x
8097,Minister of Armament,Jan de Quay,1944,1964,1999,6,Resource Industrialist,High,M8050,x
8098,Minister of Armament,Jannes van Dijk,1940,1964,1999,6,Administrative Genius,High,M8098,x
8099,Minister of Armament,C.J. Huygens,1937,1964,1999,9,Administrative Genius,Very Low,M8014,x
8100,Minister of Armament,Gerrit van Burink,1943,1964,1999,9,Infantry Proponent,Medium,M8100,x
8101,Minister of Armament,Gerrit van Burink,1945,1964,1999,7,Infantry Proponent,Medium,M8100,x
8102,Minister of Armament,Peiter Bergsma,1937,1964,1999,0,laissez-faire capitalist,Medium,M8102,x
8103,Minister of Armament,Jacques de Kadt,1939,1964,1999,1,Military Entrepreneur,High,M8081,x
8104,Minister of Armament,Jan Postma,1940,1964,1999,1,Theoretical Scientist,Low,M8024,x
8105,Minister of Armament,Jacobus Engels,1944,1964,1999,1,Strategic Air Proponent,High,M8105,x
8106,Minister of Security,Franc van der Goes,1937,1964,1999,3,Man of the People,Medium,M8106,x
8107,Minister of Security,Jan Bergmeijer,1939,1964,1999,3,Compassionate Gentleman,Medium,M8107,x
8108,Minister of Security,Louis Beel,1940,1964,1999,3,Man of the People,Medium,M8044,x
8109,Minister of Security,Charles Guillaume Cramer,1941,1964,1999,3,Silent Lawyer,Very High,M8062,x
8110,Minister of Security,Johan Brautigam,1945,1964,1999,3,Prince of Terror,Medium,M8110,x
8112,Minister of Security,Pieter Gerbrandy,1939,1964,1999,5,Crime Fighter,Very High,M8046,x
8113,Minister of Security,Fedde Schurer,1946,1964,1999,5,Man of the People,Medium,M8113,x
8114,Minister of Security,Wilhelmus Andriessen,1940,1964,1999,5,Prince of Terror,Medium,M8114,x
8115,Minister of Security,John Loudon,1942,1964,1999,5,Compassionate Gentleman,Medium,M8115,x
8116,Minister of Security,Bernard C.J. Loder,1937,1964,1999,6,Back Stabber,Medium,M8116,x
8117,Minister of Security,Louis Einthoven,1939,1964,1999,6,Crime Fighter,Very High,M8117,x
8118,Minister of Security,Gerrit van Heuven Goedhart,1943,1964,1999,6,Compassionate Gentleman,High,M8118,x
8119,Minister of Security,Corneliis van Geelkerken,1937,1964,1999,9,Prince of Terror,High,M8015,x
8121,Minister of Security,Corneliis van Geelkerken,1945,1964,1999,7,Prince of Terror,High,M8015,x
8122,Minister of Security,Carel Gooseling,1940,1964,1999,7,Compassionate Gentleman,Medium,M8122,x
8123,Minister of Security,Fokke Bosman,1937,1964,1999,0,Compassionate Gentleman,High,M8123,x
8124,Minister of Security,Hendrickus Sneevliet,1939,1964,1999,0,Man of the People,High,M8124,x
8125,Minister of Security,Daniel Goulooze,1943,1964,1999,0,Crime Fighter,Low,M8025,x
8126,Head of Military Intelligence,Emanuel Boekman,1937,1964,1999,3,Dismal Enigma,Very High,M8126,x
8127,Head of Military Intelligence,Harmen de Boer,1939,1964,1999,3,Political Specialist,Very High,M8127,x
8128,Head of Military Intelligence,Charles Guillaume Cramer,1940,1964,1999,3,Technical Specialist,Very High,M8062,x
8129,Head of Military Intelligence,Jan Lambertus Faber,1943,1964,1999,3,Political Specialist,Very High,M8129,x
8130,Head of Military Intelligence,Willem Drees,1945,1964,1999,3,Logistics Specialist,Very High,M8130,x
8131,Head of Military Intelligence,H.A. van Kamebeek,1937,1964,1999,5,Technical Specialist,Very High,M8131,x
8132,Head of Military Intelligence,Jan Slotemaker,1939,1964,1999,5,Logistics Specialist,Very High,M8132,x
8133,Head of Military Intelligence,G.J. Sas,1940,1964,1999,5,Logistics Specialist,Very High,M8133,x
8134,Head of Military Intelligence,Frans Fuykschot,1946,1964,1999,5,Dismal Enigma,Very High,M8134,x
8136,Head of Military Intelligence,Christoffel van Tuinen,1939,1964,1999,6,Industrial Specialist,Very High,M8136,x
8137,Head of Military Intelligence,Simon Spoor,1942,1964,1999,6,Naval Intelligence Specialist,Very High,M8137,x
8138,Head of Military Intelligence,Henk Feldmeijer,1937,1964,1999,9,Political Specialist,Low,M8016,x
8139,Head of Military Intelligence,Michiel de Bruyne,1945,1964,1999,7,Technical Specialist,Low,M8139,x
8140,Head of Military Intelligence,Abraham Menist,1937,1964,1999,1,Political Specialist,High,M8026,x
8141,Head of Military Intelligence,Ina Willekes-MacDonald,1943,1964,1999,0,Dismal Enigma,Very High,M8141,x
8142,Chief of Staff,Bernhard Coltof,1937,1964,1999,3,School of Psychology,High,M8142,x
8147,Chief of Staff,Simon Spoor,1943,1964,1999,6,School of Psychology,High,M8137,x
8148,Chief of Staff,Anton Mussert,1937,1964,1999,8,School of Psychology,High,M8148,x
8149,Chief of Staff,Hendrik Seyffardt,1943,1964,1999,8,School of Defence,Medium,M8017,x
8151,Chief of Staff,Thomas Struik,1937,1964,1999,0,School of Mass Combat,High,M8027,x
8152,Chief of Staff,Geert Sterringa,1940,1964,1999,0,School of Defence,High,M8152,x
8153,Chief of Staff,Jacobus Engels,1943,1964,1999,1,School of Psychology,High,M8105,x
8155,Chief of Army,Jan van Voorst tot Voorst,1937,1964,1999,5,Static Defence Doctrine,High,M8155,x
8156,Chief of Army,Henri Winkelman,1940,1964,1999,5,Elastic Defence Doctrine,High,M8154,x
8159,Chief of Army,Adrianus Zondervan,1937,1964,1999,9,Decisive Battle Doctrine,Very Low,M8018,x
8160,Chief of Army,Hendrik Seyffardt,1943,1964,1999,8,Guns and Butter Doctrine,Very High,M8017,x
8161,Chief of Army,Herman van Voorst tot Voorst,1945,1964,1999,7,Elastic Defence Doctrine,Very High,M8161,x
8162,Chief of Army,Alexander de Leeuw,1937,1964,1999,0,Elastic Defence Doctrine,Very High,M8162,x
8163,Chief of Army,Nico van Straaten,1943,1964,1999,1,Armoured Spearhead Doctrine,Low,M8028,x
8164,Chief of Army,Anthon Koejemans,1945,1964,1999,0,Guns and Butter Doctrine,Very High,M8164,x
8168,Chief of Navy,Pieter Koenraad,1937,1964,1999,8,Base Control Doctrine,Low,M8019,x
8170,Chief of Navy,Christiaan Beekman,1937,1964,1999,1,Base Control Doctrine,Low,M8170,x
8171,Chief of Navy,Fokke Bosman,1940,1964,1999,0,Open Seas Doctrine,High,M8123,x
8172,Chief of Air Force,Petrus W. Best,1939,1964,1999,3,Naval Aviation Doctrine,High,M8172,x
8177,Chief of Air Force,Claes Douw van der Krap,1937,1964,1999,8,Naval Aviation Doctrine,Low,M8020,x
8179,Chief of Air Force,Jan Dieters,1937,1964,1999,0,Vertical Envelopment Doctrine,High,M8041,x
8180,Chief of Air Force,Julius Zegers,1943,1964,1999,1,Air Superiority Doctrine,Low,M8030,x
8182,Chief of Army,Bernhard Coltof,1939,1964,1999,3,Elastic Defence Doctrine,High,M8142,x
8183,Head of State,Alexander von Falkenhausen,1940,1964,1999,9,Resigned Generalissimo,Very High,M510086,x
8029,Chief of Navy,Karel Doorman,1936,1964,1999,2,Open Seas Doctrine,Low,M8029,x
8185,Head of State,S.K.H. Wilhelmina,1936,1964,1999,4,Stern Imperialist,Very High,M8001,x
8186,Head of State,S.K.H. Juliana,1948,1964,1999,3,Popular Figurehead,High,M8186,x
8187,Head of State,S.K.H. Juliana,1948,1964,1999,6,Popular Figurehead,High,M8186,x
8188,Head of Government,Willem Drees,1948,1964,1999,3,Ambitious Union Boss,High,M8130,x
8189,Foreign Minister,Dirk U. Stikker,1948,1964,1999,4,Great Compromiser,Medium,M8189,x
8190,Foreign Minister,Jan Willem Beyen,1951,1964,1999,4,Apologetic Clerk,Medium,M8190,x
8191,Minister of Armament,Wim Schokking,1948,1964,1999,3,Air to Ground Proponent,Medium,M8191,x
8192,Minister of Armament,Louis de Visser,1950,1964,1999,2,Theoretical Scientist,Medium,M8192,x
8193,Minister of Armament,Kees Staf,1951,1964,1999,4,Resource Industrialist,Medium,M8193,x
8194,Minister of Security,Johannes van Maarseveen,1946,1964,1999,5,Silent Lawyer,Medium,M8194,x
8195,Minister of Security,Teun Struiken,1948,1964,1999,4,Back Stabber,Medium,M8195,x
8196,Minister of Security,Henrik Mulderije,1951,1964,1999,4,Crime Fighter,Medium,M8196,x
8197,Minister of Security,Leendert A. Donker,1952,1964,1999,3,Compassionate Gentleman,Medium,M8197,x
8198,Head of State,Pieter Gerbrandy,1939,1964,1999,5,Stern Imperialist,High,M8046,x
8199,Head of State,Herman van Voorst tot Voorst,1939,1964,1999,7,Stern Imperialist,Very High,M8161,x
8200,Head of State,S.K.H. Juliana,1948,1964,1999,7,Popular Figurehead,High,M8186,x
