SCH,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
17044,Head of Government,Philipp Etter,1939,1964,1999,4,Flamboyant Tough Guy,High,M17033,x
17045,Head of Government,Marcel Pilet-Golaz,1940,1964,1999,3,Political Protege,High,M17034,x
17046,Head of Government,Ernst Wetter,1941,1964,1999,5,Backroom Backstabber,High,M17035,x
17048,Head of Government,Enrico Celio,1943,1964,1999,3,Corporate Suit,High,M17037,x
17049,Head of Government,Walter Stampfli,1944,1964,1999,5,Naive Optimist,High,M17038,x
17050,Head of Government,Eduard von Steiger,1945,1964,1999,4,Smiling Oilman,High,M17039,x
17051,Head of Government,Karl Kobelt,1946,1964,1999,5,Happy Amateur,High,M17040,x
17053,Foreign Minister,Marcel Pilet-Golaz,1940,1964,1999,5,Great Compromiser,Medium,M17034,x
17054,Foreign Minister,Max Petitpierre,1945,1964,1999,4,Iron Fisted Brute,Very High,M17054,x
17055,Foreign Minister,Rudolf Gelpke,1936,1964,1999,1,Ideological Crusader,Medium,M17055,x
17056,Foreign Minister,Paul Usteri,1937,1964,1999,5,Ideological Crusader,High,M17056,x
17057,Foreign Minister,Jakob I. Huber,1939,1964,1999,4,General Staffer,High,M17007,x
17058,Foreign Minister,Nicolas Lejeune,1940,1964,1999,4,Apologetic Clerk,High,M17058,x
17059,Foreign Minister,Otto Buess,1941,1964,1999,3,Iron Fisted Brute,High,M17059,x
17060,Foreign Minister,Karl Zeltner,1941,1964,1999,4,The Cloak N Dagger Schemer,High,M17060,x
17061,Foreign Minister,Justus Stöcklin,1938,1964,1999,5,Great Compromiser,Very High,M17061,x
17062,Foreign Minister,Enrico Celio,1942,1964,1999,3,Ideological Crusader,High,M17037,x
17063,Foreign Minister,Walter Stampfli,1943,1964,1999,5,Iron Fisted Brute,High,M17038,x
17064,Foreign Minister,Max Kauffmann,1944,1964,1999,4,Biased Intellectual,High,M17064,x
17065,Foreign Minister,Paul Manz,1945,1964,1999,4,Great Compromiser,High,M17065,x
17066,Minister of Armament,Friedrich Traugott-Wahlen,1940,1964,1999,5,Resource Industrialist,Very High,M17066,x
17067,Minister of Armament,Albert Einstein,1936,1964,1999,4,Theoretical Scientist,Very High,M17067,x
17068,Minister of Armament,Heinrich Handschein,1937,1964,1999,4,laissez-faire capitalist,Very High,M17068,x
17069,Minister of Armament,Jakob Mosimann,1937,1964,1999,4,Military Entrepreneur,Very High,M17069,x
17070,Minister of Armament,Jakob I. Huber,1938,1964,1999,4,Infantry Proponent,High,M17007,x
17071,Minister of Armament,Ernst Wetter,1939,1964,1999,5,Resource Industrialist,Very High,M17035,x
17072,Minister of Armament,Ernst Weber,1941,1964,1999,4,Administrative Genius,Very High,M17072,x
17073,Minister of Armament,Leonardo Castelli,1942,1964,1999,4,Tank Proponent,High,M17073,x
17074,Minister of Armament,Ernst Nobs,1944,1964,1999,3,Resource Industrialist,Very High,M17074,x
17075,Minister of Armament,Otto Gass,1938,1964,1999,3,Air to Ground Proponent,Very High,M17075,x
17076,Minister of Armament,John Gignoux,1942,1964,1999,5,Resource Industrialist,Very High,M17076,x
17077,Minister of Armament,Werner Jenni,1940,1964,1999,3,Tank Proponent,Very High,M17077,x
17078,Minister of Armament,Leo Schweizer,1944,1964,1999,3,Administrative Genius,Very High,M17078,x
17079,Minister of Armament,Rudolf Minger,1944,1964,1999,5,Administrative Genius,Very High,M17079,x
17080,Minister of Security,Clemens Stöckli,1944,1964,1999,5,Silent Lawyer,Very High,M17080,x
17081,Minister of Security,Ernst Lolliger,1944,1964,1999,3,Man of the People,Very High,M17081,x
17082,Minister of Security,Heinrich Rothmund,1940,1964,1999,5,Crime Fighter,Very High,M17082,x
17083,Minister of Security,Hans Leupin,1940,1964,1999,3,Back Stabber,Very High,M17083,x
17084,Minister of Security,Paul Frutig,1942,1964,1999,5,Silent Lawyer,Very High,M17084,x
17085,Minister of Security,Guido Miescher,1938,1964,1999,3,Prince of Terror,Very High,M17085,x
17086,Minister of Security,Heinrich Abbegg,1936,1964,1999,0,Crime Fighter,Very High,M17086,x
17087,Minister of Security,Gustave Adoor,1936,1964,1999,5,Man of the People,Very High,M17087,x
17088,Minister of Security,Felic Calonder,1936,1964,1999,4,Back Stabber,Very High,M17088,x
17089,Minister of Security,Edmond Schulthess,1938,1964,1999,4,Prince of Terror,Very High,M17089,x
17090,Minister of Security,Gonzague de Reynold,1937,1964,1999,4,Compassionate Gentleman,Very High,M17090,x
17091,Minister of Security,Hugo Gschwind,1939,1964,1999,4,Crime Fighter,Very High,M17091,x
17092,Minister of Security,Eduard von Steiger,1941,1964,1999,4,Silent Lawyer,Very High,M17039,x
17093,Minister of Security,Max Waibel,1942,1964,1999,4,Efficient Sociopath,Very High,M17093,x
17094,Minister of Security,Traugott Meyer,1943,1964,1999,3,Man of the People,Medium,M17025,x
17095,Head of Military Intelligence,Albert Einstein,1937,1964,1999,4,Technical Specialist,Very High,M17067,x
17096,Head of Military Intelligence,William Rappard,1938,1964,1999,5,Industrial Specialist,Very High,M17096,x
17097,Head of Military Intelligence,Gilles Le Pierre,1939,1964,1999,4,Logistics Specialist,Very High,M17097,x
17098,Head of Military Intelligence,Hans Konrad Sonderegger,1940,1964,1999,3,Industrial Specialist,Very High,M17098,x
17099,Head of Military Intelligence,Max Waibel,1943,1964,1999,4,Dismal Enigma,Very High,M17093,x
17100,Chief of Staff,Hans Max Huber,1937,1964,1999,5,School of Psychology,Very High,M17100,x
17101,Chief of Staff,Henri Guisan,1938,1964,1999,4,School of Mass Combat,Very High,M17101,x
17102,Chief of Staff,Paul Gürtler,1942,1964,1999,3,School of Psychology,Very High,M17102,x
17103,Chief of Army,Ernst Laur,1936,1964,1999,5,Guns and Butter Doctrine,Very High,M17103,x
17104,Chief of Army,Henri Guisan,1938,1964,1999,4,Elastic Defence Doctrine,Very High,M17101,x
17105,Chief of Army,Paul Rossy,1941,1964,1999,3,Guns and Butter Doctrine,Very High,M17105,x
17106,Chief of Navy,Hans Peter Bichsel-Sohn,1938,1964,1999,4,Open Seas Doctrine,Very High,M17106,x
17107,Chief of Air Force,J.D. de Montenach,1937,1964,1999,3,Vertical Envelopment Doctrine,Very High,M17107,x
17108,Chief of Air Force,Fritz Rihner,1938,1964,1999,4,Army Aviation Doctrine,Very High,M17108,x
17109,Chief of Air Force,Carl Burckhardt de Reynold,1941,1964,1999,5,Vertical Envelopment Doctrine,Very High,M17109,x
17110,Chief of Air Force,Etienne Primault,1944,1964,1999,4,Air Superiority Doctrine,Very High,M17110,x
17011,Head of State,Franz Burri,1936,1964,1999,8,Insignificant Layman,High,M17011,x
17012,Head of Government,Franz Burri,1936,1964,1999,8,Old Admiral,High,M17011,x
17013,Foreign Minister,Jacob Lorenz,1936,1964,1999,8,Iron Fisted Brute,Medium,M17013,x
17014,Minister of Armament,Hans Oehler,1936,1964,1999,8,Military Entrepreneur,Medium,M17014,x
17015,Minister of Security,Franz Burri,1936,1964,1999,8,Crooked Kleptocrat,Medium,M17011,x
17016,Head of Military Intelligence,Alfred Sarasin,1936,1964,1999,7,Dismal Enigma,Medium,M17016,x
17017,Chief of Staff,Eugen Bircher,1936,1964,1999,8,School of Psychology,Medium,M17017,x
17018,Chief of Army,Eugen Bircher,1936,1964,1999,8,Guns and Butter Doctrine,Medium,M17017,x
17019,Chief of Navy,Hans Oehler,1936,1964,1999,8,Decisive Naval Battle Doctrine,Medium,M17014,x
17020,Chief of Air Force,Alfred Sarasin,1936,1964,1999,8,Naval Aviation Doctrine,Medium,M17016,x
17021,Head of State,Josef Wiktor Widmann,1936,1964,1999,2,Weary Stiffneck,High,M17021,x
17022,Head of Government,Josef Wiktor Widmann,1936,1964,1999,2,Ambitious Union Boss,High,M17021,x
17023,Foreign Minister,Hermann Hessel-Lorenz,1936,1964,1999,2,The Cloak N Dagger Schemer,Medium,M17023,x
17024,Minister of Armament,Emil Frey,1936,1964,1999,2,Infantry Proponent,Medium,M17024,x
17026,Head of Military Intelligence,Theo Maier,1936,1964,1999,2,Technical Specialist,Medium,M17026,x
17027,Chief of Staff,Traugott Meyer,1936,1964,1999,2,School of Fire Support,Medium,M17025,x
17028,Chief of Army,Emil Frey,1936,1964,1999,2,Armoured Spearhead Doctrine,Medium,M17024,x
17029,Chief of Navy,Hermann Hessel-Lorenz,1936,1964,1999,2,Indirect Approach Doctrine,Medium,M17023,x
17030,Chief of Air Force,Josef Wiktor Widmann,1936,1964,1999,2,Naval Aviation Doctrine,Medium,M17021,x
17111,Head of State,Ernst Nobs,1949,1964,1999,3,Benevolent Gentleman,High,M17074,x
17112,Head of State,Max Petitpierre,1950,1964,1999,4,Popular Figurehead,High,M17054,x
17113,Head of Government,Oskar Leimgruber,1944,1964,1999,6,Smiling Oilman,High,M17113,x
17114,Head of Government,Charles Oser,1951,1964,1999,4,Corporate Suit,High,M17114,x
17115,Minister of Armament,Karl Kobelt,1944,1964,1999,5,Infantry Proponent,Very High,M17040,x
17116,Minister of Security,Philipp Etter,1939,1964,1999,4,Crime Fighter,Very High,M17033,x
17117,Head of Government,Ernst Nobs,1949,1964,1999,3,Happy Amateur,Very High,M17074,x
17118,Head of Government,Max Petitpierre,1950,1964,1999,4,Political Protege,Very High,M17054,x
17119,Head of Government,Eduard von Steiger,1951,1964,1999,6,Corporate Suit,Very High,M17039,x
