PRU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
39038,Foreign Minister,Cesar de la Fuente,1936,1964,1999,6,General Staffer,Medium,L260004,X
39039,Foreign Minister,Eduardo Cantabria Gomez,1936,1964,1999,1,Great Compromiser,Medium,M39023,X
39040,Foreign Minister,Felipe Tudela,1936,1964,1999,8,The Cloak N Dagger Schemer,Medium,M39013,X
39041,Foreign Minister,Carlos Concha,1936,1964,1999,6,Apologetic Clerk,Medium,M39047,X
39042,Foreign Minister,Rafael Escardo,1936,1964,1999,3,General Staffer,Medium,M39048,X
39043,Foreign Minister,Enrique Goytisola Bolognesi,1939,1964,1999,6,Iron Fisted Brute,Medium,M39049,X
39044,Foreign Minister,Reynaldo Vinatea,1939,1964,1999,3,Ideological Crusader,Medium,M39035,X
39045,Foreign Minister,Adolfo Solf y Muro,1940,1964,1999,6,The Cloak N Dagger Schemer,High,M39039,X
39046,Foreign Minister,Manuel Gallagher,1944,1964,1999,6,General Staffer,High,M39052,X
39047,Foreign Minister,Manuel Gallagher,1945,1964,1999,4,Biased Intellectual,High,M39052,X
39048,Foreign Minister,Javier Correa Elías,1945,1964,1999,5,Iron Fisted Brute,High,M39054,X
39049,Foreign Minister,Oscar Miro Quesada,1945,1964,1999,3,The Cloak N Dagger Schemer,Medium,M39040,X
39050,Foreign Minister,Enrique García Sayan,1946,1964,1999,5,The Cloak N Dagger Schemer,Medium,M39043,X
39051,Foreign Minister,Manuel Prado y Ugarteche,1947,1964,1999,3,Apologetic Clerk,Medium,M39032,X
39052,Minister of Armament,José Julio Bravo,1936,1964,1999,6,Industrialiser,High,M39058,X
39053,Minister of Armament,Luis Sanchez Cerro,1936,1964,1999,6,Infantry Proponent,Medium,M39005,X
39054,Minister of Armament,Teófilo Iglesias,1936,1964,1999,3,Tank Proponent,High,M39060,X
39055,Minister of Armament,Augusto Leguia Swayne,1939,1964,1999,6,Administrative Genius,High,M39034,X
39056,Minister of Armament,Manuel Vásquez Díaz,1939,1964,1999,3,Air to Ground Proponent,High,M39062,X
39057,Minister of Armament,David S. Ocampo,1939,1964,1999,3,Military Entrepreneur,Medium,M39044,X
39058,Minister of Armament,Eduardo Rebagliati Martins,1941,1964,1999,6,Military Entrepreneur,High,M39064,X
39059,Minister of Armament,David Dasso,1942,1964,1999,6,Laissez-Faire Capitalist,High,M39065,X
39060,Minister of Armament,Oscar Trelles Montés,1943,1964,1999,6,Submarine Proponent,Medium,M39066,X
39061,Minister of Armament,Julio Portugal Montero,1944,1964,1999,5,Theoretical Scientist,Medium,M39046,X
39062,Minister of Armament,Benjamín Roca,1944,1964,1999,5,Theoretical Scientist,High,M39068,X
39063,Minister of Armament,Alberto Roque Saldías,1945,1964,1999,5,Battle Fleet Proponent,Medium,M39069,X
39064,Minister of Armament,Guillermo Almenara Irigoyen,1945,1964,1999,5,Administrative Genius,Medium,M39070,X
39065,Minister of Armament,Luis Ramírez Ortiz,1946,1964,1999,3,Infantry Proponent,Medium,M39071,X
39066,Minister of Armament,Rómulo Ferrero,1946,1964,1999,5,Laissez-Faire Capitalist,Medium,M39072,X
39067,Minister of Armament,Constantino Carvallo,1947,1964,1999,3,Strategic Air Proponent,Medium,M39024,X
39068,Minister of Armament,Ernesto Scroth,1947,1964,1999,3,Battle Fleet Proponent,Medium,M39004,X
39069,Minister of Armament,Armando Reveredo Iglesias,1950,1964,1999,6,Military Entrepreneur,Medium,M39142,X
39070,Minister of Security,Benigno Ballón Farfán,1936,1964,1999,6,Crooked Kleptocrat,Medium,M39075,X
39071,Minister of Security,Eleodoro Romero,1937,1964,1999,6,Silent Lawyer,Medium,M39076,X
39072,Minister of Security,Victor N. Benavente,1936,1964,1999,3,Silent Lawyer,Medium,M39077,X
39073,Minister of Security,Antonio Rodríguez Ramírez,1939,1964,1999,3,Compassionate Gentleman,Medium,M39079,X
39074,Minister of Security,Luis A. Flores,1940,1964,1999,6,Prince of Terror,Low,M39015,X
39075,Minister of Security,Carlos Berninzon,1942,1964,1999,6,Compassionate Gentleman,Low,M39081,X
39076,Minister of Security,Guillermo Landa Arisueño,1944,1964,1999,5,Man of the People,Medium,M39082,X
39077,Minister of Security,Augusto Leguia Swayne,1945,1964,1999,4,Man of the People,High,M39034,X
39078,Minister of Security,Juan Cortés Azar,1945,1964,1999,5,Back Stabber,Medium,M39025,X
39079,Minister of Security,Maximó Silva,1945,1964,1999,3,Crime Fighter,Medium,M39085,X
39080,Minister of Security,Juan F. Guabloche Rodrígues,1946,1964,1999,5,Prince of Terror,Medium,M39086,X
39081,Minister of Security,Ildefonso Ballón Beltrán,1947,1964,1999,3,Efficient Sociopath,Medium,M39087,X
39082,Minister of Security,Rocas Sanchez Mapás,1951,1964,1999,7,Efficient Sociopath,Low,M39149,X
39083,Head of Military Intelligence,Horacio Patiño Cruzatti,1936,1964,1999,6,Naval Intelligence Specialist,Medium,M39088,X
39084,Head of Military Intelligence,Alberto Ayala y Lacroix,1936,1964,1999,3,Dismal Enigma,Medium,M39089,X
39085,Head of Military Intelligence,Benigno Ballón Farfán,1939,1964,1999,6,Dismal Enigma,Medium,M39075,X
39086,Head of Military Intelligence,Juan Bautista de Lavalle,1942,1964,1999,6,Industrial Specialist,Medium,M39091,X
39087,Head of Military Intelligence,Alfredo Alvarez Calderón,1943,1964,1999,6,Technical Specialist,Medium,M39092,X
39088,Head of Military Intelligence,Miguel Montero y Tirado,1939,1964,1999,3,Political Specialist,Medium,M39093,X
39089,Head of Military Intelligence,Jorge T. de la Flor,1944,1964,1999,5,Industrial Specialist,Medium,M39094,X
39090,Head of Military Intelligence,Enrique Torres Gonzalez,1945,1964,1999,4,Political Specialist,Medium,M39095,X
39091,Head of Military Intelligence,Juan F. Guabloche Rodrígues,1945,1964,1999,5,Dismal Enigma,Medium,M39086,X
39092,Head of Military Intelligence,Riccardo Barrea Laos,1945,1964,1999,3,Technical Specialist,Medium,M39097,X
39093,Head of Military Intelligence,Armando Montes de Peralta,1946,1964,1999,5,Logistics Specialist,Medium,M39026,X
39094,Head of Military Intelligence,Bernardo Palacios y Montecinos,1947,1964,1999,3,Technical Specialist,Medium,M39016,X
39095,Chief of Staff,Luis Sánchez Cerro,1939,1964,1999,6,School of Mass Combat,Medium,M39102,X
39096,Chief of Staff,Bernardo Palacios y Montecinos,1939,1964,1999,3,School of Fire Support,Medium,M39016,X
39097,Chief of Staff,Riccardo P. Godoy,1944,1964,1999,5,School of Manoeuvre,Medium,M39104,X
39098,Chief of Staff,Fortunato Quesada Larrea,1945,1964,1999,5,School of Defence,Medium,M39106,X
39099,Chief of Staff,Juan Poncé Diaz,1945,1964,1999,3,School of Psychology,Medium,M39027,X
39100,Chief of Staff,Alberto Hurtado Abadia,1947,1964,1999,3,School of Defence,Medium,M39108,X
39101,Chief of Staff,Alberto Zenon Agüero,1948,1964,1999,6,School of Psychology,Medium,L260016,X
39102,Chief of Staff,Nicolas Lindley Lopez,1950,1964,1999,7,School of Manoeuvre,Medium,L260036,X
39103,Chief of Army,Oscar Gilardi,1936,1964,1999,3,Static Defence Doctrine,Low,M39006,X
39104,Chief of Army,Luis Saenz Diaz,1939,1964,1999,6,Elastic Defence Doctrine,Medium,M39111,X
39105,Chief of Army,Eloy G. Ureta,1939,1964,1999,3,Guns and Butter Doctrine,Medium,M39036,X
39106,Chief of Army,Eduardo Montero Rojas,1944,1964,1999,5,Armoured Spearhead Doctrine,Medium,M39113,X
39107,Chief of Army,Vladimiro Lopéz Trigoso,1945,1964,1999,5,Decisive Battle Doctrine,Medium,M39028,X
39108,Chief of Army,Rafael Escardo,1947,1964,1999,3,Elastic Defence Doctrine,Low,M39048,X
39109,Chief of Army,Manuel Odria Amoretti,1948,1964,1999,6,Elastic Defence Doctrine,Medium,L260017,X
39110,Chief of Army,Riccardo Perez Godoy,1950,1964,1999,7,Armoured Spearhead Doctrine,Medium,L260020,X
39111,Chief of Navy,Alberto Roque Saldías,1939,1964,1999,6,Indirect Approach Doctrine,Medium,M39069,X
39112,Chief of Navy,Manuel R. Nieto,1939,1964,1999,3,Open Seas Doctrine,Medium,M39120,X
39113,Chief of Navy,José de la Riva Agüero,1941,1964,1999,6,Base Control Doctrine,Medium,M39011,X
39114,Chief of Navy,Nicolas Lindley Lopez,1944,1964,1999,5,Decisive Naval Battle Doctrine,Low,M39019,X
39115,Chief of Navy,Luis Navarreté,1945,1964,1999,5,Power Projection Doctrine,High,M39124,X
39116,Chief of Navy,Juan Poncé Diaz,1945,1964,1999,3,Base Control Doctrine,Medium,M39027,X
39117,Chief of Navy,Felipe Tudela,1947,1964,1999,3,Open Seas Doctrine,Medium,M39013,X
39118,Chief of Air Force,Victor Solano,1939,1964,1999,6,Army Aviation Doctrine,High,M39129,X
39119,Chief of Air Force,Romulo Frias,1939,1964,1999,3,Air Superiority Doctrine,High,M39130,X
39120,Chief of Air Force,Manuel Montero y Tirada,1943,1964,1999,6,Naval Aviation Doctrine,Medium,M39131,X
39121,Chief of Air Force,Fernando M. Quesada Blanco,1944,1964,1999,5,Carpet Bombing Doctrine,Medium,M39020,X
39122,Chief of Air Force,Luis Navarreté,1945,1964,1999,5,Naval Aviation Doctrine,High,M39124,X
39123,Chief of Air Force,Alberto Lopez Flores,1945,1964,1999,3,Vertical Envelopment Doctrine,Medium,M39030,X
39124,Chief of Air Force,Eduardo Cantabria Gomez,1947,1964,1999,3,Army Aviation Doctrine,Medium,M39023,X
