NOR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
14084,Chief of Navy,Gunner Hovdenak,3,Decisive Naval Battle Doctrine,M14084
14067,Minister of Security,Haakon Lie,3,Prince of Terror,M14067
14042,Foreign Minister,Halvard Manthey Lange,3,General Staffer,M14042
14003,Foreign Minister,Halvdan Koht,3,Biased Intellectual,M14003
14079,Chief of Staff,Halvor Hansson,5,School of Psychology,M14079
14086,Chief of Navy,Hans Corneliussen,5,Indirect Approach Doctrine,M14086
14091,Chief of Air Force,Harald Bruusgaard,4,Naval Aviation Doctrine,M14091
14030,Chief of Air Force,Henrik Norby,2,Carpet Bombing Doctrine,M14030
14083,Chief of Navy,Henry Diesen,3,Open Seas Doctrine,M14083
14024,Minister of Armament,Henry Wilhelm Kristiansen,0,Military Entrepreneur,M14024
14089,Chief of Air Force,Hjalmar Riiser-Larsen,3,Army Aviation Doctrine,M14089
14043,Foreign Minister,J. L. Mowinckel,4,Ideological Crusader,M14043
14010,Chief of Air Force,Jacob von der Lippe,3,Army Aviation Doctrine,M14009
14009,Chief of Navy,Jacob von der Lippe,3,Indirect Approach Doctrine,M14009
14012,Head of Government,Jacob Worm-Müller,4,Silent Workhorse,kai_jacwormu
14053,Minister of Armament,Jens Christian Hauge,3,Military Entrepreneur,M14053
14013,Head of Government,Jens Hundseid,5,Silent Workhorse,kai_jenhun
14077,Chief of Staff,Johan Beichmann,5,School of Mass Combat,M14077
14056,Minister of Armament,Johan H. Andresen,5,Resource Industrialist,M14056
14002,Head of Government,Johan Nygaardsvold,3,Ambitious Union Boss,M14002
14101,Minister of Security,Jonas Lie,9,Crime Fighter,M14015
14082,Chief of Army,Jorgen Bakke,9,Decisive Battle Doctrine,M14082
14074,Head of Military Intelligence,Karl A. Marthinsen,9,Dismal Enigma,M14074
14088,Chief of Navy,Kjeld Stub Irgens,8,Decisive Naval Battle Doctrine,M14088
14104,Chief of Army,Konrad Sundlo,8,Static Defence Doctrine,M14018
14008,Chief of Army,Kristian K. Laake,3,Guns and Butter Doctrine,M14008
14058,Minister of Armament,Michael Hansson,4,Strategic Air Proponent,M14058
14097,Minister of Armament,Nils Langhelle,3,Resource Industrialist,M14097
14081,Chief of Army,Olav av Norge,3,Elastic Defence Doctrine,M14081
14094,Chief of Air Force,Ole Reistad,4,Carpet Bombing Doctrine,M14094
14102,Head of Military Intelligence,Oliver Møystad,8,Dismal Enigma,M14016
14098,Minister of Security,Oscar C. Gundersen,3,Silent Lawyer,M14098
14096,Head of Government,Oscar F. Torp,3,Smiling Oilman,M14051
14051,Minister of Armament,Oscar F. Torp,3,Resource Industrialist,M14051
14015,Head of Government,Oscar Torp,6,Corporate Suit,kai_osctor
14080,Chief of Army,Otto Ruge,3,Guns and Butter Doctrine,M14075
14007,Chief of Staff,Otto Ruge,3,School of Defence,M14075
14044,Foreign Minister,Paal Berg,4,Great Compromiser,M14039
14039,Head of Government,Paal Berg,5,Backroom Backstabber,M14039
14109,Foreign Minister,Peder Furubotn,1,Ideological Crusader,M14023
14016,Head of Government,Per Borten,5,Naive Optimist,kai_perbor
14047,Foreign Minister,Rolf Andvord,3,Apologetic Clerk,M14047
14070,Minister of Security,Rolf Fuglesang,8,Efficient Sociopath,M14070
14025,Minister of Security,Samuel Titlestad,1,Prince of Terror,M14025
14029,Chief of Navy,Skule Storheil,2,Decisive Naval Battle Doctrine,M14029
14103,Chief of Staff,Sverre Riisnæs,8,School of Defence,M14017
14065,Minister of Security,Terje Wold,3,Silent Lawyer,M14065
14087,Chief of Navy,Thorleif Fjeldstad,8,Indirect Approach Doctrine,M14087
14106,Chief of Air Force,Trygve Gran,8,Air Superiority Doctrine,M14020
14041,Foreign Minister,Trygve H. Lie,3,Iron Fisted Brute,M14005
14005,Minister of Security,Trygve H. Lie,3,Man of the People,M14005
14093,Chief of Air Force,Trygve Klingenberg,4,Army Aviation Doctrine,M14093
14100,Foreign Minister,Vidkun Quisling,8,The Cloak N Dagger Schemer,M14012
14099,Head of Government,Vidkun Quisling,8,Corporate Suit,M14012
14072,Head of Military Intelligence,Vilhelm Evang,3,Political Specialist,M14072
14078,Chief of Staff,Wilhelm von Tangen-Hansteen,5,School of Fire Support,M14078
