GUI,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,x
537091,Chief of Navy,Frédéric Bruly Bouabré,1943,1964,1999,5,Open Seas Doctrine,Very High,Bouabré,x
537092,Chief of Air Force,Keita Fodiba,1941,1964,1999,5,Naval Aviation Doctrine,Very High,M537019,x
537093,Chief of Air Force,Louis Lansana Beavogui,1943,1964,1999,5,Carpet Bombing Doctrine,Very High,Beavogui,x
537094,Head of State,Herbert Christian Bankole-Bright,1936,1964,1999,4,Die-hard Reformer,Very High,unknown,x
537095,Head of Government,Herbert Christian Bankole-Bright,1936,1964,1999,4,Ambitious Union Boss,Very High,unknown,x
537096,Foreign Minister,Henry Josiah Lightfoot Boston,1936,1964,1999,4,Biased Intellectual,Very High,Boston,x
537097,Foreign Minister,Bernard Binlin Dadié,1936,1964,1999,4,iron fisted brute,Very High,Dadié,x
537098,Foreign Minister,Herbert Christian Bankole-Bright,1936,1964,1999,4,The Cloak N Dagger Schemer,Very High,unknown,x
537099,Minister of Armament,Herbert Christian Bankole-Bright,1936,1964,1999,4,Administrative Genius,Very High,unknown,x
537100,Minister of Armament,Ella Koblo Gulama,1941,1964,1999,4,air to ground proponent,Very High,M554022,x
537101,Minister of Armament,John William Campbell,1936,1964,1999,4,Air Superiority Proponent,Very High,unknown,x
537102,Minister of Armament,William John Campbell,1936,1964,1999,4,Battle fleet Proponent,Very High,unknown,x
537103,Minister of Armament,Henry Josiah Lightfoot Boston,1936,1964,1999,4,Theoretical Scientist,Very High,Boston,x
537104,Minister of Armament,Noah Arthur William Cox-George,1936,1964,1999,4,Laissez-Faire Capitalist,Very High,Cox-George,x
537105,Minister of Security,Henry Josiah Lightfoot Boston,1936,1964,1999,4,Silent Lawyer,Very High,Boston,x
537106,Minister of Security,Herbert Christian Bankole-Bright,1936,1964,1999,4,Efficient Sociopath,Very High,unknown,x
537107,Minister of Security,Bernard Binlin Dadié,1936,1964,1999,4,Prince of Terror,Very High,Dadié,x
537108,Minister of Security,Noah Arthur William Cox-George,1936,1964,1999,4,Compassionate Gentleman,Very High,Cox-George,x
537109,Head of Military Intelligence,Bernard Binlin Dadié,1936,1964,1999,4,Political Specialist,Very High,Dadié,x
537110,Head of Military Intelligence,Henry Josiah Lightfoot Boston,1936,1964,1999,4,Technical Specialist,Very High,Boston,x
537111,Head of Military Intelligence,Herbert Christian Bankole-Bright,1936,1964,1999,4,Dismal Enigma,Very High,unknown,x
537112,Chief of Staff,Jean-Baptiste Mockey,1936,1964,1999,4,School of Defence,Very High,Mockey,x
537113,Chief of Staff,Ella Koblo Gulama,1941,1964,1999,4,School of Manoeuvre,Very High,M554022,x
537114,Chief of Army,Jean-Baptiste Mockey,1936,1964,1999,4,Static Defence Doctrine,Very High,Mockey,x
537115,Chief of Army,Ella Koblo Gulama,1941,1964,1999,4,Elastic Defence Doctrine,Very High,M554022,x
537116,Chief of Navy,William John Campbell,1936,1964,1999,4,Decisive Naval Battle Doctrine,Very High,unknown,x
537117,Chief of Navy,Loubo Augustin Djessou,1937,1964,1999,4,Base Control Doctrine,Very High,Djessou,x
537118,Chief of Air Force,Ella Koblo Gulama,1941,1964,1999,4,Army Aviation Doctrine,Medium,M554022,x
537119,Chief of Air Force,Loubo Augustin Djessou,1937,1964,1999,4,Vertical Envelopment Doctrine,Very High,Djessou,x
537120,Chief of Air Force,John William Campbell,1936,1964,1999,4,Air Superiority Doctrine,Very High,unknown,x
537121,Head of State,H.R.M. Usman IV,1936,1964,1999,7,Powerhungry Demagogue,High,unknown,x
537122,Head of State,H.R.M. Sewa Saio,1936,1964,1999,7,Ruthless Powermonger,High,unknown,x
537123,Head of State,McCormack Charles Farrell Easmon,1936,1964,1999,7,weary stiffneck,Very High,unknown,x
537124,Head of Government,Haidara Kontorfilli,1936,1964,1999,7,spiritual leader,High,Kontorfilli,x
537125,Head of Government,Tamba Songu M'briwa,1936,1964,1999,7,corporate suit,High,M'briwa,x
537126,Head of Government,McCormack Charles Farrell Easmon,1936,1964,1999,7,backroom backstabber,Very High,unknown,x
537127,Foreign Minister,Mohammed Sanusi Mustapha,1941,1964,1999,7,Apologetic Clerk,Very High,M554018,x
537128,Foreign Minister,McCormack Charles Farrell Easmon,1936,1964,1999,7,The Cloak N Dagger Schemer,Very High,unknown,x
537129,Foreign Minister,Soulemayne Kante,1942,1964,1999,7,Ideological Crusader,Very High,Kante,x
537130,Foreign Minister,Haidara Kontorfilli,1936,1964,1999,7,Biased Intellectual,Very High,Kontorfilli,x
537131,Foreign Minister,Abdul Injai,1936,1964,1999,7,General Staffer,Very High,Injai,x
537132,Foreign Minister,Banja Tejan-sie,1937,1964,1999,7,Great Compromiser,Very High,M554014,x
537133,Foreign Minister,Christian Alusine Kamara-Taylor,1937,1964,1999,7,iron fisted brute,Very High,Kamara-Taylor,x
537134,Minister of Armament,Mohammed Sanusi Mustapha,1941,1964,1999,7,Administrative Genius,Very High,M554018,x
537135,Minister of Armament,Haidara Kontorfilli,1936,1964,1999,7,Theoretical Scientist,Very High,Kontorfilli,x
537136,Minister of Armament,Abdul Injai,1936,1964,1999,7,Military Entrepreneur,Very High,Injai,x
537137,Minister of Armament,Rafiji Manareh,1936,1964,1999,7,Tank Proponent,Very High,M554019,x
537138,Minister of Armament,Abdoulaye Touré,1940,1964,1999,7,Air Superiority Proponent,Very High,Touré,x
537139,Minister of Armament,Sékou Sanogo,1941,1964,1999,7,Infantry Proponent,Very High,Sanogo,x
537140,Minister of Armament,Alioune Dramé,1941,1964,1999,7,Strategic Air Proponent,Very High,unknown,x
537141,Minister of Armament,Banja Tejan-sie,1937,1964,1999,7,Resource Industrialist,Medium,M554014,x
537142,Minister of Armament,Alpha Oumar Barry,1942,1964,1999,7,Battle fleet Proponent,Very High,Barry,x
537143,Minister of Armament,Ali Dausy Wurie,1936,1964,1999,7,Corrupt Kleptocrat,Very High,Wurie,x
537144,Minister of Armament,Edward Wilmot Blyden III,1938,1964,1999,7,Laissez-Faire Capitalist,Very High,Blyden,x
537145,Minister of Armament,Ibrahima Barry,1943,1964,1999,7,Submarine Proponent,Very High,Barry2,x
537146,Minister of Armament,N'Famara Keïta,1944,1964,1999,7,air to ground proponent,Very High,unknown,x
537147,Minister of Armament,Saifoulaye Diallo,1943,1964,1999,7,air to sea proponent,Very High,Diallo1,x
537148,Minister of Security,Banja Tejan-sie,1937,1964,1999,7,Crime Fighter,Very High,M554014,x
537149,Minister of Security,Soulemayne Kante,1942,1964,1999,7,Man of the People,Very High,Kante,x
537150,Minister of Security,Edward Wilmot Blyden III,1938,1964,1999,7,Efficient Sociopath,Very High,Blyden,x
537151,Minister of Security,Christian Alusine Kamara-Taylor,1937,1964,1999,7,Prince of Terror,Very High,Kamara-Taylor,x
537152,Minister of Security,Haidara Kontorfilli,1936,1964,1999,7,Silent Lawyer,Very High,Kontorfilli,x
537153,Minister of Security,Ali Dausy Wurie,1936,1964,1999,7,Crooked Kleptocrat,Very High,Wurie,x
537154,Minister of Security,Mohammed Sanusi Mustapha,1941,1964,1999,7,Compassionate Gentleman,Very High,M554018,x
537155,Minister of Security,McCormack Charles Farrell Easmon,1936,1964,1999,7,Back Stabber,Very High,unknown,x
537156,Head of Military Intelligence,McCormack Charles Farrell Easmon,1936,1964,1999,7,Political Specialist,Very High,unknown,x
537157,Head of Military Intelligence,Haidara Kontorfilli,1936,1964,1999,7,Technical Specialist,Very High,Kontorfilli,x
537158,Head of Military Intelligence,Ali Dausy Wurie,1936,1964,1999,7,Dismal Enigma,Very High,Wurie,x
537159,Head of Military Intelligence,Abdul Injai,1936,1964,1999,7,Logistics Specialist,Very High,Injai,x
537160,Head of Military Intelligence,Banja Tejan-sie,1937,1964,1999,7,Industrial Specialist,Very High,M554014,x
537161,Head of Military Intelligence,Yacine Diallo,1936,1964,1999,7,Naval Intelligence Specialist,Very High,Diallo2,x
537162,Chief of Staff,Abdul Injai,1936,1964,1999,7,School of Psychology,Very High,Injai,x
537163,Chief of Staff,Sékou Sanogo,1941,1964,1999,7,School of Mass Combat,Very High,Sanogo,x
537164,Chief of Staff,Rafiji Manareh,1936,1964,1999,7,School of Fire Support,Medium,M554019,x
537165,Chief of Staff,David Lansana,1942,1964,1999,7,School of Defence,Very High,Lansana,x
537166,Chief of Staff,N'Famara Keïta,1944,1964,1999,7,School of Manoeuvre,Very High,unknown,x
537167,Chief of Army,Abdul Injai,1936,1964,1999,7,Guns and Butter Doctrine,Very High,Injai,x
537168,Chief of Army,Sékou Sanogo,1941,1964,1999,7,Decisive Battle Doctrine,Very High,Sanogo,x
537169,Chief of Army,Rafiji Manareh,1936,1964,1999,7,Armoured Spearhead Doctrine,Very High,M554019,x
537170,Chief of Army,David Lansana,1942,1964,1999,7,Static Defence Doctrine,Very High,Lansana,x
537171,Chief of Army,N'Famara Keïta,1944,1964,1999,7,Elastic Defence Doctrine,Very High,unknown,x
537172,Chief of Navy,Ibrahima Barry,1943,1964,1999,7,Indirect Approach Doctrine,Very High,Barry2,x
537173,Chief of Navy,Amadu Wurie,1936,1964,1999,7,Base Control Doctrine,Medium,M554021,x
537174,Chief of Navy,Alpha Oumar Barry,1942,1964,1999,7,Decisive Naval Battle Doctrine,Very High,Barry,x
537175,Chief of Navy,Yacine Diallo,1936,1964,1999,7,Open Seas Doctrine,Very High,Diallo2,x
537176,Chief of Navy,Saifoulaye Diallo,1943,1964,1999,7,Power Projection Doctrine,Very High,Diallo1,x
537177,Chief of Air Force,N'Famara Keïta,1944,1964,1999,7,Army Aviation Doctrine,Very High,unknown,x
537178,Chief of Air Force,Saifoulaye Diallo,1943,1964,1999,7,Naval Aviation Doctrine,Very High,Diallo1,x
537179,Chief of Air Force,Abdoulaye Touré,1940,1964,1999,7,Air Superiority Doctrine,Very High,Touré,x
537180,Chief of Air Force,Alioune Dramé,1941,1964,1999,7,Carpet Bombing Doctrine,Very High,unknown,x
537181,Chief of Air Force,Amadu Wurie,1936,1964,1999,7,Vertical Envelopment Doctrine,Very High,M554021,x
537182,Head of State,Edwin James Barclay,1936,1964,1999,6,Barking Buffoon,High,M69001,x
537183,Head of State,William Vacanarat Shadrach Tubman,1940,1964,1999,6,Ruthless Powermonger,High,M69032,x
537184,Head of State,Alford Russ,1936,1964,1999,6,Ruthless Powermonger,Medium,LIB_alford_russ,x
537185,Head of Government,Edwin James Barclay,1936,1964,1999,6,Happy Amateur,High,M69001,x
537186,Head of Government,William Vacanarat Shadrach Tubman,1940,1964,1999,6,Silent Workhorse,High,M69032,x
537187,Head of Government,Alford Russ,1936,1964,1999,6,Old General,Medium,LIB_alford_russ,x
537188,Foreign Minister,Frank Emmanuel Tolbert,1936,1964,1999,6,Apologetic Clerk,Very High,unknown,x
537189,Foreign Minister,William Vacanarat Shadrach Tubman,1936,1964,1999,6,The Cloak N Dagger Schemer,Very High,M69032,x
537190,Foreign Minister,Lawrence Mitchell,1936,1964,1999,6,Great Compromiser,Very High,unknown,x
537191,Foreign Minister,Gabriel Lafayette Dennis,1936,1964,1999,6,Iron Fisted Brute,Medium,M69040,x
537192,Minister of Armament,George S. Padmore,1936,1964,1999,6,Tank Proponent,Very High,GeorgeSPadmore,x
537193,Minister of Armament,F. E. R. Johnson,1936,1964,1999,6,Air Superiority Proponent,Very High,FERJohnson,x
537194,Minister of Armament,Alford Russ,1936,1964,1999,6,Infantry Proponent,Very High,LIB_alford_russ,x
537195,Minister of Armament,J. A. Railey,1936,1964,1999,6,Strategic Air Proponent,Very High,JARailey,x
537196,Minister of Armament,Van Gibson,1936,1964,1999,6,Battle fleet Proponent,Very High,VanGibson,x
537197,Minister of Armament,William Vacanarat Shadrach Tubman,1936,1964,1999,6,Corrupt Kleptocrat,Medium,M69032,x
537198,Minister of Armament,James F. Cooper,1936,1964,1999,6,Submarine Proponent,Very High,JamesFCooper,x
537199,Minister of Armament,Ashford Sims,1936,1964,1999,6,air to ground proponent,Very High,AshfordSims,x
537200,Minister of Armament,James D. Jones,1936,1964,1999,6,air to sea proponent,Very High,JamesDJones,x
537201,Minister of Security,Frank Emmanuel Tolbert,1936,1964,1999,6,Efficient Sociopath,Very High,unknown,x
537202,Minister of Security,Gabriel Lafayette Dennis,1936,1964,1999,6,Prince of Terror,Medium,M69040,x
537203,Minister of Security,William Vacanarat Shadrach Tubman,1936,1964,1999,6,Silent Lawyer,Very High,M69032,x
537204,Minister of Security,Lawrence Mitchell,1936,1964,1999,6,Compassionate Gentleman,Very High,unknown,x
537205,Minister of Security,Edwin James Barclay,1936,1964,1999,6,Back Stabber,Medium,M69001,x
537206,Head of Military Intelligence,William Richard Tolbert; Jr.,1936,1964,1999,6,Technical Specialist,Medium,M69064,x
537207,Head of Military Intelligence,William Vacanarat Shadrach Tubman,1936,1964,1999,6,Dismal Enigma,Very High,M69032,x
537208,Head of Military Intelligence,Frank Emmanuel Tolbert,1936,1964,1999,6,Naval Intelligence Specialist,Very High,unknown,x
537209,Chief of Staff,Alford Russ,1936,1964,1999,6,School of Mass Combat,Medium,LIB_alford_russ,x
537210,Chief of Staff,George S. Padmore,1936,1964,1999,6,School of Fire Support,Very High,GeorgeSPadmore,x
537211,Chief of Staff,Ashford Sims,1936,1964,1999,6,School of Psychology,Very High,AshfordSims,x
537212,Chief of Army,Alford Russ,1936,1964,1999,6,Decisive Battle Doctrine,Medium,LIB_alford_russ,x
537213,Chief of Army,George S. Padmore,1936,1964,1999,6,Armoured Spearhead Doctrine,Very High,GeorgeSPadmore,x
537214,Chief of Army,Ashford Sims,1936,1964,1999,6,Guns and Butter Doctrine,Very High,AshfordSims,x
537215,Chief of Navy,James F. Cooper,1936,1964,1999,6,Indirect Approach Doctrine,Very High,JamesFCooper,x
537216,Chief of Navy,William H. Carter,1936,1964,1999,6,Base Control Doctrine,Very High,WilliamHCarter,x
537217,Chief of Navy,Van Gibson,1936,1964,1999,6,Decisive Naval Battle Doctrine,Very High,VanGibson,x
537218,Chief of Navy,Frank Emmanuel Tolbert,1936,1964,1999,6,Open Seas Doctrine,Very High,unknown,x
537219,Chief of Navy,James D. Jones,1936,1964,1999,6,Power Projection Doctrine,Very High,JamesDJones,x
537220,Chief of Air Force,Ashford Sims,1936,1964,1999,6,Army Aviation Doctrine,Very High,AshfordSims,x
537221,Chief of Air Force,James D. Jones,1936,1964,1999,6,Naval Aviation Doctrine,Very High,JamesDJones,x
537222,Chief of Air Force,F. E. R. Johnson,1936,1964,1999,6,Air Superiority Doctrine,Very High,FERJohnson,x
537223,Chief of Air Force,J. A. Railey,1936,1964,1999,6,Carpet Bombing Doctrine,Very High,JARailey,x
537224,Chief of Air Force,William H. Carter,1936,1964,1999,6,Vertical Envelopment Doctrine,Very High,WilliamHCarter,x
537225,Head of State,Momolu Massaquoi,1936,1964,1999,7,Stern Imperialist,Low,LIB_momolu_massaquoi,x
537226,Head of State,Louis Arthur Grimes,1936,1964,1999,7,Die-hard Reformer,Low,LIB_louis_arthur_grimes,x
537227,Head of State,Al-Haj Massaquoi,1936,1964,1999,7,Ruthless Powermonger,Low,LIB_alhaj_massaquoi,x
537228,Head of State,James Alexander Adolphus Pierre,1936,1964,1999,7,Barking Buffoon,Medium,LIB_james_pierre,x
537229,Head of Government,Momolu Massaquoi,1936,1964,1999,7,Flamboyant Tough Guy,Low,LIB_momolu_massaquoi,x
537230,Head of Government,Louis Arthur Grimes,1936,1964,1999,7,Silent Workhorse,Low,LIB_louis_arthur_grimes,x
537231,Head of Government,Al-Haj Massaquoi,1936,1964,1999,7,Political Protege,Low,LIB_alhaj_massaquoi,x
537232,Head of Government,James Alexander Adolphus Pierre,1936,1964,1999,7,Backroom Backstabber,Medium,LIB_james_pierre,x
537233,Foreign Minister,Momolu Massaquoi,1936,1964,1999,7,Ideological Crusader,Low,LIB_momolu_massaquoi,x
537234,Foreign Minister,Joseph Rudolph Grimes,1945,1964,1999,7,Biased Intellectual,Medium,M69005,x
537235,Foreign Minister,Momolu Dukuly,1936,1964,1999,7,General Staffer,Low,LIB_momolu_dukuly,x
537236,Minister of Armament,Solomon Carter Fuller,1936,1964,1999,7,Military Entrepreneur,Medium,LIB_solomon_carter_fuller,x
537237,Minister of Armament,Momolu Dukuly,1936,1964,1999,7,laissez-faire capitalist,Medium,LIB_momolu_dukuly,x
537238,Minister of Armament,Joseph Rudolph Grimes,1945,1964,1999,7,Theoretical Scientist,Medium,M69005,x
537239,Minister of Armament,Louis Arthur Grimes,1936,1964,1999,7,Administrative Genius,Low,LIB_louis_arthur_grimes,x
537240,Minister of Armament,Henry W. Grimes,1940,1964,1999,7,Resource Industrialist,Very High,unknown,x
537241,Minister of Security,William Wadé Harris,1936,1964,1999,7,Man of the People,Medium,LIB_william_wade_harris,x
537242,Minister of Security,Joseph Rudolph Grimes,1945,1964,1999,7,Crooked Kleptocrat,Medium,M69005,x
537243,Minister of Security,Al-Haj Massaquoi,1936,1964,1999,7,Crime Fighter,Low,LIB_alhaj_massaquoi,x
537244,Head of Military Intelligence,William Wadé Harris,1936,1964,1999,7,Political Specialist,Medium,LIB_william_wade_harris,x
537245,Head of Military Intelligence,Momolu Dukuly,1936,1964,1999,7,Logistics Specialist,Very High,LIB_momolu_dukuly,x
537246,Head of Military Intelligence,Henry W. Grimes,1940,1964,1999,7,Industrial Specialist,Very High,unknown,x
537247,Chief of Staff,Momolu Dukuly,1936,1964,1999,7,School of Defence,Medium,LIB_momolu_dukuly,x
537248,Chief of Staff,Solomon Carter Fuller,1936,1964,1999,7,School of Manoeuvre,Medium,LIB_solomon_carter_fuller,x
537249,Chief of Army,Momolu Dukuly,1936,1964,1999,7,Static Defence Doctrine,Medium,LIB_momolu_dukuly,x
537250,Chief of Army,Solomon Carter Fuller,1936,1964,1999,7,Elastic Defence Doctrine,Medium,LIB_solomon_carter_fuller,x
537251,Head of State,Clarence Lorenzo Simpson,1936,1964,1999,5,Popular Figurehead,Medium,M69003,x
537252,Head of State,William Oliver Davies-Bright,1936,1964,1999,5,Popular Figurehead,Medium,unknown,x
