GER,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
321,Minister of Armament,Heinz Starke,5,Theoretical Scientist,M506019
328,Chief of Air Force,Herrmann Ehlers,5,Naval Aviation Doctrine,M506038
360,Chief of Air Force,Herrmann Ehlers,5,Naval Aviation Doctrine,M506038
362,Chief of Air Force,Herrmann Ehlers,5,Naval Aviation Doctrine,M506038
301,Chief of Air Force,Josef Kammhuber,5,Army Aviation Doctrine,L448
308,Chief of Staff,Josef Kammhuber,5,School of Psychology,L448
309,Chief of Army,Karl Heinrich Lübke,5,Guns and Butter Doctrine,M506033
307,Minister of Security,Reinhold Maier,5,Compassionate Gentleman,M506024
312,Head of State,Theodor Heuss,5,Die-hard Reformer,M38
315,Foreign Minister,Theodor Heuss,5,Apologetic Clerk,M38
317,Foreign Minister,Thomas Dehler,5,Apologetic Clerk,M506015
269,Head of Government,Walther von Rathenau,5,Corporate Suit,kaiserreich walthervonrathennau
270,Minister of Armament,Walther von Rathenau,5,Administrative Genius,kaiserreich walthervonrathennau
302,Head of State,Walther von Rathenau,5,Benevolent Gentleman,kaiserreich walthervonrathennau
303,Head of Government,Wilhelm Külz,5,Ambitious Union Boss,kaiserreich wilhelmkuelz
304,Foreign Minister,Wilhelm Roepke,5,Biased Intellectual,kaiserreich wilhelmroepke
332,Minister of Armament,Adam Stegerwald,6,Laissez-Faire Capitalist,kaiserreich adamstegerwald
340,Head of State,Adam Stegerwald,6,Die-hard Reformer,kaiserreich adamstegerwald
344,Head of Government,Adam Stegerwald,6,Ambitious Union Boss,kaiserreich adamstegerwald
359,Chief of Air Force,Alfred Bülowius,6,Air Superiority Doctrine,L431
3,Foreign Minister,Constantin von Neurath,6,Great Compromiser,M3
200,Chief of Navy,Erich Bey,6,Open Seas Doctrine,M200
311,Chief of Air Force,Franz Josef Strauss,6,Vertical Envelopment Doctrine,M506027
333,Head of Military Intelligence,Franz Josef Strauss,6,Industrial Specialist,M506027
346,Minister of Armament,Fritz Schäffer,6,Laissez-Faire Capitalist,M103
382,Head of Government,Georg von Hertling,6,Backroom Backstabber,3437
354,Minister of Security,Gustav Heinemann,6,Silent Lawyer,M130
248,Minister of Security,Hans Dohnanyi,6,Silent Lawyer,M248
249,Head of Military Intelligence,Hans Dohnanyi,6,Political Specialist,M248
355,Head of Military Intelligence,Hans Ehard,6,Political Specialist,M149
247,Head of Military Intelligence,Hans Gisevius,6,Dismal Enigma,M247
170,Chief of Staff,Hans Speidel,6,School of Mass Combat,M170
189,Chief of Army,Hans Speidel,6,Decisive Battle Doctrine,M170
330,Head of Government,Heinrich Brüning,6,Silent Workhorse,kaiserreich heinrichbruning
339,Head of State,Heinrich Brüning,6,Weary Stiffneck,kaiserreich heinrichbruning
350,Minister of Armament,Heinrich Brüning,6,Balanced Budget Economy,kaiserreich heinrichbruning
246,Minister of Security,Helmuth von Moltke,6,Compassionate Gentleman,M246
337,Chief of Navy,Herrmann Mootz,6,Indirect Approach Doctrine,L506297
334,Minister of Security,Karl Arnold,6,Crime Fighter,M129
50,Head of Government,Konrad Adenauer,6,Silent Workhorse,M50
72,Foreign Minister,Konrad Adenauer,6,Great Compromiser,M50
331,Foreign Minister,Konrad Adenauer,6,Great Compromiser,M50
341,Head of Government,Konrad Adenauer,6,Silent Workhorse,M50
342,Head of Government,Konrad Adenauer,6,Corporate Suit,M50
386,Head of Government,Kuno von Westarp,6,Silent Workhorse,kaiserreichvonwestarp
104,Minister of Armament,Ludwig Erhard,6,Administrative Genius,M104
347,Minister of Armament,Ludwig Erhard,6,Administrative Genius,M104
329,Head of State,Ludwig Kaas,6,Autocratic Charmer,kaiserreich ludwigkaas
343,Head of Government,Ludwig Kaas,6,Happy Amateur,kaiserreich ludwigkaas
345,Foreign Minister,Ludwig Kaas,6,Ideological Crusader,kaiserreich ludwigkaas
43,Minister of Armament,Ludwig Mies van der Rohe,6,Construction Magnate,GER_Rohe
358,Chief of Staff,Oskar Hansen,6,School of Manoeuvre,L118
259,Head of State,Paul von Lettow-Vorbeck,6,Benevolent Gentleman,kaiserreich lettowvorbeckvonpaul
260,Head of Government,Paul von Lettow-Vorbeck,6,The Lion Of Africa,kaiserreich lettowvorbeckvonpaul
261,Chief of Staff,Paul von Lettow-Vorbeck,6,School of Psychology,kaiserreich lettowvorbeckvonpaul
262,Chief of Army,Paul von Lettow-Vorbeck,6,Doctrine of Autonomy,kaiserreich lettowvorbeckvonpaul
150,Head of Military Intelligence,Reinhard Gehlen,6,Dismal Enigma,M150
353,Minister of Security,Robert Lehr,6,Man of the People,M506005
368,Head of State,S.K.M. Ernest August I von Hannover,6,Popular Figurehead,Ernst_August_III
380,Head of State,S.K.M. Felix I von Habsburg-Lothringen,6,Benevolent Gentleman,kai_felhablot
364,Head of State,S.K.M. Friedrich Wilhelm V von Romanov,6,Russian Aristocrat,Friedrich Wilhelm V
366,Head of State,S.K.M. Ruprecht I von Bayern,6,Popular Figurehead,RuprechtI
188,Chief of Army,Theodor Blank,6,Armoured Spearhead Doctrine,M188
356,Head of Military Intelligence,Theodor Blank,6,Political Specialist,M506006
38,Head of State,Theodor Heuss,6,Die-hard Reformer,M38
71,Foreign Minister,Theodor Heuss,6,Apologetic Clerk,M38
58,Foreign Minister,Wilhelm Solf,6,Great Compromiser,Kaiserreich Solf
168,Chief of Staff,Adolf Heusinger,7,School of Mass Combat,M168
46,Head of Government,Albert Dufour-Feronce,7,Flamboyant Tough Guy,M46
65,Foreign Minister,Albert Dufour-Feronce,7,Great Compromiser,M46
117,Minister of Security,Alfred Hugenberg,7,Media Magnate,M117
245,Minister of Armament,Alfred Hugenberg,7,Construction Magnate,M117
379,Head of Government,Alfred von Tirpitz,7,Old Admiral,1454
97,Minister of Armament,Alfried Krupp,7,Balanced Budget Economy,M97
48,Head of Government,Carl Friedrich Goerdeler,7,Happy Amateur,M12
99,Minister of Armament,Carl Friedrich Goerdeler,7,Mixed Economy,M12
208,Chief of Air Force,Carl Friedrich von Siemens,7,Air Superiority Doctrine,M208
70,Foreign Minister,Carl Melchior,7,Ideological Crusader,M70
144,Head of Military Intelligence,Carl von Schubert,7,Logistics Specialist,M144
102,Minister of Armament,Claus Schenck von Stauffenberg,7,Reformer,M102
198,Chief of Navy,Conrad Albrecht,7,Open Seas Doctrine,M198
229,Chief of Staff,Erich von Manstein,7,School of Manoeuvre,L324
116,Minister of Security,Ernst Trendelenburg,7,Compassionate Gentleman,M116
209,Chief of Air Force,Ernst Udet,7,Army Aviation Doctrine,M20
165,Chief of Staff,Erwin Rommel,7,School of Manoeuvre,M165
162,Chief of Staff,Erwin von Witzleben,7,School of Fire Support,M17
184,Chief of Army,Erwin von Witzleben,7,Static Defence Doctrine,M17
372,Head of Government,Fedor von Bock,7,Old General,FedorvonBock
276,Chief of Navy,Felix Graf von Luckner,7,Indirect Approach Doctrine,Kaiserreich Luckner
47,Head of Government,Franz von Papen,7,Happy Amateur,M47
67,Foreign Minister,Franz von Papen,7,Great Compromiser,M67
115,Minister of Security,Franz von Papen,7,Compassionate Gentleman,M47
142,Head of Military Intelligence,Franz von Rintelen,7,Political Specialist,Kaiserreich von Rintelen
68,Foreign Minister,Friedrich-Werner von der Schulenberg,7,Ideological Crusader,M68
159,Chief of Staff,Fritz Bayerlein,7,School of Psychology,M159
90,Minister of Armament,Fritz Thyssen,7,Steel Magnate,M90
126,Minister of Security,Fritz von Schulenburg,7,Compassionate Gentleman,M126
147,Head of Military Intelligence,Georg Hansen,7,Technical Specialist,M147
98,Minister of Armament,Georg Thomas,7,Theoretical Scientist,M98
275,Chief of Army,Georg von Bruchmüller,7,Elastic Defence Doctrine,Kaiserreich Bruchmüller
370,Head of State,Gerd von Rundstedt,7,Resigned Generalissimo,Rundstedt
231,Chief of Army,Günther von Kluge,7,Decisive Battle Doctrine,L311
199,Chief of Navy,Gustav Kieseritzky,7,Base Control Doctrine,M199
251,Minister of Armament,Gustav Krupp,7,Steel Magnate,M251
146,Head of Military Intelligence,Hans Oster,7,Political Specialist,M146
272,Minister of Armament,Hans von Blumenthal,7,Battle Fleet Proponent,kaiserreich HansvonBlumenthal
148,Head of Military Intelligence,Heinrich Albert,7,Political Specialist,Kaiserreich Heinrich Albert
278,Head of Government,Heinrich Brüning,7,Silent Workhorse,kaiserreich heinrichbruning
118,Minister of Security,Heinrich Müller,7,Efficient Sociopath,M26
91,Minister of Armament,Heinz Guderian,7,Reformer,M157
157,Chief of Staff,Heinz Guderian,7,School of Manoeuvre,M157
127,Minister of Security,Henning von Tresckow,7,Crime Fighter,M127
10,Chief of Air Force,Hermann Köhl,7,Army Aviation Doctrine,Kaiserreich hermann koehl
77,Minister of Armament,Hjalmar Schacht,7,Bank President,M14
140,Head of Military Intelligence,Hjalmar Schacht,7,Industrial Specialist,M14
49,Head of Government,Johann Schwerin von Krosigk,7,Silent Workhorse,M49
59,Foreign Minister,Johann Schwerin von Krosigk,7,Apologetic Clerk,M49
63,Foreign Minister,Johann Schwerin von Krosigk,7,Apologetic Clerk,M49
85,Minister of Armament,Johann Schwerin von Krosigk,7,Resource Industrialist,M49
121,Minister of Security,Johann von Bernstorff,7,Back Stabber,M121
101,Minister of Armament,Johannes Popitz,7,Resource Industrialist,M101
125,Minister of Security,Josef Wirmer,7,Man of the People,M125
351,Minister of Security,Josef Wirmer,7,Man of the People,M125
95,Minister of Armament,Julius Curtius,7,Resource Industrialist,M95
138,Head of Military Intelligence,Karl Boy-Ed,7,Technical Specialist,Kaiserreich Boy-Ed
122,Minister of Security,Karl Sack,7,Silent Lawyer,M122
137,Head of Military Intelligence,Kurt Ludwig,7,Technical Specialist,Kaiserreich KLudwig
45,Head of Government,Kurt von Schleicher,7,Old General,kaiserreich schleichervonkurt
263,Head of Government,Kurt von Schleicher,7,Silent Workhorse,kaiserreich schleichervonkurt
264,Minister of Security,Kurt von Schleicher,7,Silent Lawyer,kaiserreich schleichervonkurt
7,Chief of Staff,Ludwig Beck,7,School of Manoeuvre,M7
34,Head of State,Ludwig Beck,7,Resigned Generalissimo,M7
60,Foreign Minister,Ludwig Kastl,7,Biased Intellectual,M60
253,Chief of Navy,Ludwig von Reuter,7,Power Projection Doctrine,kaiserreich reutervonludwig
241,Minister of Armament,Lutz von Schwerin-Krosigk,7,Planned Economy Proponent,M241
273,Chief of Air Force,Manfred Freiherr von Richthofen,7,The Red Baron,kaiserreich manfredvonrichtofen
274,Head of Government,Manfred Freiherr von Richthofen,7,Old Airmarshal,kaiserreich manfredvonrichtofen
62,Foreign Minister,Oskar Meissner,7,The Cloak N Dagger Schemer,M44
141,Head of Military Intelligence,Oskar von Hindenburg,7,Political Specialist,M33
44,Head of Government,Otto Meissner,7,Naive Optimist,M44
96,Minister of Armament,Paul Lejeune-Jung,7,Industrial Chemist,M96
250,Minister of Security,Rudolf Diels,7,Crime Fighter,M250
375,Head of State,S.K.M. Ernest August I von Hannover,7,Popular Figurehead,Ernst_August_III
381,Head of State,S.K.M. Felix I von Habsburg-Lothringen,7,Benevolent Gentleman,kai_felhablot
373,Head of State,S.K.M. Friedrich Wilhelm V von Romanov,7,Russian Aristocrat,Friedrich Wilhelm V
374,Head of State,S.K.M. Ruprecht I von Bayern,7,Popular Figurehead,RuprechtI
36,Head of State,S.K.M. Wilhelm II von Preussen,7,Weltkrieg Emperor,kaiserreich wilhelmiih
383,Head of State,S.K.M. Wilhelm II von Preussen,7,Stern Imperialist,3451
37,Head of State,S.K.M. Wilhelm III von Preussen,7,Moderate Kaiser,M37
280,Head of State,S.K.M. Wilhelm IV von Preussen,7,Benevolent Gentleman,kaiserreichwilhelmIV
385,Chief of Staff,Theodor von Hippel,7,School of Psychology,kaiserreichhippel
64,Foreign Minister,Thomas Mann,7,General Staffer,M64
387,Foreign Minister,Ulrich von Hassel,7,Biased Intellectual,M13
388,Head of Government,Ulrich von Hassel,7,Flamboyant Tough Guy,M13
100,Minister of Armament,Walter Gropius,7,Administrative Genius,GER_Gropius
11,Head of Military Intelligence,Walter Nicolai,7,Political Specialist,kaiserreichwalternicolai
124,Minister of Security,Walter Schellenberg,7,Efficient Sociopath,M124
185,Chief of Army,Walter von Lüttwitz,7,Decisive Battle Doctrine,M185
234,Chief of Navy,Walter Warzecha,7,Indirect Approach Doctrine,L891
169,Chief of Staff,Walther von Seydlitz-Kurzbach,7,School of Manoeuvre,L251
8,Chief of Army,Werner von Fritsch,7,Armoured Spearhead Doctrine,M8
266,Minister of Armament,Wilhelm Groener,7,Military Entrepreneur,kaiserreich groenerwilhelm
267,Chief of Staff,Wilhelm Groener,7,School of Psychology,M166
210,Chief of Air Force,Wilhelm Oxenius,7,Naval Aviation Doctrine,M210
232,Chief of Army,Wilhelm Ritter von Thoma,7,Armoured Spearhead Doctrine,L345
265,Chief of Navy,Wilhelm Souchon,7,Open Seas Doctrine,kaiserreich souchonwilhelm
123,Minister of Security,Wilhelm von Gayl,7,Secret Police Chief,M15
66,Foreign Minister,Wilhelm Waetzoldt,7,Apologetic Clerk,M66
207,Chief of Air Force,Albert Kesselring,8,Vertical Envelopment Doctrine,M207
195,Chief of Navy,Alfred Saalwächter,8,Open Seas Doctrine,M195
120,Minister of Security,Arthur Axmann,8,Man of the People,M120
119,Minister of Security,Arthur Nebe,8,Secret Police Chief,M119
254,Chief of Staff,August Von Mackensen,8,School of Fire Support,kaiserreich mackensenvonaugust
255,Chief of Army,August Von Mackensen,8,Decisive Battle Doctrine,kaiserreich mackensenvonaugust
256,Head of Government,August Von Mackensen,8,Respected War Hero,kaiserreich mackensenvonaugust
206,Chief of Air Force,Erhard Milch,8,Air Superiority Doctrine,M206
160,Chief of Staff,Erich Hoepner,8,School of Fire Support,M18
183,Chief of Army,Erich Hoepner,8,Armoured Spearhead Doctrine,M18
182,Chief of Army,Fedor von Bock,8,Decisive Battle Doctrine,M182
12,Head of Military Intelligence,Ferdinand von Bredow,8,Political Specialist,kaiserreichferdinandvonbredow
223,Minister of Security,Franz Gürtner,8,Silent Lawyer,M223
155,Chief of Staff,Franz Halder,8,School of Fire Support,M155
94,Minister of Armament,Fritz Tornow,8,Military Entrepreneur,M94
227,Minister of Security,Hans Frank,8,Prince of Terror,M227
257,Chief of Staff,Hans von Seeckt,8,School of Psychology,kaiserreich hansvonseeckt2
258,Chief of Army,Hans von Seeckt,8,Static Defence Doctrine,kaiserreich hansvonseeckt2
193,Chief of Navy,Hans-Georg von Friedeburg,8,Open Seas Doctrine,M93
187,Chief of Army,Hans-Jürgen von Arnim,8,Static Defence Doctrine,L272
82,Minister of Armament,Hans-Jürgen von Blumenthal,8,Reformer,GER_von Blumenthal
224,Minister of Security,Hans-Jürgen von Blumenthal,8,Compassionate Gentleman,GER_von Blumenthal
35,Head of State,Hjalmar Schacht,8,Pig-headed Isolationist,M14
205,Chief of Air Force,Karl Koller,8,Army Aviation Doctrine,M205
175,Chief of Army,Kurt von Hammerstein-Equord,8,Guns and Butter Doctrine,M175
163,Chief of Staff,Kurt Zeitzler,8,School of Defence,M163
33,Head of State,Oskar von Hindenburg,8,Insignificant Layman,M33
112,Minister of Security,Stephanie von Hohenlohe,8,Crooked Kleptocrat,Kaiserreich von Hohenlohe
143,Head of Military Intelligence,Stephanie von Hohenlohe,8,Dismal Enigma,Kaiserreich von Hohenlohe
236,Chief of Air Force,Ulrich Grauert,8,Air Superiority Doctrine,L439
174,Chief of Army,Walther von Brauchitsch,8,Armoured Spearhead Doctrine,M174
6,Head of Military Intelligence,Wilhelm Canaris,8,Dismal Enigma,M6
222,Minister of Armament,Xaver Dorsch,8,Air Superiority Proponent,M222
156,Chief of Staff,Alfred Jodl,9,School of Psychology,M156
56,Foreign Minister,Artur Mahraun,9,Ideological Crusader,GER_Mahraun
110,Minister of Security,Artur Mahraun,9,Secret Police Chief,GER_Mahraun
9,Chief of Navy,Erich Raeder,9,Decisive Naval Battle Doctrine,M9
179,Chief of Army,Erich von Ludendorff,9,Elastic Defence Doctrine,M179
271,Head of Government,Erich von Ludendorff,9,Flamboyant Tough Guy,M179
230,Chief of Staff,Ernst Busch,9,School of Fire Support,L33
220,Minister of Armament,Franz Seldte,9,Military Entrepreneur,M220
214,Head of Government,Franz Xaver Ritter von Epp,9,Old General,M214
219,Minister of Armament,Franz Xaver Ritter von Epp,9,Infantry Proponent,M214
84,Minister of Armament,Franz Xavier-Schwarz,9,Resource Industrialist,M84
78,Minister of Armament,Friedrich Flick,9,Laissez-Faire Capitalist,M78
217,Head of Government,Friedrich Wilhelm Kritzinger,9,Naive Optimist,M217
81,Minister of Armament,Gerhard Rossbach,9,Military Entrepreneur,GER_Rossbach
216,Head of Government,Gregor Strasser,9,Flamboyant Tough Guy,kaiserreich gregorstrasser
221,Minister of Armament,Gregor Strasser,9,Planned Economy Proponent,kaiserreich GregorStrasser
158,Chief of Staff,Hans Krebs,9,School of Defence,M158
93,Minister of Armament,Hans-Georg von Friedeburg,9,Submarine Proponent,M93
136,Head of Military Intelligence,Hans-Georg von Friedeburg,9,Naval Intelligence Specialist,M93
237,Chief of Air Force,Hans-Jürgen Stumpff,9,Army Aviation Doctrine,L471
2,Head of Government,Heinrich Class,9,Flamboyant Tough Guy,GER_Heinrich Class
57,Foreign Minister,Heinrich Class,9,Ideological Crusader,GER_Heinrich Class
76,Minister of Armament,Heinrich Class,9,Planned Economy Proponent,GER_Heinrich Class
111,Minister of Security,Heinrich Müller,9,Prince of Terror,M26
42,Head of Government,Hermann Ehrhardt,9,Old Admiral,GER_Ehrhardt
128,Minister of Security,Hermann Ehrhardt,9,Prince of Terror,GER_Ehrhardt
139,Head of Military Intelligence,Hermann Ehrhardt,9,Naval Intelligence Specialist,GER_Ehrhardt
79,Minister of Armament,Hermann Göring,9,Air to Ground Proponent,M10
203,Chief of Air Force,Hugo Sperrle,9,Carpet Bombing Doctrine,M203
55,Foreign Minister,Joachim von Ribbentrop,9,Iron Fisted Brute,M55
32,Head of State,Karl Dönitz,9,Resigned Generalissimo,M32
192,Chief of Navy,Karl Dönitz,9,Indirect Approach Doctrine,M32
240,Minister of Armament,Karl Dönitz,9,Submarine Proponent,M32
113,Minister of Security,Karl Hanke,9,Back Stabber,M113
89,Minister of Armament,Karl Otto Saur,9,Military Entrepreneur,M89
194,Chief of Navy,Kurt Freiwald,9,Base Control Doctrine,M194
83,Minister of Armament,Max Amann,9,Battle Fleet Proponent,M83
87,Minister of Armament,Oswald Pohl,9,Military Entrepreneur,M87
235,Chief of Air Force,Otto Dessloch,9,Army Aviation Doctrine,L434
114,Minister of Security,Otto Georg Thierack,9,Crime Fighter,M114
5,Minister of Security,Otto von Feldmann,9,Efficient Sociopath,GER_von Feldmann
242,Minister of Security,Paul Giesler,9,Efficient Sociopath,M242
244,Minister of Security,Reinhard Heydrich,9,Prince of Terror,M244
204,Chief of Air Force,Robert Ritter von Greim,9,Air Superiority Doctrine,M204
88,Minister of Armament,Theodor Duesterberg,9,Industrial Chemist,GER_Duesterberg
109,Minister of Security,Viktor Lutze,9,Compassionate Gentleman,M109
226,Minister of Security,Walter Buch,9,Man of the People,M226
252,Minister of Armament,Walter Caspari,9,Infantry Proponent,GER_Caspari
80,Minister of Armament,Walter Funk,9,Resource Industrialist,M80
238,Chief of Staff,Walther von Reichenau,9,School of Fire Support,L334
243,Minister of Security,Werner Naumann,9,Compassionate Gentleman,M243
4,Minister of Armament,Werner von Blomberg,9,Infantry Proponent,M4
180,Chief of Army,Werner von Blomberg,9,Guns and Butter Doctrine,M4
108,Minister of Security,Wilhelm Frick,9,Prince of Terror,M5
176,Chief of Army,Wilhelm Keitel,9,Armoured Spearhead Doctrine,M176
233,Chief of Navy,Wilhelm Marschall,9,Open Seas Doctrine,L407
