USA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
6120,Head of Military Intelligence,Henry J. Kaiser,1936,1964,1999,4,Industrial Specialist,High,M6082,X
6123,Head of Military Intelligence,Adolf Berle,1939,1964,1999,4,Political Specialist,Very High,M6123,X
6124,Head of Military Intelligence,Vincent Astor,1937,1964,1999,4,Dismal Enigma,Very High,M6124,X
6125,Head of Military Intelligence,J. Edgar Hoover,1944,1964,1999,4,Political Specialist,Very High,M6005,X
6126,Head of Military Intelligence,Sidney Souers,1945,1964,1999,3,Naval Intelligence Specialist,Very High,M6126,X
6127,Head of Military Intelligence,Roscoe H. Hillenkoetter,1947,1964,1999,4,Dismal Enigma,Very High,M6127,X
6128,Head of Military Intelligence,William J. Donovan,1940,1964,1999,5,Political Specialist,High,M6128,X
6130,Head of Military Intelligence,Hoyt S. Vandenberg,1942,1964,1999,5,Technical Specialist,High,M6130,X
6131,Head of Military Intelligence,Henry Cabot Lodge,1944,1964,1999,5,Dismal Enigma,High,M6131,X
6132,Head of Military Intelligence,William Leahy,1936,1964,1999,8,Naval Intelligence Specialist,High,Kaiserreich Leahy,X
6133,Head of Military Intelligence,Carl Spaatz,1936,1964,1999,8,Logistics Specialist,Very High,KRSpaatz,X
6134,Head of Military Intelligence,Harry Haywood,1936,1964,1999,1,Dismal Enigma,High,M6026,X
6136,Chief of Staff,George C. Marshall,1939,1964,1999,4,School of Fire Support,High,M6064,X
6137,Chief of Staff,Dwight D. Eisenhower,1942,1964,1999,5,School of Manoeuvre,High,M6137,X
6140,Chief of Staff,George Van Horn Moseley,1936,1964,1999,8,School of Defence,High,M6052,X
6141,Chief of Staff,Hans Amlie,1936,1964,1999,0,School of Defence,High,M6027,X
6143,Chief of Army,David McKenzie Key,1940,1964,1999,3,Static Defence Doctrine,High,M6143,X
6144,Chief of Army,George C. Marshall,1939,1964,1999,4,Decisive Battle Doctrine,High,M6064,X
6145,Chief of Army,Omar N. Bradley,1944,1964,1999,3,Armoured Spearhead Doctrine,High,M6145,X
6147,Chief of Army,Dwight D. Eisenhower,1942,1964,1999,5,Guns and Butter Doctrine,High,M6137,X
6148,Chief of Army,Kenneth Althaus,1936,1964,1999,7,Armoured Spearhead Doctrine,High,M6018,X
6149,Chief of Army,Oliver Law,1936,1964,1999,1,Decisive Battle Doctrine,High,M6149,X
6150,Chief of Army,Steve Nelson,1940,1964,1999,2,Static Defence Doctrine,High,M6150,X
6151,Chief of Army,Robert Merriman,1944,1964,1999,0,Armoured Spearhead Doctrine,High,M6028,X
6153,Chief of Navy,Frank Knox,1941,1964,1999,4,Base Control Doctrine,High,M6048,X
6154,Chief of Navy,Charles Edison,1940,1964,1999,3,Open Seas Doctrine,High,M6154,X
6155,Chief of Navy,James V. Forrestal,1944,1964,1999,4,Decisive Naval Battle Doctrine,High,M6155,X
6156,Chief of Navy,Chester W. Nimitz,1941,1964,1999,4,Power Projection Doctrine,High,M6156,X
6157,Chief of Navy,William C. Bullitt,1947,1964,1999,4,Base Control Doctrine,High,M6157,X
6158,Chief of Navy,William H. Standley,1936,1964,1999,4,Base Control Doctrine,High,M6158,X
6159,Chief of Navy,Harold R. Stark,1939,1964,1999,4,Open Seas Doctrine,High,M6159,X
6160,Chief of Navy,Andrew J. Higgins,1943,1964,1999,5,Base Control Doctrine,High,M6160,X
6161,Chief of Navy,Henry J. Kaiser,1940,1964,1999,5,Open Seas Doctrine,High,M6082,X
6162,Chief of Navy,William D. Leahy,1936,1964,1999,5,Decisive Naval Battle Doctrine,Very High,M6162,X
6163,Chief of Navy,Earnest King,1936,1964,1999,8,Power Projection Doctrine,High,Kaiserreich EarnestKing,X
6164,Chief of Navy,William Leahy,1936,1964,1999,8,Open Seas Doctrine,High,Kaiserreich Leahy,X
6165,Chief of Navy,John Abt,1936,1964,1999,1,Base Control Doctrine,Medium,M6029,X
6167,Chief of Air Force,Henry H. Arnold,1938,1964,1999,5,Carpet Bombing Doctrine,High,M6167,X
6171,Chief of Air Force,Leroy Grumman,1944,1964,1999,5,Naval Aviation Doctrine,High,M6080,X
6172,Chief of Air Force,Edward Rickenbacher,1936,1964,1999,8,Air Superiority Doctrine,Very High,Kaiserreich Rickenbacher 2,X
6173,Chief of Air Force,Nathan B. Forrest III,1940,1964,1999,7,Army Aviation Doctrine,High,M6173,X
6174,Chief of Air Force,Martin J. Monti,1943,1964,1999,8,Naval Aviation Doctrine,High,M6174,X
6175,Chief of Air Force,John Abt,1936,1964,1999,1,Army Aviation Doctrine,Medium,M6029,X
6176,Chief of Staff,William D. Leahy,1941,1964,1999,5,School of Manoeuvre,Very High,M6162,X
6177,Minister of Armament,Averell H. Harriman,1946,1964,1999,3,Resource Industrialist,High,M6177,X
6178,Chief of Navy,Thomas C. Hart,1940,1964,1999,5,Decisive Naval Battle Doctrine,Medium,L60417,X
6179,Chief of Air Force,Carl A. Spaatz,1942,1964,1999,5,Army Aviation Doctrine,Very High,L60557,X
6180,Chief of Air Force,Ira C. Eaker,1944,1964,1999,4,Carpet Bombing Doctrine,Very High,L60506,X
6181,Chief of Staff,Douglas MacArthur,1936,1964,1999,5,School of Psychology,High,L60250,X
6182,Chief of Army,Douglas MacArthur,1936,1964,1999,5,Elastic Defence Doctrine,High,L60250,X
6183,Chief of Navy,Robert L. Ghormley,1936,1964,1999,5,Open Seas Doctrine,Very High,L60406,X
6184,Head of Military Intelligence,Frank B. Rowlett,1936,1964,1999,4,Naval Intelligence Specialist,High,M6184,X
6024,Minister of Armament,Joseph P. Lash,1936,1964,1999,2,Resource Industrialist,Very High,M6024,X
6185,Head of Government,Fritz Kuhn,1936,1964,1999,8,Naive Optimist,High,M6011,X
6186,Head of State,William F. Lemke,1936,1964,1999,7,Barking Buffoon,Medium,M6097,X
6187,Head of Government,Dennis Lawrence,1936,1964,1999,6,Happy Amateur,Medium,M6187,X
6188,Minister of Security,Gerald K. Smith,1936,1964,1999,7,Back Stabber,Low,M6040,X
6189,Head of State,Charles Lindbergh,1940,1964,1999,7,Pig-headed Isolationist,Very High,M6020,X
6190,Head of Government,Robert E. Wood,1940,1964,1999,7,Silent Workhorse,Very High,M6190,X
6191,Minister of Security,Gerald B. Winrod,1940,1964,1999,7,Efficient Sociopath,Very High,M6191,X
6192,Chief of Staff,Robert E. Wood,1936,1964,1999,7,School of Defence,High,M6190,X
6193,Chief of Staff,Walter Bedell-Smith,1942,1964,1999,4,School of Fire Support,Very High,L60031,X
6194,Chief of Army,Mark Clark,1945,1964,1999,4,Decisive Battle Doctrine,Very High,L60098,X
6195,Chief of Staff,Joe L. Collins,1945,1964,1999,4,School of Manoeuvre,Very High,L60105,X
6196,Chief of Army,Joseph Stilwell,1944,1964,1999,4,Decisive Battle Doctrine,Very High,L60341,X
6197,Chief of Navy,William Halsey,1944,1964,1999,4,Power Projection Doctrine,Very High,L60414,X
6198,Minister of Armament,Dean Acheson,1944,1964,1999,4,Laissez-Faire Capitalist,Very High,M6198,X
6199,Minister of Armament,Harold Ickes,1936,1964,1999,4,Resource Industrialist,Very High,M6199,X
6200,Minister of Security,Archibald MacLeish,1939,1964,1999,2,Man of the People,Medium,M6200,X
6201,Foreign Minister,Archibald MacLeish,1939,1964,1999,2,Biased Intellectual,Medium,M6200,X
6202,Minister of Security,Burton K. Wheeler,1936,1964,1999,7,Efficient Sociopath,Medium,M6202,X
6203,Foreign Minister,Thomas Connally,1941,1964,1999,4,Ideological Crusader,High,M6203,X
6204,Minister of Security,Charles E. Hughes,1936,1964,1999,6,Efficient Sociopath,Medium,M6204,X
6205,Minister of Security,Hugo Black,1937,1964,1999,4,Compassionate Gentleman,High,M6205,X
6206,Minister of Armament,Robert F. Wagner,1936,1964,1999,4,Laissez-Faire Capitalist,Very High,M6206,X
6207,Minister of Armament,Henry L. Stimson,1940,1964,1999,4,Infantry Proponent,Very High,M6061,X
6208,Head of State,Douglas MacArthur,1936,1964,1999,7,American Tyrant,High,L60250,X
6209,Head of State,Huey Long,1936,1964,1999,8,Southern Demagogue,High,kaiserreich hueylong,X
6210,Head of State,Jack Reed,1936,1964,1999,1,Syndicalist Demagogue,High,kaiserreich JackReed,X
6211,Head of Government,Norman Thomas,1936,1964,1999,3,Happy Amateur,Very High,M6021,X
6212,Head of Government,Max Shachtman,1936,1964,1999,2,Silent Workhorse,High,kaiserreich maxschachtman,X
6213,Head of Government,Paul Mattick,1936,1964,1999,1,Ambitious Union Boss,High,kaiserreich paulmattick,X
6214,Head of Government,William Z. Foster,1936,1964,1999,0,Totalist Chairman,High,M6055,X
6215,Head of Government,Charles Lindbergh,1936,1964,1999,6,Happy Amateur,Very High,M6020,X
6216,Head of Government,Gerald K. Smith,1936,1964,1999,7,Political Protege,High,M6040,X
6217,Head of Government,Father Charles Coughlin,1936,1964,1999,8,Spiritual Leader,High,M6013,X
6218,Head of Government,Fritz Kuhn,1936,1964,1999,9,Flamboyant Tough Guy,High,M6011,X
6219,Minister of Armament,Huey Long,1936,1964,1999,8,Resource Industrialist,High,kaiserreich hueylong,X
6220,Foreign Minister,Jack Reed,1936,1964,1999,1,Ideological Crusader,High,kaiserreich JackReed,X
6221,Head of Military Intelligence,Norman Thomas,1936,1964,1999,3,Logistics Specialist,Very High,M6021,X
6222,Foreign Minister,Max Shachtman,1936,1964,1999,2,Great Compromiser,High,kaiserreich maxschachtman,X
6223,Minister of Armament,Paul Mattick,1936,1964,1999,1,Administrative Genius,High,kaiserreich paulmattick,X
6224,Minister of Security,William Z. Foster,1936,1964,1999,0,Silent Lawyer,High,M6055,X
6226,Head of Military Intelligence,Gerald K. Smith,1936,1964,1999,7,Political Specialist,High,M6040,X
6229,Head of State,Herbert Hoover,1936,1964,1999,5,Unpopular President,High,kaiserreich herberthoover,X
6230,Head of Government,Charles Curtis,1936,1964,1999,5,Backroom Backstabber,High,kaiserreich charlescurtis,X
6231,Minister of Armament,Roy D. Chapin,1936,1964,1999,5,Laissez-Faire Capitalist,High,kaiserreich robertchapin,X
6232,Minister of Security,Ray L. Wilbur,1936,1964,1999,5,Compassionate Gentleman,Very High,kaiserreich raylwilbur,X
6233,Chief of Staff,Patrick J. Hurley,1936,1964,1999,5,School of Defence,High,kaiserreich patrickjhurley,X
6234,Chief of Navy,Charles F. Adams,1936,1964,1999,5,Decisive Naval Battle Doctrine,High,kaiserreich CharlesFAdams,X
6235,Head of State,Charles Curtis,1936,1964,1999,5,Pig-headed Isolationist,High,kaiserreich charlescurtis,X
6236,Head of State,John Nance Garner,1936,1964,1999,4,Weary Stiffneck,High,M6002,X
6237,Chief of Air Force,Edward V. Rickenbacher,1936,1964,1999,5,Air Superiority Doctrine,High,Kaiserreich Rickenbacher 2,X
6238,Minister of Security,Douglas MacArthur,1936,1964,1999,6,Man of the People,High,L60250,X
6239,Head of State,Frank Knox,1936,1964,1999,5,Insignificant Layman,High,M6048,X
6240,Minister of Armament,Alf M. Landon,1936,1964,1999,5,Military Entrepreneur,High,M6035,X
6241,Head of Government,Thomas E. Dewey,1936,1964,1999,5,Flamboyant Tough Guy,High,M6038,X
6242,Head of State,Douglas MacArthur,1936,1964,1999,6,President In Uniform,High,L60250,X
6243,Head of State,Cordell Hull,1936,1964,1999,4,Benevolent Gentleman,High,M6003,X
6244,Head of State,Robert Taft,1936,1964,1999,5,Benevolent Gentleman,High,kai_usrobttft,X
6245,Foreign Minister,John Foster Dulles,1936,1964,1999,5,Apologetic Clerk,High,kai_jhnfstdll,X
6246,Minister of Security,Allan Dulles,1936,1964,1999,4,Crime Fighter,Very High,kai_alldlls,X
6247,Head of Government,Averell H. Harriman,1946,1964,1999,4,Silent Workhorse,High,M6177,X
6248,Minister of Armament,Harry S. Truman,1944,1964,1999,4,Laissez-Faire Capitalist,High,M6034,X
6249,Minister of Security,William J. Donovan,1940,1964,1999,5,Crime Fighter,High,M6128,X
6250,Head of State,John Bricker,1944,1964,1999,5,Die-hard Reformer,High,M6050,X
6251,Head of Government,Adlai Stevenson,1940,1964,1999,4,Political Protege,High,kai_adlstvn,X
6252,Head of State,Alben W. Barkley,1945,1964,1999,4,Die-hard Reformer,High,M6047,X
6253,Minister of Security,Henry Cabot Lodge,1944,1964,1999,5,Crime Fighter,High,M6131,X
6254,Head of State,Averell H. Harriman,1946,1964,1999,4,Benevolent Gentleman,High,M6177,X
6255,Head of State,Strom Thurmond,1945,1964,1999,5,Benevolent Gentleman,High,M6051,X
6256,Head of State,Dwight D. Eisenhower,1938,1964,1999,7,Resigned Generalissimo,High,M6137,X
6257,Head of Government,Dwight D. Eisenhower,1938,1964,1999,7,Political Protege,High,M6137,X
