IND,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
59077,Chief of Staff,Sri Ramakrishna Ranga Rao,1936,1964,1999,7,School of Psychology,Low,U35Ram,X
59078,Chief of Army,Sri Ramakrishna Ranga Rao,1936,1964,1999,7,Guns and Butter Doctrine,Low,U35Ram,X
59079,Minister of Armament,M. A. Muthiah Chettiar,1936,1964,1999,7,Bank President,High,U35Mut,X
59080,Minister of Armament,Cattamanchi Ramalinga Reddy,1936,1964,1999,6,Resource Industrialist,High,INDCat,X
59081,Minister of Armament,Chintamanrao II Dhundirajao Patwardhan,1936,1964,1999,7,Reformer,High,INDDhu,X
59082,Head of State,H.I.M. Osman Ali Khan I,1936,1964,1999,8,Kaiser-I-Hind,High,INDOsman_emperor,X
59083,Chief of Staff,Khengarji III Sawai Bahadur,1936,1964,1999,6,School of Defence,High,PAKKhen,X
59084,Chief of Staff,Maharaja Ranbir Singh,1936,1964,1999,6,School of Psychology,High,PAKRanbir,X
59085,Minister of Security,Maharaja Pratap Singh Gaekwad,1936,1964,1999,7,Media Magnate,High,PAKPratap,X
59086,Minister of Security,Khengarji III Sawai Bahadur,1936,1964,1999,6,Compassionate Gentleman,High,PAKKhen,X
59087,Chief of Staff,Umed Singh II of Kotah,1936,1964,1999,4,School of Defence,Very High,PAKUme,X
59088,Head of Military Intelligence,Maharaja K. S. Digvijaysinhji,1936,1964,1999,3,Logistics Specialist,High,PAKDigv,X
59089,Head of State,Madapati Hanumantha Rao,1936,1964,1999,5,Unpopular President,High,INDMad,X
59090,Minister of Armament,M. K. Vellodi,1936,1964,1999,6,Industrialiser,Very High,INDVel,X
59091,Foreign Minister,K. M. Panikkar,1936,1970,1999,6,Great Compromiser,Very High,INDKMP,X
59092,Minister of Security,K. M. Panikkar,1936,1970,1999,6,Health and Safety,Very High,INDKMP,X
59093,Minister of Armament,Maharaja Srish Kumar Nandy,1936,1970,1999,6,Mixed Economy,Very High,INDSKN,X
59094,Foreign Minister,Maharaja Srish Kumar Nandy,1936,1970,1999,6,Ideological Crusader,Very High,INDSKN,X
59095,Foreign Minister,Sri Jadunath Sarkar,1936,1970,1999,7,Biased Intellectual,Very High,INDJad,X
59096,Head of Military Intelligence,Hemchandra Raychaudhuri,1936,1970,1999,7,Dismal Enigma,Very High,INDHem,X
