DOM,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
49113,Head of Government,Hector Porfirio Quezada,1946,1964,1999,0,Ambitious Union Boss,High,DOM_hector,x
49114,Minister of Security,Hector Porfirio Quezada,1946,1964,1999,0,Man of the People,High,DOM_hector,x
49115,Head of State,Mauricio Baez,1940,1964,1999,1,Pig-headed Isolationist,High,DOM_baez,x
49116,Head of Government,Mauricio Baez,1940,1964,1999,1,Ambitious Union Boss,High,DOM_baez,x
49117,Foreign Minister,Mauricio Baez,1940,1964,1999,1,Iron fisted brute,High,DOM_baez,x
49118,Head of State,Felix Evaristo Mejia,1936,1964,1999,3,Benevolent Gentleman,High,DOM_mejia,x
49119,Head of Government,Felix Evaristo Mejia,1936,1964,1999,3,Flamboyant Tough Guy,High,DOM_mejia,x
49120,Foreign Minister,Felix Evaristo Mejia,1936,1964,1999,3,Ideological Crusader,High,DOM_mejia,x
49121,Foreign Minister,Tomas Baez Diaz,1939,1964,1999,2,Apologetic Clerk,High,DOM_diaz,x
49122,Head of Military Intelligence,Tomas Baez Diaz,1939,1964,1999,2,Political Specialist,High,DOM_diaz,x
49123,Minister of Security,Tomas Baez Diaz,1939,1964,1999,2,Crime Fighter,High,DOM_diaz,x
49124,Minister of Armament,Ercilia Pepin,1936,1964,1999,3,Laissez-Faire Capitalist,Low,DOM_pepin,x
49125,Minister of Armament,Antonio de la Maza,1942,1964,1999,3,Administrative Genius,Low,DOM_maza,x
49126,Chief of Army,Juan Tomas Diaz,1936,1964,1999,2,Decisive Battle Doctrine,Low,DOM_juan,x
49127,Chief of Staff,Juan Tomas Diaz,1936,1964,1999,2,School of Defence,Low,DOM_juan,x
49128,Minister of Armament,Juan Tomas Diaz,1936,1964,1999,2,Infantry Proponent,Low,DOM_juan,x
49129,Head of State,Fredi Valdez,1940,1964,1999,1,Stern Imperialist,High,unknown,x
