PAN,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
95061,Minister of Security,Nicolas Ardito Barletta,1945,1964,1999,4,Compassionate Gentleman,Medium,M95061,x
95062,Minister of Security,José Avila,1946,1964,1999,6,Crime Fighter,Medium,M95062,x
95063,Head of Military Intelligence,Ernesto Fabréga López,1936,1964,1999,6,Dismal Enigma,Medium,M95063,x
95064,Head of Military Intelligence,Victor Pareja,1940,1964,1999,4,Industrial Specialist,Medium,M95025,x
95065,Head of Military Intelligence,Baldomero Tarté,1941,1964,1999,7,Logistics Specialist,Medium,M95016,x
95066,Head of Military Intelligence,Ignacio C. Garces,1945,1964,1999,4,Naval Intelligence Specialist,Medium,M95066,x
95067,Head of Military Intelligence,José Lefebvré de la Ossa,1946,1964,1999,6,Industrial Specialist,Medium,M95042,x
95068,Chief of Staff,Bolivar Villarino,1936,1964,1999,6,School of Defence,Medium,M95008,x
95069,Chief of Staff,Juan José Parada,1940,1964,1999,4,School of Manoeuvre,Medium,M95020,x
95070,Chief of Staff,Pacificio Marciaga,1941,1964,1999,7,School of Psychology,Medium,M95017,x
95071,Chief of Staff,José Gomez Ayan,1945,1964,1999,4,School of Fire Support,Medium,M95071,x
95073,Chief of Army,Juan Remón,1936,1964,1999,6,Guns and Butter Doctrine,Medium,M95007,x
95074,Chief of Army,Enrico Fabrego Páz,1940,1964,1999,5,Static Defence Doctrine,Medium,M95018,x
95077,Chief of Army,Omar Torrijos,1946,1964,1999,7,Armoured Spearhead Doctrine,Medium,M95077,x
95080,Chief of Navy,Arturo Osborne Irragá,1941,1964,1999,7,Open Seas Doctrine,Medium,M95019,x
95082,Chief of Air Force,Marcos A. Gelabert,1936,1964,1999,6,Army Aviation Doctrine,Medium,M95082,x
95083,Chief of Air Force,Juan José Parada,1940,1964,1999,5,Air Superiority Doctrine,Medium,M95020,x
95084,Chief of Air Force,Carlos Zavala,1941,1964,1999,6,Air Superiority Doctrine,Medium,M95036,x
95086,Chief of Air Force,Nestor Urribe Suarez,1946,1964,1999,6,Carpet Bombing Doctrine,Medium,M95052,x
95087,Head of State,Ezequeil Fernandez Jaen,1939,1964,1999,6,Insignificant Layman,Medium,M95006,x
95088,Head of Government,Ezequeil Fernandez Jaen,1939,1964,1999,6,Smiling Oilman,Medium,M95006,x
95089,Head of Government,Augusto Samuel Boyd,1940,1964,1999,6,Ambitious Union Boss,High,M95038,x
95090,Head of State,Augusto Samuel Boyd,1940,1964,1999,6,Barking Buffoon,High,M95038,x
95011,Head of State,José Augustin Arango,1936,1964,1999,7,Resigned Generalissimo,High,M95011,x
95012,Head of Government,José Augustin Arango,1936,1964,1999,7,Old General,High,M95011,x
95021,Head of State,Floyd N. Britton sr.,1936,1964,1999,1,Pig-headed Isolationist,High,M95021,x
95022,Head of Government,Floyd N. Britton sr.,1936,1964,1999,1,Happy Amateur,High,M95021,x
95023,Foreign Minister,Luís Costa Arías,1936,1964,1999,2,Ideological Crusader,Medium,M95023,x
95024,Minister of Armament,Floyd N. Britton sr.,1936,1964,1999,1,Administrative Genius,Medium,M95021,x
95025,Minister of Security,Victor Pareja,1936,1964,1999,1,Crooked Kleptocrat,Medium,M95025,x
95027,Chief of Staff,Adolfo Gutíerrez Clark,1936,1964,1999,1,School of Defence,Medium,M95027,x
95028,Chief of Army,Manuel Ríos Urribe,1936,1964,1999,2,Armoured Spearhead Doctrine,Medium,M95028,x
95029,Chief of Navy,Ferdinando Hernandez Ytuarte,1936,1964,1999,2,Power Projection Doctrine,Medium,M95029,x
95030,Chief of Air Force,Margarita Belloso Jímenez,1936,1964,1999,1,Vertical Envelopment Doctrine,Medium,M95030,x
95091,Head of State,Domingo Diaz Arosemena,1948,1964,1999,6,Weary Stiffneck,High,M95091,x
95092,Head of Government,Domingo Diaz Arosemena,1948,1964,1999,6,Silent Workhorse,High,M95091,x
95093,Minister of Security,Henrique de Obarrio,1948,1964,1999,6,Back Stabber,Medium,M95093,x
95094,Head of State,Daniel C. Pinzon,1949,1964,1999,5,Benevolent Gentleman,High,M95004,x
95095,Head of Government,Alciabides Arosemena,1949,1964,1999,5,Corporate Suit,High,M95095,x
95096,Head of State,Alciabides Arosemena,1951,1964,1999,6,Insignificant Layman,High,M95095,x
95097,Head of Government,Juan Remón,1951,1964,1999,6,Old General,High,M95007,x
95098,Foreign Minister,Pietro del Oramio,1951,1964,1999,6,Biased Intellectual,High,M95098,x
95099,Head of State,Juan Remón,1952,1964,1999,6,Resigned Generalissimo,High,M95007,x
95100,Minister of Security,Ernesto de la Guardia,1952,1964,1999,6,Compassionate Gentleman,Medium,M95100,x
95101,Chief of Staff,Henrique de Obarrio,1952,1964,1999,6,School of Mass Combat,Medium,M95093,x
