MEX,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
36061,Foreign Minister,Pedro Lascurain,1936,1952,1999,6,Biased Intellectual,High,MEX_Lascuarain,x
36062,Foreign Minister,Ezequiel Padilla Penaloza,1936,1964,1999,5,Iron Fisted Brute,Medium,M36050,x
36063,Foreign Minister,Candido Aguilar Vargas,1936,1960,1999,5,General Staffer,Medium,923,x
36064,Foreign Minister,Hilario Medina,1936,1964,1999,5,Apologetic Clerk,Medium,6657,x
36065,Foreign Minister,Jaime Torres Bodet,1940,1964,1999,5,Biased Intellectual,Medium,M36052,x
36066,Foreign Minister,Isidro Fabela,1936,1964,1999,3,Apologetic Clerk,Medium,7225,x
36067,Foreign Minister,Amelio Robles Avila,1936,1964,1999,3,Ideological Crusader,Medium,909,x
36068,Foreign Minister,Lazaro Cardenas,1936,1964,1999,3,Ideological Crusader,Medium,M36001,x
36069,Foreign Minister,Manuel Tello Baurraud,1940,1964,1999,2,Great Compromiser,Medium,MEX_Barraud,x
36070,Foreign Minister,Mariano Ponton,1940,1964,1999,1,The Cloak N Dagger Schemer,Very High,M36023,x
36071,Foreign Minister,Manuel C. Tellez,1946,1964,1999,1,Apologetic Clerk,Medium,M36060,x
36072,Foreign Minister,Gildardo Magaña Cerda,1936,1939,1999,1,Great Compromiser,Very High,MEX_Gildardo,x
36073,Foreign Minister,Alfredo Serratos Amador,1936,1957,1999,1,Apologetic Clerk,High,unknown,x
36074,Foreign Minister,Vicente Lombardo Toledano,1936,1964,1999,1,Ideological Crusader,High,Toledano,x
36075,Minister of Armament,Pedro Zuloaga Irigoiti,1940,1954,1999,9,Resource Industrialist,Low,MEX_Zuluaga,x
36076,Minister of Armament,Luis G. Quintana,1936,1964,1999,8,Military Entrepreneur,Low,M36012,x
36077,Minister of Armament,Miguel Palomar y Vizcarra,1936,1964,1999,8,Resource Industrialist,Low,MEX_Palomar,x
36078,Minister of Armament,Pastor Castro Tinoco,1936,1964,1999,8,Industrialiser,Low,MEX_Pastor,x
36079,Minister of Armament,Manuel C. Michel,1936,1964,1999,8,Administrative Genius,Low,MEX_ManuelMichel,x
36080,Minister of Armament,Francisco R. Serrano,1940,1961,1999,7,Resource Industrialist,Medium,M36057,x
36081,Minister of Armament,Juan Andreu Almazan,1940,1964,1999,8,Corrupt Kleptocrat,Medium,M36014,x
36082,Minister of Armament,Ernesto Madero Farías,1936,1958,1999,4,laissez-faire capitalist,Low,MEX_MaderoFarias,x
36083,Minister of Armament,Efrain Buenrostro Ochoa,1936,1964,1999,4,Industrialiser,Medium,MEX_Ochoa,x
36084,Minister of Armament,Manuel M. Marquez,1943,1964,1999,6,laissez-faire capitalist,Medium,M36034,x
36085,Minister of Armament,Daniel Cosio Villegas,1936,1964,1999,6,Resource Industrialist,Medium,MEX_Villegas,x
36086,Minister of Armament,Florentino Santana,1946,1964,1999,6,laissez-faire capitalist,Medium,M36067,x
36087,Minister of Armament,Emilio Portes Gil,1938,1964,1999,3,Submarine Proponent,Medium,M36061,x
36088,Minister of Armament,Serafín M. Robles Morales,1936,1955,1999,3,military entrepreneur,High,MEX_Serafin,x
36089,Minister of Armament,Alberto J. Pani,1936,1955,1999,3,Bank President,Medium,903,x
36090,Minister of Armament,Roberto G. Maqueo,1940,1964,1999,2,Battle Fleet Proponent,Medium,M36062,x
36091,Minister of Armament,Jose Manuel Puig Casauranc,1936,1949,1999,2,Theoretical Scientist,Medium,M36063,x
36092,Minister of Armament,Antonio Castro Leal,1944,1964,1999,2,Tank Proponent,Medium,M36064,x
36093,Minister of Armament,Francisco J. Mujica,1936,1954,1999,2,Infantry Proponent,Medium,MEX_Mujica,x
36094,Minister of Armament,Adolfo Ruiz Cortines,1946,1964,1999,2,Administrative Genius,Medium,M36065,x
36095,Minister of Armament,Rafael Buelna,1936,1964,1999,2,military entrepreneur,Medium,8332,x
36096,Minister of Armament,Primo Villa Michel,1936,1964,1999,2,Resource Industrialist,Medium,MEX_Primo,x
36097,Minister of Armament,Francisco I. Casian,1943,1964,1999,1,Administrative Genius,Medium,M36024,x
36098,Minister of Armament,Dolores Santapiavo,1940,1964,1999,1,Air to Ground Proponent,Medium,M36071,x
36099,Minister of Armament,Saturnino Cedillo Martinez,1936,1964,1999,0,Military Entrepreneur,High,MEX_Saturnino,x
36100,Minister of Armament,Enrique Estrada Reynoso,1936,1942,1999,0,Infantry Proponent,High,M36004,x
36101,Minister of Armament,Marte R. Gomez,1936,1964,1999,0,Bank President,High,MEX_Marte,x
36102,Minister of Armament,Luis L. Leon,1936,1964,1999,0,military entrepreneur,High,MEX_Leon,x
36103,Minister of Security,Anacleto Gonzalez Flores,1936,1964,1999,8,Compassionate Gentleman,Medium,MEX_Anacleto,x
36104,Minister of Security,José Reyes Vega,1936,1964,1999,8,Efficient Sociopath,Medium,MEX_ReyesVega,x
36105,Minister of Security,Salvador Abascal,1940,1964,1999,8,Back Stabber,Medium,MEX_Salvador,x
36106,Minister of Security,Juan Andrew Almazan,1940,1964,1999,8,Crooked Kleptocrat,Medium,M36014,x
36107,Minister of Security,Felix Maragano Flores,1943,1964,1999,8,Back Stabber,Medium,M36082,x
36108,Minister of Security,Maximino Avila Camacho,1936,1945,1999,8,Crooked Kleptocrat,Medium,MEX_Maximino,x
36109,Minister of Security,Pedro Pena Cavazos,1946,1964,1999,7,Man of the People,Medium,M36083,x
36110,Minister of Security,Efrain Gonzalez Luna,1936,1964,1999,7,Man of the People,Medium,MEX_Luna,x
36111,Minister of Security,Enrique C. del Rio,1940,1964,1999,6,Compassionate Gentleman,Medium,M36017,x
36112,Minister of Security,Manuel Gomez Morin,1946,1964,1999,6,Man of the People,Medium,M36080,x
36113,Minister of Security,Alberto Vázquez del Mercado,1946,1964,1999,6,Silent Lawyer,Medium,MEX_Mercado,x
36114,Minister of Security,Genaro Estrada,1936,1938,1999,4,Compassionate Gentleman,High,M36074,x
36115,Minister of Security,Genaro G. Vazquez,1936,1964,1999,4,Crime Fighter,High,MEX_Genaro,x
36116,Minister of Security,Miguel Aleman Valdes,1943,1964,1999,3,Man of the People,High,M36033,x
36117,Minister of Security,Alberto J. Pani,1936,1955,1999,3,Crooked Kleptocrat,Medium,903,x
36118,Minister of Security,Roque Estrada Reynoso,1936,1964,1999,3,Compassionate Gentleman,High,MEX_RoqueReynoso,x
36119,Minister of Security,Francisco U. Benavides,1936,1964,1999,2,Man of the People,Medium,M36005,x
36120,Minister of Security,Andres F. Figueroa,1938,1964,1999,2,Crime Fighter,Medium,M36073,x
36121,Minister of Security,Joaquin Amaro Dominguez,1942,1952,1999,0,Back Stabber,Very High,M36075,x
36122,Minister of Security,Adolfo Ruiz Cortines,1945,1964,1999,2,Silent Lawyer,Medium,M36065,x
36123,Minister of Security,Manuel Tello Baurraud,1946,1964,1999,2,Compassionate Gentleman,Medium,M36078,x
36124,Minister of Security,Procopio Herrera,1940,1964,1999,1,Efficient Sociopath,Very High,M36025,x
36125,Minister of Security,Manuel Palafox,1936,1959,1999,1,Back Stabber,Low,M36026,x
36126,Minister of Security,Francisco Gonzalez Vega,1945,1964,1999,1,Silent Lawyer,Very High,MEX_GonzalesVega,x
36127,Minister of Security,Mariano Ponton,1946,1964,1999,1,Back Stabber,Very Low,M36023,x
36128,Minister of Security,Alfredo Serratos Amador,1936,1957,1999,1,Crime Fighter,High,unknown,x
36129,Minister of Security,Tomas Garrido Canabal,1936,1947,1999,0,Prince of Terror,Very Low,MEX_Canabal,x
36130,Head of Military Intelligence,Alfonso Junco,1940,1964,1999,9,Industrial Specialist,Medium,MEX_Junco,x
36131,Head of Military Intelligence,Jesus Garza Siller,1946,1964,1999,7,Logistics Specialist,Medium,M36016,x
36132,Head of Military Intelligence,Alberto B. Gutierrez,1936,1964,1999,7,Technical Specialist,Medium,MEX_Alberto,x
36133,Head of Military Intelligence,Manuel Herrera y Lasso,1940,1964,1999,7,Technical Specialist,Medium,MEX_Lasso,x
36134,Head of Military Intelligence,Victor Munoz Cardenas,1940,1964,1999,7,Industrial Specialist,Medium,M36091,x
36135,Head of Military Intelligence,Jacinto Blas Treviño González,1936,1964,1999,7,Logistics Specialist,High,MEX_Trevino,x
36136,Head of Military Intelligence,Luis Bustamante Benitez,1946,1964,1999,6,Naval Intelligence Specialist,High,M36035,x
36137,Head of Military Intelligence,Eduardo Hay,1936,1941,1999,5,Naval Intelligence Specialist,Medium,MEX_Hay,x
36138,Head of Military Intelligence,Antonio Díaz Soto y Gama,1936,1964,1999,4,Political Specialist,High,MEX_Gama,x
36139,Head of Military Intelligence,Manuel Avila Camacho,1940,1955,1999,3,Political Specialist,High,M36087,x
36140,Head of Military Intelligence,Gonzalo Vazquez Vela,1936,1963,1999,3,Logistics Specialist,High,MEX_Vela,x
36141,Head of Military Intelligence,Lazaro Cardenas,1938,1964,1999,3,Naval Intelligence Specialist,High,M36001,x
36142,Head of Military Intelligence,José Aguilar y Maya,1936,1964,1999,2,Political Specialist,Low,MEX_Maya,x
36143,Head of Military Intelligence,Manuel Palafox,1936,1959,1999,1,Dismal Enigma,Low,M36026,x
36144,Head of Military Intelligence,Miguel Collazzo,1946,1964,1999,1,Political Specialist,Low,M36094,x
36145,Head of Military Intelligence,Enrique Estrada Reynoso,1936,1942,1999,0,Dismal Enigma,High,M36004,x
36146,Head of Military Intelligence,David Alfaro Siqueiros,1936,1964,1999,0,Dismal Enigma,High,MEX_Siqueiros,x
36147,Head of Military Intelligence,Narciso Bassols Garcia,1936,1960,1999,0,Logistics Specialist,High,MEX_Bassols,x
36148,Chief of Staff,Enrique Goroztieta Velarde,1936,1964,1999,8,School of Manoeuvre,High,MEX_Gorostiera,x
36149,Chief of Staff,Rene Capistrán Garza,1936,1964,1999,8,School of Mass Combat,High,MEX_Rene,x
36150,Chief of Staff,Maximino Avila Camacho,1936,1945,1999,8,School of Mass Combat,Medium,MEX_Maximino,x
36151,Chief of Staff,Jesus Ballestreros Miranda,1940,1964,1999,8,School of Manoeuvre,Low,M36100,x
36152,Chief of Staff,Enrique C. del Rio,1946,1964,1999,7,School of Psychology,Low,M36017,x
36153,Chief of Staff,Nicolas Rodriguez Carrasco,1946,1964,1999,7,school of defence,Low,unknown,x
36154,Chief of Staff,Francisco L. Urquizo,1936,1964,1999,5,school of defence,Medium,MEX_Urquizo,x
36155,Chief of Staff,Eduardo Hay,1936,1941,1999,5,school of defence,Medium,MEX_Hay,x
36156,Chief of Staff,Marcelino García Barragan,1942,1964,1999,5,School of Psychology,Medium,MEX_Barragan,x
36157,Chief of Staff,Pablo Quiroga Escamillo,1936,1948,1999,3,School of Mass Combat,Medium,M36008,x
36158,Chief of Staff,Lazaro Cardenas,1936,1964,1999,3,school of defence,High,M36001,x
36159,Chief of Staff,Gustavo Salinas Camina,1940,1964,1999,3,School of Defence,Medium,M36010,x
36160,Chief of Staff,Augustin Mendoza Cais,1936,1964,1999,2,School of Defence,High,M36102,x
36161,Chief of Staff,Julian Medina Castillo,1936,1944,1999,2,School of Fire Support,High,7258,x
36162,Chief of Staff,Pancho Villa,1936,1964,1999,2,School of Psychology,High,Arambula,x
36163,Chief of Staff,Andres Figueroa,1936,1964,1999,1,School of Fire Support,Low,M36073,x
36164,Chief of Staff,Ignacio L. Pesqueira,1936,1940,1999,1,School of Manoeuvre,Low,MEX_Pesqueira,x
36165,Chief of Staff,Antonio I. Villareal,1936,1944,1999,0,School of Psychology,Low,MEX_Villareal,x
36166,Chief of Army,Victoriano Ramirez,1936,1964,1999,9,static defence doctrine,High,MEX_Catorce,x
36167,Chief of Army,Jesús Degollado Guízar,1936,1964,1999,8,static defence doctrine,High,MEX_Guizar,x
36168,Chief of Army,Aristeo Pedroza,1936,1964,1999,8,Decisive Battle Doctrine,High,MEX_Aristeo,x
36169,Chief of Army,Enrique Goroztieta Velarde,1936,1964,1999,8,elastic defence doctrine,High,MEX_Gorostiera,x
36170,Chief of Army,Jacinto Blas Treviño González,1936,1964,1999,7,static defence doctrine,High,MEX_Trevino,x
36171,Chief of Army,Cesar Parada Henriques,1946,1964,1999,7,Elastic Defence Doctrine,Medium,M36110,x
36172,Chief of Army,Gilberto Limon Marquez,1940,1964,1999,6,Static Defence Doctrine,Medium,M36106,x
36173,Chief of Army,Francisco L. Urquizo,1936,1964,1999,5,Armoured Spearhead Doctrine,Medium,MEX_Urquizo,x
36174,Chief of Army,Jesus Agustín Castro,1936,1954,1999,4,elastic defence doctrine,Medium,7231,x
36175,Chief of Army,Salvador Alvarado,1936,1964,1999,3,Static Defence Doctrine,Medium,MEX_Alvarado,x
36176,Chief of Army,Timoteo Sanchez,1936,1964,1999,3,Decisive Battle Doctrine,Medium,8350,x
36177,Chief of Army,Adrián Castrejon,1936,1954,1999,3,Guns and Butter Doctrine,Medium,MEX_Castrejon,x
36178,Chief of Army,Pablo Quiroga Escamillo,1936,1948,1999,2,Static Defence Doctrine,Medium,M36008,x
36179,Chief of Army,Pablo M. Valenzuela,1938,1964,1999,2,Elastic Defence Doctrine,Medium,M36104,x
36180,Chief of Army,Francisco U. Benavides,1940,1964,1999,2,Armoured Spearhead Doctrine,Medium,M36005,x
36181,Chief of Army,Elidoro Charis,1936,1964,1999,2,Armoured Spearhead Doctrine,Medium,MEX_Charis,x
36182,Chief of Army,Miguel Collazzo,1946,1964,1999,1,Armoured Spearhead Doctrine,High,M36094,x
36183,Chief of Army,Gildardo Magaña Cerda,1936,1939,1999,1,Guns and Butter Doctrine,Medium,MEX_Gildardo,x
36184,Chief of Army,Genovevo de la O,1936,1952,1999,1,static defence doctrine,Medium,6073,x
36185,Chief of Army,Matias Santos Ramos,1940,1962,1999,1,Guns and Butter Doctrine,Medium,M36028,x
36186,Chief of Army,Joaquin Amaro Dominguez,1936,1952,1999,0,Decisive Battle Doctrine,High,M3605,x
36187,Chief of Navy,Victor Tapia Briones,1940,1964,1999,7,Open Seas Doctrine,Low,M36116,x
36188,Chief of Navy,Luis Hiram Toledo,1946,1964,1999,7,Open Seas Doctrine,Low,M36019,x
36189,Chief of Navy,Enrique Panizio Vargas,1940,1964,1999,6,Open Seas Doctrine,High,M36115,x
36190,Chief of Navy,Eduardo Hay,1936,1941,1999,5,Open Seas Doctrine,Medium,MEX_Hay,x
36191,Chief of Navy,Alberto J. Pawling,1936,1955,1999,3,Indirect Approach Doctrine,High,unknown,x
36192,Chief of Navy,Serafín M. Robles Morales,1936,1955,1999,3,Base Control Doctrine,High,MEX_Serafin,x
36193,Chief of Navy,Hector Meixueiro,1936,1964,1999,2,Open Seas Doctrine,Medium,M36009,x
36194,Chief of Navy,Miguel S. Gonzalez,1936,1945,1999,2,Decisive Naval Battle Doctrine,Medium,8308,x
36195,Chief of Navy,Pedro Caloca Larios,1936,1964,1999,2,Open Seas Doctrine,Medium,MEX_Caloca,x
36196,Chief of Navy,Raul Lopez Sanchez,1945,1957,1999,1,Decisive Naval Battle Doctrine,High,MEX_Raul,x
36197,Chief of Navy,Alfredo Serratos Amador,1936,1957,1999,1,Power Projection Doctrine,High,unknown,x
36198,Chief of Air Force,Enrique Goroztieta Velarde,1936,1964,1999,8,Army Aviation Doctrine,Medium,MEX_Gorostiera,x
36199,Chief of Air Force,Eduardo Aldasoro Suárez,1936,1964,1999,6,Air Superiority Doctrine,Medium,MEX_Aldosoro,x
36200,Chief of Air Force,Francisco L. Urquizo,1936,1964,1999,5,Air Superiority Doctrine,Medium,MEX_Urquizo,x
36201,Chief of Air Force,Lester Pence Barlow,1936,1964,1999,3,Carpet Bombing Doctrine,Medium,MEX_Barlow,x
36202,Chief of Air Force,Alberto Salinas Carranza,1938,1964,1999,2,Army Aviation Doctrine,Medium,M36119,x
36203,Minister of Armament,Luis Napoleón Morones,1936,1964,1999,0,Corrupt Kleptocrat,High,MEX_Morones,x
36204,Head of State,Doña María I de Habsburgo-Itúrbide,1936,1964,1999,7,Insignificant Layman,Medium,MEX_MariaAnna,x
36205,Head of State,Don Fernando I de Moctezuma,1936,1964,1999,7,Weary Stiffneck,Medium,MEX_Moctezuma,x
36206,Head of State,Luis Napoleón Morones,1936,1964,1999,0,Ruthless Powermonger,High,MEX_Morones,x
36207,Head of Government,Luis Napoleón Morones,1936,1964,1999,0,Ambitious Union Boss,High,MEX_Morones,x
36208,Head of State,Amalia González Caballero,1936,1964,1999,1,Benevolent Gentleman,High,MEX_Amalia,x
36209,Head of Government,Amalia González Caballero,1936,1964,1999,1,Naive Optimist,High,MEX_Amalia,x
