CHL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
44060,Foreign Minister,Fernando Brown Morales,1946,1964,1999,2,Apologetic Clerk,Medium,M44067,x
44061,Minister of Armament,Ramón Callís,1936,1964,1999,8,Infantry Proponent,Low,M44014,x
44062,Minister of Armament,José Luis Sánchez Besa,1936,1964,1999,4,Air to Ground Proponent,High,M44076,x
44063,Minister of Armament,Cristobál Saénz Cerda,1938,1964,1999,4,Administrative Genius,Medium,M44052,x
44064,Minister of Armament,Enrique Villegas,1938,1964,1999,6,laissez-faire capitalist,High,M44078,x
44065,Minister of Armament,Carlos Garcia Palacios,1938,1964,1999,3,Theoretical Scientist,High,M44068,x
44066,Minister of Armament,Juan Rios Morales,1938,1964,1999,3,Resource Industrialist,High,M44069,x
44067,Minister of Armament,C.L. Blest Riffo,1938,1964,1999,1,Theoretical Scientist,Very Low,M44022,x
44068,Minister of Armament,Victor Larens Quijada,1939,1964,1999,6,Submarine Proponent,High,M44079,x
44069,Minister of Armament,Luis Alamos Barros,1939,1964,1999,3,Infantry Proponent,High,M44055,x
44070,Minister of Armament,Pedro Aguirre Cerda,1940,1964,1999,3,laissez-faire capitalist,Medium,M44031,x
44071,Minister of Armament,Carlos Fuentes Rabe,1941,1964,1999,3,Military Entrepreneur,High,M44072,x
44072,Minister of Armament,Francisco Walker Linares,1942,1964,1999,3,Tank Proponent,Very High,M44073,x
44073,Minister of Armament,Francisco O'Ryan Orrego,1943,1964,1999,6,Battle Fleet Proponent,Medium,M44062,x
44074,Minister of Armament,Ernesto Barras Jarpa,1942,1964,1999,7,Corrupt Kleptocrat,Medium,M44056,x
44075,Minister of Armament,Manuel Bianchi Gúndian,1942,1964,1999,7,Infantry Proponent,Medium,M44054,x
44076,Minister of Armament,Augustin Edwards,1942,1964,1999,1,Air Superiority Proponent,Medium,M44089,x
44078,Minister of Armament,Dario Mujica Gamboa,1944,1964,1999,3,Air Superiority Proponent,Medium,M44010,x
44079,Minister of Armament,Carlos Puga Monsalve,1944,1964,1999,8,Air to Sea Proponent,High,M44087,x
44080,Minister of Armament,Aurelio Celedon Palma,1946,1964,1999,2,Strategic Air Proponent,High,M44090,x
44081,Minister of Armament,Manuel C. Pereira,1946,1964,1999,3,Resource Industrialist,High,M44075,x
44082,Minister of Armament,Misael Galleguillos,1946,1964,1999,6,Corrupt Kleptocrat,Low,M44012,x
44083,Minister of Armament,Gustavo Ross Santa Maria,1946,1964,1999,6,Administrative Genius,Medium,M44002,x
44084,Minister of Security,Abraham Ortega Aguayo,1936,1964,1999,4,Crime Fighter,Medium,M44051,x
44085,Minister of Security,Carlos Ibáñez del Campo,1936,1964,1999,7,Man of the People,Medium,M44035,x
44086,Minister of Security,Antonio Huneeus,1937,1964,1999,4,Man of the People,High,M44095,x
44087,Minister of Security,Carlos Keller,1938,1964,1999,8,Back Stabber,Low,M44015,x
44088,Minister of Security,Marmaduke Grove,1938,1964,1999,1,Man of the People,Medium,M44021,x
44089,Minister of Security,Miguel Gonzalez Rios,1938,1964,1999,4,Crooked Kleptocrat,Medium,M44096,x
44090,Minister of Security,Manuel Salinas,1938,1964,1999,3,Silent Lawyer,High,M44091,x
44091,Minister of Security,Manuel Mora Miranda,1941,1964,1999,3,Back Stabber,Medium,M44045,x
44092,Minister of Security,Dario Mujica Gamboa,1942,1964,1999,3,Efficient Sociopath,Medium,M44010,x
44093,Minister of Security,Vicente Merino Bielich,1942,1964,1999,7,Prince of Terror,Medium,M44102,x
44094,Minister of Security,J.R.Guiterréz Allende,1942,1964,1999,6,Crime Fighter,High,M44059,x
44095,Minister of Security,Manuel Rivas Vicuna,1943,1964,1999,6,Prince of Terror,High,M44099,x
44096,Minister of Security,Cristobál Saénz Cerda,1945,1964,1999,2,Prince of Terror,Medium,M44052,x
44097,Minister of Security,Antonio J. Rios,1945,1964,1999,3,Prince of Terror,High,M44032,x
44098,Minister of Security,Ernesto Barras Jarpa,1946,1964,1999,6,Crooked Kleptocrat,Medium,M44056,x
44099,Head of Military Intelligence,Carlos Fuentes Rabe,1936,1964,1999,4,Industrial Specialist,High,M44072,x
44100,Head of Military Intelligence,Ariosto Herrera,1936,1964,1999,8,Logistics Specialist,High,M44016,x
44101,Head of Military Intelligence,Julio Allard Pinto,1938,1964,1999,1,Political Specialist,Medium,M44006,x
44102,Head of Military Intelligence,Federico Escamante,1938,1964,1999,3,Logistics Specialist,Medium,M44106,x
44103,Head of Military Intelligence,Carlos Puga Monsalve,1940,1964,1999,4,Technical Specialist,High,M44087,x
44104,Head of Military Intelligence,Juan Rios Morales,1941,1964,1999,3,Dismal Enigma,High,M44069,x
44105,Head of Military Intelligence,Eduardo Hillman,1942,1964,1999,3,Naval Intelligence Specialist,High,M44004,x
44106,Head of Military Intelligence,Victor Larens Quijada,1942,1964,1999,6,Naval Intelligence Specialist,High,M44079,x
44107,Head of Military Intelligence,Federico Claude,1943,1964,1999,4,Industrial Specialist,High,M44115,x
44108,Head of Military Intelligence,Salvador Allende,1943,1964,1999,3,Industrial Specialist,Low,M44039,x
44109,Head of Military Intelligence,Pietro Campos Valenzana,1944,1964,1999,7,Industrial Specialist,High,M44118,x
44110,Head of Military Intelligence,Dario Mujica Gamboa,1946,1964,1999,3,Technical Specialist,Medium,M44010,x
44111,Head of Military Intelligence,Dario Cellejas Rojas,1946,1964,1999,6,Logistics Specialist,Medium,M44116,x
44112,Chief of Staff,Carlos Puga Monsalve,1936,1964,1999,4,School of Mass Combat,High,M44087,x
44113,Chief of Staff,E. Novoa Fuentes,1936,1964,1999,7,School of Defence,Medium,M44008,x
44114,Chief of Staff,Diaz Valderrama,1936,1964,1999,8,School of Defence,Very Low,M44017,x
44115,Chief of Staff,Gustavo Silva,1938,1964,1999,1,School of Manoeuvre,Medium,M44027,x
44116,Chief of Staff,Ernesto M. Orlando,1938,1964,1999,3,School of Mass Combat,High,M44121,x
44117,Chief of Staff,Dario Cellejas Rojas,1942,1964,1999,6,School of Psychology,Medium,M44116,x
44118,Chief of Staff,Raul Array Stiglich,1944,1964,1999,6,School of Manoeuvre,Medium,M44125,x
44119,Chief of Staff,Arturo Espinoza Mujica,1945,1964,1999,6,School of Fire Support,High,M44122,x
44120,Chief of Staff,Luis Vidal Vargas,1946,1964,1999,6,School of Fire Support,Medium,M44126,x
44121,Chief of Army,Carlos Fuentes Rabe,1936,1964,1999,4,Decisive Battle Doctrine,High,M44072,x
44122,Chief of Army,Diaz Valderrama,1936,1964,1999,8,Static Defence Doctrine,Medium,M44017,x
44123,Chief of Army,Julio Allard Pinto,1938,1964,1999,1,Elastic Defence Doctrine,Medium,M44006,x
44124,Chief of Army,Luis Otero Mujica,1938,1964,1999,3,Armoured Spearhead Doctrine,High,M44130,x
44125,Chief of Army,Rafael Fernandez Reyes,1942,1964,1999,7,Elastic Defence Doctrine,Medium,M44135,x
44126,Chief of Army,Arturo Espinoza Mujica,1943,1964,1999,6,Static Defence Doctrine,High,M44122,x
44127,Chief of Army,Salvador Arron Galvéz,1944,1964,1999,3,Guns and Butter Doctrine,High,M44131,x
44128,Chief of Army,Oscar Izurieta Molina,1946,1964,1999,6,Guns and Butter Doctrine,Medium,M44134,x
44129,Chief of Navy,Francisco O'Ryan Orrego,1936,1964,1999,4,Decisive Naval Battle Doctrine,Medium,M44062,x
44130,Chief of Navy,Hernan Sarratea,1936,1964,1999,8,Decisive Naval Battle Doctrine,Medium,M44019,x
44131,Chief of Navy,Gustavo Silva,1938,1964,1999,1,Indirect Approach Doctrine,Medium,M44027,x
44132,Chief of Navy,Juan Rodriguez,1938,1964,1999,3,Open Seas Doctrine,Medium,M44138,x
44133,Chief of Navy,Julio Gerken Mahn,1944,1964,1999,3,Power Projection Doctrine,Medium,M44139,x
44134,Chief of Navy,Gaston Kulzcewski Garcia,1946,1964,1999,6,Base Control Doctrine,Medium,M44142,x
44135,Chief of Air Force,José Luis Sánchez Besa,1936,1964,1999,4,Carpet Bombing Doctrine,High,M44076,x
44136,Chief of Air Force,Ismael Sarazua Teran,1936,1964,1999,6,Vertical Envelopment Doctrine,High,M44149,x
44137,Chief of Air Force,Ariosto Herrera,1936,1964,1999,8,Air Superiority Doctrine,Very High,M44016,x
44138,Chief of Air Force,Marmaduke Grove,1938,1964,1999,1,Naval Aviation Doctrine,Very Low,M44021,x
44139,Chief of Air Force,Diego Aracena,1938,1964,1999,3,Air Superiority Doctrine,Medium,M44146,x
44140,Chief of Air Force,Gustavo Silva,1945,1964,1999,2,Army Aviation Doctrine,Medium,M44027,x
44141,Chief of Air Force,Raúl Gonzalez Nolle,1946,1964,1999,4,Army Aviation Doctrine,Medium,M44147,x
44142,Chief of Air Force,Manuel Tovarias,1946,1964,1999,6,Army Aviation Doctrine,Low,M44150,x
44143,Head of State,Carlos Keller,1936,1964,1999,8,Die-hard Reformer,Low,M44015,x
44144,Head of Government,Jorge Gonzalez von Mareés,1936,1964,1999,8,Naive Optimist,Very High,kaiserreich jorgegonzalezvonmarees,x
