PRK,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
579060,Minister of Security,Sarojini Naidu,1936,1964,1999,1,Man of the People,High,KRNaidu,X
579061,Foreign Minister,Sohan Singh Bhakna,1936,1964,1999,1,General Staffer,High,KRSohan,X
579062,Chief of Staff,Virendranath Chattopadhyaya,1936,1964,1999,0,School of Fire Support,High,KRVirendranath,X
579114,Minister of Armament,Prasanta C. Mahalanobis,1936,1964,1999,2,Industrialiser,Very High,PRKMaha,X
579063,Head of Military Intelligence,Rahul Sankrityayan,1936,1964,1999,1,Industrial Specialist,High,KRRahul,X
579064,Minister of Security,Vinayak Damodar Savarkar,1936,1964,1999,1,Prince of Terror,High,PRKVin,X
579065,Minister of Armament,Bhupendra Kumar Datta,1936,1964,1999,1,Resource Industrialist,High,KRDatta,X
579066,Chief of Army,Bhupendra Kumar Datta,1936,1964,1999,1,Guns and Butter Doctrine,High,KRDatta,X
579067,Chief of Navy,Lala Har Dayal,1936,1964,1999,2,Power Projection Doctrine,High,KRLar,X
579068,Chief of Air Force,Pulin Behari Das,1936,1964,1999,2,Air Superiority Doctrine,High,KRDas,X
579122,Minister of Security,Puran Chand Joshi,1937,1970,1980,1,Crime Fighter,Very High,PRKPcj,X
579123,Head of Government,Puran Chand Joshi,1944,1970,1980,1,Reformist Soldierhog,Very High,PRKPcj,X
579069,Head of Military Intelligence,Manabendra Nath Roy,1936,1964,1999,1,Logistics Specialist,High,KRNath,X
579110,Head of Government,Manabendra Nath Roy,1936,1964,1999,1,Reformist Soldierhog,Very High,KRNath,X
579070,Chief of Staff,Bhai Bhagwan Singh,1936,1964,1999,1,School of Mass Combat,High,KRBhag,X
579071,Foreign Minister,Bhavabhushan Mitra,1936,1964,1999,1,Ideological Crusader,High,KRMitra,X
579072,Head of Government,Jawaharlal Nehru,1936,1964,1999,1,Flamboyant Tough Guy,High,PRKNeh,X
579111,Head of State,Jawaharlal Nehru,1936,1964,1999,1,Stern Imperialist,Very High,PRKNeh,X
579112,Minister of Security,V. M. Tarkunde,1936,1964,1999,1,Crime Fighter,Very High,PRKVmt,X
579073,Minister of Armament,Jawaharlal Nehru,1936,1964,1999,1,Industrialiser,High,PRKNeh,X
579074,Head of Government,Hemanta Kumar Sarkar,1936,1964,1999,0,Ambitious Union Boss,Very High,PRKHem,X
579105,Minister of Security,U. Muthuramalingam Thevar,1936,1964,1999,0,Secret Police Chief,Very High,PRKMut,X
579106,Minister of Armament,Nalini Ranjan Sarkar ,1936,1964,1999,0,Administrative Genius,Very High,PRKNal,X
579113,Chief of Staff,Sahajanand Saraswati,1936,1964,1999,1,School of Mass Combat,Very High,PRKSah,X
579107,Head of Military Intelligence,Muzaffar Ahmed,1936,1964,1999,0,Logistics Specialist,Very High,PRKMuz,X
579108,Head of Government,Jayaprakash Narayan,1936,1964,1979,1,Naive Optimist,Very High,PRKJay,X
579109,Foreign Minister,Jayaprakash Narayan,1936,1964,1979,1,Great Compromiser,Very High,PRKJay,X
579075,Minister of Armament,Bhogaraju Pattabhi Sitaramayya,1936,1964,1999,2,Keynesian Economy,High,PRKBho,X
579076,Minister of Security,Rajkumari Amrit Kaur,1936,1964,1999,2,Health and Safety,High,PRKAmr,X
579077,Head of Military Intelligence,J. B. Kripalani,1936,1964,1999,2,Logistics Specialist,High,PRKKri,X
579078,Chief of Air Force,Dodla Ranga Reddy,1936,1964,1999,1,Carpet Bombing Doctrine,High,PRKDad,X
579079,Chief of Air Force,Syed Naseem Haider,1936,1964,1999,1,Naval Aviation Doctrine,High,PRKHai,X
579119,Chief of Army,Surya Sen,1936,1964,1999,1,Doctrine of Autonomy,Very High,PRKSen,X
579120,Minister of Armament,Surya Sen,1936,1964,1999,1,Reformer,Very High,PRKSen,X
579121,Head of State,Nirmal Kumar Bose,1936,1970,1972,2,Popular Figurehead,Very High,PRKNirmal,X
579080,Chief of Air Force,Gurbachan Singh,1936,1964,1999,0,Army Aviation Doctrine,High,PRKGur,X
579081,Minister of Armament,Leela Roy,1936,1964,1999,0,Planned Economy Proponent,Medium,PRKLee,X
579082,Head of State,Subhas Chandra Bose,1936,1964,1999,0,Red Netaji,High,KRSubhas,X
579083,Foreign Minister,Vallabhbhai Jhaverbhai Patel,1936,1964,1999,1,Iron Fisted Brute,High,PRKPat,X
579084,Foreign Minister,Mahadev Desai,1936,1964,1999,2,Great Compromiser,High,PRKMah,X
579085,Head of State,Mohandas Karamchand Gandhi,1936,1964,1999,2,Great Soul2,Very High,PRKGandhi,X
579086,Chief of Air Force,Niranjan Prasad,1936,1964,1999,2,Air Superiority Doctrine,High,PRKNir,X
579087,Chief of Staff,Ba Cho,1936,1964,1999,2,School of Defence,High,BURBoc,X
579088,Foreign Minister,U Nu,1936,1964,1999,2,The Cloak N Dagger Schemer,High,BURUnu,X
579089,Foreign Minister,Aung San,1936,1964,1999,2,Ideological Crusader,High,BURAun,X
579090,Minister of Armament,Ba Win,1936,1964,1999,2,Resource Industrialist,High,BURWin,X
579091,Minister of Security,Thakin Mya,1936,1964,1999,2,Compassionate Gentleman,High,BURMayt,X
579092,Head of Military Intelligence,Abdul Razak,1936,1964,1999,2,Dismal Enigma,High,BURAbd,X
579093,Chief of Staff,Thakin Soe,1936,1964,1999,1,School of Manoeuvre,High,BURSoe,X
579094,Chief of Army,Than Tun,1936,1964,1999,1,Guns and Butter Doctrine,High,BURTun,X
579095,Chief of Staff,Chempakaraman Pillai,1936,1964,1999,1,School of Defence,High,INDChem,X
579096,Chief of Army,Chempakaraman Pillai,1936,1964,1999,1,Decisive Battle Doctrine,High,INDChem,X
579097,Chief of Navy,Sannappa Parameshwar Gaonkar,1936,1964,1999,1,Decisive Naval Battle Doctrine,High,INDPara,X
579098,Chief of Air Force,P. Krishna Pillai,1936,1964,1999,1,Carpet Bombing Doctrine,High,INDPPil,X
579099,Chief of Staff,Mahendra Pratap,1936,1964,1999,1,School of Fire Support,Medium,PRKPra,X
579100,Chief of Army,Mahendra Pratap,1936,1964,1999,1,Elastic Defence Doctrine,Medium,PRKPra,X
579101,Chief of Staff,Shripad Amrit Dange,1936,1964,1999,1,Commando Doctrine Staff,Very High,PRKDan,X
579102,Chief of Army,Shripad Amrit Dange,1936,1964,1999,1,Commando Doctrine Army,Very High,PRKDan,X
579103,Head of Government,Shripad Amrit Dange,1936,1964,1999,1,Ambitious Union Boss,Very High,PRKDan,X
579104,Head of State,Shripad Amrit Dange,1936,1964,1999,1,Die-hard Reformer,Very High,PRKDan,X
579116,Head of Military Intelligence,V. Subbiah,1938,1964,1999,1,Political Specialist,Very High,PRKSub,X
579129,Minister of Armament,Army Reform Committee,1936,1970,1999,1,Army Reform Committee,Very High,PRKRef,X
