CAL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
572045,Head of Military Intelligence,William Randolph Hearst,1936,1964,1999,8,Industrial Specialist,Very High,kaiserreich w_r_hearst,x
572046,Foreign Minister,Culbert Levy Olson,1936,1964,1999,3,Apologetic Clerk,Very High,kaiserreich culbert_olson,x
572047,Head of Government,Culbert Levy Olson,1936,1964,1999,3,Naive Optimist,Very High,kaiserreich culbert_olson,x
572048,Minister of Armament,Harry Bridges,1936,1964,1999,3,Administrative Genius,Very High,kaiserreich harry_bridges,x
572049,Head of Military Intelligence,Norman Chandler,1936,1964,1999,3,Technical Specialist,Very High,kaiserreich norman_chandler,x
572050,Head of State,Upton Sinclair,1936,1964,1999,2,Insignificant Layman,Very High,kaiserreich upton_sinclair,x
572051,Minister of Security,Upton Sinclair,1936,1964,1999,2,Compassionate Gentleman,Very High,kaiserreich upton_sinclair,x
572052,Head of State,John L. Lewis,1936,1964,1999,2,Popular Figurehead,Very High,Lewis,x
572053,Chief of Air Force,James Doolittle,1936,1964,1999,6,Carpet Bombing Doctrine,Very High,L60505,x
572054,Chief of Army,Alexander Patch,1936,1964,1999,6,Decisive Battle Doctrine,Very High,L60291,x
572055,Chief of Navy,Robert B. Carney,1936,1964,1999,6,Power Projection Doctrine,Very High,Kaiserreich Carney,x
572056,Chief of Staff,Alexander Patch,1936,1964,1999,6,School of Psychology,Very High,L60291,x
572057,Minister of Armament,Henry J. Kaiser,1936,1964,1999,4,Administrative Genius,Very High,M6082,x
572058,Chief of Staff,Joseph Stilwell,1936,1964,1999,6,School of Manoeuvre,Very High,L60341,x
572059,Chief of Army,Joseph Stilwell,1936,1964,1999,6,Elastic Defence Doctrine,Very High,L60341,x
572060,Head of Military Intelligence,Frank Merrill,1936,1964,1999,6,Logistics Specialist,Very High,L60269,x
572061,Head of Government,Henry Arnold,1936,1964,1999,6,old airmarshal,High,M6167,x
572062,Head of State,Henry Arnold,1936,1964,1999,6,resigned generalissimo,High,M6167,x
572063,Foreign Minister,Edwin T. Layton,1936,1964,1999,3,General Staffer,High,Kaiserreich_Layton,x
572064,Minister of Security,Walter Short,1936,1964,1999,6,Silent Lawyer,High,Kaiserreich_Walter_short,x
572065,Head of Military Intelligence,Edwin T. Layton,1936,1964,1999,3,Naval Intelligence Specialist,High,Kaiserreich_Layton,x
572066,Chief of Navy,Richmond K. Turner,1936,1964,1999,6,Base Control Doctrine,High,Richmond_K,x
572067,Head of Government,Clarence D. Martin,1938,1964,1999,5,Silent Workhorse,High,mayor_martin_lg,x
572068,Head of State,Culbert Levy Olson,1936,1964,1999,3,Insignificant Layman,High,M572002,x
572069,Head of Government,William Myron Keck,1938,1964,1999,6,Smiling Oilman,High,williamkeck,x
572070,Foreign Minister,William H. Standley,1938,1964,1999,6,Ideological Crusader,High,Standley,x 
572071,Foreign Minister,Sheridan Downey,1938,1964,1999,3,Ideological Crusader,High,downey,x
572072,Foreign Minister,Homer Truett Bone,1938,1964,1999,5,Biased Intellectual,High,homerbone,x
