IRE,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
25159,Chief of Air Force,Charles Donnelly,1936,1964,1999,1,Vertical Envelopment Doctrine,High,CharlesDonnelly,X
25160,Head of State,H.R.M. Edward VIII,1936,1964,1999,6,Revanchist Monarch,High,M1011,X
25161,Head of State,A.S.R. Brian III,1936,1964,1999,6,German Aristocrat,High,kai_brianIII,X
25162,Head of State,A.S.R. Brian III,1936,1964,1999,7,German Aristocrat,High,kai_brianIII,X
25163,Chief of Army,Michael O'Riordan,1936,1964,1999,1,Guns and Butter Doctrine,High,MichaelO'Riordan,X
25164,Chief of Staff,Maurice Twomey,1936,1964,1999,1,School of Psychology,High,MossTwomey,X
25165,Chief of Navy,Robert E. Childers,1936,1964,1999,3,Open Seas Doctrine,High,RobertErskineChilders,X
25166,Chief of Air Force,James O'Donovan,1936,1964,1999,3,Air Superiority Doctrine,High,JamesO'Donovan,X
25167,Chief of Army,Tom Barry,1936,1964,1999,3,Elastic Defence Doctrine,High,TomBarry,X
25168,Chief of Staff,Liam Lynch,1936,1964,1999,3,School of Mass Combat,High,LiamLynch,X
25169,Head of Government,Brendan Corish,1936,1970,1999,3,Silent Workhorse,High,BrendanCorish,X
