FRA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
2126,Head of Military Intelligence,André Le Troquer,1936,1964,1999,3,Dismal Enigma,Medium,M2072,X
2129,Head of Military Intelligence,Maurice Delage,1941,1964,1999,4,Technical Specialist,High,M2129,X
2130,Head of Military Intelligence,Aimé Lepercq,1947,1964,1999,4,Industrial Specialist,High,M2130,X
2131,Head of Military Intelligence,René Nicolau,1936,1964,1999,6,Dismal Enigma,High,M2112,X
2132,Head of Military Intelligence,Jacques Brunschwig,1938,1964,1999,6,Naval Intelligence Specialist,High,M2132,X
2133,Head of Military Intelligence,André Marie,1940,1964,1999,6,Technical Specialist,Medium,M2041,X
2134,Head of Military Intelligence,Charles Luizet,1940,1964,1999,5,Technical Specialist,High,M2134,X
2135,Head of Military Intelligence,André de Wawrin-Passy,1942,1964,1999,6,Logistics Specialist,High,M2135,X
2136,Head of Military Intelligence,Roger Lantenois,1944,1964,1999,6,Industrial Specialist,High,M2136,X
2137,Head of Military Intelligence,André Boulloche,1946,1964,1999,6,Dismal Enigma,High,M2137,X
2138,Head of Military Intelligence,Waldeck Rochet,1936,1964,1999,0,Dismal Enigma,High,M2016,X
2139,Head of Military Intelligence,Jean-Marie Clamamus,1936,1964,1999,0,Industrial Specialist,Medium,M2120,X
2140,Head of Military Intelligence,Henri Gourdeaux,1936,1964,1999,1,Logistics Specialist,High,M2119,X
2141,Head of Military Intelligence,Gustave Guéhenneux,1947,1964,1999,0,Technical Specialist,Medium,M2141,X
2142,Head of Military Intelligence,Paul Repiton-Preneuf,1938,1964,1999,2,Logistics Specialist,Medium,M2142,X
2144,Chief of Staff,Jean-Marie Lattre de Tassigny,1936,1964,1999,6,School of Mass Combat,Medium,M2047,X
2146,Chief of Staff,Maxime Weygand,1960,1964,1999,9,School of Defence,Very High,M2146,X
2148,Chief of Staff,Paul Le Gentilhomme,1936,1964,1999,1,School of Psychology,Medium,M2148,X
2150,Chief of Staff,Charles de Gaulle,1940,1964,1999,6,School of Manoeuvre,High,M2027,X
2151,Chief of Staff,Pierre-Armand Billotte,1942,1964,1999,6,School of Fire Support,Medium,M2151,X
2152,Chief of Staff,Pierre Bourges-Maunory,1944,1964,1999,6,School of Psychology,High,M2152,X
2154,Chief of Staff,Marcel Cachin,1936,1964,1999,0,School of Fire Support,Medium,M2017,X
2157,Chief of Army,Leon Victor Bourgeois,1936,1964,1999,3,Guns and Butter Doctrine,Medium,M2157,X
2158,Chief of Army,Jean-Marie Lattre de Tassigny,1940,1964,1999,6,Armoured Spearhead Doctrine,Medium,M2047,X
2160,Chief of Army,Pierre Auguste Chardigny,1941,1964,1999,4,Elastic Defence Doctrine,Medium,M2098,X
2164,Chief of Army,Jean Bertin-Boussus,1940,1964,1999,6,Elastic Defence Doctrine,Medium,M2164,X
2166,Chief of Army,André Marty,1936,1964,1999,1,Guns and Butter Doctrine,Medium,M2018,X
2167,Chief of Army,Pierre Fabien,1939,1964,1999,2,Decisive Battle Doctrine,Medium,M2167,X
2168,Chief of Army,Maxime Weygand,1938,1964,1999,7,Elastic Defence Doctrine,Medium,M2146,X
2170,Chief of Navy,Joseph Paul Boncour,1936,1964,1999,1,Base Control Doctrine,High,M2170,X
2171,Chief of Navy,Jean Gout,1944,1964,1999,3,Power Projection Doctrine,High,M2171,X
2173,Chief of Navy,César Campinchi,1940,1964,1999,5,Indirect Approach Doctrine,Very High,M2173,X
2176,Chief of Navy,Francois Pietri,1940,1964,1999,6,Indirect Approach Doctrine,Medium,M2176,X
2178,Chief of Navy,Etienne Schlumberger,1940,1964,1999,6,Decisive Naval Battle Doctrine,High,M2174,X
2179,Chief of Navy,André Marty,1936,1964,1999,1,Indirect Approach Doctrine,Medium,M2018,X
2180,Chief of Navy,Charles Tillon,1936,1964,1999,0,Base Control Doctrine,High,M2180,X
2181,Chief of Navy,Pierre Richard,1938,1964,1999,7,Decisive Naval Battle Doctrine,High,M2181,X
2183,Chief of Air Force,Marcel Déat,1938,1964,1999,0,Air Superiority Doctrine,Low,kaiserreich marceldeat,X
2184,Chief of Air Force,Pierre Cot,1940,1964,1999,3,Army Aviation Doctrine,Very High,M2184,X
2187,Chief of Air Force,Joseph Vuillemin,1938,1964,1999,4,Air Superiority Doctrine,Very High,M2187,X
2188,Chief of Air Force,Guy La Chambre,1940,1964,1999,4,Vertical Envelopment Doctrine,Medium,M2188,X
2191,Chief of Air Force,Robert Rossi,1940,1964,1999,6,Army Aviation Doctrine,Very High,M2191,X
2193,Chief of Air Force,Martial Valín,1940,1964,1999,6,Air Superiority Doctrine,Very High,M2185,X
2194,Chief of Air Force,Raymond Roques,1944,1964,1999,6,Carpet Bombing Doctrine,Very High,M2194,X
2195,Chief of Air Force,Marcel Gitton,1936,1964,1999,0,Air Superiority Doctrine,Medium,M2020,X
2196,Chief of Air Force,Charles Tillon,1940,1964,1999,0,Army Aviation Doctrine,High,M2180,X
2201,Head of Government,Robert Schumann,1947,1964,1999,4,Corporate Suit,High,M2088,X
2202,Foreign Minister,Maurice Dejean,1940,1964,1999,5,Great Compromiser,High,M2202,X
2203,Foreign Minister,René Pleven,1942,1964,1999,5,Biased Intellectual,High,M2090,X
2206,Chief of Army,Alphonse Georges,1937,1964,1999,2,Static Defence Doctrine,High,L24082,X
2207,Head of State,Jaques Doriot,1940,1964,1999,0,Reformist Soldierhos,Very High,kaiserreich jacquesdoriot,X
2208,Head of State,Camille Chautemps,1940,1964,1999,4,Popular Figurehead,Very High,M2036,X
2209,Head of Government,Louis-Georges Mandel,1940,1964,1999,4,Backroom Backstabber,Medium,M2108,X
2210,Minister of Security,Yvon Delbos,1940,1964,1999,4,Silent Lawyer,High,M2048,X
2211,Head of State,Henri-Honoré Giraud,1940,1964,1999,7,Weary Stiffneck,Very High,L24084,X
2212,Head of Government,Henri-Honoré Giraud,1940,1964,1999,7,Old General,Very High,L24084,X
2213,Foreign Minister,Charles-Emmanuel Mast,1940,1964,1999,2,General Staffer,High,L24224,X
2214,Minister of Armament,Marie-Pierre Koenig,1940,1964,1999,6,Military Entrepreneur,Very High,L24107,X
2215,Chief of Staff,Henri-Honoré Giraud,1940,1964,1999,7,School of Fire Support,Very High,L24084,X
2216,Head of State,Sébastien Faure,1936,1964,1999,2,Syndicalist Demagogue,Very High,kaiserreich sebastienfaure,X
2217,Head of Government,Marceau Pivert,1936,1964,1999,1,Corporate Suit,Very High,kaiserreich marceaupivert,X
2218,Foreign Minister,Pierre Brossolette,1936,1964,1999,1,General Staffer,Very High,kaiserreich pierrebrossolette,X
2219,Minister of Armament,Pierre Monatte,1936,1964,1999,1,Infantry Proponent,Very High,kaiserreich pierremonat,X
2220,Minister of Security,Charles Rappoport,1936,1964,1999,1,Health and Safety,Very High,kaiserreich charlesrappapport,X
2221,Head of Military Intelligence,May Picqueray,1936,1964,1999,2,Political Specialist,Very High,kaiserreich MayPicqueray,X
2222,Chief of Staff,Henri Tanguy,1936,1964,1999,2,School of Mass Combat,Medium,kaiserreich roltanguy,X
2223,Chief of Army,Jacques Doriot,1936,1964,1999,0,Elastic Defence Doctrine,Medium,kaiserreich jacquesdoriot,X
2224,Chief of Navy,Marcel Déat,1936,1964,1999,0,Base Control Doctrine,Medium,kaiserreich marceldeat,X
2225,Chief of Air Force,Antoine de Saint-Exupéry,1936,1964,1999,1,Air Superiority Doctrine,Medium,saintexuperyqr1,X
2226,Head of State,Benoît Frachon,1936,1964,1999,1,Die-hard Reformer,Medium,kaiserreich benoitfrachon,X
2278,Minister of Armament,Benoît Broutchoux,1936,1954,1954,2,Planned Economy Proponent,Very High,FRA_Broutchoux,X
2279,Head of Government,Benoît Broutchoux,1936,1970,1999,2,Respected War Hero,Very High,FRA_Broutchoux,X
2280,Foreign Minister,Fernand Desprès,1936,1970,1999,2,Ideological Crusader,Very High,FRA_Despres,X
2285,Minister of Security,Fernand Desprès,1950,1970,1999,2,Man of the People,Very High,FRA_Despres,X
2281,Foreign Minister,Robert Louzon,1936,1970,1999,2,Great Compromiser,Very High,FRA_Louzon,X
2282,Minister of Armament,Ambroise Croizat,1936,1970,1999,0,Industrialiser,Very High,FRA_Croizat,X
2276,Head of Government,Benoît Frachon,1936,1970,1999,1,Ambitious Union Boss,Very High,kaiserreich benoitfrachon,X
2277,Minister of Security,Gaston Monmousseau,1936,1970,1999,1,Health and Safety,Very High,FRA_Monmousseau,X
2227,Head of State,Léon Jouhaux,1936,1964,1999,1,Benevolent Gentleman,Medium,kaiserreich leonjouhaux,X
2228,Head of State,Marcel Déat,1936,1964,1999,0,Powerhungry Demagogue,Medium,kaiserreich marceldeat,X
2229,Head of State,Georges Valois,1936,1964,1999,0,Totalist President,Medium,kaiserreich georgevalois,X
2230,Head of State,Nestor Makhno,1936,1964,1999,2,Modernday Dombrowski,Very High,kaiserreich nestormakhno,X
2231,Head of Government,Boris Souvarine,1936,1964,1999,1,Naive Optimist,Medium,kaiserreich borissouverain,X
2232,Head of Government,Georges Valois,1936,1964,1999,0,Totalist Chairman,Medium,kaiserreich georgevalois,X
2233,Head of Government,Marcel Bucard,1936,1964,1999,0,Flamboyant Tough Guy,Medium,kaiserreich bucard,X
2234,Head of Government,Daniel Guérin,1936,1964,1999,2,Happy Amateur,Very High,kaiserreich danielguerin,X
2284,Head of State,Daniel Guérin,1950,1970,1999,2,Die-hard Reformer,Very High,kaiserreich danielguerin,X
2235,Foreign Minister,Angelo Tasca,1936,1964,1999,0,Biased Intellectual,Medium,kaiserreich angelotasca,X
2236,Foreign Minister,Charles Rappoport,1936,1964,1999,1,Ideological Crusader,Very High,kaiserreich charlesrappapport,X
2237,Foreign Minister,Nestor Makhno,1936,1964,1999,2,General Staffer,Very High,kaiserreich nestormakhno,X
2238,Head of Government,Maurice Joyeux,1946,1964,1999,2,Ambitious Union Boss,Very High,kaiserreich mauricejoyeux,X
2239,Foreign Minister,Amédée Dunois,1936,1964,1999,1,Ideological Crusader,Medium,kaiserreich amedeedunois,X
2240,Foreign Minister,Jean-Paul Sartre,1940,1964,1999,2,Biased Intellectual,Medium,kaiserreich sartre,X
2241,Minister of Armament,Jacques Doriot,1936,1964,1999,0,Reformer,Medium,kaiserreich jacquesdoriot,X
2242,Minister of Armament,Marcel Déat,1937,1964,1999,0,Air Superiority Proponent,Very High,kaiserreich marceldeat,X
2243,Minister of Armament,André Malraux,1938,1964,1999,2,Strategic Air Proponent,Medium,kaiserreich malraux,X
2244,Minister of Armament,Daniel Guérin,1936,1964,1999,2,Mixed Economy,Very High,kaiserreich danielguerin,X
2245,Minister of Armament,André Breton,1939,1964,1999,2,Construction Magnate,Very High,kaiserreich breton,X
2246,Minister of Security,Marcel Bucard,1936,1964,1999,0,Secret Police Chief,Very High,kaiserreich bucard,X
2247,Minister of Security,Marceau Pivert,1936,1964,1999,1,Compassionate Gentleman,Medium,kaiserreich marceaupivert,X
2248,Minister of Security,Sébastien Faure,1936,1964,1999,2,Crime Fighter,Medium,kaiserreich sebastienfaure,X
2249,Minister of Security,May Picqueray,1937,1964,1999,2,Secret Police Chief,Medium,kaiserreich maypicqueray,X
2250,Minister of Security,Maurice Joyeux,1936,1964,1999,2,Man of the People,Medium,kaiserreich mauricejoyeux,X
2251,Minister of Security,Louis Aragon,1940,1964,1999,0,Health and Safety,Medium,kaiserreich aragon,X
2252,Minister of Security,Alfred Rosmer,1936,1964,1999,1,Silent Lawyer,Medium,kaiserreich alfredrosmer,X
2253,Head of Military Intelligence,Albert Camus,1936,1964,1999,2,Dismal Enigma,Very High,kaiserreich albertcamus,X
2254,Head of Military Intelligence,Pierre Monatte,1936,1964,1999,1,Political Specialist,Medium,kaiserreich pierremonat,X
2255,Head of Military Intelligence,Jean Moulin,1939,1964,1999,1,Industrial Specialist,Medium,kaiserreich jeanmoulin,X
2256,Head of Military Intelligence,Pierre Villon,1936,1964,1999,0,Technical Specialist,Medium,kaiserreich villon,X
2257,Head of Military Intelligence,Hubert Lagradelle,1936,1964,1999,0,Technical Specialist,Medium,kaiserreich hubertlagradelle,X
2258,Chief of Staff,Jacques Doriot,1936,1964,1999,0,School of Psychology,Medium,kaiserreich jacquesdoriot,X
2259,Chief of Army,Henri Tanguy,1936,1964,1999,2,Elastic Defence Doctrine,Very High,kaiserreich roltanguy,X
2286,Minister of Armament,Henri Tanguy,1936,1970,1999,2,Infantry Proponent,Very High,kaiserreich roltanguy,X
2260,Chief of Staff,Marcel Bucard,1936,1964,1999,0,School of Mass Combat,Medium,kaiserreich bucard,X
2261,Chief of Army,Paul Le Gentilhomme,1936,1964,1999,1,Armoured Spearhead Doctrine,Medium,M2148,X
2262,Chief of Staff,Missak Manouchian,1938,1964,1999,1,School of Manoeuvre,Medium,kaiserreich manouchian,X
2263,Chief of Army,Joseph Epstein,1938,1964,1999,1,Armoured Spearhead Doctrine,Medium,kaiserreich epstein,X
2264,Chief of Staff,Nestor Makhno,1936,1964,1999,2,Commando Doctrine Staff,Medium,kaiserreich nestormakhno,X
2265,Chief of Army,May Picqueray,1937,1964,1999,2,Commando Doctrine Army,Medium,kaiserreich maypicqueray,X
2266,Chief of Army,Maurice Joyeux,1938,1964,1999,2,Doctrine of Autonomy,Medium,kaiserreich mauricejoyeux,X
2267,Chief of Staff,Jacques Duclos,1936,1964,1999,0,School of Manoeuvre,Medium,M2012,X
2268,Chief of Army,Jacques Duclos,1936,1964,1999,0,Static Defence Doctrine,Medium,M2012,X
2269,Chief of Navy,Jean Moulin,1939,1964,1999,1,Open Seas Doctrine,Medium,kaiserreich jeanmoulin,X
2270,Chief of Air Force,André Malraux,1936,1964,1999,2,Carpet Bombing Doctrine,Medium,kaiserreich malraux,X
2271,Head of State,Marcel Cachin,1936,1964,1999,0,Autocratic Charmer,High,M2017,X
2272,Head of Government,Comité de Salut Public,1936,1964,1999,1,Silent Workhorse,High,KRCdSP,X
2273,Head of State,Comité de Salut Public,1936,1964,1999,1,Die-hard Reformer,High,KRCdSP,X
2274,Foreign Minister,Maurice Thorez,1936,1964,1999,0,Biased Intellectual,Very High,M2011,X
2275,Minister of Armament,Georges Dumoulin,1936,1970,1999,1,Industrialiser,Very High,FRA_Dumoulin,X
2288,Head of State,Maurice Gamelin,1936,1964,1999,3,Weary Stiffneck,Very High,M2007,X
2287,Head of Government,Maurice Gamelin,1936,1964,1999,3,respected war hero,Very High,M2007,X
