RUS,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
4191,Head of Government,Vladimir M. Purishkevich,8,Flamboyant Tough Guy,kaiserreich VladimirPurishkevich
4084,Minister of Security,Vladimir Malyshkin,8,Back Stabber,M4084
4353,Minister of Security,Aleksandr A. Galich,9,Man of the People,MRUS Galich
4336,Foreign Minister,Aleksandr Dikgof-Derental,9,Biased Intellectual,MRUS Dikgof-Derental
4349,Foreign Minister,Aleksandr L. Kazembek,9,Iron Fisted Brute,MRUS Kazembek
4338,Chief of Army,Aleksandr S. Antonov,9,Doctrine of Autonomy,M4122
4122,Head of Military Intelligence,Aleksandr S. Antonov,9,Logistics Specialist,M4122
4344,Foreign Minister,Aleksei N. Tolstoy,9,Biased Intellectual,MRUS Tolstoy
4355,Minister of Security,Anatoly MacReady-Stenroos,9,Media Magnate,MRUS MacReady-Stenroos
4354,Minister of Armament,Andrey I. Zankevich,9,Construction Magnate,MRUS Zankevich
4139,Chief of Navy,Boris A. Vilkitsky,9,Indirect Approach Doctrine,Kaiserreich Vilkitsky
4166,Head of Military Intelligence,Boris V. Annenkov,9,Logistics Specialist,Annenkov
4125,Chief of Staff,Boris V. Annenkov,9,School of Mass Combat,Annenkov
4329,Head of Government,Boris V. Savinkov,9,The Vozhd2,M4108
4341,Minister of Security,Bronislav V. Kaminski,9,Prince of Terror,MRUS Kaminski
4340,Chief of Staff,Bronislav V. Kaminski,9,School of Fire Support,MRUS Kaminski
4334,Foreign Minister,Dmitri M. Odinets,9,Ideological Crusader,MRUS Odinets
4337,Minister of Security,Emma Dikgof-Derental ,9,Efficient Sociopath,MRUS Emma ikgof-Derental
4111,Minister of Security,Grigorij R. Semyonov,9,Efficient Sociopath,M4111
4300,Minister of Security,Ivan A. Ilyin,9,Silent Lawyer,M4300
4333,Minister of Security,Karlis Goppers,9,Secret Police Chief,MRUS Goppers
4342,Chief of Army,Konstantin P. Voskoboinik,9,Decisive Battle Doctrine,MRUS Voskoboinik
4104,Minister of Armament,Nikolai P. Krasnov,9,Construction Magnate,M4104
4346,Minister of Armament,Nikolai V. Ustryalov,9,Administrative Genius,MRUS Ustryalov
4345,Head of Government,Nikolai V. Ustryalov,9,Flamboyant Tough Guy,MRUS Ustryalov
4132,Chief of Army,Pavel N. Shatilov,9,Elastic Defence Doctrine,Shatilov
4157,Head of Government,Pavel N. Shatilov,9,Political Protege,Shatilov
4126,Chief of Staff,Pavel N. Shatilov,9,School of Fire Support,Shatilov
4352,Head of Government,Sergei G. Romanovski,9,Backroom Backstabber,MRUS Romanovski
4351,Head of Military Intelligence,Sergei G. Romanovski,9,Dismal Enigma,MRUS Romanovski
4350,Foreign Minister,Sergei G. Romanovski,9,Great Compromiser,MRUS Romanovski
4339,Chief of Staff,Vasily V. Biskupsky,9,School of Mass Combat,MRUS Biskupsky
4114,Minister of Security,Viktor L. Pokrovsky,9,Back Stabber,L500069
4093,Head of Government,Viktor L. Pokrovsky,9,Backroom Backstabber,L500069
4347,Head of Government,Viktor M. Baydalakov,9,Corporate Suit,MRUS Baydalakov
4348,Head of Military Intelligence,Viktor M. Baydalakov,9,Political Specialist,MRUS Baydalakov
4343,Minister of Armament,Yuri V. Kluchnikov,9,Construction Magnate,MRUS Kluchnikov
