BRA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
34319,Minister of Security,Ildo Meneghetti,1936,1964,1999,3,Crime Fighter,Medium,Ildo_Meneghetti,x
34320,Minister of Security,José Conrado Wagner,1936,1964,1999,3,Silent Lawyer,Medium,Jose_Conrado_Wagner,x
34321,Minister of Security,Gigi Damiani,1936,1964,1999,2,Efficient Sociopath,medium,BRA_Gigi_Damiani,x
34322,Minister of Security,Walter Só Jobim,1936,1964,1999,2,Prince of Terror,Medium,Valter_So_Jobim,x
34323,Minister of Security,Florentino de Carvalho,1939,1964,1999,2,Man of the People,medium,BRA_Florentino_de_Carvalho,x
34324,Minister of Security,João Penteado,1936,1964,1999,2,Silent Lawyer,medium,BRA_Joao_Penteado,x
34325,Minister of Security,Fábio Lopes dos Santos Luz,1936,1964,1999,2,Man of the People,medium,BRA_Fabio_Lopes_dos_Santos_Luz,x
34326,Minister of Security,Orestes Ristori,1936,1964,1999,2,Prince of Terror,medium,BRA_Oreste_Ristori,x
34327,Minister of Security,Carlos Heitor de Azevedo,1936,1964,1999,2,Silent Lawyer,Medium,Carlos_Heitor_de_Azevedo,x
34328,Minister of Security,João Cabanas,1936,1964,1999,1,Prince of Terror,medium,BRA_Joao_Cabanas,x
34329,Minister of Security,João Alberto Lins de Barros,1937,1964,1999,1,Crime Fighter,medium,BRA_Joao_Alberto_Lins_de_Barros,x
34330,Head of Military Intelligence,Filinto Muller,1936,1964,1999,9,Political Specialist,Very High,M34006,x
34331,Head of Military Intelligence,Mansueto Bernardi,1936,1964,1999,9,Dismal Enigma,medium,BRA_Mansueto_Bernardi,x
34332,Head of Military Intelligence,Luís da Câmara Cascudo,1936,1964,1999,8,Logistics Specialist,medium,BRA_Luis_da_Camara_Cascudo,x
34333,Head of Military Intelligence,Francisco Campos,1936,1964,1999,8,Logistics Specialist,medium,BRA_Francisco_Campos,x
34334,Head of Military Intelligence,Tasso da Silveira,1936,1964,1999,7,Technical Specialist,medium,BRA_Tasso_da_Silveira,x
34335,Head of Military Intelligence,Plínio Barreto,1936,1964,1999,6,Political Specialist,Medium,Barreto,x
34336,Head of Military Intelligence,Samuel Figueiredo da Silva,1945,1964,1999,4,Political Specialist,Medium,Samuel_Figueiredo_da_Silva,x
34337,Head of Military Intelligence,Sebastião Nogueira de Lima,1936,1964,1999,3,Political Specialist,Medium,Sebastiao_Nogueira_de_Lima,x
34338,Head of Military Intelligence,Luiz Derivi,1936,1964,1999,2,Industrial Specialist,medium,unknown,x
34339,Head of Military Intelligence,José Oiticica,1936,1964,1999,2,Industrial Specialist,medium,BRA_Jose_Oiticica,x
34340,Head of Military Intelligence,Antonio Piccarolo,1936,1964,1999,1,Political Specialist,medium,BRA_Antonio_Picarollo,x
34341,Head of Military Intelligence,João Cabanas,1936,1964,1999,1,Dismal Enigma,Medium,BRA_Joao_Cabanas,x
34342,Chief of Staff,Eurico Gaspar Dutra,1936,1964,1999,7,School of Defence,Medium,M34007,x
34343,Chief of Staff,Magalhães Barata de Azevedo,1943,1964,1999,7,School of Manoeuvre,Medium,M34037,x
34344,Chief of Staff,Miguel Costa,1936,1964,1999,7,School of Defence,medium,BRA_Miguel_Costa,x
34345,Chief of Staff,Newton Cavalcanti,1937,1964,1999,7,School of Psychology,Medium,M34047,x
34346,Chief of Staff,José Fernandes Leite de Castro,1936,1964,1999,8,School of Fire Support,medium,BRA_Jose_Fernandes_Leite_de_Castro,x
34347,Chief of Staff,Joao Neves da Fontoura,1945,1964,1999,6,School of Defence,High,M34008,x
34348,Chief of Staff,Argemiro Assis,1947,1964,1999,5,School of Defence,Medium,M34154,x
34349,Chief of Staff,Henrique Smith Bayma,1936,1964,1999,3,School of Psychology,Medium,Henrique_Smith_Bayma,x
34350,Chief of Staff,Herculano de Carvalho e Silva,1936,1964,1999,3,School of Manoeuvre,Medium,BRA_Herculano_de_Carvalho_e_Silva,x
34351,Chief of Staff,Cordeiro de Farias,1941,1964,1999,3,School of Mass Combat,medium,BRA_Cordeiro_de_Farias,x
34352,Chief of Staff,Newton Estillac Leal,1936,1964,1999,2,School of Manoeuvre,medium,BRA_Newton_Estillac_Leal,x
34353,Chief of Staff,Luis Carlos Prestes,1936,1964,1999,2,School of Mass Combat,Undying,BRA_Luis_Carlos_Prestes,x
34354,Chief of Staff,Juarez Távora,1938,1964,1999,1,School of Psychology,medium,BRA_Juarez_Tavora,x
34355,Chief of Army,Atanagildo França,1936,1964,1999,9,Decisive Battle Doctrine,medium,BRA_Atanagildo_Franca,x
34356,Chief of Army,Euclides Figueiredo,1936,1964,1999,9,Elastic Defence Doctrine,medium,Euclides_Figueiredo,x
34357,Chief of Army,Olímpio Mourão Filho,1936,1964,1999,8,Static Defence Doctrine,medium,BRA_Olimpio_Mourao_Filho,x
34358,Chief of Army,Ari Salgado Freire,1936,1964,1999,8,Guns and Butter Doctrine,medium,BRA_Ari_Salgado_Freire,x
34359,Chief of Army,Paulo Kruger da Cunha Cruz,1936,1964,1999,8,Static Defence Doctrine,medium,BRA_Paulo_Kruger_da_Cunha_Cruz,x
34360,Chief of Army,José Fernandes Leite de Castro,1936,1964,1999,8,Decisive Battle Doctrine,medium,BRA_Jose_Fernandes_Leite_de_Castro,x
34361,Chief of Army,Trifino Corrêia,1936,1964,1999,7,Static Defence Doctrine,medium,BRA_Trifino_Correa,x
34362,Chief of Army,Eurico Gaspar Dutra,1937,1964,1999,7,Static Defence Doctrine,Medium,M34011,x
34363,Chief of Army,Manuel de Cerqueira Daltro Filho,1936,1964,1999,7,Decisive Battle Doctrine,Medium,Daltro_Filho,x
34364,Chief of Army,Sadi Vale Machado,1936,1964,1999,7,Decisive Battle Doctrine,medium,BRA_Sadi_Vale_Machado,x
34365,Chief of Army,Miguel Costa,1936,1964,1999,7,Guns and Butter Doctrine,medium,BRA_Miguel_Costa,x
34366,Chief of Army,Emídio da Costa Miranda,1936,1964,1999,7,Elastic Defence Doctrine,medium,BRA_Emidio_da_Costa_Miranda,x
34367,Chief of Army,José Pinheiro Machado,1936,1964,1999,7,Guns and Butter Doctrine,medium,BRA_Jose_Pinheiro_Machado,x
34368,Chief of Army,Djalma Dutra,1936,1964,1999,7,Armoured Spearhead Doctrine,medium,BRA_Djalma_Dutra,x
34369,Chief of Army,Newton Cavalcanti,1943,1964,1999,7,Decisive Battle Doctrine,Medium,M34047,x
34370,Chief of Army,João Neves da Fontoura,1936,1964,1999,6,Static Defence Doctrine,Medium,M34008,x
34371,Chief of Army,Manuel Lima Nascimento,1936,1964,1999,6,Armoured Spearhead Doctrine,medium,BRA_Manuel_Lima_Nascimento,x
34372,Chief of Army,Argemiro Assis,1947,1964,1999,5,Static Defence Doctrine,Medium,M34154,x
34373,Chief of Army,Ernesto Dornelles,1936,1964,1999,4,Armoured Spearhead Doctrine,Medium,Ernesto_Dornelles,x
34374,Chief of Army,Herculano de Carvalho e Silva,1936,1964,1999,3,Armoured Spearhead Doctrine,Medium,BRA_Herculano_de_Carvalho_e_Silva,x
34375,Chief of Army,Henrique Smith Bayma,1936,1964,1999,3,static defence doctrine,Medium,Henrique_Smith_Bayma,x
34376,Chief of Army,Henrique Teixeira Lott,1937,1964,1999,2,Decisive Battle Doctrine,Medium,M34027,x
34377,Chief of Army,Antônio de Siqueira Campos,1938,1964,1999,2,Elastic Defence Doctrine,medium,BRA_Antonio_de_Siqueira_Campos,x
34378,Chief of Army,Newton Estillac Leal,1936,1964,1999,2,Armoured Spearhead Doctrine,medium,BRA_Newton_Estillac_Leal,x
34379,Chief of Army,Silo Meireles,1943,1964,1999,1,Elastic Defence Doctrine,Very Low,M34058,x
34380,Chief of Army,Juarez Távora,1938,1964,1999,1,Decisive Battle Doctrine,medium,BRA_Juarez_Tavora,x
34381,Chief of Navy,Sylvio de Noronha,1943,1964,1999,6,Open Seas Doctrine,High,M34019,x
34382,Chief of Navy,Augusto do Amaral Peixoto,1941,1964,1999,3,Base Control Doctrine,medium,BRA_Augusto_do_Amaral_Peixoto,x
34383,Chief of Navy,Ernâni do Amaral Peixoto,1936,1964,1999,3,Indirect Approach Doctrine,medium,BRA_Ernani_do_Amaral_Peixoto,x
34384,Chief of Navy,Henrique Smith Bayma,1936,1964,1999,3,Base Control Doctrine,Medium,Henrique_Smith_Bayma,x
34385,Chief of Navy,Aristides Guilhem,1936,1964,1999,3,Open Seas Doctrine,Medium,M34009,x
34386,Chief of Navy,Protógenes Guimarães,1936,1964,1999,2,Open Seas Doctrine,medium,BRA_Protogenes_Guimaraes,x
34387,Chief of Air Force,Figueira de Almeida,1943,1964,1999,6,Army Aviation Doctrine,Medium,M34020,x
34388,Chief of Air Force,Eduardo Pacheco Chaves,1936,1964,1999,6,Army Aviation Doctrine,Medium,Eduardo_Pacheco_Chaves,x
34389,Chief of Air Force,Nero Moura,1937,1964,1999,5,Vertical Envelopment Doctrine,Medium,M34030,x
34390,Chief of Air Force,Eduardo Gomes,1945,1964,1999,5,Army Aviation Doctrine,Medium,M34021,x
34391,Chief of Air Force,João Ribeiro de Barros,1936,1964,1999,4,Naval Aviation Doctrine,Medium,Joao_Ribeiro,x
34392,Chief of Air Force,Ernesto Dornelles,1936,1964,1999,4,Air Superiority Doctrine,Medium,Ernesto_Dornelles,x
34393,Chief of Air Force,Salgado Filho,1936,1964,1999,3,Army Aviation Doctrine,Medium,M34010,x
34394,Chief of Air Force,Teresa de Marzo,1943,1964,1999,3,Air Superiority Doctrine,Medium,Teresa_de_Marzo,x
34395,Chief of Air Force,Epaminondas dos Santos,1943,1964,1999,2,Air Superiority Doctrine,Medium,M34040,x
34396,Chief of Air Force,Leonel Benevides de Rezende,1936,1964,1999,2,Vertical Envelopment Doctrine,Very High,M34187,x
34397,Chief of Air Force,Agilberto Vieira,1936,1964,1999,1,Naval Aviation Doctrine,Very High,M34060,x
34398,Head of State,José Américo de Almeida,1937,1964,1999,3,Benevolent Gentleman,Medium,M34024,x
34400,Head of State,Armando de Sales Oliveira,1936,1964,1999,6,Weary Stiffneck,Medium,Sales_De_Oliveira,x
34401,Head of Government,Armando de Sales Oliveira,1936,1964,1999,6,Corporate Suit,Medium,Sales_De_Oliveira,x
34402,Head of State,Cristiano Machado,1936,1964,1999,6,Autocratic Charmer,Medium,BRA_cristiano_machado,x
34403,Head of Government,Cristiano Machado,1936,1964,1999,6,Happy Amateur,Medium,BRA_cristiano_machado,x
34404,Head of Government,Ildo Meneghetti,1936,1964,1999,3,Naive Optimist,Medium,Ildo_Meneghetti,x
34405,Head of State,Oswaldo Aranha,1938,1964,1999,6,Stern Imperialist,Medium,M34076,x
34406,Head of Government,Oswaldo Aranha,1938,1964,1999,6,Naive Optimist,Medium,M34076,x
34407,Head of State,Tancredo Neves,1950,1964,1999,4,Die-hard Reformer,Medium,BRA_tancredo_neves,x
34408,Head of Government,Tancredo Neves,1950,1964,1999,4,Silent Workhorse,Medium,BRA_tancredo_neves,x
34409,Head of State,João Cleofas de Oliveira,1950,1964,1999,6,Barking Buffoon,Medium,BRA_joao_cleofas,x
34410,Head of Government,João Cleofas de Oliveira,1950,1964,1999,6,Political Protege,Medium,BRA_joao_cleofas,x
34411,Head of State,Júlio de Mesquita Filho,1936,1964,1999,3,Insignificant Layman,Medium,Julio_de_Mesquita_Filho,x
34412,Head of Government,Júlio de Mesquita Filho,1936,1964,1999,3,Corporate Suit,Medium,Julio_de_Mesquita_Filho,x
34413,Head of State,Leonel Brizola,1950,1964,1999,6,Stern Imperialist,Medium,BRA_leonel_brizola,x
34414,Head of Government,Leonel Brizola,1950,1964,1999,6,Flamboyant Tough Guy,Medium,BRA_leonel_brizola,x
34415,Head of State,Olímpio Mourão Filho,1936,1964,1999,8,Popular Figurehead,medium,BRA_Olimpio_Mourao_Filho,x
34416,Head of Government,Sylvio de Noronha,1943,1964,1999,6,Old Admiral,High,M34019,x
34417,Head of State,Filinto Muller,1936,1964,1999,9,Ruthless Powermonger,Very High,M34006,x
34418,Head of Government,Filinto Muller,1936,1964,1999,9,Old General,Very High,M34006,x
