AFG,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
54071,Chief of Navy,Mohammed Etemadi Khan,7,Indirect Approach Doctrine,M54016
54030,Foreign Minister,Mohammed Etemadi Khan,7,The Cloak N Dagger Schemer,M54016
54059,Head of Military Intelligence,Mohammed Etemadi Khan,7,Logistics Specialist,M54016
54043,Minister of Armament,Mohammed Etemadi Khan,7,Mixed Economy,M54016
54055,Foreign Minister,Mohammed Kabir Ludin,7,Apologetic Clerk,AFG_Mohammed Kabir Ludin
54054,Head of Military Intelligence,Mohammed Kabir Ludin,7,Political Specialist,AFG_Mohammed Kabir Ludin
54107,Chief of Army,Mohammed Nadir Shah,7,Doctrine of Autonomy,AFGNad
54039,Minister of Armament,Mohammed Nadir Shah,7,Reformer,AFGNad
54012,Head of Government,Muhammed Ghobar,7,Naive Optimist,M54012
54052,Minister of Security,Muhammed Ghobar,7,Compassionate Gentleman,M54012
54070,Chief of Navy,Muhammed Hashim,7,Base Control Doctrine,M54002
54002,Head of Government,Muhammed Hashim,7,Happy Amateur,M54002
54005,Minister of Security,Muhammed Hashim,7,Secret Police Chief,M54002
54044,Minister of Armament,Muhammed Nowroz,7,Resource Industrialist,M54044
54078,Chief of Air Force,Muhammed Zahir,7,Army Aviation Doctrine,M54001
54009,Chief of Navy,Muhammed Zahir,7,Indirect Approach Doctrine,M54001
54049,Minister of Security,Muhammed Zahir,7,Man of the People,M54001
54069,Chief of Army,Nasirullah Husain,7,Decisive Battle Doctrine,M54019
54073,Chief of Navy,Nasirullah Husain,7,Decisive Naval Battle Doctrine,M54019
54024,Head of Government,Shah Mahmud Ghazi,7,Old General,M54006
54103,Chief of Staff,Shah Mahmud Khan,7,School of Defence,AFG_Shah Mahmud Khan
54023,Head of Government,Shah Mahmud Khan,7,Political Protege,AFG_Shah Mahmud Khan
54104,Minister of Armament,Shah Mahmud Khan,7,Keynesian Economy,AFG_Shah Mahmud Khan
54074,Head of Government,Shah Wali Khan,7,Silent Workhorse,M54042
54026,Foreign Minister,Amanullah Khan,8,Ideological Crusader,AFGAma
54034,Minister of Armament,Bortolo Berlotti,8,Administrative Genius,M54034
54046,Minister of Security,Carlo Garbasso,8,Prince of Terror,M54046
54077,Chief of Air Force,Feruccio Serafini,8,Air Superiority Doctrine,M54038
54075,Chief of Air Force,Gholam Wali,8,Vertical Envelopment Doctrine,M54063
54047,Minister of Security,Ghulam Faruq Usman,8,Crime Fighter,M54047
54003,Foreign Minister,Haji Faiz Muhammed Zikeria,8,Ideological Crusader,M54003
54082,Head of Government,Inayatullah Khan Seraj,8,Happy Amateur,AFGIna
54033,Minister of Armament,Italo Sergente,8,Tank Proponent,M54033
54010,Chief of Air Force,Mohammed Daoud,8,Army Aviation Doctrine,M54007
54008,Chief of Army,Mohammed Daoud,8,Elastic Defence Doctrine,M54007
54007,Chief of Staff,Mohammed Daoud,8,School of Psychology,M54007
54027,Foreign Minister,Mohammed Daoud,8,Great Compromiser,M54007
54032,Minister of Armament,Mohammed Daoud,8,Air to Ground Proponent,M54007
54109,Foreign Minister,Muhammad Nauruz,8,Iron Fisted Brute,unknown
54108,Minister of Armament,Muhammad Nauruz,8,Planned Economy Proponent,unknown
54060,Chief of Staff,Shah Mahmud Ghazi,8,School of Psychology,M54006
54006,Head of Military Intelligence,Shah Mahmud Ghazi,8,Dismal Enigma,M54006
54110,Head of Government,Khalilullah Khalili,9,Spiritual Leader,AFG_Khalilullah Khalili
54111,Minister of Security,Khalilullah Khalili,9,Man of the People,AFG_Khalilullah Khalili
54021,Chief of Staff,Malik Habibullah Kalakani,9,School of Mass Combat,AFGHab
54085,Head of Government,Malik Habibullah Kalakani,9,Local Tyrant,AFGHab
54112,Chief of Army,Mirza Ali Khan,9,Doctrine of Autonomy,AFG_Mirza Ali Khan
54113,Head of Military Intelligence,Mirza Ali Khan,9,Logistics Specialist,AFG_Mirza Ali Khan
