URU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
22413,Head of Military Intelligence,Helene Vacaresco,1936,1964,1999,4,Dismal Enigma,Medium,M22113,x
22414,Head of Military Intelligence,Nicolae Stoenescu,1938,1964,1999,7,Political Specialist,Medium,M22095,x
22415,Head of Military Intelligence,Nicolas Titulesco,1939,1964,1999,4,Industrial Specialist,Medium,M22115,x
22417,Head of Military Intelligence,Gheorghe Savoia,1939,1964,1999,6,Logistics Specialist,Low,M22117,x
22418,Head of Military Intelligence,Iosif Iacobici,1940,1964,1999,8,Logistics Specialist,Very High,M22118,x
22419,Head of Military Intelligence,Petre Antonescu,1941,1964,1999,8,Dismal Enigma,Very High,M22119,x
22420,Head of Military Intelligence,Eugen Cristescu,1943,1964,1999,9,Dismal Enigma,Very High,M22016,x
22421,Head of Military Intelligence,Demetre Jancovici,1936,1964,1999,0,Political Specialist,Medium,M22026,x
22422,Head of Military Intelligence,Serghei Nicolau,1946,1964,1999,0,Technical Specialist,High,M22122,x
22423,Chief of Staff,Mihail Racovitza,1938,1964,1999,4,School of Manoeuvre,High,M22096,x
22424,Chief of Staff,Florea Tenescu,1938,1964,1999,7,School of Defence,Low,M22124,x
22425,Chief of Staff,Ioan Ilcusu,1939,1964,1999,4,School of Defence,Medium,M22125,x
22426,Chief of Staff,Constantin Pantazi,1939,1964,1999,6,School of Defence,High,M22126,x
22427,Chief of Staff,Victor Antonescu,1940,1964,1999,8,School of Mass Combat,High,M22007,x
22428,Chief of Staff,Radu Korne,1943,1964,1999,8,School of Manoeuvre,High,M22128,x
22429,Chief of Staff,Constantin Sanatescu,1944,1964,1999,7,School of Fire Support,High,M22049,x
22430,Chief of Staff,Gheorghe-Sinaia Ionescu,1944,1964,1999,6,School of Defence,Medium,M22130,x
22431,Chief of Staff,Mihail Lascar,1945,1964,1999,0,School of Mass Combat,Very High,M22027,x
22432,Chief of Staff,Platon Chirnoaga,1936,1964,1999,9,School of Psychology,High,M22132,x
22433,Chief of Staff,Gheorghe Argeseanu,1940,1964,1999,9,School of Fire Support,Medium,M22133,x
22434,Chief of Staff,Ion Antonescu,1943,1964,1999,9,School of Psychology,High,M22012,x
22435,Chief of Army,Costin Ionascu,1938,1964,1999,4,Static Defence Doctrine,High,M22135,x
22436,Chief of Army,Gheorghe Mihail,1938,1964,1999,7,Decisive Battle Doctrine,Medium,M22136,x
22438,Chief of Army,Gheorghe Tatarescu,1939,1964,1999,6,Guns and Butter Doctrine,Medium,M22138,x
22439,Chief of Army,Ilie Steflea,1940,1964,1999,8,Guns and Butter Doctrine,High,M22139,x
22442,Chief of Army,Constantin Sanatescu,1944,1964,1999,7,Elastic Defence Doctrine,High,M22049,x
22443,Chief of Army,Nicolae Radescu,1944,1964,1999,6,Decisive Battle Doctrine,High,M22050,x
22444,Chief of Army,Damian Rascu,1945,1964,1999,0,Armoured Spearhead Doctrine,Medium,M22028,x
22445,Chief of Army,Alexandru Ioanitiu,1938,1964,1999,9,Armoured Spearhead Doctrine,Medium,M22018,x
22447,Chief of Navy,Horia Macellariu,1938,1964,1999,7,Indirect Approach Doctrine,High,M22019,x
22450,Chief of Navy,Ioan Georgescu,1943,1964,1999,8,Indirect Approach Doctrine,Medium,M22150,x
22451,Chief of Navy,Nicolae Sova,1944,1964,1999,7,Base Control Doctrine,High,M22151,x
22452,Chief of Navy,Nicolai Duca di Silvania,1944,1964,1999,6,Open Seas Doctrine,High,M22152,x
22453,Chief of Navy,Gheorghe Iliesca,1945,1964,1999,0,Power Projection Doctrine,Medium,M22029,x
22455,Chief of Air Force,Gheorghe Jienescu,1938,1964,1999,7,Army Aviation Doctrine,High,M22020,x
22458,Chief of Air Force,Ermil Gheorghiu,1940,1964,1999,8,Air Superiority Doctrine,Medium,M22158,x
22459,Chief of Air Force,Paul Teodorescu,1944,1964,1999,7,Carpet Bombing Doctrine,Medium,M22159,x
22460,Chief of Air Force,Gheorghe Vasiliu,1944,1964,1999,6,Naval Aviation Doctrine,Low,M22160,x
22461,Chief of Air Force,Emanoil Ionescu,1936,1964,1999,0,Army Aviation Doctrine,High,M22030,x
22462,Head of State,Petru Groza,1936,1964,1999,0,Powerhungry Demagogue,High,M22022,x
22463,Foreign Minister,Simon Bughici,1952,1964,1999,0,Apologetic Clerk,Very High,M22163,x
22466,Foreign Minister,Elena Vararesco,1936,1964,1999,3,General Staffer,Medium,Elena_Vararesco,x
22467,Head of State,Gheorghe Tatarescu,1936,1964,1999,6,Insignificant Layman,High,M22002,x
22468,Head of State,Gheorghe Tatarescu,1936,1964,1999,7,Insignificant Layman,Medium,M22002,x
