EAF,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
550058,Minister of Armament,T. Sassoon,1936,1964,1999,8,Laissez-Faire Capitalist,Very High,kaiserreich tsassoon,X
550059,Head of Government,Huang Jinrong,1936,1964,1999,8,Ambitious Union Boss,Very High,kaiserreich HuangJinrong,X
550060,Head of Government,Stirling Fessenden,1936,1964,1999,6,Corporate Suit,Very High,kaiserreich stirlingfessenden,X
550061,Foreign Minister,Stirling Fessenden,1936,1964,1999,6,Apologetic Clerk,Very High,kaiserreich stirlingfessenden,X
550062,Head of Government,Cecil Clementi ,1936,1964,1999,6,Smiling Oilman,Very High,kaiserreich cecilclementi,X
550063,Chief of Staff,Cecil Clementi,1936,1964,1999,6,School of Defence,Very High,kaiserreich cecilclementi,X
550064,Head of State,Cecil Clementi,1936,1964,1999,6,Benevolent Gentleman,Very High,kaiserreich cecilclementi,X
550065,Head of State,Sir Reginald Stubbs,1936,1964,1999,6,Weary Stiffneck,Very High,kaiserreich reginaldstubbs,X
550066,Foreign Minister,Sir Reginald Stubbs,1936,1964,1999,6,Great Compromiser,Very High,kaiserreich reginaldstubbs,X
550067,Chief of Army,Huang Jinrong,1936,1964,1999,8,Guns and Butter Doctrine,Very High,kaiserreich HuangJinrong,X
550068,Minister of Armament,Walther Stennes,1936,1964,1999,7,Military Entrepreneur,Medium,M750035,X
550069,Chief of Staff,Walther Stennes,1936,1964,1999,7,School of Mass Combat,Medium,M750035,X
550070,Chief of Army,Walther Stennes,1936,1964,1999,7,Decisive Battle Doctrine,Medium,M750035,X
550071,Chief of Air Force,Florence Lowe Barnes,1936,1964,1999,5,Air Superiority Doctrine,Medium,kaiserreich lowebarnes,X
550072,Minister of Armament,Robert Hotung,1936,1964,1999,6,Laissez-Faire Capitalist,Medium,kaiserreich hotung,X
550073,Minister of Armament,Donald Brotchie,1936,1964,1999,7,Battle Fleet Proponent,Medium,kaiserreich brotchie,X
550074,Head of Military Intelligence,Donald Brotchie,1936,1964,1999,7,Naval Intelligence Specialist,Medium,kaiserreich brotchie,X
550075,Chief of Staff,Donald Brotchie,1936,1964,1999,7,School of Psychology,Medium,kaiserreich brotchie,X
550076,Chief of Navy,Donald Brotchie,1936,1964,1999,7,Open Seas Doctrine,Medium,kaiserreich brotchie,X
550077,Chief of Air Force,Donald Brotchie,1936,1964,1999,7,Naval Aviation Doctrine,Medium,kaiserreich brotchie,X
550078,Minister of Security,William E. Fairbairn,1936,1964,1999,6,Man of the People,Medium,kaiserreich fairbairn,X
550079,Head of Military Intelligence,William E. Fairbairn,1936,1964,1999,6,Dismal Enigma,Medium,kaiserreich fairbairn,X
550080,Chief of Navy,William E. Fairbairn,1936,1964,1999,6,Base Control Doctrine,Medium,kaiserreich fairbairn,X
550081,Chief of Air Force,William E. Fairbairn,1936,1964,1999,6,Vertical Envelopment Doctrine,Medium,kaiserreich fairbairn,X
550082,Chief of Staff,Yuan Kewen,1936,1964,1999,8,School of Psychology,High,M750013,X
550083,Chief of Army,Yuan Kewen,1936,1964,1999,8,Elastic Defence Doctrine,High,M750013,X
550084,Foreign Minister,Yuan Kewen,1936,1964,1999,8,Iron Fisted Brute,High,M750013,X
550085,Head of Military Intelligence,Mitsuhira Mitsuhirato,1936,1970,1999,8,Political Specialist,Very High,Kaiserreich Mitsuhirato,X
550086,Head of State,William E. Fairbairn,1936,1964,1999,6,Resigned Generalissimo,High,M550001,x
