ENG,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
1052,Foreign Minister,Henry Williamson,1941,1964,1999,8,Biased Intellectual,Medium,M1052,X
1055,Foreign Minister,Rajani Palme Dutt,1936,1964,1999,1,Biased Intellectual,Medium,kaiserreich dutt,X
1056,Foreign Minister,Phil Piratin,1936,1964,1999,0,The Cloak N Dagger Schemer,Medium,kaiserreich piratin,X
1057,Foreign Minister,Denis Nowell Pritt ,1943,1964,1999,0,Apologetic Clerk,Medium,kaiserreich dpritt,X
1058,Foreign Minister,Dave Springhall,1936,1964,1999,2,Iron Fisted Brute,Medium,kaiserreich springhall,X
1059,Foreign Minister,Ian Mikardo,1936,1964,1999,2,Ideological Crusader,Medium,kaiserreich mikardo,X
1060,Minister of Armament,John Simon,1937,1964,1999,5,Resource Industrialist,High,M1005,X
1061,Minister of Armament,John Anderson,1939,1964,1999,5,Laissez-Faire Capitalist,High,M1061,X
1062,Minister of Armament,Kingsley Wood,1936,1964,1999,5,Resource Industrialist,High,M1062,X
1064,Minister of Armament,Robert Butler,1945,1964,1999,5,Theoretical Scientist,Very High,M1064,X
1065,Minister of Armament,Hugh Dalton,1937,1964,1999,4,Resource Industrialist,Medium,M1065,X
1066,Minister of Armament,Clement Attlee,1936,1964,1999,2,Administrative Genius,Medium,kaiserreich attlee,X
1068,Minister of Armament,Neville Chamberlain,1936,1964,1999,5,Laissez-Faire Capitalist,High,M1004,X
1069,Minister of Armament,Alliott Vernon-Roe,1938,1964,1999,7,Air to Ground Proponent,High,M1069,X
1070,Minister of Armament,Neil Francis-Hawkins,1939,1964,1999,8,Submarine Proponent,High,M1070,X
1071,Minister of Armament,Alexander Raven-Thomson,1941,1964,1999,8,Strategic Air Proponent,High,M1071,X
1072,Minister of Armament,Jorian Jenks,1942,1964,1999,7,Battle Fleet Proponent,High,M1072,X
1073,Minister of Armament,A.J.P. Taylor,1944,1964,1999,7,Laissez-Faire Capitalist,High,M1073,X
1074,Minister of Armament,Stafford Cripps,1936,1964,1999,2,Keynesian Economy,Medium,kaiserreich cripps,X
1075,Minister of Armament,Leslie Solley,1938,1964,1999,0,Resource Industrialist,Very High,kaiserreich leslie,X
1076,Minister of Armament,Arthur Horner,1936,1964,1999,5,Resource Industrialist,Medium,M1076,X
1077,Minister of Armament,Jack Gaster,1963,1964,1999,1,Submarine Proponent,Medium,M1077,X
1078,Minister of Armament,Abe Moffat,1936,1964,1999,2,Tank Proponent,Medium,kaiserreich moffat,X
1079,Minister of Armament,William Rust,1944,1964,1999,0,Infantry Proponent,Medium,M1079,X
1080,Minister of Armament,Konnie Zilliacus,1945,1964,1999,2,Air Superiority Proponent,Medium,kaiserreich konnie,X
1081,Minister of Security,Stanley Baldwin,1936,1964,1999,5,Man of the People,Medium,M1002,X
1082,Minister of Security,Austen Chamberlain,1936,1964,1999,5,Efficient Sociopath,High,M1082,X
1083,Minister of Security,Samuel Hoare,1937,1964,1999,5,Man of the People,High,M1083,X
1084,Minister of Security,Neil Francis Hawkins,1936,1950,1951,0,Efficient Sociopath,High,kaiserreich hawkins,X
1085,Minister of Security,David Maxwell Fyfe,1941,1964,1999,5,Compassionate Gentleman,High,M1085,X
1086,Minister of Security,Donald Bradley Somervell,1945,1964,1999,5,Crime Fighter,High,M1086,X
1087,Minister of Security,Brendan Bracken,1946,1964,1999,5,Silent Lawyer,Very High,kaiserreich brendan,X
1088,Minister of Security,Herbert Morrison,1936,1964,1999,2,Man of the People,Very High,kaiserreich morrison,X
1089,Minister of Security,James Chuter Ede,1945,1964,1999,4,Prince of Terror,Very High,M1089,X
1090,Minister of Security,Arnold Spencer-Leese,1936,1964,1999,8,Prince of Terror,Low,M1015,X
1091,Minister of Security,John Beckett,1936,1964,1999,8,Compassionate Gentleman,Medium,M1091,X
1092,Minister of Security,Arthur Chesterton,1941,1964,1999,7,Back Stabber,Medium,M1092,X
1093,Minister of Security,Jeffrey Hamm,1942,1964,1999,0,Crime Fighter,Medium,M1093,X
1094,Minister of Security,Maxwell Knight,1943,1964,1999,7,Man of the People,Medium,M1094,X
1095,Minister of Security,Violet Lansbury,1936,1964,1999,0,Prince of Terror,Medium,M1095,X
1096,Minister of Security,Lester Hutchinson,1963,1964,1999,0,Back Stabber,Medium,M1096,X
1097,Minister of Security,John Platts-Mills,1936,1964,1999,2,Silent Lawyer,Medium,kaiserreich plattsmills,X
1098,Minister of Security,Sydney Silvermann,1936,1964,1999,0,Man of the People,Medium,kaiserreich silverman,X
1099,Minister of Security,Barbara Castle,1936,1964,1999,2,Crime Fighter,Medium,kaiserreich bcastle,X
1100,Minister of Security,Kim Philby,1936,1964,1999,0,Compassionate Gentleman,Very High,kaiserreich kimp,X
1102,Head of Military Intelligence,Robert Cecil,1937,1964,1999,5,Industrial Specialist,Very High,kaiserreich cecil,X
1103,Head of Military Intelligence,Robert Menzies,1936,1964,1999,5,Dismal Enigma,Very High,kaiserreich menzies,X
1105,Head of Military Intelligence,Kim Philby,1946,1964,1999,5,Technical Specialist,Very Low,kaiserreich kimp,X
1106,Head of Military Intelligence,Brendan Bracken,1937,1964,1999,5,Political Specialist,Very High,kaiserreich brendan,X
1107,Head of Military Intelligence,S.P. James,1936,1964,1999,7,Industrial Specialist,High,M1016,X
1108,Head of Military Intelligence,Barry E. Domvile,1936,1964,1999,7,Naval Intelligence Specialist,High,M1019,X
1109,Head of Military Intelligence,Maxwell Knight,1942,1964,1999,7,Logistics Specialist,Medium,M1094,X
1111,Head of Military Intelligence,William Gallacher,1936,1964,1999,1,Industrial Specialist,High,kaiserreich gallacher,X
1112,Head of Military Intelligence,Christopher Hill,1936,1964,1999,0,Naval Intelligence Specialist,High,kaiserreich hill,X
1113,Head of Military Intelligence,Nye Bevan,1943,1964,1999,2,Dismal Enigma,High,Kaiserreich Nye Bevan,X
1114,Head of Military Intelligence,Anthony Blunt,1936,1964,1999,2,Political Specialist,Very High,kaiserreich ablunt,X
1115,Head of Military Intelligence,Kim Philby,1936,1964,1999,0,Technical Specialist,Very High,kaiserreich kimp,X
1117,Chief of Staff,John Vereker,1936,1964,1999,5,School of Manoeuvre,Very High,kaiserreich verker,X
1119,Chief of Staff,John Dill,1939,1964,1999,5,School of Fire Support,Very High,M1119,X
1120,Chief of Staff,Alan Brooke,1936,1964,1999,5,School of Mass Combat,Very High,kaiserreich brooke,X
1122,Chief of Staff,Archibald Nye,1941,1964,1999,2,School of Mass Combat,Very High,M1122,X
1123,Chief of Staff,Bernard Montgomery,1939,1964,1999,2,School of Manoeuvre,Medium,kaiserreich monty,X
1125,Chief of Staff,Barry E. Domvile,1939,1964,1999,7,School of Psychology,High,M1019,X
1126,Chief of Staff,Tom Wintringham,1936,1964,1999,1,School of Mass Combat,High,kaiserreich twitt,X
1128,Chief of Army,John Vereker,1937,1964,1999,5,Armoured Spearhead Doctrine,Very High,kaiserreich verker,X
1130,Chief of Army,Alan Brooke,1936,1964,1999,2,Decisive Battle Doctrine,Very High,kaiserreich brooke,X
1132,Chief of Army,Sir John Dill,1937,1964,1999,5,Elastic Defence Doctrine,Very High,M1119,X
1133,Chief of Army,Bernard Montgomery,1936,1964,1999,2,Armoured Spearhead Doctrine,Medium,kaiserreich monty,X
1135,Chief of Army,Bill Alexander,1936,1964,1999,1,Static Defence Doctrine,High,kaiserreich bill,X
1138,Chief of Navy,Andrew Cunningham,1936,1964,1999,2,Power Projection Doctrine,High,kaiserreich cunningham,X
1142,Chief of Navy,Barry E. Domvile,1936,1964,1999,7,Power Projection Doctrine,High,M1019,X
1143,Chief of Navy,E.H. Cole,1942,1964,1999,8,Open Seas Doctrine,High,M1143,X
1144,Chief of Navy,Fred Copeman,1936,1964,1999,2,Indirect Approach Doctrine,High,M1029,X
1145,Chief of Navy,Harry Pollitt,1939,1964,1999,2,Decisive Naval Battle Doctrine,High,kaiserreich pollitt1,X
1148,Chief of Air Force,Arthur Tedder,1945,1964,1999,5,Army Aviation Doctrine,Very High,kaiserreich tedder,X
1151,Chief of Air Force,John Chamier,1936,1964,1999,8,Vertical Envelopment Doctrine,High,M1020,X
1152,Chief of Air Force,Williams Sempill,1939,1964,1999,7,Carpet Bombing Doctrine,High,M1152,X
1153,Chief of Air Force,Donald Marendaz,1941,1964,1999,7,Air Superiority Doctrine,High,M1153,X
1154,Chief of Air Force,Railton Freeman,1943,1964,1999,7,Naval Aviation Doctrine,High,M1154,X
1155,Chief of Air Force,John Strachey,1936,1964,1999,0,Carpet Bombing Doctrine,High,kaiserreich strachey,X
1158,Foreign Minister,Samuel Hoare,1939,1964,1999,5,Apologetic Clerk,High,M1083,X
1159,Minister of Security,John Anderson,1939,1964,1999,5,Compassionate Gentleman,High,M1061,X
1160,Head of Government,David Lloyd George,1936,1964,1999,4,Naive Optimist,Very High,M1160,X
1161,Foreign Minister,Archibald Sinclair,1936,1964,1999,4,Great Compromiser,High,M1161,X
1163,Minister of Armament,Leslie Hore-Belisha,1937,1964,1999,4,Infantry Proponent,Low,M1163,X
1165,Chief of Army,Miles Dempsey,1944,1964,1999,5,Armoured Spearhead Doctrine,High,L1099,X
1167,Chief of Army,Richard O'Connor,1936,1964,1999,2,Armoured Spearhead Doctrine,High,L1237,X
1168,Chief of Air Force,Hugh Dowding,1936,1964,1999,2,Air Superiority Doctrine,Very High,L1435,X
1169,Chief of Air Force,Arthur Harris,1937,1964,1999,2,Carpet Bombing Doctrine,Very High,kaiserreich harris,X
1171,Chief of Air Force,William Sholto Douglas,1944,1964,1999,4,Air Superiority Doctrine,High,L1479,X
1172,Head of Military Intelligence,Stewart Menzies,1939,1964,1999,5,Political Specialist,High,M1172,X
1174,Minister of Armament,Thomas Inskip,1936,1964,1999,5,Air Superiority Proponent,Very High,M1174,X
1175,Minister of Armament,Andrew Duncan,1936,1964,1999,5,Resource Industrialist,High,M1175,X
1176,Minister of Armament,John Moore-Brabazon,1941,1964,1999,5,Air Superiority Proponent,Medium,M1176,X
1177,Minister of Armament,Hibbert Cross,1939,1964,1999,5,Laissez-Faire Capitalist,High,M1177,X
1178,Minister of Armament,Alfred Duff Cooper,1936,1964,1999,5,Battle Fleet Proponent,Medium,M1178,X
1179,Minister of Armament,Oliver Stanley,1936,1964,1999,5,Military Entrepreneur,Very High,M1179,X
1180,Minister of Armament,Henry Margesson,1936,1964,1999,5,Resource Industrialist,Very High,M1180,X
1181,Minister of Armament,Percy Grigg,1942,1964,1999,5,Laissez-Faire Capitalist,High,M1181,X
1182,Chief of Army,Eric Blair,1936,1964,1999,1,Guns and Butter Doctrine,Very High,kaiserreich ericblair,X
1183,Chief of Air Force,William Wedgewood Benn,1936,1964,1999,2,Air Superiority Doctrine,Very High,kaiserreich williamwedgewoodbenn,X
1184,Foreign Minister,Niclas y Glais,1936,1964,1999,1,Great Compromiser,Very High,kaiserreich glais,X
1185,Head of Military Intelligence,Niclas y Glais,1936,1964,1999,1,Political Specialist,Very High,kaiserreich glais,X
1186,Head of Government,Niclas y Glais,1936,1964,1999,1,Flamboyant Tough Guy,Very High,kaiserreich glais,X
1187,Head of State,Niclas y Glais,1936,1964,1999,1,Barking Buffoon,Very High,kaiserreich glais,X
1188,Head of Government,Arthur Horner,1936,1964,1999,2,Ambitious Union Boss,Very High,kaiserreich arthurhorner,X
1189,Head of Military Intelligence,Arthur Horner,1936,1964,1999,2,Logistics Specialist,Very High,kaiserreich arthurhorner,X
1190,Head of Government,James Maxton,1936,1964,1999,2,Backroom Backstabber,Very High,kaiserreich jamesmaxton,X
1191,Foreign Minister,James Maxton,1936,1964,1999,2,Biased Intellectual,Very High,kaiserreich jamesmaxton,X
1193,Head of State,Philip Snowden,1936,1964,1999,2,Pig-headed Isolationist,Very High,kaiserreich philipsnowden,X
1194,Minister of Armament,Philip Snowden,1936,1964,1999,2,Mixed Economy,Very High,kaiserreich philipsnowden,X
1195,Foreign Minister,David Kirkwood,1936,1964,1999,1,Apologetic Clerk,Very High,kaiserreich davidkirkwood,X
1196,Minister of Armament,David Kirkwood,1936,1964,1999,1,Infantry Proponent,Very High,kaiserreich davidkirkwood,X
1197,Chief of Staff,Frederick Bellenger,1936,1964,1999,2,School of Psychology,Very High,kaiserreich bellenger,X
1199,Minister of Security,Helen Crawfurd,1936,1964,1999,1,Crime Fighter,Very High,kaiserreich helencrawfurd,X
1200,Minister of Armament,William Weir,1936,1964,1999,2,Air to Ground Proponent,High,kaiserreich williamweir,X
1202,Head of Government,William Gallacher,1936,1964,1999,1,Silent Workhorse,High,kaiserreich gallacher,X
1203,Head of Military Intelligence,Patrick Dollan,1936,1954,1954,2,Political Specialist,High,kaiserreich dollan,X
1204,Head of State,Oswald Mosley,1936,1964,1999,0,Totalist President,Very High,kaiserreich mosley1,X
1205,Head of State,Annie Kenney,1936,1964,1999,2,Die-hard Reformer,Very High,Kaiserreich Anne Kenney,X
1206,Head of Government,Eric Blair,1936,1964,1999,1,Reformist Soldierhog,Very High,kaiserreich ericblair,X
1207,Head of State,Arthur Horner,1936,1964,1999,2,Die-hard Reformer,Very High,kaiserreich arthurhorner,X
1208,Head of Government,Christabel Pankhurst,1936,1964,1999,2,Ambitious Union Boss,Very High,kaiserreich pankhurst,X
1209,Head of Government,Annie Kenney,1936,1964,1999,2,Flamboyant Tough Guy,Very High,Kaiserreich Anne Kenney,X
1210,Head of Government,Lewis Jones,1936,1964,1999,2,Ambitious Union Boss,Very High,kaiserreich lewisjones,X
1211,Head of State,Congress of Trade Unions,1936,1964,1999,2,Die-hard Reformer,Very High,kaiserreich tuc,X
1212,Head of Government,Tom Mann,1936,1964,1999,2,Ambitious Union Boss,Very High,kaiserreich tommann,X
1213,Head of State,Tom Mann,1936,1964,1999,2,Pig-headed Isolationist,Very High,kaiserreich tommann,X
1214,Minister of Armament,Nye Bevan,1936,1964,1999,2,Administrative Genius,High,Kaiserreich Nye Bevan,X
1215,Minister of Security,Nye Bevan,1936,1964,1999,2,Health and Safety,High,Kaiserreich Nye Bevan,X
1216,Foreign Minister,Elizabeth Andrews,1936,1964,1999,2,Apologetic Clerk,High,Kaiserreich elizabeth andrews,X
1217,Head of State,Oswald Mosley,1936,1964,1999,0,Totalist President,Very High,kaiserreich mosleydictator,X
1218,Head of Government,Oswald Mosley,1936,1964,1999,0,Totalist Chairman,High,kaiserreich mosleydictator,X
1219,Head of State,Clement Attlee,1936,1964,1999,2,Die-hard Reformer,High,kaiserreich attlee,X
1220,Head of Government,Nye Bevan,1936,1964,1999,2,Flamboyant Tough Guy,High,Kaiserreich Nye Bevan,X
1221,Minister of Armament,Barbara Castle,1936,1964,1999,2,Keynesian Economy,High,kaiserreich bcastle,X
1222,Head of Government,Clement Attlee,1936,1964,1999,2,Silent Workhorse,High,kaiserreich attlee,X
1223,Head of State,Barbara Castle,1936,1964,1999,2,Benevolent Gentleman,High,kaiserreich bcastle,X
1224,Head of State,T.E. Lawrence,1936,1964,1999,4,Resigned Generalissimo,High,kaiserreich lawrence,X
1225,Head of State,Tom Wintringham,1936,1964,1999,1,Resigned Generalissimo,High,kaiserreich twitt,X
1226,Head of Government,Tom Wintringham,1936,1964,1999,1,Old General,High,kaiserreich twitt,X
1227,Head of Government,Barbara Castle,1936,1964,1999,2,Political Protege,High,kaiserreich bcastle,X
1228,Head of State,Eric Blair,1936,1964,1999,1,Weary Stiffneck,High,kaiserreich ericblair,X
1229,Head of State,Nye Bevan,1936,1964,1999,2,Die-hard Reformer,High,Kaiserreich Nye Bevan,X
1230,Head of Government,Stafford Cripps,1936,1964,1999,2,Silent Workhorse,Medium,kaiserreich cripps,X
1231,Foreign Minister,Leslie Solley,1936,1964,1999,0,Biased Intellectual,Medium,kaiserreich leslie,X
1232,Minister of Security,William Joyce,1936,1964,1999,0,Prince of Terror,Low,kaiserreich joyce,X
1233,Head of Military Intelligence,Ian Fleming,1936,1964,1999,0,Dismal Enigma,Very High,kaiserreich fleming,X
1234,Head of Government,G.D.H. Cole,1936,1964,1999,2,Naive Optimist,Very High,kaiserreich cole,X
1235,Head of Government,Harold Wilson,1954,1964,1999,2,Ambitious Union Boss,High,kaiserreich hwilson,X
1236,Head of Government,Denis Healey,1954,1964,1999,0,Smiling Oilman,High,kaiserreich healey,X
1237,Head of Government,Jim Callaghan,1954,1964,1999,1,Ambitious Union Boss,Very High,kaiserreich callaghan,X
1238,Head of State,Harold Wilson,1954,1964,1999,2,Die-hard Reformer,High,kaiserreich hwilson,X
1239,Head of State,Jack Jones,1954,1964,1999,1,Ruthless Powermonger,High,kaiserreich jackjones,X
1240,Head of Government,Tony Benn,1936,1964,1999,1,Silent Workhorse,High,kaiserreich tonybenn,X
1241,Minister of Security,Tony Benn,1954,1964,1999,1,Man of the People,High,kaiserreich tonybenn,X
1242,Minister of Armament,Tony Benn,1954,1964,1999,1,Resource Industrialist,Very High,kaiserreich tonybenn,X
1243,Minister of Armament,Jack Jones,1954,1964,1999,1,Corrupt Kleptocrat,Very High,kaiserreich jackjones,X
1244,Minister of Armament,Denis Healey,1954,1964,1999,0,Administrative Genius,Very High,kaiserreich healey,X
1245,Foreign Minister,Denis Healey,1954,1964,1999,0,Iron Fisted Brute,Very High,kaiserreich healey,X
1246,Foreign Minister,Jim Callaghan,1954,1964,1999,1,Biased Intellectual,Very High,kaiserreich callaghan,X
1247,Head of Government,John Strachey,1936,1962,1999,0,Backroom Backstabber,High,kaiserreich strachey,X
1248,Foreign Minister,Bernard Montgomery,1936,1964,1999,3,General Staffer,Very High,kaiserreich monty,X
1249,Minister of Security,Eric Blair,1936,1964,1999,1,Compassionate Gentleman,High,kaiserreich ericblair,X
1250,Head of State,William Gallacher,1936,1964,1999,1,Benevolent Gentleman,High,kaiserreich gallacher,X
1251,Head of Government,J.B. Priestley,1936,1964,1999,1,Naive Optimist,High,kaiserreich_UK_J_B_Priestley,X
1252,Foreign Minister,Eric Hobsbawm,1957,1964,1999,1,Biased Intellectual,High,kaiserreich erichobsbawm,X
1253,Minister of Armament,John Strachey,1936,1962,1962,0,Air to Ground Proponent,High,kaiserreich strachey,X
1254,Minister of Armament,Annie Kenney,1936,1953,1953,2,Administrative Genius,Very High,Kaiserreich Anne Kenney,X
1255,Head of State,Phil Piratin,1936,1964,1999,0,Die-hard Reformer,Medium,kaiserreich piratin,X
1256,Head of Government,Phil Piratin,1936,1964,1999,0,Silent Workhorse,Medium,kaiserreich piratin,X
1257,Minister of Armament,Alexander Raven Thomson,1936,1955,1955,0,Industrialiser,High,kaiserreich raven,X
1258,Chief of Army,J.H. Holliman,1936,1964,1999,0,Armoured Spearhead Doctrine,Very High,kaiserreich holliman,X
1259,Chief of Staff,Charles Bentinck Budd,1936,1964,1999,0,School of Fire Support,Very High,kaiserreich budd,X
1260,Minister of Armament,J.R. Clynes,1936,1949,1949,2,Keynesian Economy,Medium,kaiserreich clynes,X
1261,Minister of Armament,Arthur MacManus,1936,1956,1956,2,Construction Magnate,High,kaiserreich macmanus,X
1262,Minister of Security,Mary Richardson,1936,1961,1961,0,Efficient Sociopath,Low,kaiserreich richardson,X
1263,Head of Military Intelligence,Mary Sophia Allen,1936,1960,1960,0,Political Specialist,High,kaiserreich allen,X
1264,Minister of Security,Rhys Davies,1936,1952,1952,2,Compassionate Gentleman,High,kaiserreich davies,X
1265,Minister of Security,Wilfred Risdon,1936,1964,1999,0,Media Magnate,Very High,kaiserreich risdon,X
1266,Foreign Minister,Robert Forgan,1936,1964,1999,1,Ideological Crusader,High,kaiserreich forgan,X
1267,Chief of Navy,A.V. Alexander,1936,1964,1999,2,Indirect Approach Doctrine,Medium,kaiserreich alexander,X
1268,Minister of Security,Cecil Dudgeon,1936,1964,1999,1,Compassionate Gentleman,High,kaiserreich dudgeon,X
1269,Head of Military Intelligence,Carlyon Bellairs,1936,1955,1955,0,Naval Intelligence Specialist,High,kaiserreich bellairs,X
1270,Minister of Security,Margaret Cole,1936,1964,1999,2,Crime Fighter,High,kaiserreich mcole,X
1271,Head of Military Intelligence,Raymond Postgate,1936,1964,1999,1,Industrial Specialist,High,kaiserreich postgate,X
1272,Foreign Minister,George Bernard Shaw,1936,1950,1950,0,The Cloak N Dagger Schemer,Medium,kaiserreich shaw,X
1273,Minister of Armament,Cecil L'Estrange Malone,1936,1964,1999,1,Air to Sea Proponent,Medium,kaiserreich malone,X
1274,Foreign Minister,Ezra Pound,1936,1964,1999,0,Biased Intellectual,Medium,kaiserreich pound,X
1275,Head of State,Wyndham Lewis,1936,1957,1957,0,Barking Buffoon,Low,kaiserreich lewis,X
1276,Head of Government,William Joyce,1936,1964,1999,0,Backroom Backstabber,Low,kaiserreich joyce,X
1277,Chief of Air Force,John Adrian Chamier,1936,1964,1999,0,Army Aviation Doctrine,High,kaiserreich chaimer,X
1278,Minister of Security,Olive Hawks,1942,1964,1999,0,Silent Lawyer,Medium,kaiserreich hawks,X
1279,Minister of Armament,Margaret Bondfield,1936,1951,1951,1,Balanced Budget Economy,High,kaiserreich bondfield,X
1280,Foreign Minister,Saunders Lewis,1936,1964,1999,1,Ideological Crusader,High,kaiserreich saunders,X
1281,Minister of Security,Lewis Valentine,1936,1964,1999,2,Man of the People,Very High,kaiserreich valentine,X
1282,Minister of Armament,S.O. Davies,1936,1964,1999,1,Steel Magnate,Medium,kaiserreich sodavies,X
1283,Head of Military Intelligence,Ness Edwards,1936,1964,1999,1,Political Specialist,High,kaiserreich edwards,X
1284,Minister of Security,Wilfrid Whiteley,1936,1964,1999,1,Man of the People,High,kaiserreich whiteley,X
1289,Minister of Security,Henry Williamson,1936,1964,1999,0,Compassionate Gentleman,High,kaiserreich williamson,X
1290,Head of Military Intelligence,Allan Young,1936,1964,1999,0,Political Specialist,Very High,kaiserreich young,X
1291,Head of Government,Oswald Mosley,1936,1964,1999,0,Totalist Chairman,Very High,kaiserreich mosley1,X
1292,Minister of Armament,Ellen Wilkinson,1936,1947,1947,2,Reformer,High,kaiserreich wilkinson,X
1293,Head of Military Intelligence,Emanuel Shinwell,1936,1964,1999,1,Industrial Specialist,High,kaiserreich shinwell,X
1294,Minister of Security,Patrick Dollan,1936,1954,1954,2,Crime Fighter,High,kaiserreich dollan,X
1295,Chief of Air Force,Amy Johnson,1936,1964,1999,4,Vertical Envelopment Doctrine,Medium,kaiserreich johnson,X
1296,Foreign Minister,Ethel MacDonald,1938,1960,1960,1,Biased Intellectual,Low,kaiserreich emacdonald,X
1297,Head of Government,Jenny Hamilton Patrick,1936,1964,1999,1,Happy Amateur,Low,kaiserreich jhamilton,X
1298,Head of State,Guy Aldred,1936,1963,1963,1,Die-hard Reformer,Low,kaiserreich aldred,X
1299,Foreign Minister,Clifford Allen,1936,1939,1939,2,Apologetic Clerk,Very High,kaiserreich clifford,X
1300,Head of Military Intelligence,Fenner Brockway,1936,1964,1999,1,Political Specialist,Very High,kaiserreich fenner,X
1301,Minister of Armament,Frank Horrabin,1936,1960,1960,1,Construction Magnate,High,kaiserreich horrabin,X
1302,Minister of Security,Thomas Johnson,1936,1960,1960,1,Compassionate Gentleman,High,kaiserreich tjohnson,X
1303,Foreign Minister,C.E.M. Joad,1936,1951,1951,0,The Cloak N Dagger Schemer,Medium,kaiserreich joad,X
1304,Head of Military Intelligence,William John Brown,1936,1958,1958,1,Political Specialist,High,kaiserreich william brown,X
1305,Foreign Minister,Cynthia Mosley,1936,1964,1999,0,Great Compromiser,Very High,kaiserreich cynthia,X
1306,Minister of Security,John MacCormick,1936,1961,1961,2,Prince of Terror,Low,kaiserreich maccormick,X
1307,Minister of Armament,Robert McIntyre,1944,1964,1999,2,Planned Economy Proponent,High,kaiserreich mcintyre,X
1308,Foreign Minister,Oliver Brown,1936,1964,1999,2,Iron Fisted Brute,High,kaiserreich obrown,X
1309,Minister of Security,Harold Nicolson,1936,1964,1999,1,Crime Fighter,High,kaiserreich hnicolson,X
1310,Foreign Minister,Mary Agnes Hamilton,1936,1964,1999,1,Great Compromiser,High,kaiserreich mhamilton,X
1311,Head of State,Sidney Webb,1936,1947,1947,3,Popular Figurehead,Medium,kaiserreich webb1,X
1312,Head of Government,Beatrice Webb,1936,1943,1943,3,Naive Optimist,Medium,kaiserreich webb2,X
1313,Head of State,Roy Jenkins,1946,1964,1999,3,Insignificant Layman,High,kaiserreich royjenkins,X
1314,Foreign Minister,Ishbel MacDonald,1936,1964,1999,3,Great Compromiser,High,kaiserreich ishbelmacdonald,X
1315,Minister of Armament,Malcom MacDonald,1936,1964,1999,3,Mixed Economy,High,kaiserreich malcommacdonald,X
1316,Head of Government,Arthur Greenwood,1936,1954,1954,2,Naive Optimist,Very High,kaiserreich greenwood,X
1317,Head of Government,Tony Greenwood,1942,1964,1999,3,Silent Workhorse,Very High,kaiserreich tonygreenwood,X
1318,Minister of Armament,Alliott Verdon Roe,1936,1964,1999,0,Air Superiority Proponent,Very High,kaiserreich roe,X
1319,Chief of Army,Nicholas Mosley,1948,1964,1999,2,Commando Doctrine Army,Medium,kaiserreich nmosley,X
1320,Minister of Security,Hugh MacDiarmid,1936,1964,1999,1,Compassionate Gentleman,Medium,kaiserreich macdiarmid,X
1321,Minister of Security,J.H. Thomas,1936,1949,1949,0,Back Stabber,Medium,kaiserreich jhthomas,X
1322,Minister of Armament,Sanny Sloan,1936,1945,1945,1,Construction Magnate,Very High,kaiserreich sanny,X
