LUX,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
66077,Head of Military Intelligence,Max Simon,1940,1964,1999,8,Political Specialist,Medium,M66077,x
66078,Head of Military Intelligence,Jules Prussen,1945,1964,1999,7,Technical Specialist,High,M66078,x
66079,Head of Military Intelligence,Jean Pierre Kauder,1936,1964,1999,1,Industrial Specialist,Medium,M66025,x
66080,Head of Military Intelligence,Max Weckering,1945,1964,1999,2,Dismal Enigma,Low,M66080,x
66082,Chief of Staff,Jean Seurlis,1940,1964,1999,6,School of Psychology,Very High,M66082,x
66083,Chief of Staff,Alex Federspiel,1936,1964,1999,3,School of Fire Support,Medium,M66055,x
66084,Chief of Staff,Francois Schammel,1944,1964,1999,3,School of Mass Combat,Very High,M66050,x
66085,Chief of Staff,Aloyse Glodt,1936,1964,1999,8,School of Fire Support,Medium,M66017,x
66087,Chief of Staff,Martin Karp,1936,1964,1999,1,School of Mass Combat,Medium,M66024,x
66090,Chief of Army,Felix Bourbon-Parma,1940,1964,1999,6,Armoured Spearhead Doctrine,Very High,M66090,x
66093,Chief of Army,Aloyse Glodt,1936,1964,1999,8,Armoured Spearhead Doctrine,Medium,M66017,x
66094,Chief of Army,Alexander von Falkenhausen,1940,1964,1999,8,Decisive Battle Doctrine,Medium,M66034,x
66096,Chief of Army,Martin Karp,1936,1964,1999,1,Elastic Defence Doctrine,Medium,M66024,x
66100,Chief of Navy,Henri Ahnen,1936,1964,1999,8,Indirect Approach Doctrine,Medium,M66015,x
66102,Chief of Navy,Paul Medinger,1936,1964,1999,1,Base Control Doctrine,Medium,M66021,x
66106,Chief of Air Force,Guillaume Soisson,1936,1964,1999,8,Air Superiority Doctrine,Medium,M66016,x
66109,Chief of Air Force,Jean Marc Steffen,1936,1964,1999,2,Vertical Envelopment Doctrine,Medium,M66030,x
66110,Head of State,H.R.H. Charlotte,1936,1964,1999,8,Autocratic Charmer,High,M66001,x
66111,Chief of Navy,Pierre Fischbach,1940,1964,1999,6,Open Seas Doctrine,Very High,M66111,x
66113,Minister of Security,Max Simon,1940,1964,1999,8,Prince of Terror,Medium,M66077,x
66114,Minister of Security,Eugene Schaus,1946,1964,1999,4,Man of the People,Medium,M66114,x
66115,Head of Military Intelligence,Joseph Wohlfart,1951,1964,1999,5,Industrial Specialist,Very High,M66115,x
66116,Head of State,H.R.H. Charlotte,1936,1964,1999,5,Popular Figurehead,High,M66001,x
