SAU,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
63023,Minister of Armament,Yusuf Al-Azmah,1936,1964,1999,7,Infantry Proponent,Medium,SAUYus,X
63024,Minister of Armament,Sultan al-Atrash,1936,1964,1999,7,Resource Industrialist,High,SAUSul,X
63025,Minister of Armament,Faris al-Khoury,1936,1964,1999,7,Administrative Genius,High,SAUFar,X
63026,Minister of Armament,Jamil Mardam Bey,1936,1964,1999,6,Bank President,High,SAUMar,X
63027,Minister of Security,Abdullah bin Hussein,1936,1964,1999,7,Compassionate Gentleman,High,SAUAbd,X
63028,Minister of Security,Bakr Sidqi,1936,1964,1999,7,Prince of Terror,High,SAUSid,X
63029,Minister of Security,Nuri as Said,1936,1964,1999,7,Silent Lawyer,Medium,SAUNur,X
63030,Minister of Security,Rustum Haidar,1936,1964,1999,7,Man of the People,Medium,SAURus,X
63031,Minister of Security,Jamil al Midfai,1936,1964,1999,7,Silent Lawyer,Medium,SAUJam,X
63032,Minister of Security,Jamil al-Ulshi,1936,1964,1999,7,Crime Fighter,High,SAUUls,X
63033,Head of Military Intelligence,Ronald Storrs,1936,1945,1945,6,Logistics Specialist,High,SAUSto,X
63034,Head of Military Intelligence,Rustum Haidar,1936,1964,1999,7,Political Specialist,Medium,SAURus,X
63035,Head of Military Intelligence,Bakr Sidqi,1936,1964,1999,7,Dismal Enigma,Medium,SAUSid,X
63036,Head of Military Intelligence,Tahsin Qadri,1936,1964,1999,7,Logistics Specialist,Medium,k_TahsinQadri,X
63037,Head of Military Intelligence,Salman bin Hamad Al Khalifa,1936,1964,1999,7,Industrial Specialist,Medium,SAUSalm,X
63038,Chief of Staff,Yusuf Al-Azmah,1936,1964,1999,7,School of Psychology,Medium,SAUYus,X
63039,Chief of Staff,Nuri as-Said,1936,1964,1999,7,School of Mass Combat,Medium,SAUNur,X
63040,Chief of Staff,Jamil al Midfai,1936,1964,1999,7,School of Fire Support,Medium,SAUJam,X
63041,Chief of Staff,Zeid bin Hussein,1936,1964,1999,7,School of Psychology,High,SAUZei,X
63042,Chief of Staff,Emir Faisal bin Hussein,1936,1964,1999,7,School of Manoeuvre,High,SAUFai,X
63043,Chief of Army,Nuri as Said,1936,1964,1999,7,Guns and Butter Doctrine,Medium,SAUNur,X
63044,Chief of Army,Abdullah bin Hussein,1936,1964,1999,7,Decisive Battle Doctrine,High,SAUAbd,X
63045,Chief of Army,Jafar al-Askari,1936,1964,1999,7,Decisive Battle Doctrine,High,k_AlAskari,X
63046,Chief of Army,Yusuf Al-Azmah,1936,1964,1999,7,Armoured Spearhead Doctrine,High,SAUYus,X
63047,Chief of Army,Ronald Storrs,1936,1964,1999,6,Armoured Spearhead Doctrine,High,SAUSto,X
63048,Chief of Army,Mawlid al Mukhlis,1936,1964,1999,7,Elastic Defence Doctrine,High,SAUMaw,X
63049,Chief of Army,Saleh al-Ali,1936,1964,1999,7,Decisive Battle Doctrine,High,SAUSal,X
63050,Chief of Army,Aziz Ali al-Misri,1936,1964,1999,7,Guns and Butter Doctrine,High,SAUAzi,X
63051,Chief of Navy,Jamil al Midfai,1936,1964,1999,7,Indirect Approach Doctrine,High,SAUJam,X
63052,Chief of Navy,Tahsin Qadri,1936,1964,1999,6,Base Control Doctrine,High,k_TahsinQadri,X
63053,Chief of Air Force,Yusuf Al-Azmah,1936,1964,1999,7,Army Aviation Doctrine,Medium,SAUYus,X
63075,Chief of Army,Abd al-Qadir al-Husayni,1936,1970,1999,6,Doctrine of Autonomy,Very High,SAU_Abd al-Qadir al-Husayni,X
63076,Chief of Staff,Abd al-Qadir al-Husayni,1936,1970,1999,6,Commando Doctrine Staff,Very High,SAU_Abd al-Qadir al-Husayni,X
63077,Minister of Security,Awni Abd al-Hadi,1936,1970,1999,6,Health and Safety,Very High,SAU_Awni Abd al-Hadi,X
63078,Foreign Minister,Abd al-Rahman Shahbandar,1936,1970,1999,7,Biased Intellectual,Very High,SAU_Abd al-Rahman Shahbandar,X
63079,Chief of Staff,Rida al-Rikabi,1936,1943,1944,6,School of Mass Combat,Very High,SAU_Rida al-Rikabi,X
63080,Chief of Army,Rida al-Rikabi,1936,1943,1944,6,Guns and Butter Doctrine,Very High,SAU_Rida al-Rikabi,X
63081,Foreign Minister,Constantin Zureiq,1936,1970,1999,5,Biased Intellectual,Very High,SAU_Constantin Zureiq,X
63054,Chief of Air Force,Yasin Hilmi Salman,1936,1964,1999,6,Vertical Envelopment Doctrine,High,M91002,X
63071,Chief of Staff,Yasin Hilmi Salman,1936,1970,1999,6,Commando Doctrine Staff,Very High,M91002,X
63072,Head of Government,Nasib al-Bakri,1936,1970,1999,6,Flamboyant Tough Guy,Very High,SAU_Nasib al-Bakri,X
63073,Foreign Minister,Nasib al-Bakri,1936,1970,1999,6,Ideological Crusader,Very High,SAU_Nasib al-Bakri,X
63074,Minister of Armament,Nasib al-Bakri,1936,1970,1999,6,Mixed Economy,Very High,SAU_Nasib al-Bakri,X
63055,Foreign Minister,Rafiq al-Tamimi,1936,1964,1999,6,Apologetic Clerk,Medium,SAURaf,X
63056,Minister of Security,Musa Alami,1936,1964,1999,6,Compassionate Gentleman,Medium,SAUMus,X
63057,Head of Military Intelligence,Mu'in al-Madi,1936,1964,1999,6,Political Specialist,Medium,SAUMui,X
63058,Minister of Security,Subhi al-Khadra,1936,1964,1999,6,Crime Fighter,High,SAUSub,X
63059,Head of State,Abdul Aziz al Saud,1936,1964,1999,7,Ruthless Powermonger,High,M63001,X
63060,Head of Government,Saud al Saud,1936,1964,1999,7,Backroom Backstabber,High,M63002,X
63061,Foreign Minister,Faisal al Saud,1936,1964,1999,7,Apologetic Clerk,High,M63003,X
63062,Minister of Armament,Faisal al Saud,1936,1964,1999,7,Resource Industrialist,High,M63003,X
63063,Minister of Security,Khalid al Saud,1936,1964,1999,7,Crooked Kleptocrat,High,M63005,X
63064,Head of Military Intelligence,Khalid al Saud,1936,1964,1999,7,Logistics Specialist,High,M63005,X
63065,Chief of Staff,Saud al Saud,1936,1964,1999,7,School of Manoeuvre,High,M63002,X
63066,Chief of Army,Faisal al Saud,1936,1964,1999,7,Guns and Butter Doctrine,High,M63003,X
63067,Chief of Navy,Faisal al Saud,1936,1964,1999,7,Open Seas Doctrine,High,M63003,X
63068,Chief of Air Force,Faisal al Saud,1936,1964,1999,7,Army Aviation Doctrine,High,M63003,X
63069,Minister of Armament,Ali Jawdat al-Aiyubi,1936,1970,1999,7,Keynesian Economy,Very High,SAU_Ali Jawdat al-Aiyubi,X
63070,Minister of Security,Ali Jawdat al-Aiyubi,1936,1970,1999,7,Crime Fighter,Very High,SAU_Ali Jawdat al-Aiyubi,X
