IDC,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
543097,Chief of Air Force,H.R.H. Boun Oum,1936,1964,1999,6,Air Superiority Doctrine,Medium,M540010,x
543098,Chief of Air Force,Norodom Sihanouk,1936,1964,1999,7,Army Aviation Doctrine,Medium,M541058,x
543099,Chief of Air Force,Duong Van Minh,1936,1964,1999,8,Naval Aviation Doctrine,Medium,M542046,x
543100,Chief of Air Force,Sourith Sasorith,1936,1964,1999,9,Carpet Bombing Doctrine,Medium,M540043,x
543101,Head of State,Ho Chi Minh,1936,1964,1999,1,Ruthless Powermonger,High,Ho_Chi_Minh,x
543102,Head of Government,Truong Tchin,1936,1964,1999,1,Backroom Backstabber,High,M542019,x
543103,Foreign Minister,Pham Van Dong,1936,1964,1999,1,Ideological Crusader,High,M542024,x
543104,Minister of Armament,Le Duan,1936,1964,1999,1,Military Entrepreneur,Medium,M542030,x
543105,Minister of Security,The Lu,1936,1964,1999,1,Silent Lawyer,Medium,M542035,x
543106,Head of Military Intelligence,Phan Huy Quat,1936,1964,1999,1,Political Specialist,Medium,M542039,x
543107,Chief of Staff,Vo Nguyen Giap,1936,1964,1999,1,School of Psychology,Medium,Vo_Nguyen_Giap,x
543108,Chief of Army,Ho Chi Minh,1936,1964,1999,1,Guns and Butter Doctrine,Medium,Ho_Chi_Minh,x
543109,Chief of Navy,Thrang Tun Doc,1936,1964,1999,1,Power Projection Doctrine,Medium,M542052,x
543110,Chief of Air Force,Nguyen Huu Tho,1936,1964,1999,1,Air Superiority Doctrine,Medium,M542055,x
543111,Head of State,H.R.H. Rama VIII,1936,1964,1999,7,Popular Figurehead,High,M62001,x
543112,Head of Government,Phot Bhahalyodin,1936,1964,1999,7,Happy Amateur,High,M62002,x
543113,Foreign Minister,Ha Samptasiri,1936,1964,1999,7,Apologetic Clerk,Medium,M62003,x
543114,Minister of Armament,Phot Bhahalyodin,1936,1964,1999,7,Corrupt Kleptocrat,Medium,M62002,x
543115,Minister of Security,Pridi Phanomyong,1936,1964,1999,7,Back Stabber,Low,M62005,x
543116,Head of Military Intelligence,Pridi Phanomyong,1936,1964,1999,7,Industrial Specialist,Medium,M62005,x
543117,Chief of Staff,Luang Phibunsongkhram,1936,1964,1999,7,School of Mass Combat,Medium,M62007,x
543118,Chief of Army,Luang Phibunsongkhram,1936,1964,1999,7,Guns and Butter Doctrine,High,M62007,x
543119,Chief of Navy,Pridi Phanomyong,1936,1964,1999,7,Base Control Doctrine,Medium,M62005,x
543120,Chief of Air Force,Phra Vechayanrangsarit,1936,1964,1999,7,Army Aviation Doctrine,High,M62010,x
543121,Head of State,H.R.H. Prince Rangsit of Chainand,1942,1964,1999,7,Autocratic Charmer,High,M62031,x
543122,Head of State,H.R.H. Rama VIII,1945,1964,1999,6,Popular Figurehead,High,M62001,x
543123,Head of State,H.R.H. Rama IX,1946,1964,1999,7,Benevolent Gentleman,High,M62011,x
543124,Head of Government,Luang Phibunsongkhram,1938,1964,1999,8,Old General,High,M62007,x
543125,Head of Government,Kuang Abhayavongsa,1944,1964,1999,7,Silent Workhorse,High,M62036,x
543126,Head of Government,Thawee Punyaketu,1945,1964,1999,6,Smiling Oilman,High,M62015,x
543127,Head of Government,Seni Pramoja,1946,1964,1999,6,Corporate Suit,High,M62012,x
543128,Head of Government,Kuang Abhayavongsa,1946,1964,1999,5,Silent Workhorse,High,M62036,x
543129,Head of Government,Pridi Phanomyong,1946,1964,1999,7,Old Admiral,High,M62005,x
543130,Head of Government,Thawon Thamrongnawasawat,1946,1964,1999,7,Political Protege,High,M62029,x
543131,Head of Government,Phot Bhahalyodin,1939,1964,1999,6,Happy Amateur,High,M62002,x
543132,Foreign Minister,Phraya Chitnasongkhla,1938,1964,1999,8,Apologetic Clerk,Medium,M62026,x
543133,Foreign Minister,Wichit Wichitwathakarn,1942,1964,1999,8,Ideological Crusader,Very High,M62044,x
543134,Foreign Minister,Luang Phibunsongkhram,1943,1964,1999,8,General Staffer,High,M62007,x
543135,Foreign Minister,Pridi Phanomyong,1943,1964,1999,8,Iron Fisted Brute,Low,M62005,x
543136,Foreign Minister,Atthakitti Banomyong,1944,1964,1999,7,Biased Intellectual,Medium,M62047,x
543137,Foreign Minister,Thawee Punyaketu,1945,1964,1999,6,General Staffer,Medium,M62015,x
543138,Foreign Minister,Seni Pramoja,1945,1964,1999,6,Ideological Crusader,Medium,M62012,x
543139,Foreign Minister,Direk Phajayanama,1945,1964,1999,5,Great Compromiser,Low,M62014,x
543140,Foreign Minister,Tianliang Huntrakool,1946,1964,1999,7,Apologetic Clerk,Medium,M62051,x
543141,Foreign Minister,Thawon Thamrongnawasawat,1946,1964,1999,7,The Cloak N Dagger Schemer,Medium,M62029,x
543142,Minister of Armament,Phya Bidadhkosha,1937,1964,1999,7,Administrative Genius,Medium,M62054,x
543143,Minister of Armament,Phraya Wichcitcholathai,1937,1964,1999,7,Battle Fleet Proponent,Medium,M62055,x
543144,Minister of Armament,Pridi Phanomyong,1938,1964,1999,8,Tank Proponent,Low,M62005,x
543145,Minister of Armament,Serm Khrishnamra,1939,1964,1999,6,Air Superiority Proponent,Medium,M62057,x
543146,Minister of Armament,Phra Vechayanrangsarit,1941,1964,1999,8,Air to Ground Proponent,High,M62010,x
543147,Minister of Armament,Phya Burinavarasth,1941,1964,1999,6,Resource Industrialist,Medium,M62059,x
543148,Minister of Armament,H.R.H. Prince Charoon,1943,1964,1999,8,Military Entrepreneur,Medium,M62060,x
543149,Minister of Armament,Phraya Chalermarkiart,1943,1964,1999,8,Strategic Air Proponent,Medium,M62061,x
543150,Minister of Armament,Phraya Preechacholayudha,1944,1964,1999,5,Submarine Proponent,Medium,M62019,x
543151,Minister of Armament,Phraya Thayarnpikart,1944,1964,1999,7,Air Superiority Proponent,Medium,M62063,x
543152,Minister of Armament,Direk Phajayanama,1945,1964,1999,6,Laissez-Faire Capitalist,Low,M62014,x
543153,Minister of Armament,Pridi Phanomyong,1945,1964,1999,6,Air to Ground Proponent,Low,M62005,x
543154,Minister of Armament,Kuang Abhayavongsa,1946,1964,1999,5,Infantry Proponent,Medium,M62036,x
543155,Minister of Armament,A.G. Ellis,1939,1964,1999,6,Theoretical Scientist,Medium,M62016,x
543156,Minister of Armament,Tianliang Huntrakool,1946,1964,1999,7,Tank Proponent,Medium,M62051,x
543157,Minister of Armament,Luang Sinthusongkhramchai,1946,1964,1999,7,Air to Sea Proponent,Medium,M62069,x
543158,Minister of Armament,Phao Peeralert,1946,1964,1999,7,laissez-faire capitalist,Medium,M62024,x
543159,Minister of Security,Chuei Maghaviphulaya,1936,1964,1999,7,Efficient Sociopath,Medium,M62072,x
543160,Minister of Security,Luang Phibunsongkhram,1938,1964,1999,8,Efficient Sociopath,High,M62007,x
543161,Minister of Security,Phot Bhahalyodin,1939,1964,1999,6,Crime Fighter,Medium,M62002,x
543162,Minister of Security,Srisena Sampatisiri,1943,1964,1999,8,Silent Lawyer,Medium,M62075,x
543163,Minister of Security,Ha Samptasiri,1944,1964,1999,7,Back Stabber,Medium,M62003,x
543164,Minister of Security,Seni Pramoja,1944,1964,1999,6,Compassionate Gentleman,Medium,M62012,x
543165,Minister of Security,Thawee Punyaketu,1945,1964,1999,6,Man of the People,Medium,M62015,x
543166,Minister of Security,Chit Munsilpa Sinadyodharaksa,1945,1964,1999,6,Prince of Terror,Medium,M62079,x
543167,Minister of Security,Chuang Chawengsangsongkram,1946,1964,1999,7,Silent Lawyer,Medium,M62081,x
543168,Minister of Security,Thawon Thamrongnawasawat,1946,1964,1999,7,Crime Fighter,Medium,M62029,x
543169,Minister of Security,Bung Suphachahlasai,1946,1964,1999,7,Compassionate Gentleman,Medium,M62083,x
543170,Head of Military Intelligence,A.G. Ellis,1937,1964,1999,6,Technical Specialist,Medium,M62016,x
543171,Head of Military Intelligence,Luang Phibunsongkhram,1938,1964,1999,8,Logistics Specialist,Medium,M62007,x
543172,Head of Military Intelligence,Sawat Phutianands,1943,1964,1999,8,Naval Intelligence Specialist,Medium,M62086,x
543173,Head of Military Intelligence,Serm Khrishnamra,1944,1964,1999,7,Industrial Specialist,Medium,M62057,x
543174,Head of Military Intelligence,Phraya Chitnasongkhla,1945,1964,1999,6,Political Specialist,Medium,M62026,x
543175,Head of Military Intelligence,Chuang Chawengsangsongkram,1945,1964,1999,5,Dismal Enigma,Medium,M62081,x
543176,Chief of Staff,Mangkon Phromyothi,1938,1964,1999,8,School of Mass Combat,Medium,M62025,x
543177,Chief of Staff,Sindhu Kamalanavin,1944,1964,1999,7,School of Psychology,Low,M62017,x
543178,Chief of Staff,Chit Munsilpa Sinadyodharaksa,1945,1964,1999,6,School of Defence,Low,M62079,x
543179,Chief of Staff,Jiri Wichitsongkram,1945,1964,1999,5,School of Manoeuvre,Low,M62094,x
543180,Chief of Staff,Suk Nakrob,1946,1964,1999,7,School of Fire Support,Medium,M62095,x
543181,Chief of Staff,Thawon Thamrongnawasawat,1946,1964,1999,7,School of Manoeuvre,Medium,M62029,x
543182,Chief of Army,Manphya Khanphialong,1938,1964,1999,8,Static Defence Doctrine,Medium,M62097,x
543183,Chief of Army,Thawi Bunyaket,1944,1964,1999,7,Guns and Butter Doctrine,Very High,M62098,x
543184,Chief of Army,Sindhu Kamalanavin,1945,1964,1999,6,Elastic Defence Doctrine,Low,M62017,x
543185,Chief of Army,Phraya Chitnasongkhla,1945,1964,1999,5,Decisive Battle Doctrine,Low,M62026,x
543186,Chief of Army,Tianliang Huntrakool,1946,1964,1999,7,Armoured Spearhead Doctrine,Medium,M62051,x
543187,Chief of Navy,Sawat Phutianands,1938,1964,1999,8,Power Projection Doctrine,Medium,M62086,x
543188,Chief of Navy,Phraya Wichcitcholathai,1944,1964,1999,7,Decisive Naval Battle Doctrine,Medium,M62055,x
543189,Chief of Navy,Phraya Preechacholayudha,1945,1964,1999,6,Indirect Approach Doctrine,Medium,M62019,x
543190,Chief of Navy,Luang Chamnanarthayutha,1945,1964,1999,5,Base Control Doctrine,Medium,M62105,x
543191,Chief of Navy,Thawon Thamrongnawasawat,1946,1964,1999,7,Open Seas Doctrine,Medium,M62029,x
543192,Chief of Air Force,Luang Sinthusongkhramchai,1938,1964,1999,8,Naval Aviation Doctrine,Medium,M62069,x
543193,Chief of Air Force,Phraya Chalermarkiart,1944,1964,1999,7,Carpet Bombing Doctrine,Medium,M62061,x
543194,Chief of Air Force,Phraya Thayarnpikart,1945,1964,1999,6,Air Superiority Doctrine,Medium,M62063,x
543195,Chief of Air Force,Phra Silpasakrakorn,1945,1964,1999,5,Vertical Envelopment Doctrine,Medium,M62110,x
543196,Chief of Air Force,Luang Kajsongkram,1946,1964,1999,7,Army Aviation Doctrine,Medium,M62111,x
543197,Head of State,H.R.H. Rama VIII,1936,1964,1999,8,Popular Figurehead,High,M62001,x
543198,Head of Government,Luang Phibunsongkhram,1948,1964,1999,6,BAckroom Backstabber,High,M62007,x
543199,Foreign Minister,Pote Sarasin,1948,1964,1999,6,Great Compromiser,Medium,M62114,x
