CMB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
541033,Minister of Armament,Nuon Chea,1936,1964,1999,0,Corrupt Kleptocrat,Medium,M541033,x
541034,Minister of Security,René Lacombe,1940,1964,1999,4,Man of the People,Medium,M541034,x
541035,Minister of Security,Lon Nol,1944,1964,1999,4,Prince of Terror,Medium,M541035,x
541036,Minister of Security,Paul Joly,1936,1964,1999,6,Back Stabber,Medium,M541036,x
541037,Minister of Security,Sakiwat Phirun,1936,1964,1999,7,Crooked Kleptocrat,Medium,M541037,x
541038,Minister of Security,Francois Faure,1943,1964,1999,7,Compassionate Gentleman,Medium,M541038,x
541039,Minister of Security,Pol Pot,1936,1964,1999,0,Efficient Sociopath,Medium,M541014,x
541040,Head of Military Intelligence,Sisowath Watchayavong,1942,1964,1999,4,Logistics Specialist,Medium,M541019,x
541041,Head of Military Intelligence,Hy Weng,1936,1964,1999,6,Naval Intelligence Specialist,Medium,M541041,x
541042,Head of Military Intelligence,Sisowath Youtevong,1936,1964,1999,7,Technical Specialist,Medium,M541005,x
541043,Head of Military Intelligence,Tea Banh,1936,1964,1999,0,Dismal Enigma,Medium,M541043,x
541044,Chief of Staff,Norodom Sihanouk,1941,1964,1999,4,School of Psychology,Medium,M541044,x
541045,Chief of Staff,Chhun Lim,1936,1964,1999,6,School of Fire Support,Medium,M541045,x
541046,Chief of Staff,Sisowath Monireth,1936,1964,1999,7,School of Manoeuvre,Medium,M541046,x
541047,Chief of Staff,Kieng Vang,1936,1964,1999,0,School of Mass Combat,Medium,M541047,x
541048,Chief of Army,Emile Laffon,1941,1964,1999,4,Elastic Defence Doctrine,Medium,M541048,x
541049,Chief of Army,Sisowath Watchayavong,1936,1964,1999,6,Elastic Defence Doctrine,Medium,M541049,x
541050,Chief of Army,Lon Nol,1936,1964,1999,7,Decisive Battle Doctrine,Medium,M541035,x
541051,Chief of Army,Son Sen,1936,1964,1999,0,Guns and Butter Doctrine,Medium,M541051,x
541052,Chief of Navy,Jacques Trolley de Prevaux,1943,1964,1999,4,Open Seas Doctrine,Medium,M541052,x
541053,Chief of Navy,André Patou,1936,1964,1999,6,Decisive Naval Battle Doctrine,Medium,M541053,x
541054,Chief of Navy,Norodom Sihanouk,1936,1964,1999,7,Power Projection Doctrine,Medium,M541054,x
541055,Chief of Navy,You Hok Kry,1936,1964,1999,0,Base Control Doctrine,Medium,M541055,x
541056,Chief of Air Force,Josephe Trigaud,1942,1964,1999,4,Army Aviation Doctrine,Medium,M541056,x
541057,Chief of Air Force,Jacques Soufflet,1936,1964,1999,6,Naval Aviation Doctrine,Medium,M541057,x
541058,Chief of Air Force,Norodom Sihanouk,1936,1964,1999,7,Carpet Bombing Doctrine,Medium,M541058,x
541059,Chief of Air Force,Proum Sokha,1936,1964,1999,0,Vertical Envelopment Doctrine,Medium,M541059,x
541060,Head of Government,Chhean Vam,1948,1964,1999,4,Naive Optimist,High,M541060,x
541061,Head of Government,Samdech Penn Nouth,1948,1964,1999,4,Silent Workhorse,High,M541061,x
541062,Head of Government,Yem Sambaur,1949,1964,1999,4,Political Protege,High,M541062,x
541063,Head of Government,Sisowath Monipong,1950,1964,1999,4,Old General,High,M541003,x
541064,Head of Government,Oum Chheang Sun,1951,1964,1999,4,Happy Amateur,High,M541064,x
541065,Head of Government,Huy Kanthoul,1951,1964,1999,4,Ambitious Union Boss,High,M541065,x
541066,Head of Government,H.R.M. Norodom Sihanouk,1952,1964,1999,4,Backroom Backstabber,High,M541011,x
541067,Foreign Minister,Son Ngoc Thanh,1945,1964,1999,4,Great Compromiser,High,M541067,x
541068,Head of State,Under German administration,1963,1964,1999,7,Weary Stiffneck,High,kai_gercoladmi,x
541069,Head of State,Under German administration,1963,1964,1999,6,Weary Stiffneck,High,kai_gercoladmi,x
