SER,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
547038,Chief of Army,Milan Nedic,1936,1964,1999,8,Static Defence Doctrine,High,SER-KR_Milan_Nedic,X
547039,Chief of Navy,Zarko Zrenjanin,1936,1964,1999,1,Base Control Doctrine,High,M10000000004,X
547040,Chief of Air Force,Borivoje Mirkovic,1936,1964,1999,6,Air Superiority Doctrine,High,SER-KR_Borivoje_Mirkovic,X
547041,Head of State,Nj.K.V. Petar II,1936,1964,1999,6,Benevolent Gentleman,High,M20011,X
547042,Head of State,Nj.K.V. Petar II,1936,1964,1999,8,Barking Buffoon,High,M20011,X
547043,Head of State,Draza Mihailovic,1936,1964,1999,7,Resigned Generalissimo,High,M10000000005,X
547044,Chief of Army,Draza Mihailovic,1941,1964,1999,7,Elastic Defence Doctrine,High,M10000000005,X
547045,Chief of Staff,Draza Mihailovic,1936,1964,1999,7,School of Manoeuvre,High,M10000000005,X
547046,Head of State,Bozidar Adzija,1936,1964,1999,1,Popular Figurehead,High,M10000000007,X
547047,Minister of Security,Aleksandar Rankovic,1936,1964,1999,1,Prince of Terror,High,SER-KR_Aleksandar_Rankovic,X
547048,Head of Military Intelligence,Mustafa Golubic,1936,1964,1999,1,Political Specialist,High,SER-KR_Mustafa_Golubic,X
547049,Foreign Minister,Vladimir Dedijer,1941,1964,1999,1,Ideological Crusader,Medium,M10000000010,X
547050,Chief of Staff,Milan Nedic,1936,1964,1999,8,School of Mass Combat,High,SER-KR_Milan_Nedic,X
547051,Head of Government,Rade Koncar,1940,1964,1999,1,Silent Workhorse,High,M10000000012,X
547052,Head of State,Nj.K.V. Danilo I Petrovic-Njegos,1936,1940,1999,6,Popular Figurehead,High,M544011,X
547053,Head of State,Nj.K.V. Mihailo I Petrovic-Njegos,1936,1964,1999,6,Popular Figurehead,High,michaelpetronje kai,X
547054,Head of State,Petar Bojovic,1936,1964,1999,8,Resigned Generalissimo,High,kaiserreich Bojovic,X
547055,Chief of Air Force,Milojko Jankovic,1936,1964,1999,7,Army Aviation Doctrine,High,SER-KR_Milojko_Jankovic,X
547056,Chief of Air Force,Mileta Protic,1936,1964,1999,2,Army Aviation Doctrine,High,SER-KR_Mileta_Protic,X
547057,Head of State,Nj.K.V. Danilo I Petrovic-Njegos,1936,1940,1999,8,Popular Figurehead,High,M544011,X
547058,Head of State,Nj.K.V. Mihailo I Petrovic-Njegos,1936,1964,1999,8,Popular Figurehead,High,michaelpetronje kai,X
547059,Head of State,Nj.K.V. Aleksandar II,1936,1964,1999,6,Benevolent Gentleman,High,kaiserreich Aleksander II,X
547060,Head of State,Nj.K.V. Aleksandar II,1936,1964,1999,8,Stern Imperialist,High,kaiserreich Aleksander II,X
547061,Head of State,Slobodan Jovanovic,1936,1964,1999,5,Benevolent Gentleman,High,M20034,X
547062,Head of Government,Dusan Simovic,1936,1964,1999,7,Happy Amateur,High,M20033,X
547063,Head of Government,Milan Acimovic,1936,1964,1999,8,Political Protege,High,SER-KR_Milan_Acimovic,X
547064,Chief of Army,Petar Bojovic,1936,1964,1999,8,Decisive Battle Doctrine,Medium,kaiserreich Bojovic,X
547065,Head of Government,Ljubomir Davidovic,1936,1964,1999,4,Silent Workhorse,High,kailjubomdav,X
547066,Foreign Minister,Svetozar Pribicevic,1936,1964,1999,4,Ideological Crusader,High,kaisvetozpri,X
547067,Minister of Armament,Kosta Kumanudi,1936,1964,1999,4,Bank President,High,kaikostkum,X
547068,Head of Government,Patriarch Varnava,1936,1964,1999,8,Happy Amateur,High,kaipatvarn,X
547069,Head of Government,Nikola Uzunovic,1936,1964,1999,6,Silent Workhorse,High,kainikuzun,X
547070,Foreign Minister,Bozidar Puric,1936,1964,1999,5,Great Compromiser,High,M20043,X
547071,Head of Military Intelligence,Bozidar Puric,1936,1964,1999,5,Technical Specialist,High,M20043,X
547072,Head of Military Intelligence,Momcilo Nincic,1936,1964,1999,6,Industrial Specialist,High,kaimocninc,X
547073,Head of State,Jovan Veselinov,1936,1964,1999,1,Stern Imperialist,High,kaijovvesel,X
547074,Head of Government,Petar Zivkovic,1936,1964,1999,8,Old General,High,SERZiv,X
547075,Foreign Minister,Miroslav Spalajkovic,1936,1964,1999,7,The Cloak N Dagger Schemer,High,M20016,X
547076,Minister of Security,Milan Srskic,1936,1964,1999,7,Back Stabber,High,SER-KR_Milan_Srskic,X
547077,Foreign Minister,Vojislav Marinkovic,1936,1964,1999,5,Ideological Crusader,High,SER-KR_Vojislav_Marinkovic,X
547078,Foreign Minister,Stanoje Simic,1936,1964,1999,2,Apologetic Clerk,High,M20023,X
547079,Foreign Minister,Milan Gavrilovic,1936,1964,1999,6,Great Compromiser,High,SER-KR_Milan_Gavrilovic,X
547080,Minister of Armament,Ninko Peric,1936,1964,1999,6,Resource Industrialist,High,SER-KR_Ninko_Peric,X
547081,Minister of Armament,Svetislav Milosavljevic,1936,1964,1999,7,Military Entrepreneur,High,SER-KR_Svetislav_Milosavljevic2,X
547082,Minister of Security,Milos Trifunovic,1936,1964,1999,6,Compassionate Gentleman,High,SER-KR_Milos_Trifunovic,X
547083,Minister of Security,Slobodan Penezic,1944,1964,1999,1,Efficient Sociopath,High,SER-KR_Slobodan_Penezic_Krcun_,X
547084,Head of Military Intelligence,Bosko Becarevic,1941,1964,1999,8,Political Specialist,High,SER-KR_Bosko_Becarevic,X
547085,Head of Military Intelligence,Petar Aracic,1936,1964,1999,7,Logistics Specialist,High,SER-KR_Petar_Aracic,X
547086,Chief of Army,Ljubomir Maric,1936,1964,1999,7,Guns and Butter Doctrine,High,SER-KR_Ljubomir_Maric,X
547087,Chief of Staff,Ljubomir Maric,1936,1964,1999,7,School of Defence,High,SER-KR_Ljubomir_Maric,X
547088,Head of Government,Dimitrije Ljotic,1936,1964,1999,9,Political Protege,High,M20048,X
547089,Foreign Minister,Velibor Jonic,1936,1964,1999,9,Iron Fisted Brute,High,SER-KR_Velibor_Jonic,X
547090,Minister of Armament,Mihailo Olcan,1941,1964,1999,9,Infantry Proponent,High,SER-KR_Mihailo_Olcan,X
547091,Head of State,Milan Stojadinovic,1936,1964,1999,6,Benevolent Gentleman,High,kaimilstojd,X
547092,Head of State,Ljubomir Davidovic,1936,1964,1999,4,Die-hard Reformer,High,kailjubomdav,X
547093,Minister of Security,Ljubomir Davidovic,1936,1964,1999,4,Compassionate Gentleman,High,kailjubomdav,X
547094,Minister of Security,Tanasije Dinic,1936,1964,1999,8,Prince of Terror,High,M20052,X
547095,Minister of Armament,Nikola Uzunovic,1936,1964,1999,7,Laissez-Faire Capitalist,High,kainikuzun,X
547096,Minister of Armament,Milorad Draskovic,1936,1964,1999,4,Resource Industrialist,High,SER-KR_Milorad-Draskovic,X
547097,Head of Government,Bogoljub Jevtic,1936,1964,1999,7,Happy Amateur,High,M20004,X
547098,Head of Government,Milan Nedic,1936,1964,1999,8,Old General,High,SER-KR_Milan_Nedic,X
547099,Head of Government,Milos Trifunovic,1936,1964,1999,6,Naive Optimist,High,SER-KR_Milos_Trifunovic,X
547100,Minister of Security,Dragoljub Jovanovic,1936,1964,1999,3,Man of the People,High,SER-KR_Dragoljub_Jovanovic,X
547101,Minister of Armament,Milutin Milankovic,1936,1964,1999,5,Theoretical Scientist,High,SER-KR_Milutin_Milankovic,X
547102,Minister of Armament,Jovan Veselinov,1936,1964,1999,1,Infantry Proponent,High,kaijovvesel,X
547103,Minister of Armament,Pavle Savic,1941,1964,1999,1,Theoretical Scientist,High,SER-KR_Pavle_Savic2,X
547104,Foreign Minister,Dimitrije Ljotic,1936,1964,1999,9,Ideological Crusader,High,M20048,X
547105,Foreign Minister,Zivko Topalovic,1936,1964,1999,3,Biased Intellectual,High,SER-KR_Zivko_Topalovic,X
547106,Foreign Minister,Kosta Novakovic,1936,1964,1999,1,Ideological Crusader,High,SER-KR_Kosta_Novakovic,X
547107,Foreign Minister,Jovan Jovanovic Pizon,1936,1964,1999,6,Biased Intellectual,High,SER-KR_Jovan_Jovanovic-Pizon,X
547108,Minister of Security,Milan Gavrilovic,1936,1964,1999,6,Silent Lawyer,High,SER-KR_Milan_Gavrilovic,X
547109,Minister of Armament,Milan Srskic,1936,1964,1999,7,Corrupt Kleptocrat,High,SER-KR_Milan_Srskic,X
547110,Foreign Minister,Ninko Peric,1936,1964,1999,6,Apologetic Clerk,High,SER-KR_Ninko_Peric,X
547111,Minister of Armament,Dragisa Lapcevic,1936,1964,1999,3,Resource Industrialist,High,SER-KR_Dragisa_Lapcevic,X
547112,Minister of Armament,Milentije Popovic,1944,1964,1999,1,Resource Industrialist,High,SER-KR_Milentije_Popovic,X
547113,Minister of Armament,Mosa Pijade,1936,1964,1999,1,Military Entrepreneur,High,SER-KR_Mosa_Pijade,X
547114,Minister of Security,Dimitrije Ljotic,1936,1964,1999,9,Back Stabber,High,M20048,X
547115,Minister of Security,Mihailo Konstantinovic,1936,1964,1999,5,Silent Lawyer,High,SER-KR_Mihailo-Konstantinovic,X
547116,Foreign Minister,Milos Moskovljevic,1936,1964,1999,3,Biased Intellectual,High,SER-KR_Milos_Moskovljevic,X
547117,Chief of Staff,Koca Popovic,1936,1964,1999,1,School of Manoeuvre,High,SER-KR_Koca_Popovic,X
547118,Chief of Army,Sreten Zujovic,1936,1964,1999,1,Guns and Butter Doctrine,High,SER-KR_Sreten_Zujovic_Crni,X
547119,Chief of Army,Dragutin Gavrilovic,1936,1964,1999,7,Static Defence Doctrine,High,SER-KR_Dragutin_Gavrilovic,X
