BUL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
19132,Chief of Army,Ivan Marinov,6,Static Defence Doctrine,M19017
19120,Chief of Staff,Ivan Marinov,6,School of Manoeuvre,M19017
19061,Foreign Minister,Ivan Popov,7,Biased Intellectual,M19061
19109,Head of Military Intelligence,Ivan Rogosarski,9,Logistics Specialist,M19109
19089,Minister of Armament,Ivan Stefanov,1,Battle Fleet Proponent,M19034
19137,Chief of Navy,Ivan Variclechkov,7,Base Control Doctrine,M19137
19119,Chief of Staff,Ivan Vulkov,8,School of Defence,M19027
19076,Foreign Minister,Kimon Georgiev,1,General Staffer,M19059
19059,Head of Government,Kimon Georgiev,2,Naive Optimist,M19059
19105,Head of Military Intelligence,Kiril Gounev,7,Naval Intelligence Specialist,M19004
19004,Minister of Armament,Kiril Gounev,7,Administrative Genius,M19004
19142,Chief of Navy,Kiril Khalatchev,0,Indirect Approach Doctrine,M19039
19129,Chief of Army,Kiril Stanchev,7,Armoured Spearhead Doctrine,M19026
19108,Head of Military Intelligence,Kiril Stanchev,8,Dismal Enigma,M19026
19128,Chief of Army,Konstantin Lukash,7,Guns and Butter Doctrine,M19128
19070,Foreign Minister,Konstantin Muraviev,6,Apologetic Clerk,M19012
19057,Head of Government,Konstantin Muraviev,5,Happy Amateur,M19012
19134,Chief of Army,Mikhail Mintchev,2,Guns and Butter Doctrine,M19134
19114,Head of Military Intelligence,Mincho Neychev,0,Political Specialist,M19114
19126,Chief of Army,Nikola Hadjipetkov,7,Static Defence Doctrine,M19126
19116,Chief of Staff,Nikola Mihov,7,School of Fire Support,M19116
19101,Minister of Security,Nikola Mushanov,6,Compassionate Gentleman,M19015
19093,Minister of Security,Nikola Nedev,7,Silent Lawyer,M19093
19071,Foreign Minister,Nikola Petkov,6,The Cloak N Dagger Schemer,M19047
19058,Head of Government,Nikola Petkov,6,Flamboyant Tough Guy,M19047
19158,Chief of Staff,Nikola Zhekov,7,School of Psychology,KRZhekov
19092,Minister of Security,Nikolay Nikolaev,7,Crime Fighter,M19092
19159,Head of Military Intelligence,Pencho Zlatev,7,Logistics Specialist,KRZlatev
19090,Minister of Armament,Petko Kounin,0,Air to Ground Proponent,M19090
19072,Foreign Minister,Petko Stainov,2,Biased Intellectual,M19072
19086,Minister of Armament,Petko Stoyanov,2,Theoretical Scientist,M19086
19056,Head of Government,Petur Gabrovski,7,Naive Optimist,M19022
19097,Minister of Security,Petur Gabrovski,8,Back Stabber,M19022
19066,Foreign Minister,Pyrvan Draganov,8,General Staffer,M19066
19141,Chief of Navy,Racho Batanov,2,Open Seas Doctrine,M19141
19099,Minister of Security,Rajcho Pekimov,6,Efficient Sociopath,M19099
19133,Chief of Army,Rajcho Slavkov,6,Guns and Butter Doctrine,M19018
19117,Chief of Staff,Russi Russev,7,School of Mass Combat,M19117
19009,Chief of Navy,Sava Ivanov,7,Open Seas Doctrine,M19009
19107,Head of Military Intelligence,Sava Kirov,7,Industrial Specialist,M19079
19079,Minister of Armament,Sava Kirov,7,Laissez-Faire Capitalist,M19079
19087,Minister of Armament,Stancho Cholakov,2,Administrative Genius,M19087
19080,Minister of Armament,Stanko Nikoladorov,7,Corrupt Kleptocrat,M19080
19106,Head of Military Intelligence,Stefan Noikov,7,Political Specialist,M19106
19143,Chief of Navy,Stefan Tzanev,0,Decisive Naval Battle Doctrine,M19143
19162,Minister of Armament,Stoyan Danev,6,Administrative Genius,KRDanev
19147,Chief of Air Force,Stoyan Stoyanov,6,Air Superiority Doctrine,M19020
19115,Chief of Staff,Teodosi Daskalov,7,School of Defence,M19115
19008,Chief of Army,Todor Georgiev,7,Static Defence Doctrine,M19008
19118,Chief of Staff,Todor Georgiev,7,School of Manoeuvre,M19008
19113,Head of Military Intelligence,Traicho Kostov,0,Logistics Specialist,M19036
19131,Chief of Army,Trifon Trifonov,8,Elastic Defence Doctrine,M19131
19135,Chief of Army,Tsvjatko Radojnov,0,Decisive Battle Doctrine,M19038
19038,Chief of Army,Tsvjatko Radojnov,0,Decisive Battle Doctrine,M19038
19010,Chief of Air Force,Vasil Boydev,7,Air Superiority Doctrine,M19010
19127,Chief of Army,Vasil Boydev,7,Elastic Defence Doctrine,M19127
19074,Foreign Minister,Vasil Kolarov,0,Ideological Crusader,M19031
19033,Foreign Minister,Vasil Kolarov,0,Ideological Crusader,M19031
19149,Chief of Air Force,Vasil Vylkov,2,Vertical Envelopment Doctrine,M19149
19154,Head of Government,Vergil Dimov,7,Silent Workhorse,M19100
19155,Head of Government,Vergil Dimov,6,Silent Workhorse,M19100
19100,Minister of Security,Vergil Dimov,6,Man of the People,M19100
19161,Minister of Security,Vladimir Nikolov Avramov,6,Man of the People,KRAvramov
19157,Foreign Minister,Vladimir Stoychev,7,General Staffer,KRStoy
19160,Chief of Army,Vladimir Vazov,7,Elastic Defence Doctrine,KRVazov
19103,Minister of Security,Vulko Chervenkov,0,Prince of Terror,M19103
19150,Chief of Air Force,Zakhari Zakhariev,0,Vertical Envelopment Doctrine,M19150
