CAN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
45158,Head of Government,John Diefenbaker,6,Ambitious Union Boss,CAN_Diefenbaker
45159,Minister of Security,John Diefenbaker,6,Man of the People,CAN_Diefenbaker
45111,Chief of Army,John Murchie,6,Armoured Spearhead Doctrine,M45102
45102,Chief of Staff,John Murchie,6,School of Fire Support,M45102
45123,Chief of Air Force,Joseph Roméo Vachon,6,Air Superiority Doctrine,M45123
45088,Head of Military Intelligence,Maurice Pope,6,Political Specialist,M45088
45043,Foreign Minister,R.B. Bennett,6,Iron Fisted Brute,M45036
45036,Head of Government,R.B. Bennett,6,Silent Workhorse,M45036
45045,Foreign Minister,Robert Manion,6,Apologetic Clerk,M45037
45037,Minister of Armament,Robert Manion,6,Industrialiser,M45037
45079,Minister of Security,Robert Manion,6,Silent Lawyer,M45037
45167,Foreign Minister,Sidney Earle Smith,6,Biased Intellectual,CAN_EarleSmith
45184,Foreign Minister,Sir Donald Fleming,6,Biased Intellectual,Kaiserreich_Fleming
45183,Head of Government,Sir Donald Fleming,6,Corporate Suit,Kaiserreich_Fleming
45192,Minister of Armament,Sir Donald Fleming,6,Laissez-Faire Capitalist,Kaiserreich_Fleming
45142,Chief of Staff,Sir Edmund Ironside,6,School of Manoeuvre,M1118
45146,Chief of Navy,Sir Ernle Chatfield,6,Decisive Naval Battle Doctrine,M1009
45190,Foreign Minister,Sir George A. Drew,6,Ideological Crusader,Kaiserreich_Drew
45191,Head of Government,Sir George A. Drew,6,Backroom Backstabber,Kaiserreich_Drew
45188,Foreign Minister,Sir Murdoch Alexander MacPherson,6,Iron fisted brute,Kaiserreich_Macpherson
45187,Head of Government,Sir Murdoch Alexander MacPherson,6,Silent Workhorse,Kaiserreich_Macpherson
45147,Chief of Navy,Sir Roger Backhouse,6,Decisive Naval Battle Doctrine,M1137
45189,Minister of Armament,Sir Stephen Leacock,6,Resource Industrialist,Kaiserreich_Leacock
45089,Head of Military Intelligence,William G. Adams,6,Naval Intelligence Specialist,M45079
45118,Chief of Navy,Alasdair Murray,7,Base Control Doctrine,M45019
45048,Foreign Minister,Andrew Greene Carnell,7,Iron Fisted Brute,M45016
45090,Head of Military Intelligence,Andrew Greene Carnell,7,Political Specialist,M45016
45176,Foreign Minister,Anthony Eden,7,Ideological Crusader,M1003
45185,Minister of Armament,C.H. Douglas,7,Administrative Genius,Kaiserreich_Douglas
45060,Minister of Armament,Charles J. Howlett,7,Infantry Proponent,M45060
45074,Minister of Security,Chuck Crate,7,Prince of Terror,M45015
45113,Chief of Army,Frederick M.W. Harvey,7,Guns and Butter Doctrine,M45017
45104,Chief of Staff,Frederick M.W. Harvey,7,School of Mass Combat,M45017
45144,Chief of Staff,Georges Vanier,7,School of Psychology,L52072
45171,Foreign Minister,H. H. Stevens,7,Iron Fisted Brute,CAN_Stevens
45155,Chief of Army,J.F.C Fuller,7,Armoured Spearhead Doctrine,CAN_Fuller
45156,Chief of Staff,J.F.C Fuller,7,School of Manoeuvre,CAN_Fuller
45119,Chief of Navy,Jean Couillard,7,Indirect Approach Doctrine,M45078
45093,Head of Military Intelligence,Jean Couillard,7,Naval Intelligence Specialist,M45078
45078,Minister of Security,Jean Couillard,7,Silent Lawyer,M45078
45173,Minister of Armament,Kingsley Wood,7,Bank President,CAN_Wood
45174,Head of Military Intelligence,Maxwell Knight,7,Logistics Specialist,M1094
45179,Minister of Security,Maxwell Knight,7,Crime Fighter,M1094
45124,Chief of Air Force,P.W. Oland,7,Army Aviation Doctrine,M45020
45091,Head of Military Intelligence,Pierre Berton,7,Dismal Enigma,M45091
45062,Minister of Armament,Pierre Gagnon,7,Resource Industrialist,M45062
45077,Minister of Security,Pierre Gagnon,7,Crime Fighter,M45062
45075,Minister of Security,Pierre St. Pierre,7,Man of the People,M45075
45092,Head of Military Intelligence,René St. Pierre,7,Industrial Specialist,M45061
45061,Minister of Armament,René St. Pierre,7,Battle Fleet Proponent,M45061
45059,Minister of Armament,Tasker Cook,7,Industrialiser,M45059
45076,Minister of Security,Thomas Adams,7,Compassionate Gentleman,M45076
45145,Chief of Air Force,William Avery Bishop,7,Air Superiority Doctrine,L52099
45047,Foreign Minister,Adrien Arcand,8,Ideological Crusader,M45011
45039,Head of Government,Adrien Arcand,8,Happy Amateur,M45011
45177,Minister of Armament,H. Harmsworth; Viscount Rothermere,8,Strategic Air Proponent,CAN_Rothermere
45178,Minister of Security,H. Harmsworth; Viscount Rothermere,8,Back Stabber,CAN_Rothermere
45186,Minister of Security,John Hargrave,8,Efficient Sociopath,Kaiserreich_Hargrave
45058,Minister of Armament,John Ross Taylor,8,Corrupt Kleptocrat,M45014
0,Head of Government,King Edward VIII,8,Happy Amateur,CAN_King_Edward_VIII
45175,Head of Military Intelligence,Ormonde Winter,8,O,CAN_Winter
45181,Foreign Minister,Sir Ernest Manning,8,Ideological Crusader,Kaiserreich_Manning
45180,Head of Government,Sir Ernest Manning,8,Political Protege,Kaiserreich_Manning
45193,Foreign Minister,Sir William Aberhart,8,Ideological Crusader,Kaiserreich_Aberhart
45194,Head of Government,Sir William Aberhart,8,Flamboyant Tough Guy,Kaiserreich_Aberhart
