LIT,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
28119,Chief of Staff,Azuolas Jakus,1945,1964,1999,6,School of Mass Combat,Medium,M28119,x
28120,Chief of Staff,Antanas Snieckus,1938,1964,1999,0,School of Fire Support,Medium,M28027,x
28121,Chief of Staff,Aleksandras Guzevicius,1941,1964,1999,0,School of Defence,Medium,M28030,x
28122,Chief of Army,Albinas Cepas-Cepauskas,1938,1964,1999,9,Armoured Spearhead Doctrine,Medium,M28122,x
28123,Chief of Army,Petras Plechavicius,1941,1964,1999,9,Elastic Defence Doctrine,Medium,M28071,x
28124,Chief of Army,Jonas Galvydis-Bykauskas,1938,1964,1999,8,Static Defence Doctrine,Medium,M28007,x
28126,Chief of Army,Gedrivius Palionis,1945,1964,1999,7,Decisive Battle Doctrine,Medium,M28126,x
28127,Chief of Army,Kazys Musteikis,1938,1964,1999,6,Guns and Butter Doctrine,Medium,M28125,x
28128,Chief of Army,Anatolijus Kairys,1940,1964,1999,6,Static Defence Doctrine,High,M28019,x
28129,Chief of Army,Adolfas Ramanasukas-Vanagas,1945,1964,1999,6,Elastic Defence Doctrine,Medium,M28018,x
28130,Chief of Army,Antanas Snieckus,1938,1964,1999,0,Armoured Spearhead Doctrine,Medium,M28027,x
28131,Chief of Army,Jurgis Terleckas,1941,1964,1999,0,Guns and Butter Doctrine,Medium,M28098,x
28132,Chief of Navy,Azuolas Kuschat,1938,1964,1999,9,Power Projection Doctrine,Medium,M28056,x
28135,Chief of Navy,Jurgis Saulys,1938,1964,1999,6,Indirect Approach Doctrine,Medium,M28107,x
28136,Chief of Navy,Anatolijus Kairys,1941,1964,1999,6,Base Control Doctrine,Medium,M28019,x
28137,Chief of Navy,Vladas Karvelis,1938,1964,1999,0,Indirect Approach Doctrine,Medium,M28029,x
28138,Chief of Navy,Mecislovas Gedvilas,1941,1964,1999,0,Base Control Doctrine,Medium,M28024,x
28139,Chief of Air Force,Kazys Skirpa,1938,1964,1999,9,Army Aviation Doctrine,Medium,M28032,x
28142,Chief of Air Force,Juozas Ambrazevicius,1938,1964,1999,6,Carpet Bombing Doctrine,Medium,M28020,x
28143,Chief of Air Force,Mykolas Filipavicius,1945,1964,1999,6,Air Superiority Doctrine,Medium,M28093,x
28144,Chief of Air Force,Aleksandras Guzevicius,1938,1964,1999,0,Vertical Envelopment Doctrine,Medium,M28030,x
28145,Chief of Air Force,Juozas Baukarskas,1945,1964,1999,0,Army Aviation Doctrine,Medium,M28145,x
28146,Head of State,Oskaras Milasius,1936,1964,1999,6,Die-hard Reformer,High,kaiserreich oscarmilosz,x
28147,Head of Government,Oskaras Milasius,1936,1964,1999,6,Silent Workhorse,High,kaiserreich oscarmilosz,x
28148,Foreign Minister,Oskaras Milasius,1936,1964,1999,6,Biased Intellectual,Medium,kaiserreich oscarmilosz,x
28149,Head of State,The Tsar Of All Russians,1936,1964,1999,6,Popular Figurehead,High,Mrus Tsar,x
28150,Head of State,The Tsar Of All Russians,1936,1964,1999,7,Popular Figurehead,High,Mrus Tsar,x
28151,Head of State,Under Russian protectorate,1936,1964,1999,7,Weary Stiffneck,High,rusprotectorate,x
28152,Head of State,Under Russian protectorate,1936,1964,1999,6,Weary Stiffneck,High,rusprotectorate,x
28153,Head of State,Vincas Mickevecius,1936,1964,1999,7,Weary Stiffneck,High,LitMickevicius,x
28154,Head of Government,Vincas Mickevecius,1936,1964,1999,7,backroom backstabber,Very High,LitMickevicius,x
28155,Head of Government,Vincas Mickevecius,1936,1964,1999,6,backroom backstabber,Very High,LitMickevicius,x
28156,Foreign Minister,Kazys Bizauskas,1936,1964,1999,6,Biased Intellectual,Very High,kai_litkaszbz,x
28157,Head of Government,Mykolas Birziska,1936,1964,1999,5,backroom backstabber,Very High,kai_litmklsbrz,x
28158,Minister of Armament,Vytautas Petrulis,1936,1964,1999,7,laissez-faire capitalist,Very High,kai_litvtspr,x
28159,Foreign Minister,Vladas Pozela,1936,1964,1999,3,Ideological Crusader,Very High,kai_litvldspzl,x
28160,Minister of Armament,Jeronimas Pleckaitis,1936,1964,1999,3,Resource Industrialist,Very High,kai_litjrnmplct,x
28161,Minister of Security,Juozas Paplauskas,1936,1964,1999,3,Man of the People,Very High,kai_litjzspp,x
28162,Head of Military Intelligence,Vladas Sirutavicius,1936,1964,1999,3,Industrial Specialist,Very High,kai_litvldssr,x
28163,Head of State,J.K.D. Mindaugaas III,1936,1964,1999,6,german aristocrat,High,kaiserreich mindaugasiii,x
28164,Head of Government,Jonas Pakalka,1939,1964,1999,3,Political Protege,Very High,kai_litjnspklk,x
28165,Minister of Armament,Jackus Sondeckis,1939,1964,1999,3,laissez-faire capitalist,Very High,kai_litjcksson,x
28166,Foreign Minister,Kipras Bielinis,1936,1964,1999,3,Biased Intellectual,Very High,kai_litkprsbilns,x
