CRO,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
30062,Chief of Navy,Nikola Steinfel,1936,1964,1999,7,Decisive Naval Battle Doctrine,Medium,CRO-KR_Nikola_Steinfel,X
30066,Chief of Air Force,Emil Uzelac,1936,1964,1999,7,Army Aviation Doctrine,High,CRO-KR_Emil-Uzelac2,X
30068,Chief of Air Force,Miroslav Navratil,1936,1964,1999,7,Air Superiority Doctrine,High,CRO-KR_Miroslav_Navratil,X
30069,Head of State,S.K.u.K.M. Otto I von Habsburg,1936,1964,1999,7,Young Kaiser,High,kaiserreich ottoivh,X
30070,Head of State,Josip Broz,1936,1964,1999,1,Powerhungry Demagogue,High,M20021,X
30071,Foreign Minister,Avlor Landic de Hazelrof,1936,1964,1999,1,Ideological Crusader,High,CRO_avlor_landic_de_hazelrof,X
30072,Head of State,Miroslav Krleza,1936,1964,1999,2,Insignificant Layman,High,CRO_miroslav_krleza,X
30073,Foreign Minister,Miroslav Krleza,1936,1964,1999,2,Biased Intellectual,High,CRO_miroslav_krleza,X
30074,Head of Government,August Cesarec,1936,1964,1999,1,Silent Workhorse,High,CRO_august_cesarec,X
30075,Minister of Armament,August Cesarec,1936,1964,1999,1,Military Entrepreneur,High,CRO_august_cesarec,X
30076,Head of State,Ante Ciliga,1936,1964,1999,1,Die-hard Reformer,High,CRO_ante_ciliga,X
30077,Head of Government,Ante Ciliga,1936,1964,1999,1,Silent Workhorse,High,CRO_ante_ciliga,X
30078,Minister of Security,Ante Ciliga,1936,1964,1999,1,Silent Lawyer,High,CRO_ante_ciliga,X
30079,Minister of Security,Vladimir Copic,1936,1964,1999,2,Man of the People,High,CRO_vladimir_copic,X
30080,Head of Military Intelligence,Vladimir Copic,1936,1964,1999,2,Political Specialist,High,CRO_vladimir_copic,X
30081,Chief of Staff,Vladimir Copic,1936,1964,1999,2,School of Mass Combat,High,CRO_vladimir_copic,X
30082,Chief of Army,Aleksa Dundic,1936,1964,1999,0,Armoured Spearhead Doctrine,High,CRO_aleksa_dundic,X
30083,Chief of Army,Vladimir Copic,1936,1964,1999,2,Guns and Butter Doctrine,High,CRO_vladimir_copic,X
30084,Minister of Armament,Aleksa Dundic,1936,1964,1999,0,Tank Proponent,High,CRO_aleksa_dundic,X
30085,Foreign Minister,Aleksa Dundic,1936,1964,1999,0,General Staffer,High,CRO_aleksa_dundic,X
30086,Head of State,Ivan Ribar,1936,1964,1999,1,Stern Imperialist,High,CRO_ivan_ribar,X
30087,Head of Government,Ivan Ribar,1936,1964,1999,1,Flamboyant Tough Guy,High,CRO_ivan_ribar,X
30088,Foreign Minister,Ivan Ribar,1936,1964,1999,1,Great Compromiser,High,CRO_ivan_ribar,X
30089,Minister of Armament,Ivan Ribar,1936,1964,1999,1,Resource Industrialist,High,CRO_ivan_ribar,X
30090,Foreign Minister,Vladimir Nazor,1936,1964,1999,2,Apologetic Clerk,High,CRO_vladimir_nazor,X
30091,Head of State,Andrija Hebrang,1936,1964,1999,0,Powerhungry Demagogue,High,CRO_andrija_hebrang,X
30092,Head of Government,Andrija Hebrang,1936,1964,1999,0,Ambitious Union Boss,High,CRO_andrija_hebrang,X
30093,Head of Military Intelligence,Andrija Hebrang,1936,1964,1999,0,Dismal Enigma,High,CRO_andrija_hebrang,X
30094,Foreign Minister,Svetozar Delic,1936,1964,1999,1,Great Compromiser,High,CRO_svetozar_delic,X
30095,Chief of Navy,Bogdan Pecotic,1945,1964,1999,1,Indirect Approach Doctrine,High,CRO-KR_Bogdan_Pecotic,X
30096,Chief of Air Force,Viktor Bubanj,1945,1964,1999,1,Army Aviation Doctrine,High,CRO-KR_Viktor_Bubanj,X
30097,Chief of Staff,Viktor Pavicic,1941,1964,1999,8,School of Mass Combat,High,CRO-KR_Viktor_Pavicic,X
30098,Chief of Staff,Marko Mesic,1941,1964,1999,8,School of Fire Support,High,CRO-KR_Marko_Mesic,X
30099,Chief of Staff,Mihajlo Lukic,1936,1964,1999,7,School of Defence,High,CRO-KR_Mihajlo_Lukic,X
30100,Chief of Army,Miroslav Navratil,1936,1964,1999,7,Guns and Butter Doctrine,High,CRO-KR_Miroslav_Navratil,X
30101,Minister of Security,Ivan Pernar,1936,1964,1999,6,Silent Lawyer,High,CRO-KR_Ivan_Pernar,X
30102,Minister of Armament,August Kosutic,1936,1964,1999,6,Military Entrepreneur,High,CRO-KR_August_Kosutic,X
30103,Minister of Security,Srdjan Budisavljevic,1936,1964,1999,5,Compassionate Gentleman,High,CRO-KR_Srdjan_Budisavljevic,X
