SIB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
522039,Minister of Armament,Alexander E. Novoselov,1936,1964,1999,3,Resource Industrialist,Medium,Mbergal,X
522040,Chief of Navy,Pyotr Nikiforov,1936,1964,1999,2,Power Projection Doctrine,High,Mnikiforov,X
522041,Head of State,Alexei N. Grishin-Almazov,1936,1964,1999,6,Weary Stiffneck,High,Mgrishin,X
522042,Head of Government,Ivan Adrianovich Mikhailov,1936,1964,1999,6,Silent Workhorse,Medium,Mmikhailov,X
522043,Minister of Security,Matvei Berman,1936,1964,1999,1,Efficient Sociopath,High,Mbermann,X
522044,Minister of Security,Alexandra Kim,1936,1964,1999,2,Compassionate Gentleman,High,Mkimstankevich,X
522045,Chief of Army,Konstantin Telegin,1936,1964,1999,1,Guns and Butter Doctrine,High,Mtelegin,X
522046,Head of Military Intelligence,Pyotr Krasikov,1936,1964,1999,1,Technical Specialist,Medium,Mkrasikov,X
522047,Head of State,Vadim Podbelsky,1936,1964,1999,1,Die-hard Reformer,High,Mpodbelsky,X
522048,Head of Government,Boris Shumyatsky,1936,1964,1999,1,Ambitious Union Boss,High,Mshumyatsky,X
522049,Chief of Staff,Nikolay Matveyev,1936,1964,1999,2,School of Mass Combat,Medium,,X
522050,Foreign Minister,Sespel Missi,1936,1964,1999,1,Biased Intellectual,High,Msespel,X
522052,Minister of Security,Yakov Yurovsky,1936,1964,1999,0,Prince of Terror,High,Myurovsky,X
522053,Chief of Air Force,Valerian Kuybyshev,1936,1964,1999,2,Army Aviation Doctrine,Medium,Mkuybyshev,X
522054,Foreign Minister,Vadim Podbelsky,1936,1964,1999,2,Great Compromiser,High,Mpodbelsky,X
522055,Foreign Minister,Piotr Yakovlevich Derber,1936,1964,1999,6,Apologetic Clerk,High,Mderber,X
