COS,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
47062,Foreign Minister,Teodoro Picado Michalski,1943,1964,1999,6,Ideological Crusader,High,M47037,x
47063,Foreign Minister,Manuel de Peralta,1944,1964,1999,6,Iron Fisted Brute,Medium,M47063,x
47064,Foreign Minister,Raúl Gundían,1936,1964,1999,7,General Staffer,Medium,M47003,x
47065,Foreign Minister,Manuel Mora Valverde,1940,1964,1999,1,The Cloak N Dagger Schemer,Medium,M47021,x
47066,Foreign Minister,Enrique Díaz Toledo,1947,1964,1999,2,Apologetic Clerk,Medium,M47066,x
47067,Minister of Armament,Jose Figueres Ferrer,1944,1964,1999,3,Administrative Genius,Medium,M47041,x
47068,Minister of Armament,Calufa Fallas Sinaja,1947,1964,1999,3,Submarine Proponent,High,M47068,x
47070,Minister of Armament,Chico Orlich Bolmarich,1940,1964,1999,4,Tank Proponent,High,M47058,x
47071,Minister of Armament,Roberto Brenes Mesen,1944,1964,1999,4,Infantry Proponent,Medium,M47056,x
47072,Minister of Armament,Tobias Zúñiaga Montúfar,1947,1964,1999,4,Air to Ground Proponent,High,M47033,x
47073,Minister of Armament,Juan Cortes Castro,1936,1964,1999,6,laissez-faire capitalist,Medium,M47073,x
47074,Minister of Armament,Otto Cortes Fernandez,1938,1964,1999,6,Administrative Genius,High,M47035,x
47075,Minister of Armament,Tobias Picado Cortes,1941,1964,1999,6,Battle Fleet Proponent,Very High,M47075,x
47076,Minister of Armament,Ignacio Mendéz Alino,1936,1964,1999,7,Corrupt Kleptocrat,High,M47014,x
47077,Minister of Armament,Luís Fernandéz Rodríguez,1940,1964,1999,1,Air to Ground Proponent,Medium,M47024,x
47078,Minister of Armament,Ignacio Mendéz Alino,1947,1964,1999,2,Corrupt Kleptocrat,High,M47014,x
47079,Minister of Security,Calufa Fallas Sinaja,1944,1964,1999,3,Silent Lawyer,Medium,M47068,x
47080,Minister of Security,Jose Figueres Ferrer,1947,1964,1999,3,Man of the People,High,M47041,x
47082,Minister of Security,Isalino de Silva Londres,1940,1964,1999,4,Crime Fighter,Low,M47040,x
47083,Minister of Security,Tobias Zúñiaga Montúfar,1944,1964,1999,4,Silent Lawyer,High,M47033,x
47084,Minister of Security,Alejandro de Castro Lopez,1947,1964,1999,4,Man of the People,High,M47034,x
47085,Minister of Security,Adolfo Urribe Castro,1936,1964,1999,6,Compassionate Gentleman,Medium,M47044,x
47087,Minister of Security,Tobias Picado Cortes,1946,1964,1999,6,Prince of Terror,Very High,M47075,x
47088,Minister of Security,Alberto Marten Chavarria,1936,1964,1999,7,Crooked Kleptocrat,Very Low,M47015,x
47089,Minister of Security,Isalino de Silva Londres,1940,1964,1999,2,Crime Fighter,Low,M47040,x
47090,Minister of Security,Carmen Lyra,1947,1964,1999,2,Prince of Terror,Low,M47025,x
47091,Head of Military Intelligence,Jose Figueres Ferrer,1944,1964,1999,3,Political Specialist,Medium,M47041,x
47092,Head of Military Intelligence,Romualdo Jímenez Oreamurio,1936,1964,1999,4,Technical Specialist,High,M47001,x
47093,Head of Military Intelligence,Raúl Gundían,1936,1964,1999,4,Dismal Enigma,Medium,M47003,x
47094,Head of Military Intelligence,Enrique Díaz Toledo,1944,1964,1999,4,Logistics Specialist,Medium,M47066,x
47095,Head of Military Intelligence,Tobias Zúñiaga Montúfar,1947,1964,1999,4,Political Specialist,High,M47033,x
47096,Head of Military Intelligence,Benjamin Nuñez Vargas,1936,1964,1999,6,Logistics Specialist,High,M47096,x
47098,Head of Military Intelligence,Romualdo Pino Roja,1946,1964,1999,6,Dismal Enigma,Low,M47011,x
47099,Head of Military Intelligence,José Mendéz Alino,1936,1964,1999,7,Industrial Specialist,Medium,M47016,x
47100,Head of Military Intelligence,Hugo Montés Ramirez,1940,1964,1999,1,Logistics Specialist,Medium,M47100,x
47101,Head of Military Intelligence,Miguel Ramirez Alcantara,1947,1964,1999,2,Dismal Enigma,Medium,M47026,x
47102,Chief of Staff,Felipe Abreu Castro,1945,1964,1999,3,School of Fire Support,High,M47102,x
47103,Chief of Staff,Jose Figueres Ferrer,1947,1964,1999,3,School of Mass Combat,High,M47103,x
47105,Chief of Staff,Alejandro de Castro Lopez,1947,1964,1999,4,School of Mass Combat,High,M47034,x
47107,Chief of Staff,Jorge Volio Jimenéz,1944,1964,1999,6,School of Manoeuvre,Medium,M47107,x
47109,Chief of Staff,Hugo Montés Ramirez,1940,1964,1999,1,School of Psychology,Medium,M47100,x
47110,Chief of Staff,Miguel Ramirez Alcantara,1947,1964,1999,2,School of Fire Support,Medium,M47026,x
47112,Chief of Army,Jose Figueres Ferrer,1947,1964,1999,3,Decisive Battle Doctrine,High,M47103,x
47114,Chief of Army,Tobias Zúñiaga Montúfar,1947,1964,1999,4,Elastic Defence Doctrine,High,M47033,x
47116,Chief of Army,Don Arnaldo Zamora,1940,1964,1999,6,Guns and Butter Doctrine,Medium,M47111,x
47117,Chief of Army,Jorge Volio Jimenéz,1944,1964,1999,6,Armoured Spearhead Doctrine,High,M47107,x
47118,Chief of Army,Baptista E. Gutierrez,1936,1964,1999,7,Elastic Defence Doctrine,Medium,M47018,x
47119,Chief of Army,Hugo Montés Ramirez,1940,1964,1999,1,Decisive Battle Doctrine,Medium,M47100,x
47120,Chief of Army,Francisco Rosendo Arguello,1947,1964,1999,2,Guns and Butter Doctrine,Medium,M47028,x
47121,Chief of Navy,Felipe Abreu Castro,1944,1964,1999,3,Power Projection Doctrine,High,M47102,x
47125,Chief of Navy,Manuel Mora Valverde,1940,1964,1999,1,Base Control Doctrine,Medium,M47021,x
47126,Chief of Navy,Hugo Siedler Mendoza,1947,1964,1999,2,Indirect Approach Doctrine,Medium,M47029,x
47127,Chief of Air Force,Guillermo Macho Nuñez,1944,1964,1999,3,Air Superiority Doctrine,Medium,M47127,x
47129,Chief of Air Force,Carlos Uribé Alpoveda,1936,1964,1999,6,Carpet Bombing Doctrine,Medium,M47129,x
47131,Chief of Air Force,Manuel Mora Valverde,1940,1964,1999,1,Army Aviation Doctrine,Medium,M47021,x
47132,Chief of Air Force,Oscar Padilla Sellean,1947,1964,1999,2,Naval Aviation Doctrine,Medium,M47030,x
47133,Head of State,Santos León Herrera,1947,1964,1999,6,Pig-headed Isolationist,High,M47133,x
47134,Head of Government,Santos León Herrera,1947,1964,1999,6,Corporate Suit,High,M47133,x
47030,Chief of Air Force,Oscar Padilla Sellean,1936,1964,1999,2,Naval Aviation Doctrine,Medium,M47030,x
