RUS,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
4148,Chief of Air Force,Vyacheslav Tkachov,1936,1964,1999,6,Army Aviation Doctrine,High,Tkachov,X
4149,Chief of Air Force,Aleksandr A. Kazakov,1936,1964,1999,2,Vertical Envelopment Doctrine,High,Kazakov,X
4150,Chief of Air Force,Yevgeny K. Miller,1936,1964,1999,6,Vertical Envelopment Doctrine,High,L500062,X
4151,Chief of Air Force,Aleksandr P. Kutepov,1936,1964,1999,6,Army Aviation Doctrine,High,L500050,X
4152,Head of State,E.I.V. Kyril I Romanov,1937,1964,1999,6,Untamed Autocrat,High,kaiserreich kyrilromanov,X
4153,Head of State,E.I.V. Vladimir III Romanov,1938,1964,1999,5,Liberal Tsar,High,kaiserreich vladimirromanov,X
4154,Head of State,Viktor M. Chernov,1936,1964,1999,3,Die-hard Reformer,High,Mrus chernov,X
4155,Head of State,Pyotr N. Wrangel,1936,1964,1999,7,The Black Baron,Very High,M4124,X
4156,Head of State,Anton I. Denikin,1936,1964,1999,7,The Peasant Marshal,Very High,Mrus Denikin,X
4157,Head of Government,Pavel N. Shatilov,1936,1964,1999,9,Political Protege,High,Shatilov,X
4158,Head of Government,Pyotr N. Wrangel,1936,1964,1999,7,The Black Baron Hog,Very High,M4124,X
4159,Head of Government,Anton I. Denikin,1936,1964,1999,7,The Peasant Marshal Hog,Very High,Mrus denikin,X
4199,Head of State,Aleksandr V. Kolchak,1936,1964,1999,8,Admiral Dictator,Very High,Mrus kolchak,X
4331,Head of Government,Aleksandr S. Lukomsky,1936,1970,1999,8,Old General,Very High,L500054,X
4332,Minister of Armament,Aleksei I. Putilov,1936,1970,1999,8,Bank President,Very High,MRUS Putilov,X
4333,Minister of Security,Karlis Goppers,1936,1970,1999,9,Secret Police Chief,Undying,MRUS Goppers,X
4334,Foreign Minister,Dmitri M. Odinets,1936,1970,1999,9,Ideological Crusader,Undying,MRUS Odinets,X
4198,Head of Government,Aleksandr V. Kolchak,1936,1964,1999,8,Flamboyant Tough Guy,Very High,Mrus kolchak,X
4160,Head of Government,Pavel N. Milyukov,1936,1964,1999,5,Backroom Backstabber,Medium,Mrus miliukov,X
4161,Head of Government,Nikolai I. Bukharin,1936,1964,1999,1,Silent Workhorse,High,BukharinSOV,X
4162,Head of State,Nikolai I. Bukharin,1936,1964,1999,1,Die-hard Reformer,High,BukharinSOV,X
4163,Minister of Security,Maria A. Spiridonova,1936,1964,1999,2,Prince of Terror,Very High,Mrus spiridanova,X
4164,Head of Military Intelligence,Alexei I. Rykov,1936,1964,1999,2,Dismal Enigma,Very High,Rykov,X
4165,Minister of Armament,Nikolai N. Krestinsky,1936,1964,1999,1,Administrative Genius,Very High,kaiserreich nkrestinsky,X
4166,Head of Military Intelligence,Boris V. Annenkov,1936,1964,1999,9,Logistics Specialist,Very High,Annenkov,X
4167,Minister of Security,Pyotr N. Wrangel,1936,1964,1999,7,Crime Fighter,Very High,M4124,X
4168,Minister of Armament,Lazer M. Kaganovich,1936,1964,1999,2,Resource Industrialist,High,M4004,X
4356,Head of Government,Lev B. Kamenev,1936,1970,1999,0,Ambitious Union Boss,Very High,MRUS Kamenev,X
4357,Minister of Armament,Lev B. Kamenev,1936,1970,1999,0,Planned Economy Proponent,Very High,MRUS Kamenev,X
4169,Head of Government,Lazer M. Kaganovich,1944,1964,1999,2,Flamboyant Tough Guy,Very High,M4004,X
4170,Foreign Minister,Lev N. Gumilov,1938,1964,1999,8,Iron Fisted Brute,High,Lev_Gumilov,X
4171,Foreign Minister,Georgiy P. Ignatiev,1943,1964,1999,6,Great Compromiser,High,Georgi_Ignatiev,X
4172,Foreign Minister,Nikolai Sukhanov,1936,1964,1999,2,Ideological Crusader,Medium,sukhanov,X
4173,Minister of Armament,Vladimir P. Smirnov,1936,1964,1999,4,Balanced Budget Economy,High,M4024,X
4175,Minister of Security,Vasily A. Kharlamov,1936,1964,1999,5,Man of the People,High,Kaiserreich Kharlamov,X
4176,Head of Military Intelligence,Abram Dragomirov,1936,1964,1999,7,Technical Specialist,High,L500010,X
4177,Chief of Staff,Konstantin K. Rokossovsky,1940,1964,1999,2,School of Manoeuvre,High,M4027,X
4178,Chief of Army,Georgiy K. Zhukov,1939,1964,1999,3,Armoured Spearhead Doctrine,High,M4028,X
4179,Chief of Navy,Vasily Kanin,1936,1964,1999,7,Decisive Naval Battle Doctrine,High,Kanin,X
4180,Chief of Air Force,Pavel V. Rychagov,1936,1964,1999,0,Army Aviation Doctrine,High,M4030,X
4181,Chief of Army,Anton I. Denikin,1936,1964,1999,7,Static Defence Doctrine,High,Mrus denikin,X
4182,Foreign Minister,Vladimir Galitzine,1938,1964,1999,7,Great Compromiser,Very High,kaiserreich vladimirgallitzine,X
4183,Minister of Security,Felix F. Yusupov,1936,1964,1999,7,Back Stabber,High,kai_flxfysp,X
4184,Head of Military Intelligence,Felix F. Yusupov,1936,1964,1999,7,Political Specialist,Very High,kai_flxfysp,X
4185,Minister of Armament,Dmitri Pavlovich Romanov,1936,1964,1999,7,Corrupt Kleptocrat,High,kaiserreich dmitripavlovich,X
4186,Chief of Army,Dmitri Pavlovich Romanov,1936,1964,1999,7,Guns and Butter Doctrine,High,kaiserreich dmitripavlovich,X
4187,Minister of Security,Vladimir M. Purishkevich,1936,1964,1999,8,Crooked Kleptocrat,High,kaiserreich VladimirPurishkevich,X
4188,Minister of Security,Vladimir N. Kokovtsov,1936,1964,1999,7,Compassionate Gentleman,High,kaiserreich VladimirKokovtsov,X
4189,Minister of Armament,Vladimir N. Kokovtsov,1936,1964,1999,7,Bank President,High,kaiserreich VladimirKokovtsov,X
4190,Foreign Minister,Vladimir D. Nabokov,1936,1964,1999,6,General Staffer,High,kaiserreich VladimirDmitrievichNabokov,X
4191,Head of Government,Vladimir M. Purishkevich,1936,1964,1999,8,Flamboyant Tough Guy,High,kaiserreich VladimirPurishkevich,X
4192,Head of Government,Felix F. Yusupov,1936,1964,1999,7,Happy Amateur,High,kai_flxfysp,X
4193,Head of State,Dmitri Pavlovich Romanov,1936,1964,1999,7,Charming President,High,kaiserreich dmitripavlovich,X
4194,Head of State,E.I.V. Dmitri V Romanov,1937,1964,1999,8,Aristocratic Emperor,High,kaiserreich dmitripavlovich,X
4195,Minister of Security,Sergius of Nizhny-Novgorod,1936,1964,1999,7,Man of the People,High,kaiserreich sergiusofnn,X
4196,Minister of Security,Sergei L. Markov,1936,1964,1999,7,Silent Lawyer,Very High,Mrus Markov,X
4197,Head of Military Intelligence,Aleksandr A. Kazakov,1936,1964,1999,7,Technical Specialist,High,Kazakov,X
4200,Minister of Security,Pavel N. Ignatiev,1936,1964,1999,7,Crime Fighter,Very High,Pavel_Ignatiev,X
4201,Minister of Armament,Pavel N. Ignatiev,1936,1964,1999,7,Resource Industrialist,Very High,Pavel_Ignatiev,X
4202,Head of Military Intelligence,Aleksandr I. Solzhenitsyn,1941,1964,1999,8,Political Specialist,Very High,Alexandr_Solzhenitsyn,X
4203,Head of State,Sergei L. Markov,1945,1964,1999,7,Stern Imperialist,Very High,MRUS Markov,X
4204,Head of State,Ariadna V. Tyrkova-Williams,1945,1964,1999,4,Die-hard Reformer,High,MRUS Tyrkova,X
4205,Head of State,Alexei P. Arkhangelskiy,1936,1964,1999,7,Resigned Generalissimo,High,Alexei_Archangelskiy,X
4214,Chief of Army,Alexei P. Arkhangelskiy,1938,1964,1999,7,Decisive Battle Doctrine,High,Alexei_Archangelskiy,X
4216,Head of Government,Vasily Kanin,1936,1964,1999,7,Old Admiral,High,Kanin,X
4217,Head of State,Vasily A. Maklakov,1936,1964,1999,5,Benevolent Gentleman,High,MRUS Maklakov,X
4218,Head of Government,Nikolai S. Trubetskoy,1936,1964,1999,6,Naive Optimist,High,MRUS Trubetskoy,X
4219,Head of Government,Vasily G. Boldyrev,1936,1964,1999,5,Respected War Hero,High,Boldyrev,X
4220,Head of Government,Vladimir M. Zenzinov,1936,1964,1999,3,Silent Workhorse,Very High,MRUS Zenzinov,X
4221,Head of Government,Alexei I. Rykov,1936,1964,1999,2,Naive Optimist,High,Rykov,X
4222,Head of Government,Vyacheslav M. Molotov,1945,1964,1999,1,Silent Workhorse,High,M4034,X
4223,Foreign Minister,Vladimir P. Paley,1936,1964,1999,6,Apologetic Clerk,Very High,MRUS Paley,X
4224,Foreign Minister,Nikolai S. Trubetskoy,1936,1964,1999,6,Biased Intellectual,High,MRUS Trubetskoy,X
4225,Foreign Minister,Vasily G. Boldyrev,1936,1964,1999,5,General Staffer,High,Boldyrev,X
4226,Foreign Minister,Pavel N. Milyukov,1936,1964,1999,5,Great Compromiser,High,MRUS Miliukov,X
4227,Foreign Minister,Ariadna V. Tyrkova-Williams,1936,1964,1999,4,Apologetic Clerk,High,MRUS Tyrkova,X
4228,Foreign Minister,Grigory Y. Zinoviev,1936,1964,1999,2,The Cloak N Dagger Schemer,High,MRUS Zinoviev,X
4229,Foreign Minister,Vyacheslav M. Molotov,1939,1964,1999,1,Iron Fisted Brute,High,M4034,X
4230,Minister of Armament,Aleksandr I. Konovalov,1936,1964,1999,5,Balanced Budget Economy,High,M4102,X
4231,Minister of Armament,Andrei D. Sakharov,1948,1964,1999,4,Theoretical Scientist,High,MRUS Sakharov,X
4232,Minister of Armament,Vadim V. Rudnev,1936,1964,1999,4,Military Entrepreneur,High,MRUS Rudnev,X
4233,Minister of Armament,Mikhail I. Tereshchenko,1936,1964,1999,4,Administrative Genius,High,MRUS Tereshchenko,X
4234,Minister of Armament,Nikolai D. Kondratiev,1936,1964,1999,2,Industrialiser,High,MRUS Kondratiev,X
4235,Foreign Minister,Aleksandra M. Kollontai,1936,1964,1999,0,Apologetic Clerk,High,MRUS Kollontai,X
4236,Foreign Minister,Mikhail I. Tereshchenko,1936,1964,1999,4,Ideological Crusader,High,MRUS Tereshchenko,X
4237,Minister of Armament,Matvey Skobelev,1936,1964,1999,2,Administrative Genius,High,MRUS Skobelev,X
4238,Minister of Armament,Aleksandr Shlyapnikov,1936,1964,1999,2,Resource Industrialist,High,MRUS Shlyapnikov,X
4239,Minister of Armament,Vladimir M. Zenzinov,1936,1964,1999,3,Keynesian Economy,High,MRUS Zenzinov,X
4240,Minister of Armament,Nikolai I. Bukharin,1936,1964,1999,1,Planned Economy Proponent,High,BukharinSOV,X
4241,Minister of Security,Vladimir D. Nabokov,1936,1964,1999,6,Health and Safety,Medium,kaiserreich VladimirDmitrievichNabokov,X
4242,Minister of Security,Andrei I. Shingarev,1936,1964,1999,5,Compassionate Gentleman,High,MRUS Shingarev,X
4243,Minister of Security,Nikolai Gredeskul,1936,1964,1999,6,Efficient Sociopath,High,MRUS Gredeskul,X
4244,Minister of Security,Vasily Shulgin,1936,1964,1999,6,Prince of Terror,High,MRUS Shulgin,X
4245,Minister of Security,Vasily A. Maklakov,1936,1964,1999,5,Silent Lawyer,High,MRUS Maklakov,X
4248,Minister of Security,Pyotr Krasnov,1960,1964,1999,8,Crime Fighter,High,MRUS Krasnov,X
4250,Head of Military Intelligence,Grigory Gershuni,1936,1964,1999,3,Political Specialist,High,MRUS Gershuni,X
4251,Head of Military Intelligence,Pavel N. Malyantovich,1936,1964,1999,3,Political Specialist,High,MRUS Malyantovich,X
4252,Head of Military Intelligence,Maria A. Spiridonova,1936,1964,1999,2,Political Specialist,High,Mrus spiridanova,X
4253,Head of Military Intelligence,Dmitri Popov,1936,1964,1999,2,Political Specialist,High,MRUS Popov,X
4254,Minister of Security,Alexei I. Rykov,1936,1964,1999,2,Silent Lawyer,Very High,Rykov,X
4255,Minister of Security,Iraklij G. Tsereteliy,1936,1964,1999,3,Silent Lawyer,High,MRUS Tsereteli,X
4256,Minister of Security,Grigory Gershuni,1936,1964,1999,3,Prince of Terror,High,MRUS Gershuni,X
4257,Minister of Security,Yan K. Berzin,1936,1964,1999,0,Back Stabber,High,M4006,X
4258,Chief of Staff,Pyotr Krasnov,1960,1964,1999,8,School of Manoeuvre,High,MRUS Krasnov,X
4259,Chief of Staff,Lavr G. Kornilov,1936,1964,1999,8,School of Mass Combat,Very High,MRUS Kornilov,X
4260,Chief of Staff,Aleksandr I. Yegorov,1936,1964,1999,1,School of Defence,Very High,M4131,X
4261,Chief of Staff,Georgiy K. Zhukov,1939,1964,1999,3,School of Fire Support,Very High,M4028,X
4262,Chief of Staff,Sergei L. Markov,1936,1964,1999,7,School of Manoeuvre,Very High,MRUS Markov,X
4263,Chief of Army,Pyotr N. Wrangel,1936,1964,1999,7,Decisive Battle Doctrine,Very High,M4124,X
4264,Chief of Army,Vasily I. Chuikov,1942,1964,1999,1,Elastic Defence Doctrine,High,L9881,X
4265,Chief of Army,Ivan P. Romanovsky,1936,1964,1999,6,Decisive Battle Doctrine,High,M4129,X
4266,Chief of Army,Lavr G. Kornilov,1936,1964,1999,8,Decisive Battle Doctrine,Medium,MRUS Kornilov,X
4327,Head of State,Lavr G. Kornilov,1936,1970,1999,8,Resigned Generalissimo,Very High,MRUS Kornilov,X
4335,Head of Government,Lavr G. Kornilov,1936,1939,1999,8,Old General,Very High,MRUS Kornilov,X
4336,Foreign Minister,Aleksandr Dikgof-Derental,1936,1970,1999,9,Biased Intellectual,Very High,MRUS Dikgof-Derental,X
4337,Minister of Security,Emma Dikgof-Derental ,1936,1970,1999,9,Efficient Sociopath,Very High,MRUS Emma ikgof-Derental,X
4328,Head of State,Boris V. Savinkov,1938,1970,1999,9,The Vozhd,Very High,M4108,X
4329,Head of Government,Boris V. Savinkov,1936,1970,1999,9,The Vozhd2,Very High,M4108,X
4267,Head of Government,Konstantin K. Rokossovsky,1960,1964,1999,2,Reformist Soldierhog,Very High,M4027,X
4275,Chief of Army,Konstantin K. Rokossovsky,1940,1964,1999,2,Armoured Spearhead Doctrine,High,M4027,X
4276,Chief of Army,Pyotr Krasnov,1960,1964,1999,8,Guns and Butter Doctrine,High,MRUS Krasnov,X
4277,Foreign Minister,Georgiy M. Malenkov,1938,1964,1999,2,Ideological Crusader,Medium,Georgy_Malenkov,X
4278,Minister of Security,Georgiy M. Malenkov,1938,1964,1999,2,Silent Lawyer,Medium,Georgy_Malenkov,X
4279,Foreign Minister,Nikolai V. Nekrasov,1936,1964,1999,4,Apologetic Clerk,High,MRUS Nekrasov,X
4280,Head of State,The Senate,1936,1964,1999,7,Weary Stiffneck,Very High,MRUS Senate,X
4281,Head of State,E.I.V. Pavel II Romanov,1941,1964,1999,7,Young Tsar,High,kaiserreichpavel,X
4282,Minister of Armament,Alexei P. Arkhangelskiy,1938,1964,1999,7,Military Entrepreneur,High,Alexei_Archangelskiy,X
4283,Minister of Security,Vladimir L. Burtsev,1936,1964,1999,3,Crime Fighter,High,Vladimir_Burtsev,X
4284,Head of State,Fanni Y. Kaplan,1945,1964,1999,3,Popular Figurehead,Very High,Fanni_kaplan,X
4285,Foreign Minister,Fanni Y. Kaplan,1936,1964,1999,3,Ideological Crusader,High,Fanni_Kaplan,X
4287,Chief of Staff,Nikolai F. Vatutin,1942,1964,1999,3,School of Psychology,High,L10354,X
4288,Chief of Army,Ivan S. Konev,1938,1964,1999,1,Decisive Battle Doctrine,Medium,L10026,X
4289,Head of Government,Lev N. Gumilov,1938,1964,1999,8,Naive Optimist,High,Lev_Gumilov,X
4290,Foreign Minister,Vasily Kanin,1936,1964,1999,7,General Staffer,High,Kanin,X
4291,Head of Military Intelligence,Nikolai F. Vatutin,1943,1964,1999,3,Logistics Specialist,High,L10354,X
4292,Foreign Minister,Georgiy V. Vernadsky,1936,1964,1999,4,Great Compromiser,Very High,M4292,X
4293,Minister of Armament,Mikhail V. Bernacki,1936,1964,1999,5,Administrative Genius,Medium,M4293,X
4294,Chief of Staff,Mikhail Drozdovsky,1936,1964,1999,8,School of Psychology,Medium,M4294,X
4295,Chief of Army,Mikhail Drozdovsky,1936,1964,1999,8,Armoured Spearhead Doctrine,Medium,M4294,X
4296,Minister of Armament,Sergei Bulgakov,1936,1964,1999,6,Planned Economy Proponent,Medium,M4296,X
4297,Head of Military Intelligence,Nikolai Berdyaev,1936,1964,1999,2,Logistics Specialist,Medium,M4297,X
4298,Minister of Armament,Wassily Leontief,1936,1964,1999,5,Laissez-Faire Capitalist,Medium,M4298,X
4299,Chief of Air Force,Igor I. Sikorsky,1936,1964,1999,6,Carpet Bombing Doctrine,Medium,M4299,X
4300,Minister of Security,Ivan A. Ilyin,1936,1964,1999,9,Silent Lawyer,Medium,M4300,X
4301,Head of Military Intelligence,Roman B. Gul,1936,1964,1999,6,Industrial Specialist,Medium,M4301,X
4302,Minister of Security,Aleksandr D. Protopopov,1936,1964,1999,6,Back Stabber,Medium,M4302,X
4303,Chief of Army,Aleksandr Rodzyanko,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M4303,X
4304,Minister of Security,Aleksandr P. Balk,1936,1964,1999,8,Prince of Terror,Medium,M4304,X
4305,Head of State,E.I.V. Ivan VII,1936,1964,1999,7,German Aristocrat,High,kaiserreich Louis Ferdinand,X
4306,Head of Government,Abram Dragomirov,1936,1964,1999,7,Old General,Medium,kaiserreich Dragomirov,X
4307,Head of State,Pavel Bermondt-Avalov,1936,1964,1999,7,Ruthless Powermonger,Medium,kaiserreich Bermondt-Avalov,X
4308,Head of Government,Pavel Bermondt-Avalov,1936,1964,1999,7,Old General,Medium,kaiserreich Bermondt-Avalov,X
4310,Head of Military Intelligence,Vasily Shulgin,1936,1964,1999,6,Technical Specialist,High,Shulgin,X
4311,Minister of Security,Vasily Shulgin,1936,1964,1999,6,Back Stabber,High,Shulgin,X
4312,Head of State,E.I.V. Ivan VII,1936,1964,1999,6,German Aristocrat,High,kaiserreich Louis Ferdinand,X
4313,Head of Government,Abram Dragomirov,1936,1964,1999,6,Old General,Medium,kaiserreich Dragomirov,X
4314,Head of State,Solomon Lozovsky,1936,1964,1999,1,Die-hard Reformer,High,Kai_Solomon Lozovsky,X
4315,Head of Government,Regency Council,1940,1964,1999,8,Silent Workhorse,High,rusprotectorate,X
4316,Chief of Staff,Vasily A. Kharlamov,1936,1970,1999,5,School of Manoeuvre,Very High,Kaiserreich Kharlamov,X
4317,Head of Military Intelligence,Vasily A. Kharlamov,1936,1970,1999,5,Logistics Specialist,Very High,Kaiserreich Kharlamov,X
