BOL,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
43064,Head of Government,German Butron,1936,1964,1999,8,Old General,High,M43011,x
43065,Head of Government,Edwin Möller,1944,1964,1999,8,Corporate Suit,High,M43015,x
43066,Foreign Minister,Luis Guachalla Solares,1936,1964,1999,3,Great Compromiser,High,M43066,x
43067,Foreign Minister,Enrique Baldivieso Aparicio,1937,1964,1999,3,General Staffer,Medium,M43067,x
43068,Foreign Minister,Carlos Salinas Aramayo,1938,1964,1999,3,The Cloak N Dagger Schemer,Medium,M43068,x
43069,Foreign Minister,Jose Tejada Sorzano,1936,1964,1999,4,Great Compromiser,Medium,M43001,x
43070,Foreign Minister,Rafael Franco Rafél,1936,1964,1999,4,General Staffer,Medium,M43033,x
43071,Foreign Minister,Francesco Pierini,1938,1964,1999,4,Biased Intellectual,Medium,M43071,x
43072,Foreign Minister,Tomas Manuel Elío,1943,1964,1999,4,Great Compromiser,Low,M43072,x
43073,Foreign Minister,Enrique Hertzog Garaizabal,1946,1964,1999,4,Apologetic Clerk,Medium,BOL_enrique_hertzog,x
43074,Foreign Minister,Abadon Saavedra Mallea,1936,1964,1999,6,Apologetic Clerk,High,M43036,x
43077,Foreign Minister,Hugo Ballivián Rojas,1947,1964,1999,6,General Staffer,Medium,M43077,x
43078,Foreign Minister,Alberto Ostria Gutierrez,1939,1964,1999,7,Apologetic Clerk,Medium,M43075,x
43079,Foreign Minister,Eduardo Anze Matienzo,1942,1964,1999,7,The Cloak N Dagger Schemer,High,M43076,x
43080,Foreign Minister,Tomas Manuel Elío,1943,1964,1999,7,Great Compromiser,Low,M43072,x
43081,Foreign Minister,Juan Mechin,1936,1964,1999,8,The Cloak N Dagger Schemer,High,M43013,x
43083,Foreign Minister,Fabian Vaca Chavez,1940,1964,1999,7,Biased Intellectual,Low,M43082,x
43084,Foreign Minister,Simon I. Patino,1943,1964,1999,8,The Cloak N Dagger Schemer,Medium,M43038,x
43085,Foreign Minister,German Butron,1944,1964,1999,8,Ideological Crusader,Low,M43011,x
43086,Foreign Minister,Alberto Diez de Medina,1936,1964,1999,2,Biased Intellectual,Medium,M43086,x
43087,Foreign Minister,Victor Paz Estenssorro,1936,1964,1999,2,Biased Intellectual,Medium,M43042,x
43088,Foreign Minister,Franz Tamayo Solares,1936,1964,1999,3,Ideological Crusader,Medium,M43088,x
43089,Foreign Minister,Enrique Baldivieso Aparicio,1936,1964,1999,2,General Staffer,Medium,M43067,x
43090,Foreign Minister,Gustavo Chacón Morales,1936,1964,1999,2,The Cloak N Dagger Schemer,Medium,M43090,x
43091,Foreign Minister,José Pinto Sanchez,1936,1964,1999,2,Iron Fisted Brute,Medium,M43091,x
43092,Foreign Minister,Aniceto Solares,1936,1964,1999,2,Great Compromiser,Medium,M43092,x
43093,Foreign Minister,Daniel Sanchez Bustamante,1936,1964,1999,1,Iron Fisted Brute,Low,M43023,x
43094,Foreign Minister,Roberto Hinojosa,1936,1964,1999,1,Apologetic Clerk,High,M43024,x
43095,Minister of Armament,Enrique Finot,1936,1964,1999,3,Air Superiority Proponent,Medium,M43031,x
43098,Minister of Armament,Francesco Pierini,1938,1964,1999,4,Tank Proponent,Medium,M43071,x
43099,Minister of Armament,Bernardino Bilbao Rioja,1939,1964,1999,8,Air to Ground Proponent,Medium,M43010,x
43100,Minister of Armament,Abadon Saavedra Mallea,1940,1964,1999,4,Air to Sea Proponent,High,M43036,x
43101,Minister of Armament,Adolfo Costa du Reis,1941,1964,1999,4,Military Entrepreneur,Medium,M43101,x
43102,Minister of Armament,Néstor Guillén Olmos,1943,1964,1999,6,Resource Industrialist,Medium,M43035,x
43103,Minister of Armament,Julian Montellano Carrasco,1946,1964,1999,4,Administrative Genius,Medium,M43056,x
43105,Minister of Armament,Abadon Saavedra Mallea,1939,1964,1999,6,Theoretical Scientist,Medium,M43036,x
43106,Minister of Armament,Simon I. Patino,1940,1964,1999,6,Resource Industrialist,Medium,M43038,x
43107,Minister of Armament,Mario Torres,1945,1964,1999,6,Corrupt Kleptocrat,High,M43014,x
43108,Minister of Armament,David Toro Ruilova,1940,1964,1999,6,Corrupt Kleptocrat,Medium,M43048,x
43109,Minister of Armament,Carlos Salinas Aramayo,1941,1964,1999,7,Military Entrepreneur,Medium,M43068,x
43110,Minister of Armament,Fabian Vaca Chavez,1942,1964,1999,7,Air to Sea Proponent,Low,M43082,x
43111,Minister of Armament,Hugo Ballivián Rojas,1943,1964,1999,7,Infantry Proponent,Medium,M43077,x
43112,Minister of Armament,Mario Torres,1936,1964,1999,8,Corrupt Kleptocrat,High,M43014,x
43113,Minister of Armament,Alberto Ostria Gutierrez,1938,1964,1999,7,Air to Ground Proponent,Medium,M43075,x
43114,Minister of Armament,Jorge Patinos,1940,1964,1999,7,Resource Industrialist,Medium,M43063,x
43115,Minister of Armament,Gil Ibarra Juarez,1943,1964,1999,8,Submarine Proponent,Medium,M43009,x
43116,Minister of Armament,Eusebio Ayala,1936,1964,1999,2,Battle Fleet Proponent,Medium,M43040,x
43117,Minister of Armament,Walter Guevera,1936,1964,1999,2,Theoretical Scientist,High,M43096,x
43118,Minister of Armament,Enrique Baldivieso Aparicio,1936,1964,1999,2,Resource Industrialist,Medium,M43067,x
43119,Minister of Armament,Julian Montellano Carrasco,1936,1964,1999,2,Administrative Genius,Medium,M43056,x
43120,Minister of Armament,Alberto Diez de Medina,1946,1964,1999,2,Corrupt Kleptocrat,Medium,M43086,x
43121,Minister of Armament,Victor Paz Estenssorro,1947,1964,1999,2,Resource Industrialist,Medium,M43042,x
43122,Minister of Armament,Roberto Hinojosa,1936,1964,1999,1,Infantry Proponent,High,M43024,x
43123,Minister of Armament,Werner Guttenberg,1936,1964,1999,0,Strategic Air Proponent,Medium,M43123,x
43124,Minister of Security,Franz Tamayo Solares,1936,1964,1999,3,Crime Fighter,Medium,M43088,x
43125,Minister of Security,Florian Zambrana,1938,1964,1999,3,Efficient Sociopath,Low,M43125,x
43126,Minister of Security,Salvator Morales Jauregi,1936,1964,1999,4,Man of the People,Medium,M43126,x
43127,Minister of Security,Felix A. Arromayo,1939,1964,1999,4,Silent Lawyer,Medium,M43127,x
43128,Minister of Security,Carlos Salinas Aramayo,1943,1964,1999,4,Back Stabber,Medium,M43068,x
43129,Minister of Security,Mamerto Urriolagoitia Harriague,1946,1964,1999,4,Prince of Terror,Medium,M43129,x
43130,Minister of Security,Felix A. Arromayo,1936,1964,1999,6,Silent Lawyer,Medium,M43127,x
43131,Minister of Security,José Santos Quinteros,1939,1964,1999,6,Compassionate Gentleman,High,M43005,x
43132,Minister of Security,Eduardo Anze Matienzo,1944,1964,1999,6,Crooked Kleptocrat,High,M43076,x
43133,Minister of Security,Fabian Vaca Chavez,1945,1964,1999,6,Prince of Terror,Low,M43082,x
43134,Minister of Security,Carlos Blanco Galindo,1947,1964,1999,6,Crooked Kleptocrat,Medium,M43134,x
43135,Minister of Security,Moritz Hochschild,1939,1964,1999,7,Compassionate Gentleman,Medium,M43004,x
43136,Minister of Security,Simon I. Patino,1940,1964,1999,7,Crime Fighter,Medium,M43038,x
43137,Minister of Security,Alberto Ostria Gutierrez,1942,1964,1999,7,Back Stabber,Medium,M43075,x
43138,Minister of Security,Carlos Salinas Aramayo,1943,1964,1999,7,Prince of Terror,Medium,M43068,x
43139,Minister of Security,Edwin Möller,1936,1964,1999,8,Prince of Terror,High,M43015,x
43141,Minister of Security,Victor Paz Estenssorro,1936,1964,1999,2,Man of the People,Medium,M43042,x
43142,Minister of Security,Luis Guachalla Solares,1936,1964,1999,3,Back Stabber,High,M43066,x
43143,Minister of Security,Walter Guevera,1936,1964,1999,2,Prince of Terror,High,M43096,x
43144,Minister of Security,Alberto Diez de Medina,1936,1964,1999,2,Crooked Kleptocrat,Medium,M43086,x
43145,Minister of Security,Enrique Baldivieso Aparicio,1946,1964,1999,2,Efficient Sociopath,Medium,M43067,x
43146,Minister of Security,Gunnar Mendoza Loza,1947,1964,1999,2,Compassionate Gentleman,Medium,M43146,x
43147,Minister of Security,Juan Lechin Oquendo,1936,1964,1999,0,Back Stabber,Medium,M43025,x
43149,Head of Military Intelligence,Victor Paz Estenssorro,1936,1964,1999,3,Political Specialist,Medium,M43042,x
43150,Head of Military Intelligence,José Maria Gutierrez,1936,1964,1999,4,Industrial Specialist,High,M43003,x
43151,Head of Military Intelligence,Francesco Pierini,1943,1964,1999,4,Political Specialist,Medium,M43071,x
43152,Head of Military Intelligence,Aniceto Solares,1946,1964,1999,4,Dismal Enigma,Medium,M43092,x
43153,Head of Military Intelligence,Carlos Victor Arramayo,1936,1964,1999,6,Technical Specialist,Very High,M43068,x
43154,Head of Military Intelligence,Eduardo Anze Matienzo,1939,1964,1999,6,Political Specialist,High,M43076,x
43155,Head of Military Intelligence,Simon I. Patino,1944,1964,1999,6,Industrial Specialist,Medium,M43038,x
43156,Head of Military Intelligence,Juan Lopez y Lopez,1945,1964,1999,6,Logistics Specialist,Medium,M43156,x
43157,Head of Military Intelligence,José Santos Quinteros,1940,1964,1999,7,Dismal Enigma,High,M43005,x
43158,Head of Military Intelligence,Juan Sanjines,1936,1964,1999,8,Industrial Specialist,Medium,M43016,x
43159,Head of Military Intelligence,Alberto Ostria Gutierrez,1943,1964,1999,8,Dismal Enigma,Medium,M43075,x
43160,Head of Military Intelligence,Fabian Vaca Chavez,1943,1964,1999,7,Naval Intelligence Specialist,Medium,M43082,x
43161,Head of Military Intelligence,Alberto Diez de Medina,1936,1964,1999,2,Technical Specialist,Medium,M43086,x
43162,Head of Military Intelligence,Walter Guevera,1946,1964,1999,2,Technical Specialist,High,M43096,x
43163,Head of Military Intelligence,Guillermo Lora,1936,1964,1999,0,Logistics Specialist,Very Low,M43021,x
43164,Head of Military Intelligence,Werner Guttenberg,1936,1964,1999,0,Logistics Specialist,Medium,M43123,x
43165,Head of Military Intelligence,Luis Guachalla Solares,1936,1964,1999,3,Political Specialist,High,M43066,x
43166,Chief of Staff,German Busch Beccera,1936,1964,1999,3,School of Manoeuvre,Low,M43032,x
43168,Chief of Staff,Waldo Belmonte Pool,1936,1964,1999,4,School of Psychology,Medium,M43034,x
43170,Chief of Staff,Carlos Quintanilla Quiroga,1936,1964,1999,6,School of Defence,Medium,M43037,x
43171,Chief of Staff,Rafael Franco Rafél,1940,1964,1999,6,School of Fire Support,Medium,M43033,x
43173,Chief of Staff,Enrique Pe?aranda del Castillo,1940,1964,1999,7,School of Mass Combat,Medium,BOL_enrique_penaranda,x
43174,Chief of Staff,Carlos Blanco Galindo,1942,1964,1999,7,School of Psychology,Medium,M43134,x
43175,Chief of Staff,Carlos Altamirano,1936,1964,1999,8,School of Fire Support,High,M43006,x
43176,Chief of Staff,José Pastor Baldiviseo,1936,1964,1999,2,School of Mass Combat,Medium,M43167,x
43177,Chief of Staff,Gustavo Chacón Morales,1936,1964,1999,2,School of Defence,Medium,M43090,x
43178,Chief of Staff,Roberto Hinojosa,1936,1964,1999,1,School of Psychology,High,M43024,x
43179,Chief of Staff,Gunnar Mendoza Loza,1936,1964,1999,0,School of Mass Combat,Medium,M43146,x
43180,Chief of Army,David Toro Ruilova,1936,1964,1999,6,Decisive Battle Doctrine,High,M43048,x
43181,Chief of Army,Mamerto Urriolagoitia Harriague,1937,1964,1999,3,Guns and Butter Doctrine,Medium,M43129,x
43182,Chief of Army,Rodolfo Montalvo Ruiz,1937,1964,1999,4,Elastic Defence Doctrine,Medium,M43182,x
43185,Chief of Army,Carlos Blanco Galindo,1944,1964,1999,6,Decisive Battle Doctrine,Medium,M43134,x
43187,Chief of Army,Enrique Pe?aranda del Castillo,1939,1964,1999,7,Static Defence Doctrine,Medium,BOL_enrique_penaranda,x
43188,Chief of Army,Gualberto Villarroel Lopez,1943,1964,1999,8,Elastic Defence Doctrine,Low,M43188,x
43189,Chief of Army,Mariano Baptista,1936,1964,1999,8,Armoured Spearhead Doctrine,Medium,M43018,x
43192,Chief of Army,Enrique Baldivieso Aparicio,1946,1964,1999,2,Guns and Butter Doctrine,Medium,M43067,x
43193,Chief of Army,Roberto Hinojosa,1936,1964,1999,1,Guns and Butter Doctrine,High,M43024,x
43195,Chief of Navy,Eusebio Ayala,1936,1964,1999,4,Decisive Naval Battle Doctrine,Medium,M43040,x
43197,Chief of Navy,Felix A. Arromayo,1946,1964,1999,4,Indirect Approach Doctrine,Medium,M43127,x
43198,Chief of Navy,Alberto Ostria Gutierrez,1936,1964,1999,6,Power Projection Doctrine,Medium,M43075,x
43199,Chief of Navy,Aniceto Solares,1942,1964,1999,6,Open Seas Doctrine,Medium,M43092,x
43200,Chief of Navy,Guillermo Arancha Basutto,1947,1964,1999,6,Indirect Approach Doctrine,Medium,M43200,x
43201,Chief of Navy,Luis Arandos Villa,1940,1964,1999,7,Power Projection Doctrine,Medium,M43019,x
43202,Chief of Navy,Juan Mechin,1936,1964,1999,8,Base Control Doctrine,Low,M43013,x
43203,Chief of Navy,Julian Montellano Carrasco,1936,1964,1999,2,Base Control Doctrine,Medium,M43056,x
43204,Chief of Navy,Alberto Diez de Medina,1946,1964,1999,2,Open Seas Doctrine,Medium,M43086,x
43205,Chief of Navy,Daniel Sanchez Bustamante,1936,1964,1999,1,Base Control Doctrine,High,M43023,x
43206,Chief of Navy,Roberto Hinojosa,1936,1964,1999,1,Open Seas Doctrine,High,M43024,x
43207,Chief of Air Force,David Toro Ruilova,1936,1964,1999,6,Air Superiority Doctrine,Medium,M43048,x
43208,Chief of Air Force,Walter Guevera,1937,1964,1999,3,Naval Aviation Doctrine,High,M43096,x
43209,Chief of Air Force,José Maria Gutierrez,1936,1964,1999,4,Army Aviation Doctrine,High,M43003,x
43210,Chief of Air Force,Francesco Pierini,1943,1964,1999,4,Naval Aviation Doctrine,Medium,M43071,x
43211,Chief of Air Force,Julian Montellano Carrasco,1946,1964,1999,4,Air Superiority Doctrine,Medium,M43056,x
43212,Chief of Air Force,José Santos Quinteros,1936,1964,1999,6,Army Aviation Doctrine,High,M43005,x
43213,Chief of Air Force,Mario Torres,1944,1964,1999,6,Vertical Envelopment Doctrine,High,M43014,x
43214,Chief of Air Force,Alberto Ostria Gutierrez,1947,1964,1999,6,Air Superiority Doctrine,Medium,M43075,x
43215,Chief of Air Force,Jorge Jordan,1940,1964,1999,7,Carpet Bombing Doctrine,Low,M43020,x
43216,Chief of Air Force,Fabian Vaca Chavez,1936,1964,1999,8,Naval Aviation Doctrine,Medium,M43082,x
43217,Chief of Air Force,Enrique Baldivieso Aparicio,1936,1964,1999,2,Army Aviation Doctrine,Medium,M43067,x
43218,Chief of Air Force,Bernardino Bilbao Rioja,1936,1964,1999,8,Army Aviation Doctrine,Medium,M43010,x
43219,Chief of Air Force,Alberto Saralegui Sanchéz,1936,1964,1999,1,Vertical Envelopment Doctrine,Medium,M43030,x
43220,Head of State,Edwin Möller,1944,1964,1999,7,Popular Figurehead,High,M43015,x
43222,Head of State,Enrique Hertzog Garaizabal,1947,1964,1999,6,Barking Buffoon,High,BOL_enrique_hertzog,x
43223,Head of State,Mamerto Urriolagoitia Harriague,1949,1964,1999,5,Autocratic Charmer,High,M43129,x
43224,Head of State,Hugo Ballivián Rojas,1951,1964,1999,6,Resigned Generalissimo,High,M43077,x
43225,Head of Government,Hernan Silas Zuazo,1952,1964,1999,3,Ambitious Union Boss,High,M43225,x
43226,Foreign Minister,Nuflo Chavez Ortíz,1952,1964,1999,3,Iron Fisted Brute,Medium,M42226,x
43227,Head of Government,Hugo Ballivián Rojas,1951,1964,1999,6,Old General,Very High,M43077,x
43228,Head of State,Alfonso Gumucio Reyes,1936,1964,1999,2,Popular Figurehead,High,Kaiserreich Alfonso Gumucio Reyes,x
43229,Head of State,Hernán Siles Zuazo,1936,1964,1999,4,Benevolent Gentleman,High,Kaiserreich Hernán Siles Zuazo,x
43230,Head of Government,Victor Paz Estenssoro,1936,1964,1999,2,Ambitious Union Boss,High,Kaiserreich Victor Paz,x
43231,Head of State,Daniel Salamanca Urey,1937,1964,1999,4,Benevolent Gentleman,High,BOL_daniel_salamanca_urey,x
43232,Head of State,Bernardino Bilbao Rioja,1936,1964,1999,8,Barking Buffoon,Medium,M43010,x
43233,Head of Government,Bernardino Bilbao Rioja,1936,1964,1999,8,Old Airmarshal,Medium,M43010,x
43234,Head of Government,Mamerto Urriolagoitia Harriague,1940,1964,1999,5,Backroom Backstabber,High,M43129,x
43235,Head of State,José Antonio Arze y Arze,1936,1964,1999,2,Die-Hard Reformer,High,BOL_jose_antonio_arze_y_arze,x
43236,Head of Government,José Antonio Arze y Arze,1936,1964,1999,2,Silent Workhorse,High,BOL_jose_antonio_arze_y_arze,x
43237,Head of State,Gustavo Navarro-Marof,1936,1964,1999,1,Popular Figurehead,High,BOL_gustavo_navarro_marof,x
43238,Head of Government,Gustavo Navarro-Marof,1936,1964,1999,1,Ambitious Union Boss,High,BOL_gustavo_navarro_marof,x
43239,Head of State,Óscar Únzaga de la Vega,1936,1964,1999,8,Ruthless Powermonger,High,BOL_oscar_unzaga,x
43240,Head of Government,Óscar Únzaga de la Vega,1936,1964,1999,8,Silent Workhorse,High,BOL_oscar_unzaga,x
43241,Head of State,Luis Guachalla Solares,1936,1964,1999,3,Benevolent Gentleman,High,M43066,x
43242,Head of Government,Luis Guachalla Solares,1936,1964,1999,3,Naive Optimist,High,M43066,x
43243,Head of State,José Aguirre Gainsborg,1936,1964,1999,1,Pig-headed Isolationist,High,BOL_jose_aguirre_gainsborg,x
43244,Head of Government,José Aguirre Gainsborg,1936,1964,1999,1,Political Protege,High,BOL_jose_aguirre_gainsborg,x
43245,Head of State,David Toro Ruilova,1936,1964,1999,6,Stern Imperialist,High,M43048,x
43246,Head of State,Franz Tamayo Solares,1936,1964,1999,3,Weary Stiffneck,Medium,M43088,x
43247,Head of Government,Franz Tamayo Solares,1936,1964,1999,3,Happy Amateur,Medium,M43088,x
43248,Head of State,Victor Paz Estenssoro,1936,1964,1999,2,powerhungry demagogue,High,Kaiserreich Victor Paz,x
43249,Head of State,Mário Gutiérrez-Gutiérrez,1936,1964,1999,8,Autocratic Charmer,Medium,BOL_mario_gutierrez_gutierrez,x
43250,Head of Government,Mário Gutiérrez-Gutiérrez,1936,1964,1999,8,Political Protege,Medium,BOL_mario_gutierrez_gutierrez,x
43251,Head of Government,Néstor Guillén Olmos,1944,1964,1999,6,Smiling Oilman,High,M43035,x
43252,Head of Government,Tomas Monje Gutierrez,1945,1964,1999,4,Naive Optimist,High,M43039,x
43253,Head of State,Juan Lechin Oquendo,1936,1964,1999,0,Stern Imperialist,Medium,M43025,x
43254,Head of Government,Juan Lechin Oquendo,1936,1964,1999,0,Backroom Backstabber,Medium,M43025,x
43255,Head of State,René Barrientos Ortu?o,1936,1964,1999,6,Resigned Generalissimo,Medium,BOL_rene_barrientos_ortuno,x
43256,Head of Government,Alfredo Ovando Candía,1945,1964,1999,7,Old General,Low,BOL_alfredo_ovando_candia,x
43257,Head of Government,Alfonso Gumucio Reyes,1936,1964,1999,2,Silent Workhorse,High,Kaiserreich Alfonso Gumucio Reyes,x
