LAT,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
27037,Head of Military Intelligence,Oskar Angelus,1936,1964,1999,9,Logistics Specialist,Medium,M26015,X
27038,Head of Military Intelligence,Jüri Uluots,1936,1964,1999,5,Industrial Specialist,Medium,M26032,X
27039,Head of Military Intelligence,Reinhold K. Zarins,1936,1964,1999,6,Technical Specialist,Medium,M27012,X
27040,Head of Military Intelligence,Fricis Celmins,1936,1964,1999,6,Dismal Enigma,Medium,M27016,X
27041,Head of Military Intelligence,Hans Heinrich Lohse,1941,1964,1999,9,Industrial Specialist,Medium,M27031,X
27042,Head of Military Intelligence,Erich Koch,1940,1964,1999,9,Logistics Specialist,Medium,M27087,X
27043,Chief of Staff,Kurt Jahn,1936,1964,1999,8,School of Fire Support,High,Kaiserreich Kurt Jahn,X
27044,Chief of Staff,Johan Holberg,1941,1964,1999,5,School of Defence,Medium,M26084,X
27045,Chief of Staff,Johannes Soodla,1936,1964,1999,9,School of Psychology,High,M26017,X
27046,Chief of Staff,Verners Tefpers,1936,1964,1999,6,School of Manoeuvre,Medium,M27017,X
27047,Chief of Staff,Heinrich Baron von Behr,1936,1964,1999,8,School of Mass Combat,High,Kaiserreich Baron von Behr,X
27048,Chief of Staff,Alexander Jaakson,1936,1964,1999,5,School of Fire Support,Medium,M26083,X
27049,Chief of Staff,Robert Ritter von Doser,1936,1964,1999,9,School of Mass Combat,High,Kaiserreich von Doser,X
27050,Chief of Staff,Kurt Georg Andersen,1940,1964,1999,7,School of Psychology,High,Kaiserreich Kurt Andersen,X
27051,Chief of Staff,Viktor von Marnitz,1941,1964,1999,7,School of Defence,Medium,Kaiserreich von Marnitz,X
27052,Chief of Army,Otto Hellmich,1941,1964,1999,9,Elastic Defence Doctrine,Medium,M27107,X
27053,Chief of Army,Robert Ritter von Doser,1936,1964,1999,9,Decisive Battle Doctrine,High,Kaiserreich von Doser,X
27054,Chief of Army,Richard Veermaa,1936,1964,1999,5,Decisive Battle Doctrine,Medium,M26065,X
27055,Chief of Army,Rüdiger von der Goltz,1937,1964,1999,8,Static Defence Doctrine,High,Kaiserreich von der Goltz,X
27056,Chief of Army,Hans Henrici,1936,1964,1999,8,Guns and Butter Doctrine,High,Kaiserreich Hans Henrici,X
27057,Chief of Army,Wessel von Loringhoven,1936,1964,1999,7,Armoured Spearhead Doctrine,High,Kaiserreich von Loringhoven,X
27058,Chief of Army,Karl Dormagen,1936,1964,1999,7,Elastic Defence Doctrine,High,Kaiserreich Karl Dormagen,X
27059,Chief of Navy,Janis Andersons,1936,1964,1999,6,Base Control Doctrine,Low,M27033,X
27060,Chief of Navy,Alex Nirk,1936,1964,1999,5,Power Projection Doctrine,Medium,M26094,X
27061,Chief of Navy,Alfred Vendt,1936,1964,1999,8,Indirect Approach Doctrine,Medium,M26014,X
27062,Chief of Navy,Rudolf Schiller,1936,1964,1999,9,Power Projection Doctrine,High,Kaiserreich Rudolf Schiller,X
27063,Chief of Navy,Konstantins Cakste,1941,1964,1999,9,Base Control Doctrine,Medium,M27097,X
27064,Chief of Navy,Janis Andersons,1936,1964,1999,6,Base Control Doctrine,Low,M27033,X
27065,Chief of Air Force,Edgars Andersons,1945,1964,1999,6,Vertical Envelopment Doctrine,Medium,M27014,X
27066,Chief of Air Force,Leo Sepp,1936,1964,1999,5,Carpet Bombing Doctrine,Medium,M26056,X
27067,Chief of Air Force,Rudolfs Bangerskis,1936,1964,1999,7,Army Aviation Doctrine,Low,M27008,X
27068,Chief of Air Force,Erich Alt,1936,1964,1999,8,Air Superiority Doctrine,High,Kaiserreich Erich Alt,X
27069,Foreign Minister,Johannes Kabin,1936,1964,1999,3,Great Compromiser,Very High,kaiserreich_johanneskab,X
27070,Head of State,Viktor Kingisepp,1936,1964,1999,1,Ruthless Powermonger,Very High,kaiserreich_viktorkingi,X
27071,Head of Government,August Rei,1936,1964,1999,3,Ambitious Union Boss,Very High,M26031,X
27072,Chief of Army,Andres Larka,1936,1964,1999,6,Guns and Butter Doctrine,High,kaiserreich_andresla,X
27073,Chief of Staff,Ernst Podder,1936,1964,1999,6,School of Defence,High,kaiserreich_ernstpod,X
27074,Minister of Security,Viktor Puskar,1936,1964,1999,6,Man of the People,High,kaiserreich_viktorpus,X
27075,Head of Military Intelligence,Artur Sirk,1936,1964,1999,7,Dismal Enigma,Medium,kaiserreich_artursik,X
27076,Minister of Security,Villis Lacis,1936,1964,1999,2,Compassionate Gentleman,High,kaiserreich_villisla,X
27077,Minister of Armament,Genrich Eiche,1936,1964,1999,2,Resource Industrialist,High,,X
27078,Head of State,Under Russian protectorate,1936,1964,1999,7,Weary Stiffneck,High,rusprotectorate,X
27079,Head of State,Under Russian protectorate,1936,1964,1999,6,Weary Stiffneck,High,rusprotectorate,X
27080,Head of State,The Tsar Of All Russians,1936,1964,1999,6,Popular Figurehead,High,Mrus Tsar,X
27081,Head of State,The Tsar Of All Russians,1936,1964,1999,7,Popular Figurehead,High,Mrus Tsar,X
27082,Head of State,Nikolai Yudenich,1936,1964,1999,7,Weary Stiffneck,High,LatYudenich,X
27083,Head of Government,Nikolai Yudenich,1936,1964,1999,7,Old General,Very High,LatYudenich,X
27084,Chief of Staff,Nikolai Yudenich,1936,1964,1999,7,School of Fire Support,Very High,LatYudenich,X
27085,Head of Government,Nikolai Yudenich,1936,1964,1999,6,Old General,Very High,LatYudenich,X
27086,Head of State,S.M. Adolf Friedrich I,1936,1964,1999,5,German Aristocrat,High,kaiserreich adolffriedrich,X
