CZE,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
24059,Foreign Minister,Bedrich Neumann,1936,1964,1999,7,General Staffer,Medium,M24059,X
24060,Foreign Minister,Petr Zenkl,1936,1964,1999,6,Great Compromiser,Very High,CZE_Zenkl,X
24061,Foreign Minister,Konrad Henlein,1936,1964,1999,9,Ideological Crusader,High,M24013,X
24062,Foreign Minister,Jaromir Kricaj,1936,1964,1999,9,Apologetic Clerk,High,M24062,X
24165,Minister of Armament,Jiri Hejda,1936,1964,1999,6,Laissez-Faire Capitalist,High,M100000011,X
24065,Foreign Minister,Rudolf Slánský,1936,1964,1999,0,The Cloak N Dagger Schemer,High,M24024,X
24066,Minister of Armament,Emil Franke,1936,1964,1999,5,Theoretical Scientist,High,M24066,X
24068,Minister of Armament,Karel Basilek,1936,1964,1999,5,Military Entrepreneur,High,M24068,X
24069,Minister of Armament,Ferdinand Veverka,1936,1964,1999,5,Administrative Genius,Medium,M24069,X
24070,Minister of Armament,Emilé Dobricek,1936,1964,1999,7,Administrative Genius,Low,M24070,X
24071,Minister of Armament,Emil Hácha,1936,1964,1999,5,Bank President,Very High,M24031,X
24072,Minister of Armament,Frantisek Bekr,1936,1964,1999,6,Theoretical Scientist,Medium,M24072,X
24073,Minister of Armament,Karel Cérny,1936,1964,1999,7,Infantry Proponent,High,M24073,X
24074,Minister of Armament,Antonin Pavlik,1936,1964,1999,7,Tank Proponent,High,M24074,X
24075,Minister of Armament,Ernst Kundt,1936,1964,1999,9,Resource Industrialist,High,M24014,X
24076,Minister of Armament,Otokar Sebrin,1936,1964,1999,9,Laissez-Faire Capitalist,High,M24076,X
24077,Minister of Armament,Karel Kalemcek,1936,1964,1999,9,Administrative Genius,Low,M24048,X
24078,Minister of Armament,Jan Prhcla,1936,1964,1999,9,Infantry Proponent,Low,M24078,X
24079,Minister of Armament,Bohumil Stepanec,1936,1964,1999,0,Tank Proponent,Medium,M24079,X
24080,Minister of Armament,Karel Olmanec,1936,1964,1999,0,Laissez-Faire Capitalist,Medium,M24080,X
24166,Foreign Minister,Frantisek Hodác,1936,1964,1999,8,Ideological Crusader,Medium,M100000012,X
24082,Minister of Security,Victor Folancec,1936,1964,1999,5,Crime Fighter,Medium,M24082,X
24084,Minister of Security,Jaromir Kopecky,1936,1964,1999,5,Prince of Terror,Medium,M24084,X
24085,Minister of Security,Ján Srámek,1936,1964,1999,5,Silent Lawyer,Medium,M24044,X
24086,Minister of Security,Ernst Frischer,1936,1964,1999,5,Back Stabber,Medium,M24086,X
24087,Minister of Security,Otakar Eischer,1936,1964,1999,7,Compassionate Gentleman,Very High,M24087,X
24088,Minister of Security,Francois Hodac,1936,1964,1999,6,Silent Lawyer,Medium,M24088,X
24089,Minister of Security,Joseph Jezek,1936,1964,1999,6,Crime Fighter,Medium,M24016,X
24090,Minister of Security,Juraj Slávik,1936,1964,1999,6,Man of the People,High,M24057,X
24091,Minister of Security,Jan Kapras,1936,1964,1999,6,Man of the People,Medium,M24015,X
24092,Minister of Security,Johann Schwerin von Krosigk,1936,1964,1999,9,Man of the People,NA,M24037,X
24093,Minister of Security,Kurt Daluege,1936,1964,1999,9,Efficient Sociopath,Very High,M24038,X
24094,Minister of Security,Karl Hermann Frank,1936,1964,1999,9,Crooked Kleptocrat,High,M24011,X
24095,Minister of Security,Prokop Drtina,1936,1964,1999,0,Man of the People,High,M24025,X
24097,Minister of Security,Kristoph Emmerich,1936,1964,1999,0,Silent Lawyer,Very High,M24097,X
24098,Minister of Security,Jozef Zeman,1936,1964,1999,0,Back Stabber,Very High,M24098,X
24099,Head of Military Intelligence,Boris Trumper,1936,1964,1999,5,Political Specialist,Very High,M24099,X
24100,Head of Military Intelligence,Tobias Kaller,1936,1964,1999,5,Industrial Specialist,Very High,M24100,X
24102,Head of Military Intelligence,Boris Kovancok,1936,1964,1999,5,Technical Specialist,Very High,M24102,X
24103,Head of Military Intelligence,Bedrich Homola,1936,1964,1999,6,Dismal Enigma,Medium,M24047,X
24104,Head of Military Intelligence,Bohumil Nemec,1936,1964,1999,7,Industrial Specialist,High,M24104,X
24105,Head of Military Intelligence,Rudolf Beran,1936,1964,1999,7,Political Specialist,High,M24012,X
24106,Head of Military Intelligence,Bohuslav Vseticka,1936,1964,1999,7,Logistics Specialist,High,M24106,X
24107,Head of Military Intelligence,Joseph Jezek,1936,1964,1999,9,Political Specialist,Very High,M24016,X
24108,Head of Military Intelligence,Bohumil Krpec,1936,1964,1999,9,Logistics Specialist,Very High,M24108,X
24110,Head of Military Intelligence,Rudolf Slánský,1936,1964,1999,0,Political Specialist,High,M24024,X
24111,Head of Government,Zdenek Fierlinger,1936,1964,1999,3,Ambitious Union Boss,Very High,M24026,X
24112,Chief of Staff,Vladimir Kajdos,1936,1964,1999,5,School of Fire Support,Very High,M24112,X
24114,Chief of Staff,Sergej Ján Ingr,1936,1964,1999,5,School of Manoeuvre,Very High,M24114,X
24115,Chief of Staff,Jaroslav Cihak,1936,1964,1999,5,School of Mass Combat,Very High,M24115,X
24116,Chief of Staff,Bruno Sklenovsky,1936,1964,1999,5,School of Psychology,Very High,M24116,X
24120,Chief of Staff,Robert Rychtrmoc,1936,1964,1999,9,School of Manoeuvre,Medium,M24017,X
24121,Chief of Staff,Ludvik Svoboda,1936,1964,1999,0,School of Mass Combat,High,M24027,X
24123,Chief of Army,Frantisek Zaviska,1936,1964,1999,5,Guns and Butter Doctrine,Medium,M24123,X
24124,Chief of Army,Emil Fiala,1936,1964,1999,5,Decisive Battle Doctrine,Medium,M24124,X
24125,Chief of Army,Sergej Ján Ingr,1936,1964,1999,5,Elastic Defence Doctrine,Very High,M24114,X
24126,Chief of Army,Bohumil Bosek,1936,1964,1999,5,Armoured Spearhead Doctrine,Very High,M24126,X
24127,Chief of Army,Jan Syrovy,1936,1964,1999,7,Guns and Butter Doctrine,Medium,M24034,X
24128,Chief of Army,Bedrich Homola,1936,1964,1999,7,Static Defence Doctrine,Very High,M24047,X
24131,Chief of Army,Jaroslav Behac,1936,1964,1999,9,Elastic Defence Doctrine,Medium,M24131,X
24132,Chief of Army,Alois Elias,1936,1964,1999,9,Static Defence Doctrine,Medium,M24040,X
24133,Chief of Army,Otto Bláha,1936,1964,1999,9,Armoured Spearhead Doctrine,Medium,M24018,X
24134,Chief of Army,Ludvik Svoboda,1936,1964,1999,0,Static Defence Doctrine,High,M24027,X
24138,Chief of Navy,Robert Rychtrmoc,1936,1964,1999,9,Open Seas Doctrine,High,M24017,X
24139,Chief of Navy,Klement Gottwald,1936,1964,1999,0,Base Control Doctrine,High,M24021,X
24140,Chief of Air Force,Joseph Frantisek,1936,1964,1999,5,Air Superiority Doctrine,Low,M24140,X
24142,Chief of Air Force,Karel Kuttelwascher,1936,1964,1999,5,Army Aviation Doctrine,Very High,M24142,X
24167,Foreign Minister,Antonín Kalina,1936,1964,1999,3,Great Compromiser,High,M100000013,X
24145,Chief of Air Force,Jan Prokop,1936,1964,1999,0,Vertical Envelopment Doctrine,High,M24030,X
24146,Minister of Security,Otakar Eischer,1936,1964,1999,9,Compassionate Gentleman,Very High,M24087,X
24147,Head of Government,Klement Gottwald,1936,1964,1999,0,Backroom Backstabber,High,M24021,X
24168,Minister of Security,Bruno Kohler,1936,1964,1999,0,Prince of Terror,High,M100000014,X
24149,Head of Government,Karel Kalemcek,1936,1964,1999,7,Happy Amateur,High,M24048,X
24150,Head of State,Petr Zenkl,1936,1964,1999,6,Benevolent Gentleman,Very High,CZE_Zenkl,X
24024,Minister of Armament,Rudolf Slánský,1936,1964,1999,0,Theoretical Scientist,Medium,M24024,X
24156,Head of Government,Jan Cerny,1936,1964,1999,6,Flamboyant Tough Guy,High,M100000002,X
24157,Minister of Armament,Petr Zenkl,1936,1964,1999,6,Resource Industrialist,High,CZE_Zenkl,X
24158,Minister of Security,Jan Cerny,1936,1964,1999,6,Compassionate Gentleman,High,M100000002,X
24154,Head of State,Felix zu Schwarzenberg,1936,1964,1999,7,Autocratic Charmer,High,kaiserreich fvschwarzenberg,X
24155,Minister of Armament,Felix zu Schwarzenberg,1936,1964,1999,7,Laissez-Faire Capitalist,High,kaiserreich fvschwarzenberg,X
24159,Chief of Staff,Jiri Stribrny,1936,1964,1999,8,School of Manoeuvre,Medium,M100000004,X
24160,Head of Government,Milada Horáková,1936,1964,1999,3,Happy Amateur,High,M100000005,X
24161,Head of Government,Jan Malypetr,1936,1964,1999,5,Flamboyant Tough Guy,High,M100000006,X
24162,Minister of Armament,Rudolf Bechyne,1936,1964,1999,3,Administrative Genius,High,M100000007,X
24163,Minister of Security,Richard Bienert,1936,1964,1999,9,Silent Lawyer,Very High,M100000008,X
24169,Head of Military Intelligence,Vladimír Krajina,1936,1964,1999,6,Industrial Specialist,Medium,M100000015,X
24170,Head of Government,Jaroslav Krejci,1936,1964,1999,9,Political Protege,High,M100000016,X
24171,Foreign Minister,Artur London,1936,1964,1999,1,Ideological Crusader,Very High,M100000017,X
24172,Minister of Armament,Rudolf Margolius,1940,1964,1999,1,Theoretical Scientist,High,M100000018,X
24173,Head of Government,Rudolf Mlcoch,1936,1964,1999,5,Political Protege,High,M100000019,X
24174,Minister of Armament,Frantiska Plaminkova,1936,1964,1999,2,Military Entrepreneur,Medium,M100000020,X
24175,Head of Government,Josef Bíly,1936,1964,1999,6,Old General,High,M100000053,X
24176,Head of State,Alois Eliáš,1936,1964,1999,7,Resigned Generalissimo,High,kaiserreich_Elias,X
24177,Head of Government,Alois Eliáš,1936,1964,1999,7,Old General,High,kaiserreich_Elias,X
24178,Minister of Armament,Bedrich Reicin,1936,1964,1999,0,Resource Industrialist,High,kaiserreich reicin,X
24179,Head of State,S.K.u.K.M. Otto I von Habsburg,1936,1964,1999,7,Young Kaiser,High,kaiserreich ottoivh,X
24180,Head of State,J.K.V.Karel VII,1936,1964,1999,6,Benevolent Gentleman,High,kaiserreich fvschwarzenberg,X
24181,Head of State,J.K.V.Václav V,1936,1964,1999,6,Benevolent Gentleman,High,kaiserreich zdensternkai,X
24182,Chief of Army,Jaroslav Eminger,1936,1964,1999,6,Elastic Defence Doctrine,High,kai_CZEemgr,X
24183,Chief of Staff,Frantisek Bartos,1936,1964,1999,7,School of Manoeuvre,High,kai_CZEfrnbrt,X
24184,Head of State,J.K.V. Zikmund II,1936,1970,1999,7,German Aristocrat,Very High,CZE_Zikmund,X
24185,Head of State,J.K.V. Zikmund II,1936,1970,1999,5,German Aristocrat,Very High,CZE_Zikmund,X
24186,Head of State,J.K.V. Ottokar III,1936,1970,1999,7,Russian Aristocrat,Very High,CZE_Ottokar,X
24187,Head of State,J.K.V. Ottokar III,1936,1970,1999,5,Russian Aristocrat,Very High,CZE_Ottokar,X
24188,Chief of Staff,Emanuel Moravec,1936,1970,1999,6,School of Defence,Very High,CZE_Moravec,X
