CUB,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
33071,Minister of Armament,Carlos Prio,1936,1964,1999,2,Administrative Genius,High,M33004,X
33072,Minister of Armament,Juan Martines Villera,1940,1964,1999,2,Submarine Proponent,Medium,M33021,X
33073,Minister of Armament,Miguel Campa y Caraveda,1944,1964,1999,2,Air to Ground Proponent,Medium,M33051,X
33074,Minister of Security,Eugenio Molinet Castro,1936,1964,1999,5,Crooked Kleptocrat,Medium,M33040,X
33075,Minister of Security,Gerardo Machado,1940,1964,1999,5,Efficient Sociopath,Medium,M33032,X
33076,Minister of Security,Carlos Hevia,1944,1964,1999,5,Crime Fighter,High,M33015,X
33077,Minister of Security,P. de Jesús Candelier,1936,1964,1999,3,Back Stabber,Medium,M33077,X
33078,Minister of Security,A. Odero y Garcia,1939,1964,1999,3,Compassionate Gentleman,Medium,M33078,X
33079,Minister of Security,Porfirio Franca,1940,1964,1999,6,Crooked Kleptocrat,Medium,M33066,X
33080,Minister of Security,C. de la Torriente y Peraza,1942,1964,1999,6,Man of the People,Medium,M33080,X
33081,Minister of Security,Guillermo Portela,1943,1964,1999,6,Back Stabber,Medium,M33081,X
33082,Minister of Security,Fulgencio Batista,1944,1964,1999,7,Crooked Kleptocrat,High,M33034,X
33083,Minister of Security,Antonio S. de Bustamente,1946,1964,1999,7,Crime Fighter,Medium,M33083,X
33084,Minister of Security,Sandalio Junco,1936,1964,1999,2,Prince of Terror,Very Low,M33025,X
33085,Minister of Security,Gabriel de la Campa y Cuffi,1944,1964,1999,2,Man of the People,Low,M33085,X
33086,Head of Military Intelligence,José Barnet y Vinageras,1936,1964,1999,5,Political Specialist,Medium,M33001,X
33087,Head of Military Intelligence,Juan Valdéz Hilario,1940,1964,1999,5,Logistics Specialist,Medium,M33016,X
33088,Head of Military Intelligence,Rafael Martinez Ortiz,1944,1964,1999,5,Dismal Enigma,Medium,M33088,X
33089,Head of Military Intelligence,Ramon Grau San Martín,1936,1964,1999,3,Political Specialist,Low,M33011,X
33090,Head of Military Intelligence,Carlos Hevia,1938,1964,1999,3,Industrial Specialist,Low,M33015,X
33091,Head of Military Intelligence,Porfirio Franca,1940,1964,1999,6,Dismal Enigma,Medium,M33066,X
33092,Head of Military Intelligence,Federico Laredo Brú,1944,1964,1999,7,Technical Specialist,Medium,M33014,X
33093,Head of Military Intelligence,Juan Valdéz Hilario,1946,1964,1999,7,Logistics Specialist,Medium,M33016,X
33094,Head of Military Intelligence,Antonio G. Holmes,1936,1964,1999,2,Dismal Enigma,Very Low,M33022,X
33095,Head of Military Intelligence,Fidel Castro,1944,1964,1999,2,Political Specialist,Very Low,M33095,X
33097,Chief of Staff,Fulgencio Batista,1936,1964,1999,6,School of Mass Combat,Undying,M33097,X
33100,Chief of Staff,Juan Blas Hernandez,1936,1964,1999,2,School of Manoeuvre,Medium,M33027,X
33101,Minister of Security,Fidel Castro,1944,1964,1999,2,Man of the People,Very Low,M33095,X
33103,Chief of Army,Fulgencio Batista,1936,1964,1999,6,Decisive Battle Doctrine,Undying,M33097,X
33106,Chief of Army,Juan Blas Hernandez,1936,1964,1999,2,Elastic Defence Doctrine,Medium,M33027,X
33107,Chief of Army,Raúl Castro,1944,1964,1999,2,Static Defence Doctrine,Medium,Raul,X
33109,Chief of Navy,Angel Gonzalez,1936,1964,1999,6,Open Seas Doctrine,Medium,M33109,X
33112,Chief of Navy,Sandalio Junco,1936,1964,1999,2,Open Seas Doctrine,Medium,M33025,X
33114,Chief of Air Force,Enrique C. Rolas,1936,1964,1999,5,Naval Aviation Doctrine,Medium,M33020,X
33115,Chief of Air Force,Sergio Carbo,1944,1964,1999,5,Vertical Envelopment Doctrine,Medium,M33005,X
33118,Chief of Air Force,Palaez Menendez,1944,1964,1999,7,Air Superiority Doctrine,High,M33118,X
33119,Chief of Air Force,Alvaro P. Quintana,1936,1964,1999,2,Air Superiority Doctrine,High,M33030,X
33120,Head of Military Intelligence,Gabriel de la Campa y Cuffi,1941,1964,1999,2,Technical Specialist,Low,M33085,X
33121,Head of Government,Raul Lopez y Castillo,1947,1964,1999,6,Happy Amateur,High,M33121,X
33122,Head of Government,Manuel de Varona Loredo,1948,1964,1999,6,Flamboyant Tough Guy,High,M33122,X
33123,Head of Government,Felix Lanchis Sanchez,1950,1964,1999,6,Political Protege,High,M33123,X
33124,Head of Government,Oscar y Lopez-Martinez,1951,1964,1999,6,Naive Optimist,High,M33124,X
33125,Foreign Minister,Carlos Prio Soccares,1947,1964,1999,6,Ideological Crusader,Medium,M33125,X
33126,Minister of Security,Andres Perez Chaumont,1951,1964,1999,6,Prince of Terror,Medium,M33126,X
33201,Head of State,Julio Antonio Mella,1936,1964,1999,1,Die-hard Reformer,High,Kaiserreich_CUB_Julio_Antonio_Mella,X
33202,Head of Government,Fabio Grobart,1936,1964,1999,1,Ambitious Union Boss,High,Kaiserreich_CUB_Fabio_Grobart,X
33203,Foreign Minister,Luis Amado-Blanco,1936,1964,1999,1,Great Compromiser,High,Kaiserreich_CUB_Luis_Amado_Blanco,X
33204,Minister of Armament,Carlos Rafael Rodríguez,1936,1964,1999,1,Resource Industrialist,High,Kaiserreich_CUB_Carlos_Rafael_Rodríguez,X
33205,Minister of Security,Roberto Agramonte,1936,1964,1999,1,Crime Fighter,High,Kaiserreich_CUB_Roberto_Agramonte,X
33206,Head of Military Intelligence,Luis Amado-Blanco,1936,1964,1999,1,Political Specialist,High,Kaiserreich_CUB_Luis_Amado_Blanco,X
33207,Chief of Staff,Alberto Bayo,1936,1964,1999,1,School of Mass Combat,High,Kaiserreich_CUB_Alberto_Bayo,X
33208,Chief of Army,Alberto Bayo,1936,1964,1999,1,Static Defence Doctrine,High,Kaiserreich_CUB_Alberto_Bayo,X
33210,Chief of Air Force,Mario Torres Menier,1936,1964,1999,1,Air Superiority Doctrine,High,,X
33213,Foreign Minister,Roberto Agramonte,1936,1964,1999,1,Biased Intellectual,High,Kaiserreich_CUB_Roberto_Agramonte,X
33216,Head of State,Raúl Castro,1944,1964,1999,2,Die-hard Reformer,Medium,Raul,X
33217,Foreign Minister,Raúl Castro,1944,1964,1999,2,Iron Fisted Brute,Medium,Raul,X
33218,Head of Government,Camilo Cienfuegos,1950,1964,1999,2,Happy Amateur,High,Cienfuegos,X
33219,Chief of Staff,Camilo Cienfuegos,1950,1964,1999,2,School of Mass Combat,High,Cienfuegos,X
33215,Minister of Security,Raúl Roa García,1936,1964,1999,1,Silent Lawyer,High,Kaiserreich_CUB_Raúl_Roa_García,X
