U06,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
584045,Chief of Army,John J. Williams,6,Armoured Spearhead Doctrine,M573045
584089,Head of Government,John Jackson Sparkman,6,Corporate Suit,John_Jackson_Sparkman
584103,Minister of Armament,John Jackson Sparkman,6,laissez-faire capitalist,John_Jackson_Sparkman
584079,Head of Government,John Malcolm Patterson,8,Happy Amateur,John_M_Patterson
584118,Minister of Security,John Malcolm Patterson,8,Crime Fighter,John_M_Patterson
584119,Minister of Security,John Malcolm Patterson,6,Crime Fighter,John_M_Patterson
584121,Minister of Security,John Malcolm Patterson,8,Compassionate Gentleman,John_M_Patterson
584104,Minister of Armament,John Murdoch Harbert III,6,Resource Industrialist,unknown
584043,Chief of Army,John Polin,6,Decisive Battle Doctrine,M573043
584086,Head of Government,John Stewart Battle,5,Happy Amateur,John_Battle
584126,Minister of Security,Joseph Lister Hill,6,Compassionate Gentleman,Joseph_Lister_Hill
584033,Minister of Security,Joseph Melville Broughton,6,Compassionate Gentleman,M573033
584020,Minister of Armament,Junius M. Futtrell,6,Resource Industrialist,M573020
584151,Foreign Minister,Kate Richards O'Hare,2,Ideological Crusader,Kate_Richards_OHare
584147,Foreign Minister,Kenneth Douglas McKellar,6,Great Compromiser,Kenneth_Douglas_McKellar
584010,Chief of Air Force,Kenneth Walker,6,Army Aviation Doctrine,M573010
584152,Foreign Minister,Lee Hays,2,Great Compromiser,Lee_Hays
584032,Minister of Security,Lloyd Crow Stark,6,Efficient Sociopath,M573032
584110,Minister of Armament,Louise Thaden,5,Air Superiority Proponent,Louise_Thaden
584134,Head of Military Intelligence,Luther Duncan,4,Technical Specialist,Luther_Duncan
584091,Head of Government,Luther H. Hodges,4,Silent Workhorse,Luther_H_Hodges
584135,Head of Military Intelligence,Melvin Thompson,5,Technical Specialist,Melvin_Thompson
584031,Minister of Security,Millard Fillmore Caldwell Jr.,6,Man of the People,M573031
584127,Minister of Security,Morris Dees,2,Crime Fighter,Morris_Dees
584025,Minister of Armament,Olin DeWitt Johnston,6,Tank Proponent,M573025
584005,Minister of Security,Paul Burney Johnson Sr.,6,Silent Lawyer,M573005
584049,Chief of Air Force,Philip Ardery,6,Carpet Bombing Doctrine,M573049
584131,Head of Military Intelligence,Prentice Cooper,5,Technical Specialist,M573030
584030,Minister of Security,Prentice Cooper,6,Crime Fighter,M573030
584003,Foreign Minister,Ransome Judd Williams,6,Apologetic Clerk,M573003
584048,Chief of Navy,Richard Powers,6,Power Projection Doctrine,M573048
584002,Head of Government,Richard Webster Leche,6,Naive Optimist,M573002
584006,Head of Military Intelligence,Robert G. Cherry,6,Industrial Specialist,M573006
584041,Chief of Staff,Roscoe Murray,6,School of Fire Support,M573041
584077,Head of Government,Ross R. Barnett,8,Old General,Ross_R_Barnett
584107,Minister of Armament,Ross R. Barnett,8,Corrupt Kleptocrat,Ross_R_Barnett
584117,Minister of Security,Ross R. Barnett,8,Silent Lawyer,Ross_R_Barnett
584011,Foreign Minister,Sam Houston Jones,6,The Cloak N Dagger Schemer,M573011
584095,Head of Government,Samuel Ernest Vandiver; Jr,5,Political Protege,Samuel_Ernest_Vandiver_Jr
584140,Chief of Army,Sid McMath,4,Guns and Butter Doctrine,Sid_McMath
584144,Chief of Navy,Sid McMath,4,Base Control Doctrine,Sid_McMath
584088,Head of Government,Sid McMath,4,Silent Workhorse,Sid_McMath
584128,Minister of Security,Sid McMath,4,Crime Fighter,Sid_McMath
584047,Chief of Navy,Simeon Slavens Willis,6,Base Control Doctrine,M573047
584004,Minister of Armament,Spessard Lindsay Holland,6,Air Superiority Proponent,M573004
584153,Foreign Minister,Stetson Kennedy,2,the cloak n dagger schemer,Stetson_Kennedy
584139,Head of Military Intelligence,Stetson Kennedy,2,Political Specialist,Stetson_Kennedy
584092,Head of Government,Terry Sanford,4,Silent Workhorse,Terry_Sanford
584145,Chief of Air Force,Thomas H. Moorer,5,Naval Aviation Doctrine,Thomas_H_Moorer
584143,Chief of Navy,Thomas H. Moorer,5,Open Seas Doctrine,Thomas_H_Moorer
584050,Chief of Air Force,Thomas Lowry Bailey,6,Vertical Envelopment Doctrine,M573050
584115,Minister of Security,Tom Stewart,6,Silent Lawyer,Tom_Stewart
584124,Minister of Security,William March,2,Compassionate Gentleman,William_March
584084,Head of Government,William Munford Tuck,5,Backroom Backstabber,William_Munford_Tuck
584105,Minister of Armament,William Pierce,8,Theoretical Scientist,William_Pierce
584141,Chief of Navy,William Robert Anderson,4,Indirect Approach Doctrine,William_Robert_Anderson
584096,Head of Government,William Robert Anderson,4,Old Admiral,William_Robert_Anderson
584101,Minister of Armament,William Robert Anderson,4,Submarine Proponent,William_Robert_Anderson
584007,Chief of Staff,William S. Graves,6,School of Mass Combat,M573007
584111,Minister of Armament,William T. Dillard,5,laissez-faire capitalist,William_T_Dillard
584042,Chief of Staff,William W. Austin,6,School of Manoeuvre,M573042
