GUA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
46062,Head of Military Intelligence,Salvador Peña Trejo,1944,1964,1999,3,Logistics Specialist,Medium,M77026,x
46063,Head of Military Intelligence,Tomas Mendoza Urribe,1945,1964,1999,3,Naval Intelligence Specialist,Medium,M46009,x
46064,Head of Military Intelligence,Jacopo Arbenz Guzman,1947,1964,1999,3,Political Specialist,Medium,M46021,x
46065,Head of Military Intelligence,Miguel Ramirez Alcantara,1947,1964,1999,2,Dismal Enigma,Medium,M47026,x
46066,Chief of Staff,Augustín Farabundo Martí,1936,1964,1999,1,School of Fire Support,Medium,M77021,x
46067,Chief of Staff,Juan Pablo Esquerra,1936,1964,1999,2,School of Psychology,Medium,M48026,x
46068,Chief of Staff,Felipe Abreu Castro,1936,1964,1999,3,School of Fire Support,High,M47102,x
46069,Chief of Staff,Hugo Montés Ramirez,1940,1964,1999,1,School of Psychology,Medium,M47100,x
46070,Chief of Staff,Manuel Orellana,1944,1964,1999,2,School of Defence,Medium,M46012,x
46071,Chief of Staff,Carlos Diaz de Leon,1945,1964,1999,3,School of Manoeuvre,Medium,M46063,x
46072,Chief of Staff,Miguel Ramirez Alcantara,1947,1964,1999,2,School of Fire Support,Medium,M47026,x
46073,Chief of Staff,Jose Figueres Ferrer,1947,1964,1999,3,School of Mass Combat,High,M47103,x
46074,Chief of Army,Manuel Corovél Kirsch,1936,1964,1999,2,Static Defence Doctrine,Medium,M48018,x
46075,Chief of Army,Manuel Orellana,1936,1964,1999,3,Static Defence Doctrine,Medium,M46012,x
46076,Chief of Army,Hugo Montés Ramirez,1940,1964,1999,1,Decisive Battle Doctrine,Medium,M47100,x
46077,Chief of Army,José Angél Castillo,1944,1964,1999,3,Guns and Butter Doctrine,Low,M77028,x
46078,Chief of Army,Jacopo Arbenz Guzman,1944,1964,1999,2,Decisive Battle Doctrine,Medium,M46021,x
46079,Chief of Army,Carlos Diaz de Leon,1945,1964,1999,3,Armoured Spearhead Doctrine,Medium,M46063,x
46080,Chief of Army,Francisco Rosendo Arguello,1947,1964,1999,2,Guns and Butter Doctrine,Medium,M47028,x
46081,Chief of Army,Jose Figueres Ferrer,1947,1964,1999,3,Decisive Battle Doctrine,High,M47103,x
46082,Chief of Navy,Noel Esto Niño Miranda,1936,1964,1999,2,Open Seas Doctrine,Very High,M48019,x
46083,Chief of Navy,Raul Rodolfí Sanchez,1936,1964,1999,1,Open Seas Doctrine,Medium,M77009,x
46084,Chief of Navy,Tomas Mendoza Urribe,1936,1964,1999,3,Indirect Approach Doctrine,Medium,M46009,x
46085,Chief of Navy,Manuel Mora Valverde,1940,1964,1999,1,Base Control Doctrine,Medium,M47021,x
46086,Chief of Navy,Tomas Mendoza Urribe,1945,1964,1999,3,Indirect Approach Doctrine,Medium,M46009,x
46087,Chief of Navy,Hugo Siedler Mendoza,1947,1964,1999,2,Indirect Approach Doctrine,Medium,M47029,x
46088,Chief of Air Force,Oscar Padilla Sellean,1936,1964,1999,2,Naval Aviation Doctrine,Medium,M47030,x
46089,Chief of Air Force,Joel Garcia Zaldana,1936,1964,1999,2,Army Aviation Doctrine,Medium,M48020,x
46090,Chief of Air Force,Manuel Mora Valverde,1936,1964,1999,1,Army Aviation Doctrine,Medium,M47021,x
46091,Chief of Air Force,Guillermo Macho Nuñez,1936,1964,1999,3,Air Superiority Doctrine,Medium,M47127,x
46092,Chief of Air Force,Milton Andrade Cabrera,1944,1964,1999,3,Army Aviation Doctrine,Medium,M77030,x
46093,Chief of Air Force,W. Tesch Orlando,1945,1964,1999,3,Air Superiority Doctrine,Medium,M46077,x
46094,Chief of Air Force,Oscar Padilla Sellean,1947,1964,1999,2,Naval Aviation Doctrine,Medium,M47030,x
46095,Head of State,Jorge Ubico Castaneda,1936,1964,1999,7,Pig-headed Isolationist,High,M46001,x
46096,Head of Government,Jorge Ubico Castaneda,1936,1964,1999,7,Silent Workhorse,High,M46001,x
46097,Foreign Minister,Alfredo Skinner Klee,1936,1964,1999,7,The Cloak N Dagger Schemer,Medium,M46003,x
46098,Minister of Armament,Guillermo Flores Arendano,1936,1964,1999,7,Infantry Proponent,Medium,M46004,x
46099,Minister of Security,T. Castro Dominguez,1936,1964,1999,7,Crooked Kleptocrat,Medium,M46005,x
46100,Head of Military Intelligence,Eduardo Villagran Ariza,1936,1964,1999,7,Logistics Specialist,Medium,M46006,x
46101,Chief of Staff,Federico Ponce Vaides,1936,1964,1999,7,School of Manoeuvre,Medium,M46007,x
46102,Chief of Army,Jorge Ubico Castaneda,1936,1964,1999,7,Static Defence Doctrine,High,M46001,x
46103,Chief of Navy,Tomas Mendoza Urribe,1936,1964,1999,7,Indirect Approach Doctrine,Medium,M46009,x
46104,Chief of Air Force,R. Buenaventure Pineda,1936,1964,1999,7,Army Aviation Doctrine,Medium,M46010,x
46105,Head of State,Jorge Torriello Garrido,1938,1964,1999,4,Resigned Generalissimo,High,M46011,x
46106,Head of State,R. Buenaventure Pineda,1938,1964,1999,6,Resigned Generalissimo,High,M46010,x
46107,Head of Government,Manuel Orellana,1938,1964,1999,4,Smiling Oilman,High,M46012,x
46108,Head of Government,Eduardo Villagran Ariza,1938,1964,1999,6,Political Protege,High,M46006,x
46109,Foreign Minister,Francisco Javier Arana,1938,1964,1999,6,Iron Fisted Brute,Medium,M46027,x
46110,Foreign Minister,Carlos Argumedo Salazar,1938,1964,1999,7,Great Compromiser,Medium,M46035,x
