SPA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
10131,Head of Military Intelligence,Manuel Hedilla Larrey,1936,1964,1999,8,Political Specialist,High,M10050,x
10132,Head of Military Intelligence,Dionisio Ridruejo,1942,1964,1999,8,Technical Specialist,Medium,M10129,x
10133,Head of Military Intelligence,Enrique Plá y Deniel,1936,1964,1999,6,Political Specialist,Medium,M10063,x
10134,Head of Military Intelligence,Luis Orgaz Yoldi,1936,1964,1999,6,Logistics Specialist,High,M10016,x
10135,Head of Military Intelligence,Ricardo Samper Ibáñez,1936,1964,1999,5,Political Specialist,Medium,M11104,x
10136,Head of Military Intelligence,Juan March Ordinas,1939,1964,1999,5,Dismal Enigma,High,M10113,x
10137,Head of Military Intelligence,Diego Hidalgo Dúran,1940,1964,1999,5,Logistics Specialist,High,M11101,x
10138,Head of Military Intelligence,Luis Luciá Luciá,1941,1964,1999,5,Technical Specialist,Low,M11113,x
10139,Head of Military Intelligence,Joaquín Chapaprieta Torregosa,1943,1964,1999,5,Industrial Specialist,High,M11155,x
10140,Chief of Staff,Francisco Franco Bahamonde,1936,1964,1999,7,School of Psychology,Very High,L3426,x
10141,Chief of Staff,Juan Yagüe Blanco,1937,1964,1999,7,School of Manoeuvre,Medium,M10184,x
10142,Chief of Staff,José Enrique Varela Iglesias,1939,1964,1999,7,School of Fire Support,High,M10014,x
10143,Chief of Staff,Carlos Asensio Cabanillas,1945,1964,1999,7,School of Mass Combat,High,M10187,x
10144,Chief of Staff,José Sanjurjo Sacanell,1936,1964,1999,8,School of Psychology,High,M10040,x
10145,Chief of Staff,Ricardo de Rada,1940,1964,1999,8,School of Mass Combat,High,M10166,x
10146,Chief of Staff,Agustín Aznar Guerner,1938,1964,1999,8,School of Psychology,High,M10070,x
10147,Chief of Staff,Agustín Muñoz Grandes,1939,1964,1999,8,School of Fire Support,High,M10194,x
10148,Chief of Staff,Sancho Dávila,1941,1964,1999,8,School of Defence,Medium,M10109,x
10149,Chief of Staff,Joaquin Fanjul Goñi,1943,1964,1999,6,School of Fire Support,Medium,M10202,x
10150,Chief of Staff,Miguel Cabanellas Ferrer,1938,1964,1999,5,School of Psychology,High,M10001,x
10151,Chief of Army,Fidel Dávila Arrondo,1936,1964,1999,7,Static Defence Doctrine,High,M10002,x
10152,Chief of Army,Rafael García Valiño,1939,1964,1999,7,Decisive Battle Doctrine,High,M10207,x
10153,Chief of Army,Carlos Asensio Cabanillas,1939,1964,1999,7,Armoured Spearhead Doctrine,High,M10208,x
10154,Chief of Army,Juan Yagüe Blanco,1939,1964,1999,7,Elastic Defence Doctrine,Medium,M10184,x
10155,Chief of Army,José Enrique Varela Iglesias,1939,1964,1999,7,Guns and Butter Doctrine,High,M10014,x
10156,Chief of Army,Ricardo de Rada,1937,1964,1999,8,Static Defence Doctrine,High,M10166,x
10157,Chief of Army,Agustín Aznar Guerner,1938,1964,1999,8,Guns and Butter Doctrine,High,M10070,x
10158,Chief of Army,Agustín Muñoz Grandes,1939,1964,1999,8,Armoured Spearhead Doctrine,High,M10194,x
10159,Chief of Army,Sancho Dávila,1941,1964,1999,8,Decisive Battle Doctrine,Medium,M10109,x
10160,Chief of Army,Antonio Aranda Mata,1942,1964,1999,6,static defence doctrine,Low,M10018,x
10161,Chief of Army,Miguel Cabanellas Ferrer,1938,1964,1999,5,Static Defence Doctrine,High,M10001,x
10162,Chief of Navy,Carlos Bareda Terry,1936,1964,1999,7,Indirect Approach Doctrine,High,M10229,x
10163,Chief of Navy,Salvador Moreno Fernández,1938,1964,1999,7,Decisive Naval Battle Doctrine,High,M10230,x
10164,Chief of Navy,Nicolás Franco Bahamonde,1941,1964,1999,7,Power Projection Doctrine,Very High,M10092,x
10165,Chief of Navy,Luis Carrero Blanco,1944,1964,1999,7,Base Control Doctrine,High,M10232,x
10166,Chief of Navy,Francisco Reglado Rodríguez,1944,1964,1999,7,Open Seas Doctrine,High,M10233,x
10167,Chief of Navy,José María Lammamié,1942,1964,1999,8,Indirect Approach Doctrine,Medium,M10102,x
10168,Chief of Navy,J. de Areilza y Martínez-Rodas,1936,1964,1999,8,Decisive Naval Battle Doctrine,High,M10071,x
10169,Chief of Navy,José Millán Astray,1941,1964,1999,6,Base Control Doctrine,Medium,M10131,x
10170,Chief of Navy,Ramiro Ledesma Ramos,1943,1964,1999,8,Open Seas Doctrine,High,M10069,x
10171,Chief of Navy,Francisco Núñez de Olaneta,1936,1964,1999,7,Base Control Doctrine,High,M10019,x
10172,Chief of Navy,Antonio Azarola Gresillón,1936,1964,1999,5,Open Seas Doctrine,High,M11009,x
10173,Chief of Navy,Miguel Maura Gamazo,1940,1964,1999,5,Decisive Naval Battle Doctrine,High,M11073,x
10174,Chief of Air Force,Ramón Franco Bahamonde,1936,1964,1999,7,Naval Aviation Doctrine,High,M10089,x
10175,Chief of Air Force,Juan Yagüe Blanco,1939,1964,1999,7,Air Superiority Doctrine,Medium,M10184,x
10176,Chief of Air Force,Eduardo González Gallarza,1944,1964,1999,7,Vertical Envelopment Doctrine,High,M10250,x
10177,Chief of Air Force,Juan Vigón Suerodíaz,1940,1964,1999,7,Army Aviation Doctrine,High,M10118,x
10178,Chief of Air Force,J. de Clairac de la Colina,1936,1964,1999,8,Vertical Envelopment Doctrine,Medium,M10252,x
10179,Chief of Air Force,J. de Areilza y Martínez-Rodas,1941,1964,1999,8,Carpet Bombing Doctrine,High,M10071,x
10180,Chief of Air Force,Ramiro Ledesma Ramos,1943,1964,1999,8,Air Superiority Doctrine,High,M10069,x
10181,Chief of Air Force,Francisco Reglado Rodríguez,1945,1964,1999,8,Naval Aviation Doctrine,High,M10233,x
10182,Chief of Air Force,Juan I.L. de Tena García,1938,1964,1999,6,Vertical Envelopment Doctrine,Low,M10262,x
10183,Chief of Air Force,Juan Ansaldo Vejarano,1937,1964,1999,6,Air Superiority Doctrine,High,M10263,x
10184,Chief of Air Force,Andrés Saliquet Zumeta,1936,1964,1999,5,Naval Aviation Doctrine,High,M10266,x
10185,Chief of Air Force,Emilio Herrera,1938,1964,1999,5,Army Aviation Doctrine,High,M11145,x
10186,Chief of Air Force,Diego Hidalgo Dúran,1940,1964,1999,5,Air Superiority Doctrine,High,M11101,x
10187,Chief of Air Force,Rudolf von Moreau,1942,1964,1999,5,Carpet Bombing Doctrine,High,M10269,x
10188,Chief of Air Force,Camilo Alonso Vega,1944,1964,1999,5,Vertical Envelopment Doctrine,High,M10270,x
10189,Minister of Armament,Diego Hidalgo Durán,1938,1964,1999,6,Military Entrepreneur,High,M11101,x
10190,Chief of Army,Francisco Franco Bahamonde,1936,1964,1999,7,Decisive Battle Doctrine,Very High,L3426,x
10191,Chief of Navy,J. de Clairac de la Colina,1936,1964,1999,8,Indirect Approach Doctrine,High,M10252,x
10192,Head of State,José Sanjurjo Sacanell,1936,1964,1999,7,Resigned Generalissimo,Very High,M10040,x
10193,Head of State,José Calvo-Sotelo,1936,1964,1999,6,Insignificant Layman,Very High,M11014,x
10194,Head of Government,José Sanjurjo Sacanell,1936,1964,1999,7,Old General,Very High,M10040,x
10195,Head of Government,José Antonio Primo de Rivera,1936,1964,1999,8,Silent Workhorse,Very High,M10036,x
10196,Minister of Security,José Antonio Primo de Rivera,1936,1964,1999,8,Man of the People,Very High,M10036,x
10197,Foreign Minister,Juan Beigbéder Atienza,1936,1964,1999,7,Apologetic Clerk,Medium,M10013,x
10198,Chief of Staff,Luís Orgaz Yoldi,1936,1964,1999,7,school of defence,Medium,M10016,x
10199,Chief of Navy,Francisco Nunez de Olaneta,1936,1964,1999,7,Indirect Approach Doctrine,High,M10019,x
10200,Head of State,José Díaz Ramos,1936,1964,1999,1,Powerhungry Demagogue,High,M10021,x
10201,Head of Government,José Díaz Ramos,1936,1964,1999,1,Backroom Backstabber,High,M10021,x
10202,Foreign Minister,Julio Álvarez del Vayo,1936,1964,1999,0,Ideological Crusader,High,M10023,x
10203,Minister of Armament,Enrique Castro Delgado,1936,1964,1999,0,Infantry Proponent,High,M10024,x
10204,Minister of Security,Santiago Carrillo Solares,1936,1964,1999,1,Prince of Terror,Very High,M10025,x
10205,Head of Military Intelligence,José Díaz Ramos,1936,1964,1999,1,Technical Specialist,Medium,M10021,x
10206,Chief of Staff,Miguel Tagüeña Lacorte,1936,1964,1999,1,School of Manoeuvre,Very High,M10027,x
10207,Chief of Army,Enrique Líster Forján,1936,1964,1999,1,Decisive Battle Doctrine,Very High,M10028,x
10208,Chief of Navy,Francisco Galán Rodríguez,1936,1964,1999,1,Open Seas Doctrine,Medium,M10029,x
10209,Chief of Air Force,Ignacio Hidalgo de Cisneros,1936,1964,1999,1,Air Superiority Doctrine,High,M10030,x
10210,Head of State,Fidel Dávila Arrondo,1936,1964,1999,8,Benevolent Gentleman,High,M10002,x
10211,Head of State,J.M. Gil-Robles Quiñones,1936,1964,1999,7,Benevolent Gentleman,High,M10012,x
10212,Head of State,S.C.M. Jaime I,1937,1964,1999,6,Powerhungry Demagogue,High,Jaime,x
10213,Head of State,S.K.H Frederick I,1936,1964,1999,7,german aristocrat,High,Kaiserreich_SPA_Frederick_I,x
10214,Head of Government,Manuel Azaña Díaz,1938,1964,1999,3,Silent Workhorse,High,M11033,x
10215,Head of Government,Indalencio Prieto Tuero,1939,1964,1999,3,Political Protege,High,M11065,x
10216,Head of Government,Santiago Casares Quiroga,1936,1964,1999,3,Corporate Suit,High,M11066,x
10217,Head of Government,José Giral Pereira,1936,1964,1999,3,Naive Optimist,High,M11067,x
10218,Head of Government,Manuel Portela Valladares,1936,1964,1999,4,Naive Optimist,High,M11002,x
