U15;Ruling Cabinet - Start;Name;Ideology;Personality;Picturename
83051;Head of Military Intelligence;Samuel W. King;4;Naval Intelligence Specialist;Samuel_Wilder_King
83059;Chief of Staff;Charles N. Stevens;5;school of defence;Charles_N_Stevens
83046;Minister of Security;Delbert Metzger;5;Crime Fighter;Delbert_Metzger
83062;Chief of Army;Delos Carleton Emmons;5;Guns and Butter Doctrine;Delos C. Emmons
83061;Chief of Staff;Delos Carleton Emmons;5;School of Psychology;Delos C. Emmons
83011;Head of Government;Henry Alexander Baldwin;5;Political Protege;kaiserreich Henry A. Baldwin
83024;Foreign Minister;John A. Burns;5;Great Compromiser;John_Anthony_Burns
83016;Head of Government;Lester Petrie;5;Flamboyant Tough Guy;Lester_Petrie
83036;Minister of Armament;Lincoln Loy McCandless;5;Resource Industrialist;Lincoln_Loy_McCandless
83045;Minister of Security;W. A. Gabrielson;5;Crime Fighter;WA_Gabrielson
83031;Minister of Armament;Arthur Rutledge;6;Administrative Genius;Arthur_Rutledge
83020;Foreign Minister;Hiram Fong;6;Great Compromiser;Hiram_Fong
83009;Head of Government;Hiram Fong;6;Corporate Suit;Hiram_Fong
83043;Minister of Security;Ingram Stainback;6;crime fighter;Stainback
83017;Head of Government;James Dole;6;Corporate Suit;kaiserreich James Dole
83034;Minister of Armament;James Dole;6;laissez-faire capitalist;kaiserreich James Dole
83010;Head of Government;James Kealoha;6;Backroom Backstabber;kaiserreich James Kealoha
83044;Minister of Security;John Henry Wilson;6;Efficient Sociopath;John_Henry_Wilson
83073;Chief of Navy;Joseph N. Reeves;6;Decisive Naval Battle Doctrine;Joseph_N_Reeves
83064;Chief of Army;Joseph T. McNarney;6;Decisive Battle Doctrine;Joseph_T_McNarney
83047;Minister of Security;Masaji Marumoto;6;Efficient Sociopath;Masaji_Marumoto
83015;Head of Government;Oren E. Long;6;Silent Workhorse;Oren_E_Long
83052;Head of Military Intelligence;Owen D. Roberts;6;Naval Intelligence Specialist;Owen_D_Roberts
83060;Chief of Staff;T. C. S. Walker;6;School of Manoeuvre;TCS_Walker
83068;Chief of Navy;Victor Stewart Kaleoaloha Houston;6;Base Control Doctrine;unknown
83074;Chief of Air Force;William A Patterson;6;Air Superiority Doctrine;William_A_Patterson
83072;Chief of Navy;William H. Standley;6;Power Projection Doctrine;William_H_Standley
83025;Foreign Minister;Curtis Laukea;7;the cloak n dagger schemer;Curtis_Laukea
83033;Minister of Armament;Henry Alexander Baldwin;7;Resource Industrialist;kaiserreich Henry A. Baldwin
83022;Foreign Minister;Princess Theresa Laanui;7;Biased Intellectual;Theresa_Laanui
83040;Minister of Security;Princess Theresa Laanui;7;Man of the People;Theresa_Laanui
83065;Chief of Army;Ralph Yempuku;7;Decisive Battle Doctrine;Ralph_Yempuku
83053;Head of Military Intelligence;Theresa Laanui;7;Political Specialist;unknown
