IND,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
59005,Minister of Security,Albion Rajkumar Banerjee,7,Silent Lawyer,INDAlb
59037,Chief of Air Force,Alexander Joseph Sathyanathan,7,Air Superiority Doctrine,INDAle
59074,Head of Military Intelligence,Annepu Parasuramdas Patro,7,Political Specialist,U35Ann
59040,Chief of Air Force,Aspy Merwan Engineer,7,Army Aviation Doctrine,INDAsp
59033,Chief of Army,Azam Jah of Berar,7,Decisive Battle Doctrine,INDAza
59050,Head of Military Intelligence,Azizul Haque,7,Political Specialist,INDHaq
59045,Chief of Army,Bir Bikram Kishore Debbarman,7,Decisive Battle Doctrine,INDBik
59081,Minister of Armament,Chintamanrao II Dhundirajao Patwardhan,7,Reformer,INDDhu
59016,Foreign Minister,Chithira Thirunal Balarama Varma,7,Apologetic Clerk,INDChi
59002,Head of Government,Council of Princes,7,The Gun-Salute Legislature,INDPri
59041,Chief of Navy,D. N. Mukerji,7,Base Control Doctrine,INDMuk
59020,Minister of Armament,George Jivajirao Scindia,7,Military Entrepreneur,INDGeo
59034,Chief of Air Force,H.K Patel,7,Air Superiority Doctrine,INDPat
59096,Head of Military Intelligence,Hemchandra Raychaudhuri,7,Dismal Enigma,INDHem
59068,Head of Government,Jayachamarajendra Wadiyar,7,Naive Optimist,INDJay
59030,Chief of Staff,Kodandera Madappa Cariappa,7,School of Defence,INDKod
59032,Chief of Army,Kodendera Subayya Thimayya,7,Static Defence Doctrine,INDThi
59067,Head of Government,Krishna Raja Wadiyar IV,7,Flamboyant Tough Guy,INDKri
59028,Head of Military Intelligence,Krishna Raja Wadiyar IV,7,Technical Specialist,INDKri
59017,Foreign Minister,Krushna Chandra Gajapati,7,Ideological Crusader,INDKru
59014,Head of Government,Krushna Chandra Gajapati,7,Respected War Hero,INDKru
59079,Minister of Armament,M. A. Muthiah Chettiar,7,Bank President,U35Mut
59073,Minister of Security,M. Patanjali Sastri,7,Crime Fighter,U35Pat
59003,Foreign Minister,Maharaja Kishen Pershad,7,Great Compromiser,INDKis
59085,Minister of Security,Maharaja Pratap Singh Gaekwad,7,Media Magnate,PAKPratap
59009,Chief of Navy,Mir Ahmed Ali,7,Power Projection Doctrine,INDMir
59010,Chief of Air Force,Mir Yousuf Ali Khan,7,Naval Aviation Doctrine,INDYou
59018,Foreign Minister,Mirza Muhammad Ismail,7,Biased Intellectual,INDMirz
59004,Minister of Armament,Mokshagundam Visveswaraiah,7,Construction Magnate,INDMok
59031,Chief of Staff,Muhammad Ahmad Said Khan Chhatari,7,School of Psychology,INDMuh
59015,Foreign Minister,Muhammad Ahmad Said Khan Chhatari,7,General Staffer,INDMuh
59048,Minister of Security,Nawab Deen Yar Jung Bahadur,7,Crime Fighter,INDDee
59056,Chief of Army,Nawab Hashim Nawaz Jung,7,Armoured Spearhead Doctrine,INDNaw
59008,Chief of Army,Nawab Khwaja Habibullah Bahadur,7,Static Defence Doctrine,INDHab
59025,Minister of Security,Nawab Muhammad Habibullah,7,Back Stabber,INDHabi
59006,Head of Military Intelligence,Nawab Nisar Ahmed Khan,7,Political Specialist,INDNis
59072,Chief of Army,Nawab Sidi Mohamad Haidar Khan,7,Guns and Butter Doctrine,INDSid
59054,Chief of Army,Nawab Subhan Ali Khan,7,Armoured Spearhead Doctrine,INDSub
59055,Chief of Staff,Nawab Subhan Ali Khan,7,School of Mass Combat,INDSub
59007,Chief of Staff,Osman Ali Khan,7,School of Fire Support,INDOsm
59049,Minister of Security,Raja Bahadur Venkatarama Reddy,7,Man of the People,INDVen
59044,Chief of Army,Rajaram II of Kolhapur,7,Elastic Defence Doctrine,INDRajaram
59070,Head of Government,Rajaram II of Kolhapur,7,Old General,INDRajaram
59043,Chief of Navy,Ram Dass Katari,7,Indirect Approach Doctrine,INDRam
59076,Foreign Minister,S. Rm. M. Annamalai Chettiar,7,Biased Intellectual,U35Uhm
59023,Minister of Security,Sayyid Wasif Ali Mirza Khan Bahadur,7,Compassionate Gentleman,INDSay
59095,Foreign Minister,Sri Jadunath Sarkar,7,Biased Intellectual,INDJad
59078,Chief of Army,Sri Ramakrishna Ranga Rao,7,Guns and Butter Doctrine,U35Ram
59077,Chief of Staff,Sri Ramakrishna Ranga Rao,7,School of Psychology,U35Ram
59024,Minister of Security,Syed Kasim Razvi,7,Prince of Terror,INDKas
59022,Minister of Security,T. Raghavaiah,7,Efficient Sociopath,INDRag
59064,Head of Military Intelligence,Vijayasinhrao Fatehsinhrao Bhonsle,7,Dismal Enigma,INDFat
59027,Head of Military Intelligence,Azam Jah of Berar,8,Dismal Enigma,INDAza
59051,Head of Government,Osman Ali Khan,8,Flamboyant Tough Guy,INDOsm
59047,Chief of Staff,Syed Ahmed El Edroos,8,School of Fire Support,INDEdr
