U32,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
95901,Head of Military Intelligence,Murray D. Van Wagoner,4,Industrial Specialist,M44506
95870,Minister of Armament,Murray D. Van Wagoner,4,Resource Industrialist,M44506
95912,Chief of Staff,Nancy Harkness Love,4,School of Mass Combat,M44612
95838,Head of Government,Otto Kerner; Jr,4,Ambitious Union Boss,M44514
95867,Minister of Armament,Otto Kerner; Jr,4,Corrupt Kleptocrat,M44514
95885,Minister of Security,Otto Kerner; Jr,4,Crime Fighter,M44514
95889,Minister of Security,Richard J. Daley,4,Efficient Sociopath,M44516
95844,Head of Government,William F. Murphy,4,Silent Workhorse,M44520
95886,Minister of Security,William F. Murphy,4,Compassionate Gentleman,M44520
95915,Chief of Army,Albert Kahn,5,Guns and Butter Doctrine,M44579
95879,Minister of Armament,Albert Kahn,5,Resource Industrialist,M44579
95875,Minister of Armament,Alex Manoogian,5,laissez-faire capitalist,M44575
95921,Chief of Air Force,Aubrey W. Fitch,5,Naval Aviation Doctrine,M44508
95808,Chief of Navy,Aubrey W. Fitch,5,Open Seas Doctrine,M44508
95839,Head of Government,Charles H. Percy,5,Corporate Suit,M44515
95868,Minister of Armament,Charles H. Percy,5,Administrative Genius,M44515
95923,Chief of Air Force,Clarence L. Johnson,5,Air Superiority Doctrine,M44578
95878,Minister of Armament,Clarence L. Johnson,5,Air Superiority Proponent,M44578
95835,Head of Government,Dwight H. Green,5,Flamboyant Tough Guy,M44500
95883,Minister of Security,Dwight H. Green,5,Crime Fighter,M44500
95922,Chief of Air Force,Ed Heinemann,5,Army Aviation Doctrine,M44577
95877,Minister of Armament,Ed Heinemann,5,Air to Ground Proponent,M44577
95843,Head of Government,Frank D. Fitzgerald,5,Naive Optimist,M44519
95903,Head of Military Intelligence,George D. Birkhoff,5,Technical Specialist,M44603
95916,Chief of Army,George W. Romney,5,Armoured Spearhead Doctrine,M44527
95911,Chief of Staff,George W. Romney,5,School of Fire Support,M44527
95850,Head of Government,George W. Romney,5,Corporate Suit,M44527
95873,Minister of Armament,George W. Romney,5,Tank Proponent,M44527
95802,Foreign Minister,Harry F. Kelly,5,General Staffer,M44502
95846,Head of Government,Harry F. Kelly,5,Old General,M44502
95847,Head of Government,Kimber C. Sigler,5,Backroom Backstabber,M44504
95804,Minister of Security,Kimber C. Sigler,5,Crime Fighter,M44504
95805,Head of Military Intelligence,Luren D. Dickinson,5,Technical Specialist,M44505
95887,Minister of Security,Luren D. Dickinson,5,Man of the People,M44505
95803,Minister of Armament,Preston T. Tucker,5,Resource Industrialist,M44503
95859,Foreign Minister,Richard J. Daley,5,the cloak n dagger schemer,M44516
95840,Head of Government,Richard J. Daley,5,Backroom Backstabber,M44516
95899,Head of Military Intelligence,Richard J. Daley,5,Political Specialist,M44516
95809,Chief of Air Force,Talbert Abrams,5,Naval Aviation Doctrine,M44509
95918,Chief of Navy,Talbert Abrams,5,Open Seas Doctrine,M44509
95853,Head of Government,Talbert Abrams,5,old airmarshal,M44509
95905,Head of Military Intelligence,Talbert Abrams,5,Logistics Specialist,M44509
95876,Minister of Armament,Talbert Abrams,5,Air to Sea Proponent,M44509
95920,Chief of Air Force,William G. Milliken,5,Carpet Bombing Doctrine,M44551
95851,Head of Government,William G. Milliken,5,old airmarshal,M44551
95874,Minister of Armament,William G. Milliken,5,Strategic Air Proponent,M44551
95837,Head of Government,William G. Stratton,5,Silent Workhorse,M44513
95937,Chief of Navy,Arthur Japy Hepburn,6,Indirect Approach Doctrine,M44635
95936,Head of Military Intelligence,Arthur Japy Hepburn,6,Naval Intelligence Specialist,M44635
95935,Minister of Armament,Arthur Japy Hepburn,6,Submarine Proponent,M44635
95932,Chief of Air Force,Clayton Bissell,6,Army Aviation Doctrine,M44631
95931,Minister of Armament,Clayton Bissell,6,Strategic Air Proponent,M44631
95926,Chief of Air Force,George C. Axtell,6,Naval Aviation Doctrine,M44626
95941,Chief of Staff,Hanford MacNider,6,School of Fire Support,M44640
95940,Foreign Minister,Hanford MacNider,6,Iron Fisted Brute,M44640
95934,Chief of Air Force,John K. Gerhart,6,Air Superiority Doctrine,M44634
95939,Chief of Army,Lewis Blaine Hershey,6,Guns and Butter Doctrine,M44638
95938,Chief of Staff,Lewis Blaine Hershey,6,School of Manoeuvre,M44638
95862,Foreign Minister,Charles Coughlin,7,Ideological Crusader,M44562
95892,Minister of Security,Charles Coughlin,7,Compassionate Gentleman,M44562
95924,Chief of Air Force,Charles Lindbergh,7,Air Superiority Doctrine,M44529
95946,Minister of Security,Elizabeth Dilling,7,Man of the People,M44646
95919,Chief of Navy,Harry Bennett,7,Decisive Naval Battle Doctrine,M44591
95891,Minister of Security,Harry Bennett,7,Efficient Sociopath,M44591
95917,Chief of Army,Henry Ford,7,Armoured Spearhead Doctrine,M44554
95854,Head of Government,Henry Ford,7,Corporate Suit,M44554
95904,Head of Military Intelligence,Henry Ford,7,Industrial Specialist,M44554
95880,Minister of Armament,Henry Ford,7,Administrative Genius,M44554
95950,Minister of Armament,Jay Hormel,7,Military Entrepreneur,M44650
95948,Foreign Minister,Robert Rutherford McCormick,7,Apologetic Clerk,M44648
95949,Minister of Armament,Robert Rutherford McCormick,7,laissez-faire capitalist,M44648
95947,Foreign Minister,William J. Cameron,7,Ideological Crusader,M44647
95945,Chief of Army,George Van Horn Moseley,8,Decisive Battle Doctrine,M44644
95944,Chief of Staff,George Van Horn Moseley,8,School of Fire Support,M44644
