IRQ,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
91157,Chief of Navy,Hamdi al Pachachi,7,Decisive Naval Battle Doctrine,M91049
91049,Head of Government,Hamdi al Pachachi,7,Silent Workhorse,M91049
91081,Foreign Minister,Hikmet Suleyman,7,Great Compromiser,M91054
91174,Head of Government,Hikmet Suleyman,7,Naive Optimist,M91054
91093,Minister of Armament,Jamal Husseini,7,Air Superiority Proponent,M91093
91168,Chief of Air Force,Jamil al Midfai,7,Carpet Bombing Doctrine,M91047
91159,Chief of Navy,Jamil al Midfai,7,Indirect Approach Doctrine,M91047
91065,Foreign Minister,Jamil al Midfai,7,Apologetic Clerk,M91047
91047,Head of Government,Jamil al Midfai,7,Smiling Oilman,M91047
91176,Head of Government,Jamil al Midfai,7,Smiling Oilman,M91047
91123,Head of Military Intelligence,Jamil al Midfai,7,Political Specialist,M91047
91091,Minister of Armament,Jamil al Midfai,7,Theoretical Scientist,M91047
91147,Chief of Army,John Bagot Glubb,7,Decisive Battle Doctrine,M91124
91106,Minister of Security,Kamel Erekat,7,Crooked Kleptocrat,M91106
91071,Foreign Minister,Mahmud Subhi al Daftari,7,Apologetic Clerk,M91071
91179,Head of Government,Muhammad as Sadr,7,Naive Optimist,M91179
91074,Foreign Minister,Muhammed Fadelfomali,7,Biased Intellectual,M91074
91080,Foreign Minister,Naji al Asil,7,Ideological Crusader,M91080
91069,Foreign Minister,Nasrat al Farisi,7,Iron Fisted Brute,M91069
91149,Chief of Army,Nuri as Said,7,Armoured Spearhead Doctrine,M91003
91048,Head of Government,Nuri as Said,7,Old General,M91003
91177,Head of Government,Nuri as Said,7,Ambitious Union Boss,M91003
91128,Head of Military Intelligence,Nuri as Said,7,Logistics Specialist,M91003
91089,Minister of Armament,Nuri as Said,7,Infantry Proponent,M91003
91111,Minister of Security,Nuri as Said,7,Efficient Sociopath,M91003
91140,Chief of Staff,Nuri as-Said,7,School of Mass Combat,M91003
91183,Head of Government,Nurreddin Mahmud,7,Old General,M91183
91186,Head of Military Intelligence,Nurreddin Mahmud,7,Logistics Specialist,M91183
91175,Head of Government,Rashid Ali al Gaylani,7,Smiling Oilman,M91011
91066,Foreign Minister,Salih Jabr,7,Ideological Crusader,M91050
91050,Head of Government,Salih Jabr,7,Political Protege,M91050
91108,Minister of Security,Suleiman al Taji,7,Prince of Terror,M91108
91059,Foreign Minister,Taha Pasha al Hashimi,7,Ideological Crusader,M91044
91044,Head of Government,Taha Pasha al Hashimi,7,Happy Amateur,M91044
91070,Foreign Minister,Tahsin al Askari,7,Ideological Crusader,M91070
91062,Foreign Minister,Tawfiq al Suweidi,7,Apologetic Clerk,M91056
91182,Head of Government,Tawfiq al Suweidi,7,Ambitious Union Boss,M91056
91094,Minister of Armament,Tawfiq al Suweidi,7,Submarine Proponent,M91056
91090,Minister of Armament,Ya'goub Farraj,7,laissez-faire capitalist,M91090
91114,Minister of Security,Ahmed Amir Badi,8,Efficient Sociopath,M91114
91160,Chief of Navy,Ali Mahmud al Shaykh,8,Indirect Approach Doctrine,M91019
91076,Foreign Minister,Ali Mahmud al Shaykh,8,Great Compromiser,M91019
91113,Minister of Security,Ali Rassakh,8,Man of the People,M91113
91097,Minister of Armament,Amir al Jahed,8,Military Entrepreneur,M91097
91131,Head of Military Intelligence,Azam Pasha,8,Logistics Specialist,M91046
91099,Minister of Armament,Azam Pasha,8,Infantry Proponent,M91046
91170,Chief of Air Force,Fahmi Sa'id,8,Air Superiority Doctrine,M91020
91153,Chief of Army,Fawsi al Kaukji,8,Static Defence Doctrine,M91014
91143,Chief of Staff,Fawsi al Kaukji,8,School of Fire Support,M91014
91051,Head of Government,Fawsi al Kaukji,8,Flamboyant Tough Guy,M91014
91132,Head of Military Intelligence,Fawsi al Kaukji,8,Industrial Specialist,M91014
91100,Minister of Armament,Fawsi al Kaukji,8,Corrupt Kleptocrat,M91014
91077,Foreign Minister,Haj Amini al Husseini,8,Ideological Crusader,M91013
91053,Head of Government,Haj Amini al Husseini,8,Backroom Backstabber,M91013
91116,Minister of Security,Haj Amini al Husseini,8,Efficient Sociopath,M91013
91112,Minister of Security,Jamil al Midfai,8,Crooked Kleptocrat,M91047
91078,Foreign Minister,Musa Bey al Shahbandar,8,Biased Intellectual,M91078
91075,Foreign Minister,Rashid Ali al Gaylani,8,The Cloak N Dagger Schemer,M91011
91052,Head of Government,Rashid Ali al Gaylani,8,Smiling Oilman,M91011
91115,Minister of Security,Rashid Ali al Gaylani,8,Prince of Terror,M91011
91173,Chief of Navy,Rashid Ali al-Gaylani,8,Power Projection Doctrine,M91011
91012,Head of Government,Rashid Ali al-Gaylani,8,Smiling Oilman,M91011
91130,Head of Military Intelligence,Rashid Ali al-Gaylani,8,Dismal Enigma,M91011
91129,Head of Military Intelligence,Rifai al Fadel,8,Political Specialist,M91129
91098,Minister of Armament,Yahya al Najif,8,Submarine Proponent,M91098
