AST,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
56103,Chief of Staff,James V. Fairbairn,6,School of Fire Support,M56103
56820,Chief of Navy,John Augustine Collins,6,Open Seas Doctrine,L54064
56828,Minister of Armament,John Augustine Collins,6,Carrier Proponent,L54064
56008,Chief of Army,John Lavarack,6,Static Defence Doctrine,M56008
56069,Minister of Armament,John Lavarack,6,Military Entrepreneur,M56008
56148,Foreign Minister,John McEwen,6,Biased Intellectual,M56148
56007,Chief of Staff,Joseph A. Lyons,6,School of Manoeuvre,M56002
56002,Head of Government,Joseph A. Lyons,6,Flamboyant Tough Guy,M56002
56819,Chief of Navy,Leighton Bracegirdle,6,Power Projection Doctrine,AST_Leighton Bracegirdle
56403,Minister of Armament,Leighton Bracegirdle,6,Battle Fleet Proponent,AST_Leighton Bracegirdle
56111,Chief of Army,Leslie Morshead,6,Guns and Butter Doctrine,M56066
56042,Foreign Minister,Palmer A. McBride,6,Iron Fisted Brute,M56042
56060,Minister of Armament,Palmer A. McBride,6,Infantry Proponent,M56042
56208,Chief of Navy,Patrick Perry,6,Power Projection Doctrine,M56208
56308,Chief of Navy,Ragnar M. Colvin,6,Open Seas Doctrine,M56009
56147,Chief of Staff,Ragnar M. Colvin,6,School of Manoeuvre,M56009
56094,Head of Military Intelligence,Ragnar M. Colvin,6,Naval Intelligence Specialist,M56009
56004,Minister of Armament,Robert A. Parkhill,6,Resource Industrialist,M56004
56084,Minister of Security,Robert A. Parkhill,6,Compassionate Gentleman,M56004
56045,Foreign Minister,Robert G. Menzies,6,Apologetic Clerk,M56037
56037,Head of Government,Robert G. Menzies,6,Backroom Backstabber,M56037
56826,Minister of Armament,Thomas M. Burke,6,Keynesian Economy,AST_Thomas Michael Burke
56206,Chief of Staff,Thomas Paterson,6,School of Defence,M56005
56047,Foreign Minister,Thomas Paterson,6,Biased Intellectual,M56005
56005,Minister of Security,Thomas Paterson,6,Silent Lawyer,M56005
56118,Chief of Navy,Victor Crutchley,6,Open Seas Doctrine,M56019
56209,Chief of Air Force,W.D. Bostock,6,Naval Aviation Doctrine,M56059
56059,Minister of Armament,W.D. Bostock,6,Air to Sea Proponent,M56059
56504,Minister of Security,Adam Hamilton,7,Crime Fighter,M55037
56115,Chief of Army,Alan Ramsay,7,Guns and Butter Doctrine,M56018
56511,Head of Government,Billy Hughes,7,Flamboyant Tough Guy,Hughes
56052,Foreign Minister,Francesco Piscitelli,7,The Cloak N Dagger Schemer,M56052
56003,Foreign Minister,George F. Pearce,7,Great Compromiser,M56003
56501,Head of Government,George F. Pearce,7,Happy Amateur,M56003
56083,Minister of Security,George F. Pearce,7,Silent Lawyer,M56003
56506,Chief of Staff,J.E. Duigan,7,School of Manoeuvre,M55060
56040,Head of Government,J.H.A. Durant,7,Happy Amateur,M56012
56088,Minister of Security,J.H.A. Durant,7,Compassionate Gentleman,M56012
56089,Minister of Security,James Culliton,7,Back Stabber,M56089
56087,Minister of Security,James McCarthy,7,Crime Fighter,M56015
56808,Minister of Armament,James Mitchell,7,Industrialiser,AST_Mitchell
56129,Chief of Air Force,John Lerew,7,Army Aviation Doctrine,M56020
56073,Minister of Armament,Paul Roseville,7,Air Superiority Proponent,M56011
56051,Foreign Minister,Peter Spearitt,7,General Staffer,M56013
56507,Chief of Army,R.A. Cochrane,7,Decisive Battle Doctrine,M55010
56074,Minister of Armament,Richard Overell,7,Administrative Genius,M56074
56510,Head of Government,Stanley Bruce,7,Silent Workhorse,M56062
56113,Chief of Army,Vernon Sturdee,7,Elastic Defence Doctrine,M56049
56502,Foreign Minister,Vernon Sturdee,7,General Staffer,M56049
56809,Head of Government,Charles Vyner Brooke,8,Flamboyant Tough Guy,AST_Brooke
56807,Head of Government,Eric Campbell,8,Political Protege,AST_Campbell
56406,Chief of Staff,George Langley,8,School of Mass Combat,M56306
56822,Chief of Navy,Guy Gaunt,8,Indirect Approach Doctrine,AST_Guy Gaunt
56401,Foreign Minister,Hattil S. Foll,8,Ideological Crusader,M56058
56300,Head of Military Intelligence,Hattil S. Foll,8,Logistics Specialist,M56058
56058,Minister of Armament,Hattil S. Foll,8,Administrative Genius,M56058
56082,Minister of Security,Hattil S. Foll,8,Compassionate Gentleman,M56058
56509,Chief of Air Force,Philip Game,8,Army Aviation Doctrine,M56509
56099,Head of Military Intelligence,Thomas Blamey,8,Logistics Specialist,AST_Blamey
56404,Minister of Security,Thomas Blamey,8,Efficient Sociopath,AST_Blamey
56508,Chief of Navy,W.E. Parry,8,Indirect Approach Doctrine,M55052
56503,Minister of Armament,William Vanneck,8,Infantry Proponent,M56503
56505,Head of Military Intelligence,Winston Dugan,8,Logistics Specialist,M56505
