COL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
37079,Minister of Armament,Alejandro Galvis,4,Corrupt Kleptocrat,M37079
37154,Chief of Air Force,Arturo Lema Pasada,4,Vertical Envelopment Doctrine,M37154
37098,Minister of Security,Benito Hernandez,4,Back Stabber,M37004
37153,Chief of Air Force,Camilo Daza Alvarez,4,Air Superiority Doctrine,M37078
37128,Chief of Staff,Camilo Daza Alvarez,4,School of Psychology,M37078
37078,Minister of Armament,Camilo Daza Alvarez,4,Air Superiority Proponent,M37078
37046,Head of Government,Eduardo Santos Montejo,4,Flamboyant Tough Guy,M37032
37113,Head of Military Intelligence,Eduardo Santos Montejo,4,Technical Specialist,M37032
37032,Head of State,Eduardo Santos Montejo,4,Autocratic Charmer,M37032
37064,Foreign Minister,Eduardo Zuleta Castillo,4,Great Compromiser,M37064
37100,Minister of Security,Eduardo Zuleta Castillo,4,Crooked Kleptocrat,M37064
37116,Head of Military Intelligence,Enrico Díaz Carias,4,Political Specialist,M37116
37099,Minister of Security,Enrique Gomez Hurtado,4,Crime Fighter,M37099
37062,Foreign Minister,Enrique Olaya Herrera,4,Apologetic Clerk,M37062
37063,Foreign Minister,Fernando Londono y Londono,4,General Staffer,M37006
37096,Minister of Security,Francesco José Urrutia,4,Man of the People,M37096
37048,Head of Government,Gabriel Turbay Ayala,4,Ambitious Union Boss,M37034
37034,Head of State,Gabriel Turbay Ayala,4,Benevolent Gentleman,M37034
37077,Minister of Armament,Humberto Chica Pinzon,4,Theoretical Scientist,M37077
37139,Chief of Army,José Guisa y Escalar,4,Elastic Defence Doctrine,M37127
37061,Foreign Minister,Luis López de Mesa,4,Ideological Crusader,M37061
37152,Chief of Air Force,Manuel Quinones,4,Carpet Bombing Doctrine,M37138
37138,Chief of Army,Manuel Quinones,4,Static Defence Doctrine,M37138
37145,Chief of Navy,Mario Espinoza Gacitua,4,Decisive Naval Battle Doctrine,M37019
37146,Chief of Navy,Mauricio Soto Gomez,4,Open Seas Doctrine,M37081
37114,Head of Military Intelligence,Mauricio Soto Gomez,4,Naval Intelligence Specialist,M37081
37081,Minister of Armament,Mauricio Soto Gomez,4,Submarine Proponent,M37081
37080,Minister of Armament,Plinio Mendoza,4,Corrupt Kleptocrat,M37080
37038,Head of State,Mariano Ospina Pérez,5,Barking Buffoon,M37038
37082,Minister of Armament,Alberto Nariño Cheyne,6,Air to Sea Proponent,M37082
37118,Head of Military Intelligence,Antonio Acevedo Escobar,6,Dismal Enigma,M37014
37065,Foreign Minister,Antonio José Restrepo,6,General Staffer,M37065
37101,Minister of Security,Caesare Bernal Gustaves,6,Crooked Kleptocrat,M37101
37087,Minister of Armament,Camilo Ospina Bernal,6,Resource Industrialist,M37087
37050,Head of Government,Carlos Arango Vélez,6,Silent Workhorse,M37036
37036,Head of State,Carlos Arango Vélez,6,Stern Imperialist,M37036
37086,Minister of Armament,Carlos Arango Vélez,6,Battle Fleet Proponent,M37036
37130,Chief of Staff,Eduardo Porier Escobar,6,School of Fire Support,M37008
37117,Head of Military Intelligence,Eduardo Porier Escobar,6,Logistics Specialist,M37008
37157,Chief of Air Force,Enrico Díaz Carias,6,Naval Aviation Doctrine,M37116
37156,Chief of Air Force,Felix Mercado,6,Army Aviation Doctrine,M37156
37104,Minister of Security,Francesco José Urrutia,6,Man of the People,M37096
37068,Foreign Minister,Francisco Umana Bernal,6,Biased Intellectual,M37068
37141,Chief of Army,Guillermo Padilla Manrique,6,Guns and Butter Doctrine,M37119
37119,Head of Military Intelligence,Guillermo Padilla Manrique,6,Dismal Enigma,M37119
37049,Head of Government,Joaquin Fernandez,6,Corporate Suit,M37035
37035,Head of State,Joaquin Fernandez,6,Popular Figurehead,M37035
37084,Minister of Armament,Joaquin Fernandez,6,Resource Industrialist,M37035
37051,Head of Government,Jorge Eliecer Gaitan,6,Naive Optimist,M37037
37037,Head of State,Jorge Eliecer Gaitan,6,Popular Figurehead,M37037
37102,Minister of Security,José Ellis Quinsado,6,Back Stabber,M37016
37067,Foreign Minister,Laureano Gómez Castro,6,The Cloak N Dagger Schemer,M37067
37168,Head of State,Laureano Gómez Castro,6,Barking Buffoon,M37067
37052,Head of Government,Mariano Ospina Pérez,6,Happy Amateur,M37038
37085,Minister of Armament,Mariano Ospina Pérez,6,Military Entrepreneur,M37038
37066,Foreign Minister,Roberto Urdaneta Arbeláez,6,Apologetic Clerk,M37066
37140,Chief of Army,Ruben Piedrahita Arango,6,Decisive Battle Doctrine,M37017
37147,Chief of Navy,Salvador Tiaga Gonzalez,6,Base Control Doctrine,M37131
37131,Chief of Staff,Salvador Tiaga Gonzalez,6,School of Psychology,M37131
37103,Minister of Security,Ulpiano Rengifo Cárdenas,6,Efficient Sociopath,M37103
37083,Minister of Armament,William Martinéz Pérez,6,Tank Proponent,M37083
37071,Foreign Minister,Baldomero Sanín Cano,7,Iron Fisted Brute,M37071
37070,Foreign Minister,Eduardo Porier Escobar,7,General Staffer,M37008
37122,Head of Military Intelligence,Enrico Díaz Carias,7,Dismal Enigma,M37116
37159,Chief of Air Force,German Olano,7,Air Superiority Doctrine,M37010
37133,Chief of Staff,Gustavo Rojas Pinilla,7,School of Psychology,M37133
37040,Head of State,Gustavo Rojas Pinilla,7,Resigned Generalissimo,M37040
37106,Minister of Security,Gustavo Rojas Pinilla,7,Prince of Terror,M37040
37089,Minister of Armament,Julio Valdez,7,Theoretical Scientist,M37011
37158,Chief of Air Force,Luis Rodriguez,7,Carpet Bombing Doctrine,M37020
37107,Minister of Security,M.E. Rojas de Moreno,7,Man of the People,M37107
37121,Head of Military Intelligence,Melitón Rodriguez Roldan,7,Political Specialist,M37013
37132,Chief of Staff,Ruben Piedrahita Arango,7,School of Manoeuvre,M37017
37054,Head of Government,Ruben Piedrahita Arango,7,Old General,M37017
37088,Minister of Armament,Antonio Acevedo Escobar,8,Corrupt Kleptocrat,M37014
37120,Head of Military Intelligence,José Ellis Quinsado,8,Logistics Specialist,M37016
37053,Head of Government,Julio Valdez,8,Old General,M37011
37039,Head of State,Julio Valdez,8,Resigned Generalissimo,M37011
37069,Foreign Minister,Melitón Rodriguez Roldan,8,Biased Intellectual,M37013
37105,Minister of Security,Melitón Rodriguez Roldan,8,Efficient Sociopath,M37013
