GER,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,Head of Government,Hans Vogel,3,Ambitious Union Boss,kaiserreich hansvogel
,Head of State,Hans Vogel,3,Benevolent Gentleman,kaiserreich hansvogel
,Head of Government,Herbert Frahm,3,Flamboyant Tough Guy,kai_herbfrahm
,Head of Government,Kurt Schumacher,3,Ambitious Union Boss,M506011
,Minister of Armament,Kurt Schumacher,3,Mixed Economy,M506011
,Chief of Army,Oskar Hansen,3,Decisive Battle Doctrine,L118
,Head of Government,Otto Wels,3,Corporate Suit,kaiserreich ottowells
,Head of State,Otto Wels,3,Pig-headed Isolationist,kaiserreich ottowells
,Minister of Armament,Otto Wels,3,Mixed Economy,kaiserreich ottowells
,Head of State,S.K.M. Wilhelm II von Preussen,4,Weltkrieg Emperor,kaiserreich wilhelmiih
,Head of State,S.K.M. Wilhelm III von Preussen,4,Moderate Kaiser,M37
,Head of State,S.K.M. Wilhelm IV von Preussen,4,Benevolent Gentleman,kaiserreichwilhelmIV
,Minister of Armament,Albert Einstein,5,Theoretical Scientist,kaiserreich alberteinstein
,Head of Military Intelligence,Dr. Otto Gessler,5,Technical Specialist,kaiserreich ottogessler
,Minister of Armament,Dr. Otto Gessler,5,Corrupt Kleptocrat,kaiserreich ottogessler
,Chief of Navy,Erich Köhler,5,Base Control Doctrine,M506035
,Head of Government,Franz Blücher,5,Political Protege,M506012
,Minister of Armament,Franz Etzel,5,Bank President,M506004
,Minister of Armament, Elisabeth Schwarzhaupt,5,Man of the People,M506004
,Minister of Security,Gustav Heinemann,5,Man of the People,M130
,Head of Military Intelligence,Hanns Seidel,5,Naval Intelligence Specialist,M506029
,Head of Military Intelligence,Hans Gisevius,5,Dismal Enigma,M247
,Foreign Minister,Heinrich von Brentano,5,Ideological Crusader,M506013
,Minister of Armament,Heinz Starke,5,Theoretical Scientist,M506019
,Chief of Air Force,Herrmann Ehlers,5,Naval Aviation Doctrine,M506038
,Chief of Air Force,Josef Kammhuber,5,Army Aviation Doctrine,L448
,Chief of Staff,Josef Kammhuber,5,School of Psychology,L448
,Chief of Army,Karl Heinrich Lübke,5,Guns and Butter Doctrine,M506033
,Minister of Security,Reinhold Maier,5,Compassionate Gentleman,M506024
,Foreign Minister,Theodor Heuss,5,Apologetic Clerk,M38
,Head of State,Theodor Heuss,5,Die-hard Reformer,M38
,Foreign Minister,Thomas Dehler,5,Apologetic Clerk,M506015
,Head of Government,Walther von Rathenau,5,Corporate Suit,kaiserreich walthervonrathennau
,Head of State,Walther von Rathenau,5,Benevolent Gentleman,kaiserreich walthervonrathennau
,Minister of Armament,Walther von Rathenau,5,Administrative Genius,kaiserreich walthervonrathennau
,Head of Government,Wilhelm Külz,5,Ambitious Union Boss,kaiserreich wilhelmkuelz
,Foreign Minister,Wilhelm Roepke,5,Biased Intellectual,kaiserreich wilhelmroepke
,Head of Government,Adam Stegerwald,6,Ambitious Union Boss,kaiserreich adamstegerwald
,Head of State,Adam Stegerwald,6,Die-hard Reformer,kaiserreich adamstegerwald
,Minister of Armament,Adam Stegerwald,6,Laissez-Faire Capitalist,kaiserreich adamstegerwald
,Chief of Air Force,Alfred Bülowius,6,Air Superiority Doctrine,L431
,Foreign Minister,Constantin von Neurath,6,Great Compromiser,M3
,Chief of Navy,Erich Bey,6,Open Seas Doctrine,M200
,Chief of Air Force,Franz Josef Strauss,6,Vertical Envelopment Doctrine,M506027
,Head of Military Intelligence,Franz Josef Strauss,6,Industrial Specialist,M506027
,Minister of Armament,Fritz Schäffer,6,Laissez-Faire Capitalist,M103
,Head of Government,Georg von Hertling,6,Backroom Backstabber,3437
,Minister of Security,Gustav Heinemann,6,Silent Lawyer,M130
,Head of Military Intelligence,Hans Dohnanyi,6,Political Specialist,M248
,Minister of Security,Hans Dohnanyi,6,Silent Lawyer,M248
,Head of Military Intelligence,Hans Ehard,6,Political Specialist,M149
,Head of Military Intelligence,Hans Gisevius,6,Dismal Enigma,M247
,Chief of Army,Hans Speidel,6,Decisive Battle Doctrine,M170
,Chief of Staff,Hans Speidel,6,School of Mass Combat,M170
,Head of Government,Heinrich Brüning,6,Silent Workhorse,kaiserreich heinrichbruning
,Head of State,Heinrich Brüning,6,Weary Stiffneck,kaiserreich heinrichbruning
,Minister of Armament,Heinrich Brüning,6,Balanced Budget Economy,kaiserreich heinrichbruning
,Minister of Security,Helmuth von Moltke,6,Compassionate Gentleman,M246
,Chief of Navy,Herrmann Mootz,6,Indirect Approach Doctrine,L506297
,Minister of Security,Karl Arnold,6,Crime Fighter,M129
,Foreign Minister,Konrad Adenauer,6,Great Compromiser,M50
,Head of Government,Konrad Adenauer,6,Silent Workhorse,M50
,Head of Government,Kuno von Westarp,6,Silent Workhorse,kaiserreichvonwestarp
,Minister of Armament,Ludwig Erhard,6,Administrative Genius,M104
,Foreign Minister,Ludwig Kaas,6,Ideological Crusader,kaiserreich ludwigkaas
,Head of Government,Ludwig Kaas,6,Happy Amateur,kaiserreich ludwigkaas
,Head of State,Ludwig Kaas,6,Autocratic Charmer,kaiserreich ludwigkaas
,Minister of Armament,Ludwig Mies van der Rohe,6,Construction Magnate,GER_Rohe
,Chief of Staff,Oskar Hansen,6,School of Manoeuvre,L118
,Chief of Army,Paul von Lettow-Vorbeck,6,Doctrine of Autonomy,kaiserreich lettowvorbeckvonpaul
,Chief of Staff,Paul von Lettow-Vorbeck,6,School of Psychology,kaiserreich lettowvorbeckvonpaul
,Head of Government,Paul von Lettow-Vorbeck,6,The Lion Of Africa,kaiserreich lettowvorbeckvonpaul
,Head of State,Paul von Lettow-Vorbeck,6,Benevolent Gentleman,kaiserreich lettowvorbeckvonpaul
,Head of Military Intelligence,Reinhard Gehlen,6,Dismal Enigma,M150
,Minister of Security,Robert Lehr,6,Man of the People,M506005
,Head of State,S.K.M. Ernest August I von Hannover,6,Popular Figurehead,Ernst_August_III
,Head of State,S.K.M. Felix I von Habsburg-Lothringen,6,Benevolent Gentleman,kai_felhablot
,Head of State,S.K.M. Friedrich Wilhelm V von Romanov,6,Russian Aristocrat,Friedrich Wilhelm V
,Head of State,S.K.M. Ruprecht I von Bayern,6,Popular Figurehead,RuprechtI
,Chief of Army,Theodor Blank,6,Armoured Spearhead Doctrine,M188
,Head of Military Intelligence,Theodor Blank,6,Political Specialist,M506006
,Foreign Minister,Theodor Heuss,6,Apologetic Clerk,M38
,Head of State,Theodor Heuss,6,Die-hard Reformer,M38
,Foreign Minister,Wilhelm Solf,6,Great Compromiser,Kaiserreich Solf
,Chief of Staff,Adolf Heusinger,7,School of Mass Combat,M168
,Foreign Minister,Albert Dufour-Feronce,7,Great Compromiser,M46
,Head of Government,Albert Dufour-Feronce,7,Flamboyant Tough Guy,M46
,Minister of Armament,Alfred Hugenberg,7,Construction Magnate,M117
,Minister of Security,Alfred Hugenberg,7,Media Magnate,M117
,Head of Government,Alfred von Tirpitz,7,Old Admiral,1454
,Minister of Armament,Alfried Krupp,7,Balanced Budget Economy,M97
,Head of Government,Carl Friedrich Goerdeler,7,Happy Amateur,M12
,Minister of Armament,Carl Friedrich Goerdeler,7,Mixed Economy,M12
,Chief of Air Force,Carl Friedrich von Siemens,7,Air Superiority Doctrine,M208
,Foreign Minister,Carl Melchior,7,Ideological Crusader,M70
,Head of Military Intelligence,Carl von Schubert,7,Logistics Specialist,M144
,Minister of Armament,Claus Schenck von Stauffenberg,7,Reformer,M102
,Chief of Navy,Conrad Albrecht,7,Open Seas Doctrine,M198
,Chief of Staff,Erich von Manstein,7,School of Manoeuvre,L324
,Minister of Security,Ernst Trendelenburg,7,Compassionate Gentleman,M116
,Chief of Air Force,Ernst Udet,7,Army Aviation Doctrine,M20
,Chief of Staff,Erwin Rommel,7,School of Manoeuvre,M165
,Chief of Army,Erwin von Witzleben,7,Static Defence Doctrine,M17
,Chief of Staff,Erwin von Witzleben,7,School of Fire Support,M17
,Head of Government,Fedor von Bock,7,Old General,FedorvonBock
,Chief of Navy,Felix Graf von Luckner,7,Indirect Approach Doctrine,Kaiserreich Luckner
,Foreign Minister,Franz von Papen,7,Great Compromiser,M67
,Head of Government,Franz von Papen,7,Happy Amateur,M47
,Minister of Security,Franz von Papen,7,Compassionate Gentleman,M47
,Head of Military Intelligence,Franz von Rintelen,7,Political Specialist,Kaiserreich von Rintelen
,Foreign Minister,Friedrich-Werner von der Schulenberg,7,Ideological Crusader,M68
,Chief of Staff,Fritz Bayerlein,7,School of Psychology,M159
,Minister of Armament,Fritz Thyssen,7,Steel Magnate,M90
,Minister of Security,Fritz von Schulenburg,7,Compassionate Gentleman,M126
,Head of Military Intelligence,Georg Hansen,7,Technical Specialist,M147
,Minister of Armament,Georg Thomas,7,Theoretical Scientist,M98
,Chief of Army,Georg von Bruchmüller,7,Elastic Defence Doctrine,Kaiserreich Bruchmüller
,Head of State,Gerd von Rundstedt,7,Resigned Generalissimo,Rundstedt
,Chief of Army,Günther von Kluge,7,Decisive Battle Doctrine,L311
,Chief of Navy,Gustav Kieseritzky,7,Base Control Doctrine,M199
,Minister of Armament,Gustav Krupp,7,Steel Magnate,M251
,Head of Military Intelligence,Hans Oster,7,Political Specialist,M146
,Minister of Armament,Hans von Blumenthal,7,Battle Fleet Proponent,kaiserreich HansvonBlumenthal
,Head of Military Intelligence,Heinrich Albert,7,Political Specialist,Kaiserreich Heinrich Albert
,Head of Government,Heinrich Brüning,7,Silent Workhorse,kaiserreich heinrichbruning
,Minister of Security,Heinrich Müller,7,Efficient Sociopath,M26
,Chief of Staff,Heinz Guderian,7,School of Manoeuvre,M157
,Minister of Armament,Heinz Guderian,7,Reformer,M157
,Minister of Security,Henning von Tresckow,7,Crime Fighter,M127
,Chief of Air Force,Hermann Köhl,7,Army Aviation Doctrine,Kaiserreich hermann koehl
,Head of Military Intelligence,Hjalmar Schacht,7,Industrial Specialist,M14
,Minister of Armament,Hjalmar Schacht,7,Bank President,M14
,Foreign Minister,Johann Schwerin von Krosigk,7,Apologetic Clerk,M49
,Head of Government,Johann Schwerin von Krosigk,7,Silent Workhorse,M49
,Minister of Armament,Johann Schwerin von Krosigk,7,Resource Industrialist,M49
,Minister of Security,Johann von Bernstorff,7,Back Stabber,M121
,Minister of Armament,Johannes Popitz,7,Resource Industrialist,M101
,Minister of Security,Josef Wirmer,7,Man of the People,M125
,Minister of Armament,Julius Curtius,7,Resource Industrialist,M95
,Head of Military Intelligence,Karl Boy-Ed,7,Technical Specialist,Kaiserreich Boy-Ed
,Minister of Security,Karl Sack,7,Silent Lawyer,M122
,Head of Military Intelligence,Kurt Ludwig,7,Technical Specialist,Kaiserreich KLudwig
,Head of Government,Kurt von Schleicher,7,Old General,kaiserreich schleichervonkurt
,Minister of Security,Kurt von Schleicher,7,Silent Lawyer,kaiserreich schleichervonkurt
,Chief of Staff,Ludwig Beck,7,School of Manoeuvre,M7
,Head of State,Ludwig Beck,7,Resigned Generalissimo,M7
,Foreign Minister,Ludwig Kastl,7,Biased Intellectual,M60
,Chief of Navy,Ludwig von Reuter,7,Power Projection Doctrine,kaiserreich reutervonludwig
,Minister of Armament,Lutz von Schwerin-Krosigk,7,Planned Economy Proponent,M241
,Chief of Air Force,Manfred Freiherr von Richthofen,7,The Red Baron,kaiserreich manfredvonrichtofen
,Head of Government,Manfred Freiherr von Richthofen,7,Old Airmarshal,kaiserreich manfredvonrichtofen
,Foreign Minister,Oskar Meissner,7,The Cloak N Dagger Schemer,M44
,Head of Military Intelligence,Oskar von Hindenburg,7,Political Specialist,M33
,Head of Government,Otto Meissner,7,Naive Optimist,M44
,Minister of Armament,Paul Lejeune-Jung,7,Industrial Chemist,M96
,Minister of Security,Rudolf Diels,7,Crime Fighter,M250
,Head of State,S.K.M. Ernest August I von Hannover,7,Popular Figurehead,Ernst_August_III
,Head of State,S.K.M. Felix I von Habsburg-Lothringen,7,Benevolent Gentleman,kai_felhablot
,Head of State,S.K.M. Friedrich Wilhelm V von Romanov,7,Russian Aristocrat,Friedrich Wilhelm V
,Head of State,S.K.M. Ruprecht I von Bayern,7,Popular Figurehead,RuprechtI
,Head of State,S.K.M. Wilhelm II von Preussen,7,Weltkrieg Emperor,kaiserreich wilhelmiih
,Head of State,S.K.M. Wilhelm II von Preussen,7,Stern Imperialist,3451
,Head of State,S.K.M. Wilhelm III von Preussen,7,Moderate Kaiser,M37
,Head of State,S.K.M. Wilhelm IV von Preussen,7,Benevolent Gentleman,kaiserreichwilhelmIV
,Chief of Staff,Theodor von Hippel,7,School of Psychology,kaiserreichhippel
,Foreign Minister,Thomas Mann,7,General Staffer,M64
,Foreign Minister,Ulrich von Hassel,7,Biased Intellectual,M13
,Head of Government,Ulrich von Hassel,7,Flamboyant Tough Guy,M13
,Minister of Armament,Walter Gropius,7,Administrative Genius,GER_Gropius
,Head of Military Intelligence,Walter Nicolai,7,Political Specialist,kaiserreichwalternicolai
,Minister of Security,Walter Schellenberg,7,Efficient Sociopath,M124
,Chief of Army,Walter von Lüttwitz,7,Decisive Battle Doctrine,M185
,Chief of Navy,Walter Warzecha,7,Indirect Approach Doctrine,L891
,Chief of Staff,Walther von Seydlitz-Kurzbach,7,School of Manoeuvre,L251
,Chief of Army,Werner von Fritsch,7,Armoured Spearhead Doctrine,M8
,Chief of Staff,Wilhelm Groener,7,School of Psychology,M166
,Minister of Armament,Wilhelm Groener,7,Military Entrepreneur,kaiserreich groenerwilhelm
,Chief of Air Force,Wilhelm Oxenius,7,Naval Aviation Doctrine,M210
,Chief of Army,Wilhelm Ritter von Thoma,7,Armoured Spearhead Doctrine,L345
,Chief of Navy,Wilhelm Souchon,7,Open Seas Doctrine,kaiserreich souchonwilhelm
,Minister of Security,Wilhelm von Gayl,7,Secret Police Chief,M15
,Foreign Minister,Wilhelm Waetzoldt,7,Apologetic Clerk,M66
,Chief of Air Force,Albert Kesselring,8,Vertical Envelopment Doctrine,M207
,Chief of Navy,Alfred Saalwächter,8,Open Seas Doctrine,M195
,Minister of Security,Arthur Axmann,8,Man of the People,M120
,Minister of Security,Arthur Nebe,8,Secret Police Chief,M119
,Chief of Army,August Von Mackensen,8,Decisive Battle Doctrine,kaiserreich mackensenvonaugust
,Chief of Staff,August Von Mackensen,8,School of Fire Support,kaiserreich mackensenvonaugust
,Head of Government,August Von Mackensen,8,Respected War Hero,kaiserreich mackensenvonaugust
,Chief of Air Force,Erhard Milch,8,Air Superiority Doctrine,M206
,Chief of Army,Erich Hoepner,8,Armoured Spearhead Doctrine,M18
,Chief of Staff,Erich Hoepner,8,School of Fire Support,M18
,Chief of Army,Fedor von Bock,8,Decisive Battle Doctrine,M182
,Head of Military Intelligence,Ferdinand von Bredow,8,Political Specialist,kaiserreichferdinandvonbredow
,Minister of Security,Franz Gürtner,8,Silent Lawyer,M223
,Chief of Staff,Franz Halder,8,School of Fire Support,M155
,Minister of Armament,Fritz Tornow,8,Military Entrepreneur,M94
,Minister of Security,Hans Frank,8,Prince of Terror,M227
,Chief of Army,Hans von Seeckt,8,Static Defence Doctrine,kaiserreich hansvonseeckt2
,Chief of Staff,Hans von Seeckt,8,School of Psychology,kaiserreich hansvonseeckt2
,Chief of Navy,Hans-Georg von Friedeburg,8,Open Seas Doctrine,M93
,Chief of Army,Hans-Jürgen von Arnim,8,Static Defence Doctrine,L272
,Minister of Armament,Hans-Jürgen von Blumenthal,8,Reformer,GER_von Blumenthal
,Minister of Security,Hans-Jürgen von Blumenthal,8,Compassionate Gentleman,GER_von Blumenthal
,Head of State,Hjalmar Schacht,8,Pig-headed Isolationist,M14
,Chief of Air Force,Karl Koller,8,Army Aviation Doctrine,M205
,Chief of Army,Kurt von Hammerstein-Equord,8,Guns and Butter Doctrine,M175
,Chief of Staff,Kurt Zeitzler,8,School of Defence,M163
,Head of State,Oskar von Hindenburg,8,Insignificant Layman,M33
,Head of Military Intelligence,Stephanie von Hohenlohe,8,Dismal Enigma,Kaiserreich von Hohenlohe
,Minister of Security,Stephanie von Hohenlohe,8,Crooked Kleptocrat,Kaiserreich von Hohenlohe
,Chief of Air Force,Ulrich Grauert,8,Air Superiority Doctrine,L439
,Chief of Army,Walther von Brauchitsch,8,Armoured Spearhead Doctrine,M174
,Head of Military Intelligence,Wilhelm Canaris,8,Dismal Enigma,M6
,Minister of Armament,Xaver Dorsch,8,Air Superiority Proponent,M222
,Chief of Staff,Alfred Jodl,9,School of Psychology,M156
,Foreign Minister,Artur Mahraun,9,Ideological Crusader,GER_Mahraun
,Minister of Security,Artur Mahraun,9,Secret Police Chief,GER_Mahraun
,Chief of Navy,Erich Raeder,9,Decisive Naval Battle Doctrine,M9
,Chief of Army,Erich von Ludendorff,9,Elastic Defence Doctrine,M179
,Head of Government,Erich von Ludendorff,9,Flamboyant Tough Guy,M179
,Chief of Staff,Ernst Busch,9,School of Fire Support,L33
,Minister of Armament,Franz Seldte,9,Military Entrepreneur,M220
,Head of Government,Franz Xaver Ritter von Epp,9,Old General,M214
,Minister of Armament,Franz Xaver Ritter von Epp,9,Infantry Proponent,M214
,Minister of Armament,Franz Xavier-Schwarz,9,Resource Industrialist,M84
,Minister of Armament,Friedrich Flick,9,Laissez-Faire Capitalist,M78
,Head of Government,Friedrich Wilhelm Kritzinger,9,Naive Optimist,M217
,Minister of Armament,Gerhard Rossbach,9,Military Entrepreneur,GER_Rossbach
,Head of Government,Gregor Strasser,9,Flamboyant Tough Guy,kaiserreich gregorstrasser
,Minister of Armament,Gregor Strasser,9,Planned Economy Proponent,kaiserreich GregorStrasser
,Chief of Staff,Hans Krebs,9,School of Defence,M158
,Head of Military Intelligence,Hans-Georg von Friedeburg,9,Naval Intelligence Specialist,M93
,Minister of Armament,Hans-Georg von Friedeburg,9,Submarine Proponent,M93
,Chief of Air Force,Hans-Jürgen Stumpff,9,Army Aviation Doctrine,L471
,Foreign Minister,Heinrich Class,9,Ideological Crusader,GER_Heinrich Class
,Head of Government,Heinrich Class,9,Flamboyant Tough Guy,GER_Heinrich Class
,Minister of Armament,Heinrich Class,9,Planned Economy Proponent,GER_Heinrich Class
,Minister of Security,Heinrich Müller,9,Prince of Terror,M26
,Head of Government,Hermann Ehrhardt,9,Old Admiral,GER_Ehrhardt
,Head of Military Intelligence,Hermann Ehrhardt,9,Naval Intelligence Specialist,GER_Ehrhardt
,Minister of Security,Hermann Ehrhardt,9,Prince of Terror,GER_Ehrhardt
,Minister of Armament,Hermann Göring,9,Air to Ground Proponent,M10
,Chief of Air Force,Hugo Sperrle,9,Carpet Bombing Doctrine,M203
,Foreign Minister,Joachim von Ribbentrop,9,Iron Fisted Brute,M55
,Chief of Navy,Karl Dönitz,9,Indirect Approach Doctrine,M32
,Head of State,Karl Dönitz,9,Resigned Generalissimo,M32
,Minister of Armament,Karl Dönitz,9,Submarine Proponent,M32
,Minister of Security,Karl Hanke,9,Back Stabber,M113
,Minister of Armament,Karl Otto Saur,9,Military Entrepreneur,M89
,Chief of Navy,Kurt Freiwald,9,Base Control Doctrine,M194
,Minister of Armament,Max Amann,9,Battle Fleet Proponent,M83
,Minister of Armament,Oswald Pohl,9,Military Entrepreneur,M87
,Chief of Air Force,Otto Dessloch,9,Army Aviation Doctrine,L434
,Minister of Security,Otto Georg Thierack,9,Crime Fighter,M114
,Minister of Security,Otto von Feldmann,9,Efficient Sociopath,GER_von Feldmann
,Minister of Security,Paul Giesler,9,Efficient Sociopath,M242
,Minister of Security,Reinhard Heydrich,9,Prince of Terror,M244
,Chief of Air Force,Robert Ritter von Greim,9,Air Superiority Doctrine,M204
,Minister of Armament,Theodor Duesterberg,9,Industrial Chemist,GER_Duesterberg
,Minister of Security,Viktor Lutze,9,Compassionate Gentleman,M109
,Minister of Security,Walter Buch,9,Man of the People,M226
,Minister of Armament,Walter Caspari,9,Infantry Proponent,GER_Caspari
,Minister of Armament,Walter Funk,9,Resource Industrialist,M80
,Chief of Staff,Walther von Reichenau,9,School of Fire Support,L334
,Minister of Security,Werner Naumann,9,Compassionate Gentleman,M243
,Chief of Army,Werner von Blomberg,9,Guns and Butter Doctrine,M4
,Minister of Armament,Werner von Blomberg,9,Infantry Proponent,M4
,Minister of Security,Wilhelm Frick,9,Prince of Terror,M5
,Chief of Army,Wilhelm Keitel,9,Armoured Spearhead Doctrine,M176
,Chief of Navy,Wilhelm Marschall,9,Open Seas Doctrine,L407
