SPR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
11170,Minister of Security,Melchor Rodríguez de Galdeano,1,Crime Fighter,M11170
11273,Chief of Army,Miguel García Vivancos,1,Armoured Spearhead Doctrine,M11242
11242,Chief of Staff,Miguel García Vivancos,1,School of Manoeuvre,M11242
11210,Head of Military Intelligence,Ricardo Sanz García,1,Logistics Specialist,M11210
11125,Minister of Armament,Ricardo Sanz García,1,Infantry Proponent,M11125
11326,Chief of Air Force,Ventura Gassol Rovíra,1,Vertical Envelopment Doctrine,M11326
11272,Chief of Army,Vicente Guarner Vivancos,1,Elastic Defence Doctrine,M11241
11241,Chief of Staff,Vicente Guarner Vivancos,1,School of Fire Support,M11241
11088,Foreign Minister,Alvaro de Albornoz Liminiana,2,Biased Intellectual,M11045
11214,Head of Military Intelligence,Alvaro de Albornoz Liminiana,2,Dismal Enigma,M11038
11308,Chief of Navy,Andres Saborit Colomer,2,Decisive Naval Battle Doctrine,M11308
11177,Minister of Security,Ángel Galarza y Gago,2,Prince of Terror,M11177
11346,Foreign Minister,Ángel Pestaña,2,Apologetic Clerk,M11120
11178,Minister of Security,Antonio Ortega Gutiérrez,2,Efficient Sociopath,M11178
11279,Chief of Army,Arturo Mena Roig,2,Elastic Defence Doctrine,M11249
11249,Chief of Staff,Arturo Mena Roig,2,School of Mass Combat,M11249
11127,Minister of Armament,Belamino Tomás Álvarez,2,Resource Industrialist,M11127
11304,Chief of Navy,Bruno Alonso,2,Base Control Doctrine,M11304
11212,Head of Military Intelligence,Felix Gordón Ordás,2,Industrial Specialist,M11132
11132,Minister of Armament,Felix Gordón Ordás,2,laissez-faire capitalist,M11132
11085,Foreign Minister,Fernando de los Ríos Urruti,2,The Cloak N Dagger Schemer,M11085
11128,Minister of Armament,Fernando de los Ríos Urruti,2,Strategic Air Proponent,M11128
11349,Head of Military Intelligence,Francisco Ascaso Budría,2,Technical Specialist,M11243
11062,Head of Government,Francisco Largo Caballero,2,Smiling Oilman,M11039
11131,Minister of Armament,Francisco Largo Caballero,2,Resource Industrialist,M11039
11350,Chief of Army,Gregorio Jover,2,Static Defence Doctrine,kaiserreich_SPR_Jover
11278,Chief of Army,Gustavo Durán Martínez,2,Armoured Spearhead Doctrine,M11211
11246,Chief of Staff,Gustavo Durán Martínez,2,School of Psychology,M11211
11211,Head of Military Intelligence,Gustavo Durán Martínez,2,Logistics Specialist,M11211
11321,Chief of Air Force,Ignacio Hidalgo de Cisneros,2,Air Superiority Doctrine,M11030
11331,Chief of Air Force,Indalecio Prieto Tuero,2,Army Aviation Doctrine,M11331
11307,Chief of Navy,Indalecio Prieto Tuero,2,Open Seas Doctrine,M11307
11126,Minister of Armament,Indalencio Prieto Tuero,2,Military Entrepreneur,M11126
11347,Minister of Armament,Joan Peiró,2,Infantry Proponent,kaiserreich_SPR_Peiro
11348,Minister of Security,Joaquín Ascaso Budriá,2,Silent Lawyer,M11061
11305,Chief of Navy,Joaquín Julio Maurín,2,Power Projection Doctrine,M11305
11345,Head of Government,Juan García Oliver,2,Ambitious Union Boss,kap2lm4
11276,Chief of Army,Juan Hernández Sarabia,2,Guns and Butter Doctrine,M11006
11248,Chief of Staff,Juan Hernández Sarabia,2,School of Fire Support,M11006
11213,Head of Military Intelligence,Juan Hernández Sarabia,2,Technical Specialist,M11006
11060,Head of Government,Juan Negrín López,2,Naive Optimist,M11060
11129,Minister of Armament,Juan Negrín López,2,Administrative Genius,M11046
11280,Chief of Army,Juan Perea Capulino,2,Static Defence Doctrine,M11250
11250,Chief of Staff,Juan Perea Capulino,2,School of Defence,M11250
11087,Foreign Minister,Julián Besteiro Fernández,2,Apologetic Clerk,M11044
11176,Minister of Security,Julián Zugazagoitia Mendieta,2,Compassionate Gentleman,M11176
11089,Foreign Minister,Julio Álvarez del Vayo,2,Ideological Crusader,M11078
11306,Chief of Navy,Luís González Ubieta,2,Indirect Approach Doctrine,M11306
11063,Head of Government,Luis Jiménez de Asúa,2,Ambitious Union Boss,M11063
11179,Minister of Security,Ramon Gonzalez Peña,2,Crime Fighter,M11179
11133,Minister of Armament,Todolfo Llopis Férrandiz,2,Infantry Proponent,M11133
11329,Chief of Air Force,Trifon Gómez San José,2,Vertical Envelopment Doctrine,M11329
11277,Chief of Army,Vicente Rojo Lluch,2,Decisive Battle Doctrine,M11247
11247,Chief of Staff,Vicente Rojo Lluch,2,School of Manoeuvre,M11247
11086,Foreign Minister,Victoria Kent,2,Great Compromiser,M11086
11180,Minister of Security,Victoria Kent,2,Man of the People,M11086
11181,Minister of Security,Wenceslao Carrillo Forjador,2,Man of the People,M11181
11183,Minister of Security,Amós Salvador Carreras,3,Man of the People,M11183
11334,Chief of Air Force,Ángel Camacho Benítez,3,Air Superiority Doctrine,M11334
11096,Foreign Minister,Augusto Barcia Trelles,3,Ideological Crusader,M11034
11217,Head of Military Intelligence,Benjamín Balboa López,3,Naval Intelligence Specialist,M11217
11095,Foreign Minister,Bibiano Fernández Ossorio,3,Great Compromiser,M11095
11136,Minister of Armament,Bibiano Fernández Ossorio,3,Infantry Proponent,M11095
11142,Minister of Armament,Carles Pi i Suñer,3,Administrative Genius,M11142
11254,Chief of Staff,Carlos Masquelet Lacaci,3,School of Defence,M11254
11390,Chief of Navy,Constante Alona,3,Base Control Doctrine,M607
11283,Chief of Army,Enrique Jurado Barrio,3,Decisive Battle Doctrine,M11253
11253,Chief of Staff,Enrique Jurado Barrio,3,School of Fire Support,M11253
11359,Chief of Staff,Enrique Perez Farras,3,School of Defence,M516
11332,Chief of Air Force,Felipe Díaz Sandino,3,Army Aviation Doctrine,M11332
11356,Foreign Minister,Francesc Cambo i Batlle,3,Biased Intellectual,M512
11216,Head of Military Intelligence,Francisco Méndez Aspe,3,Political Specialist,M11135
11135,Minister of Armament,Francisco Méndez Aspe,3,Resource Industrialist,M11135
11391,Minister of Armament,Franklin Albricias Goetz,3,Theoretical Scientist,M608
11065,Head of Government,Indalencio Prieto Tuero,3,Political Protege,M11065
11367,Chief of Army,Jaume Bosch i Grassi,3,Guns and Butter Doctrine,M536
11309,Chief of Navy,José Giral Pereira,3,Open Seas Doctrine,M11220
11092,Foreign Minister,José Giral Pereira,3,Biased Intellectual,M11092
11067,Head of Government,José Giral Pereira,3,Naive Optimist,M11067
11220,Head of Military Intelligence,José Giral Pereira,3,Technical Specialist,M11220
11134,Minister of Armament,José Giral Pereira,3,Battle Fleet Proponent,M11067
11139,Minister of Armament,José Larraz Lopez,3,Tank Proponent,M11139
11140,Minister of Armament,José Prat García,3,laissez-faire capitalist,M11140
11218,Head of Military Intelligence,Josep Tarradellas y Joan,3,Industrial Specialist,M11218
11389,Head of Military Intelligence,Juan Botella,3,Political Specialist,M604
11335,Chief of Air Force,Julio Just Gímeno,3,Vertical Envelopment Doctrine,M11335
11333,Chief of Air Force,Lluis Companys i Jover,3,Naval Aviation Doctrine,M11310
11310,Chief of Navy,Lluis Companys i Jover,3,Decisive Naval Battle Doctrine,M11310
11091,Foreign Minister,Lluis Companys i Jover,3,Iron Fisted Brute,M11091
11284,Chief of Army,Luis Castelló Pantoja,3,Elastic Defence Doctrine,M11255
11255,Chief of Staff,Luis Castelló Pantoja,3,School of Psychology,M11255
11282,Chief of Army,Manuel Azaña Díaz,3,Guns and Butter Doctrine,M11033
11090,Foreign Minister,Manuel Azaña Díaz,3,Iron Fisted Brute,M11090
11064,Head of Government,Manuel Azaña Díaz,3,Silent Workhorse,M11033
11138,Minister of Armament,Manuel Azaña Díaz,3,Theoretical Scientist,M11033
11215,Head of Military Intelligence,Manuel Torres Campaña,3,Industrial Specialist,M11215
11185,Minister of Security,Marcelino Domingo Sanjuán,3,Compassionate Gentleman,M11185
11336,Chief of Air Force,María Lejarraga de Martínez,3,Carpet Bombing Doctrine,M11336
11388,Minister of Security,Rafael Altamira,3,Silent Lawyer,M603
11312,Chief of Navy,Santiago Casares Quiroga,3,Power Projection Doctrine,M11137
11094,Foreign Minister,Santiago Casares Quiroga,3,Apologetic Clerk,M11066
11066,Head of Government,Santiago Casares Quiroga,3,Corporate Suit,M11066
11137,Minister of Armament,Santiago Casares Quiroga,3,Submarine Proponent,M11137
11182,Minister of Security,Santiago Casares Quiroga,3,Prince of Terror,M11137
11281,Chief of Army,Sebastián Pozas Perea,3,Static Defence Doctrine,M11093
11251,Chief of Staff,Sebastián Pozas Perea,3,School of Defence,M11093
11093,Foreign Minister,Sebastián Pozas Perea,3,General Staffer,M11093
11184,Minister of Security,Sebastián Pozas Perea,3,Crime Fighter,M11093
11364,Head of Military Intelligence,Vicent Guarner Vivancos,3,Logistics Specialist,M525
11222,Head of Military Intelligence,Alejandro Lerroux García,4,Dismal Enigma,M11051
11149,Minister of Armament,Alejandro Lerroux García,4,Administrative Genius,M11051
11186,Minister of Security,Alejandro Lerroux García,4,Crooked Kleptocrat,M11051
11383,Chief of Air Force,Ángel Pastor Velasco,4,Air Superiority Doctrine,M598
11009,Chief of Navy,Antonio Azarola Gresillón,4,Indirect Approach Doctrine,M11009
11314,Chief of Navy,Antonio Ruíz Funes-García,4,Base Control Doctrine,M11314
11144,Minister of Armament,Bernardo Giner de los Ríos García,4,Theoretical Scientist,M11144
11363,Head of Government,Carles Pi Sunyer,4,Silent Workhorse,M521
11288,Chief of Army,Carlos Masquelet Lacaci,4,Static Defence Doctrine,M11254
11101,Foreign Minister,Diego Hidalgo Dúran,4,General Staffer,M11101
11099,Foreign Minister,Diego Martínez Barrio,4,The Cloak N Dagger Schemer,M11069
11069,Head of Government,Diego Martínez Barrio,4,Backroom Backstabber,M11069
11187,Minister of Security,Diego Martínez Barrio,4,Prince of Terror,M11069
11360,Chief of Army,Domenech Batet Mestre,4,Decisive Battle Doctrine,M517
11145,Minister of Armament,Emilio Herrera,4,Air Superiority Proponent,M11145
11103,Foreign Minister,F. López Goicoechea Inchaurrandieta,4,Ideological Crusader,M11103
11194,Minister of Security,Federico Escofet Alsina,4,Crime Fighter,M11194
11366,Minister of Security,Jose Maria Benet Capará i Rotés,4,Prince of Terror,M533
11380,Head of Military Intelligence,José Prat García,4,Political Specialist,M595
11376,Minister of Armament,Josep Puig i Cadafalch,4,Resource Industrialist,M583
11188,Minister of Security,Julio López Olivan,4,Back Stabber,M11188
11146,Minister of Armament,Lluis Nicolau d'Olwer,4,Resource Industrialist,M11146
11385,Head of Government,Lorenzo Carbonell,4,Political Protege,M600
11387,Minister of Armament,Lorenzo Carbonell,4,Administrative Genius,M600
11382,Chief of Army,Manuel Eixea,4,Armoured Spearhead Doctrine,M597
11286,Chief of Army,Manuel Estrada Manchón,4,Elastic Defence Doctrine,M11219
11258,Chief of Staff,Manuel Estrada Manchón,4,School of Psychology,M11219
11221,Head of Military Intelligence,Manuel Estrada Manchón,4,Logistics Specialist,M11219
11010,Chief of Air Force,Miguel Nuñez de Prado,4,Naval Aviation Doctrine,M11010
11143,Minister of Armament,Miguel Nuñez de Prado,4,Air to Sea Proponent,M11143
11189,Minister of Security,Pablo de Azcárate y Flores,4,Man of the People,M11189
11386,Foreign Minister,Rafael Menacho,4,General Staffer,M601
11104,Foreign Minister,Ricardo Samper Ibáñez,4,Biased Intellectual,M11104
11381,Chief of Staff,Rodolfo Llopis,4,School of Psychology,M596
11102,Foreign Minister,Salvador de Madariaga,4,Great Compromiser,M11102
11289,Chief of Army,Toribio Martínez Cabrera,4,Guns and Butter Doctrine,M11252
11256,Chief of Staff,Toribio Martínez Cabrera,4,School of Mass Combat,M11252
11003,Foreign Minister,Joaquín Urzaiz Cadaval,5,Apologetic Clerk,M11003
11365,Chief of Navy,Josep Tarradellas,5,Base Control Doctrine,M513
11357,Minister of Armament,Josep Tarradellas,5,Resource Industrialist,M513
11399,Head of Military Intelligence,Juan Pujol i Garcia,5,Dismal Enigma,M630
11358,Head of Military Intelligence,Mariano Anso Zungarren,5,Naval Intelligence Specialist,M515
11379,Chief of Army,Vicente Llano De La Encomienda,5,Static Defence Doctrine,M589
11105,Foreign Minister,Ángel Osorio y Gallardo,6,Biased Intellectual,M11105
11154,Minister of Armament,Ángel Osorio y Gallardo,6,Theoretical Scientist,M11105
11193,Minister of Security,Ángel Osorio y Gallardo,6,Prince of Terror,M11105
11106,Foreign Minister,Claudio Sánchez Albornoz,6,Ideological Crusader,M11106
11072,Head of Government,Claudio Sánchez Albornoz,6,Smiling Oilman,M11072
11227,Head of Military Intelligence,Diego Hidalgo Dúran,6,Technical Specialist,M11101
11153,Minister of Armament,Diego Hidalgo Dúran,6,Military Entrepreneur,M11101
11292,Chief of Army,Domingo Batet Mestre,6,Armoured Spearhead Doctrine,M11262
11262,Chief of Staff,Domingo Batet Mestre,6,School of Psychology,M11262
11108,Foreign Minister,Jaume Aiguader y Miró,6,Apologetic Clerk,M11108
11229,Head of Military Intelligence,Joaquín Chapaprieta Torregosa,6,Industrial Specialist,M11155
11155,Minister of Armament,Joaquín Chapaprieta Torregosa,6,Resource Industrialist,M11155
11290,Chief of Army,José Antonio de Aguirre y Lecube,6,Guns and Butter Doctrine,M11290
11191,Minister of Security,José Martínez de Velasco,6,Crime Fighter,M11110
11004,Minister of Armament,José Mendizábal y Bonilla,6,Infantry Proponent,M11004
11291,Chief of Army,José Miaja Menant,6,Decisive Battle Doctrine,M11007
11007,Chief of Staff,José Miaja Menant,6,School of Mass Combat,M11007
11150,Minister of Armament,José Yanguas Messía,6,Administrative Genius,M11150
11355,Head of Government,Josep Carner i Puig-Oriol,6,Political Protege,CAT_josep_carner
11226,Head of Military Intelligence,Juan March Ordinas,6,Dismal Enigma,M11160
11373,Chief of Staff,Juan Moles Ormella,6,School of Psychology,M575
11107,Foreign Minister,Manuel de Irujo y Ollo,6,The Cloak N Dagger Schemer,M11107
11192,Minister of Security,Manuel de Irujo y Ollo,6,Man of the People,M11107
11228,Head of Military Intelligence,Manuel Matallana Gómez,6,Logistics Specialist,M11228
11002,Head of Government,Manuel Portela Valladares,6,Naive Optimist,M11002
11005,Minister of Security,Manuel Portela Valladares,6,Silent Lawyer,M11002
11197,Minister of Security,Mariano Gómez,6,Crime Fighter,M11197
11316,Chief of Navy,Miguel Buiza Palacios,6,Indirect Approach Doctrine,M11311
11317,Chief of Navy,Miguel Maura Gamazo,6,Decisive Naval Battle Doctrine,M11073
11073,Head of Government,Miguel Maura Gamazo,6,Corporate Suit,M11073
11195,Minister of Security,Miguel Maura Gamazo,6,Compassionate Gentleman,M11073
11109,Foreign Minister,Niceto Alcalá-Zamora,6,Great Compromiser,M11109
11008,Chief of Army,Nicolás Molero Lobo,6,Static Defence Doctrine,M11008
11225,Head of Military Intelligence,Ricardo Samper Ibáñez,6,Political Specialist,M11104
11404,Minister of Armament,Antoni Goicoechea i Coscullela,7,Laissez-faire capitalist,M635
11294,Chief of Army,Antonio Aranda Mata,7,Static Defence Doctrine,M11018
11344,Chief of Air Force,Diego Hidalgo Dúran,7,Air Superiority Doctrine,M11101
11112,Foreign Minister,Emilio de Palacios y Fau,7,Ideological Crusader,M11112
11343,Chief of Air Force,Emilio Herrera,7,Army Aviation Doctrine,M11145
11351,Foreign Minister,Eugeni d'Ors,7,Great Compromiser,CAT_eugeni_dors
11319,Chief of Navy,Francisco Nunez de Olaneta,7,Base Control Doctrine,M11019
11394,Foreign Minister,Jeroni Alomar,7,General Staffer,M620
11296,Chief of Army,Joaquin Fanjul Goñi,7,Static Defence Doctrine,M11265
11265,Chief of Staff,Joaquin Fanjul Goñi,7,School of Psychology,M11265
11156,Minister of Armament,José Calvo-Sotelo,7,laissez-faire capitalist,M11014
11295,Chief of Army,José María Gil-Robles Quiñones,7,Guns and Butter Doctrine,M11012
11074,Head of Government,José María Gil-Robles Quiñones,7,Flamboyant Tough Guy,M11012
11158,Minister of Armament,José María Gil-Robles Quiñones,7,Military Entrepreneur,M11012
11159,Minister of Armament,José María Quinones de Leon,7,Tank Proponent,M11159
11199,Minister of Security,José María Quinones de Leon,7,Prince of Terror,M11199
11110,Foreign Minister,José Martínez de Velasco,7,Iron Fisted Brute,M11110
11160,Minister of Armament,Juan March Ordinas,7,Administrative Genius,M11160
11113,Foreign Minister,Luis Luciá Luciá,7,Biased Intellectual,M11113
11231,Head of Military Intelligence,Luis Luciá Luciá,7,Industrial Specialist,M11113
11157,Minister of Armament,Luis Luciá Luciá,7,Resource Industrialist,M11113
11230,Head of Military Intelligence,Luis Orgaz Yoldi,7,Logistics Specialist,M11016
11264,Chief of Staff,Luís Orgaz Yoldi,7,School of Defence,M11016
11353,Head of Government,Manuel Carrasco i Formiguera,7,Naive Optimist,M11152
11152,Minister of Armament,Manuel Carrasco i Formiguera,7,laissez-faire capitalist,M11152
11111,Foreign Minister,Manuel Jímenez Fernández,7,The Cloak N Dagger Schemer,M11013
11374,Minister of Armament,Ramon Iglesias Navarri,7,Administrative Genius,M576
11371,Foreign Minister,Salvio Huix Miralpeix,7,Apologetic Clerk,M554
11198,Minister of Security,Tomás Garciano Goñi,7,Compassionate Gentleman,M11015
11403,Minister of Armament,Enrique Fontana i Codina,8,Administrative Genius,M634
11402,Chief of Army,Fidel Dávila,8,Static Defence Doctrine,M631
11401,Chief of Staff,Fidel Dávila,8,School of Defence,M631
11400,Minister of Armament,Fidel Dávila,8,Infantry Proponent,M631
11369,Minister of Security,José María Albiñana y Sanz,8,Prince of Terror,M552
11372,Head of Military Intelligence,Josep Bertran i Musitu,8,Political Specialist,M558
11398,Foreign Minister,Llorenç Vilallonga,8,Biased Intellectual,M629
11397,Chief of Army,Luis Garcia Ruíz,8,Elastic Defence Doctrine,M624
11368,Chief of Air Force,Luis Rambaud Gomá,8,Carpet Bombing Doctrine,M551
11378,Chief of Staff,Manuel Goded Llopis,8,School of Mass Combat,M588
11393,Head of Government,Mateo Torres Bestard,8,Ambitious Union Boss,M619
11370,Head of Government,Miguel Serra Sucarrats,8,Political Protege,M553
11395,Minister of Security,Trinidad Benjumea,8,Crooked kleptocrat,M622
11396,Head of Military Intelligence,Victor Ensenat Martinez,8,Political Specialist,M623
