YUG,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
20078,Chief of Army,Milutin Nedic,6,Decisive Battle Doctrine,L46026
20079,Chief of Army,Dimitar Duzelov,8,Armoured Spearhead Doctrine,M20072
20080,Chief of Army,Marko Bozovic,9,Elastic Defence Doctrine,L46002
20081,Chief of Army,Jovan Nikolic,5,Guns and Butter Doctrine,M20074
20082,Chief of Army,Draza Mihailovic,3,static defence doctrine,M20012
20084,Chief of Navy,Milutin Nedic,6,Decisive Naval Battle Doctrine,L46026
20085,Chief of Navy,Petra Dumev,8,Indirect Approach Doctrine,M20085
20086,Chief of Navy,Nikola Mandic,9,Base Control Doctrine,M20086
20087,Chief of Navy,Pavle Karadjordjevic,5,Power Projection Doctrine,M20001
20090,Chief of Air Force,Petra Dumev,8,Vertical Envelopment Doctrine,M20085
20091,Chief of Air Force,Ademaga Mesic,9,Army Aviation Doctrine,M20091
20092,Chief of Air Force,Petar Vukcevic,5,Naval Aviation Doctrine,L46062
20093,Chief of Air Force,Ivan Ribar,2,Air Superiority Doctrine,M20093
20097,Foreign Minister,Momcilo Nincic,8,The Cloak N Dagger Schemer,M20013
20100,Chief of Staff,Koca Popovic,2,School of Mass Combat,M20025
20101,Chief of Army,Josip Broz,2,Armoured Spearhead Doctrine,M20028
20102,Chief of Navy,Josip Broz,2,Indirect Approach Doctrine,M20029
20012,Head of Government,Draza Mihailovic,6,Naive Optimist,M20012
20014,Minister of Armament,Ivan Subasic,5,Infantry Proponent,M20014
20016,Head of Military Intelligence,Miroslav Spalaikovic,5,Technical Specialist,M20016
20017,Chief of Staff,Mihailo Lukic,5,School of Manoeuvre,L46020
20030,Chief of Air Force,Josip Broz,2,Army Aviation Doctrine,M20028
20104,Head of Government,Dragisa Cvetkovic,8,Corporate Suit,M20032
20113,Chief of Army,Petar Bojovic,8,Static Defence Doctrine,kaiserreich Bojovic
