CHI,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
183652,Foreign Minister,George K.C. Yeh,4,Iron Fisted Brute,George K.C. Yeh
183653,Head of Government,Hu Shih,4,Ambitious Union Boss,CHIhu
183534,Foreign Minister,K. C. Wu,4,Biased Intellectual,CHIKC
183631,Head of Government,Lei Chen,4,Political Protege,Lei Chen
183518,Chief of Army,Li Mi,4,Elastic Defence Doctrine,CHILimi
183514,Minister of Security,Liu Xiao,4,Man of the People,CHILiu
183552,Minister of Armament,Robert Hotung,4,Laissez-Faire Capitalist,CHIHotung
183517,Chief of Staff,Sun Li-Gen,4,School of Manoeuvre,Sun Li-Gen
183577,Foreign Minister,Tao Xingzhi,4,Great Compromiser,CHIXingzhi
183644,Foreign Minister,V.K. Wellington Koo,4,Great Compromiser,CHIWelling
52026,Head of Government,Wang Chonghui,4,Flamboyant Tough Guy,M52026
52038,Foreign Minister,Wang Shijie,4,Iron Fisted Brute,M52038
183630,Head of Government,Wang Shijie,4,Happy Amateur,Wang Shijie
183516,Head of Military Intelligence,Woo Tsin-hang,4,Industrial Specialist,CHIWoo
183576,Head of Government,Yan Yangchu,4,Ambitious Union Boss,CHIYangchu
183521,Head of Government,Zhou Shuren,4,Flamboyant Tough Guy,CHIXun
183524,Foreign Minister,Chang Chi-yun,5,Apologetic Clerk,CHIChi-yun
183533,Foreign Minister,Chang Tung-sun,5,Ideological Crusader,CHIDongsun
183525,Minister of Armament,Chen Yinque,5,Laissez-Faire Capitalist,CHIYinque
183531,Minister of Armament,Chiang Wei-kuo,5,Tank Proponent,Chiang Wei-kuo
183648,Foreign Minister,Frank W. Chinglun Lee,5,Ideological Crusader,Frank W. Chinglun Lee
183587,Foreign Minister,Hsu Mo,5,Ideological Crusader,Hsu Mo
183555,Chief of Army,Huang Qixiang,5,Static Defence Doctrine,CHIQixiang
183535,Minister of Security,Jiang Tingfu,5,Compassionate Gentleman,CHITingfu
183573,Head of Military Intelligence,Lee Hoi-chuen,5,Technical Specialist,CHIBruce
183532,Head of Military Intelligence,Lin Yutang,5,Logistics Specialist,CHIYutang
183537,Minister of Armament,Liu Chi-Sheng,5,Air Superiority Proponent,M52132
183550,Foreign Minister,Quo Tai-chi,5,Apologetic Clerk,CHITaichi
183609,Chief of Army,Sun Li-Gen,5,Armoured Spearhead Doctrine,Sun Li-Gen
52029,Head of Government,T. V. Soong,5,Political Protege,M52024
183567,Chief of Air Force,Wang Zhu,5,Naval Aviation Doctrine,CHIWangzhu
183655,Foreign Minister,Wei Tao-ming,5,Ideological Crusader,Wei Tao-ming
183547,Minister of Security,Wu Dingchang,5,Back Stabber,CHIWuding
183553,Minister of Security,Xu Shiying,5,Crime Fighter,CHIShiying
183619,Head of Military Intelligence,Ye Gongchuo,5,Industrial Specialist,Ye Gongchuo
183574,Chief of Army,Yip Kai-Man,5,Guns and Butter Doctrine,CHIYip
52042,Foreign Minister,Alfred Sao-ke Sze,6,Iron Fisted Brute,Alfred Sao-ke Sze
183588,Chief of Staff,Bai Chongxi,6,School of Manoeuvre,L50247
52073,Minister of Security,Cai Yuanpei,6,Compassionate Gentleman,M52073
52061,Minister of Armament,Chan Chak,6,Submarine Proponent,M52061
52003,Foreign Minister,Chang Chun,6,Great Compromiser,M52003
183628,Head of Government,Chang Chun,6,Silent Workhorse,Chang Chun
183539,Minister of Armament,Chang Chun,6,Military Entrepreneur,CHIQun
183660,Head of Government,Chang Tao-fan,6,Corporate Suit,Chang Tao-fan
183638,Head of Government,Chen Chi-tien,6,Smiling Oilman,Chen Chi-tien
183633,Head of Government,Chen Lifu,6,Backroom Backstabber,M52006
52070,Minister of Security,Chen Lifu,6,Back Stabber,M52006
183508,Chief of Navy,Chen Shaokuan,6,Power Projection Doctrine,Chen Shaokuan
52052,Minister of Armament,Chen Shaokuan,6,Battle Fleet Proponent,M52009
183627,Head of Government,Chen Yen-sheng,6,Political Protege,Chen Yen-sheng
183649,Foreign Minister,Chiang Tso-pin,6,General Staffer,Chiang Tso-pin
183650,Minister of Armament,Chiang Tso-pin,6,Infantry Proponent,Chiang Tso-pin
183526,Foreign Minister,Ch'ien Mu,6,Great Compromiser,CHIMu
52063,Foreign Minister,Fu Sinian,6,The Cloak N Dagger Schemer,CHIFu
183621,Chief of Staff,Gao Kuiyuan,6,School of Defence,Gao Kuiyuan
183607,Chief of Navy,Gao Rufeng,6,Power Projection Doctrine,Gao Rufeng
183592,Chief of Army,Guan Linzheng,6,Decisive Battle Doctrine,L50154
183583,Head of Government,He Chengjun,6,Old General,He Chengjun
183544,Foreign Minister,He Luzhi,6,Great Compromiser,CHILuzhi
52099,Chief of Army,He Yingqin,6,Elastic Defence Doctrine,M52058
52058,Minister of Armament,He Yingqin,6,Infantry Proponent,M52058
183689,Head of Government,Hu Ruoyu,6,Naive Optimist,CYN_hu
183661,Chief of Army,Huang Chieh,6,Decisive Battle Doctrine,Huang Chieh
183569,Chief of Navy,Huang Tingxin,6,Indirect Approach Doctrine,CHIHuang
52072,Minister of Security,Kang Ze,6,Prince of Terror,M52072
52071,Minister of Security,Kong Xiangxi,6,Man of the People,M52030
183647,Chief of Air Force,Lai Mingtang,6,Vertical Envelopment Doctrine,Lai Mingtang
183599,Head of Military Intelligence,Li Liejun,6,Logistics Specialist,Li Liejun
183646,Chief of Navy,Li Yuxi,6,Open Seas Doctrine,Li Yuxi
52095,Chief of Army,Li Zongren,6,Static Defence Doctrine,M52031
183603,Minister of Armament,Lin Guogeng,6,Battle Fleet Proponent,Lin Guogeng
183545,Minister of Armament,Luo Longji,6,Administrative Genius,CHILongji
52112,Chief of Air Force,Qian Dajun,6,Carpet Bombing Doctrine,M52090
52106,Chief of Navy,Ren Shouxu,6,Open Seas Doctrine,M52106
183590,Chief of Navy,Shen Honglie,6,Decisive Naval Battle Doctrine,CHIShen Honglie
183625,Head of Government,Situ Meitang,6,Flamboyant Tough Guy,Situ Meitang
183538,Head of Government,Tang Shaoyi,6,Political Protege,CHIShaoyi
183664,Head of Military Intelligence,Tang Wen-yi,6,Logistics Specialist,M52289
183568,Chief of Navy,Tang Xiangming,6,Base Control Doctrine,CHITangxiang
183566,Chief of Air Force,Wang Kuang-Fu,6,Army Aviation Doctrine,CHIKuangfu
52088,Chief of Staff,Wei Lihuang,6,School of Mass Combat,CHILihuang
52057,Minister of Armament,Weng Wenhao,6,Laissez-Faire Capitalist,M52057
183586,Foreign Minister,Wunsz King,6,Biased Intellectual,Wunsz King
183662,Head of Military Intelligence,Xu Enceng,6,Technical Specialist,Xu Enceng
183593,Chief of Army,Xu Yongchang,6,Guns and Butter Doctrine,CHIXu Yongchang
52093,Chief of Staff,Xu Zuyi,6,School of Defence,M52093
183605,Chief of Staff,Xue Yue,6,School of Mass Combat,Xue Yue
183505,Minister of Armament,Xue Yue,6,Military Entrepreneur,Xue Yue
183602,Chief of Navy,Yang Shuzhuang,6,Base Control Doctrine,Yang Shuzhuang
52082,Head of Military Intelligence,Yang Xuancheng,6,Naval Intelligence Specialist,M52082
183632,Head of Government,Yen Chia-kan,6,Silent Workhorse,Yen Chia-kan
183643,Chief of Army,Yu Ta-wei,6,Guns and Butter Doctrine,Yu Ta-wei
52048,Minister of Armament,Yu Ta-wei,6,Military Entrepreneur,Yu Ta-wei
183645,Chief of Air Force,Zhang Jingyu,6,Army Aviation Doctrine,Zhang Jingyu
183556,Minister of Security,Zhang Shizhao,6,Silent Lawyer,CHIShizhao
183591,Chief of Air Force,Zhou Zhirou,6,Air Superiority Doctrine,L50372
183666,Chief of Staff,Zhou Zhirou,6,School of Fire Support,CHIZhou Zhirou
183598,Chief of Staff,Zhu Shaoliang,6,School of Fire Support,L50066
183543,Head of Government,Zuo Shunsheng,6,Backroom Backstabber,CHIZuo
52050,Minister of Armament,Cai Wenzhi,7,Tank Proponent,M52050
52115,Head of Government,Ch'en Ch'eng,7,Political Protege,M52115
52037,Foreign Minister,Chen Guofu,7,Great Compromiser,M52005
52049,Minister of Armament,Chen Guofu,7,Laissez-Faire Capitalist,M52005
52005,Minister of Security,Chen Guofu,7,Crooked Kleptocrat,M52005
52103,Chief of Navy,Chen Jiliang,7,Indirect Approach Doctrine,M52103
183615,Chief of Army,Chen Jitang,7,Guns and Butter Doctrine,M502008
52006,Head of Military Intelligence,Chen Lifu,7,Political Specialist,M52006
183608,Chief of Navy,Chen Xunyong,7,Indirect Approach Doctrine,Chen Xunyong
52055,Minister of Armament,Chiang Ching-kuo,7,Administrative Genius,M52055
52069,Minister of Security,Chiang Ching-kuo,7,Man of the People,M52055
183503,Minister of Security,Dai Li,7,Crime Fighter,Dai Li
52056,Minister of Armament,Du Jianshi,7,Strategic Air Proponent,M52056
183504,Head of Military Intelligence,Du Yuming,7,Political Specialist,Du Yuming
52067,Minister of Security,Gu Zhenglun,7,Crime Fighter,M52067
52097,Chief of Army,Gu Zhutong,7,Decisive Battle Doctrine,M52097
183667,Chief of Staff,Gu Zhutong,7,School of Psychology,CHIGu Zhutong
52051,Minister of Armament,He Guoguang,7,Air to Ground Proponent,M52051
52079,Head of Military Intelligence,He Yaozu,7,Industrial Specialist,M52079
183520,Head of Military Intelligence,He Zhonghan,7,Logistics Specialist,M52084
52047,Minister of Armament,Huang Chenzuo,7,Military Entrepreneur,M52047
52066,Minister of Security,Huang Musong,7,Efficient Sociopath,M52066
183507,Chief of Army,Huang Shaohong,7,Guns and Butter Doctrine,Huang Shaohong
52096,Chief of Army,Jiang Baili,7,Guns and Butter Doctrine,M52089
52089,Chief of Staff,Jiang Baili,7,School of Psychology,M52089
52081,Head of Military Intelligence,Jiang Yiying,7,Dismal Enigma,Jiang Yiying
183546,Head of Military Intelligence,Kang Ze,7,Political Specialist,M52085
52031,Head of Government,Li Zongren,7,Corporate Suit,M52031
183623,Chief of Staff,Liao Yaoxiang,7,School of Defence,L50195
52091,Chief of Staff,Lin Wei,7,School of Manoeuvre,M52035
52035,Foreign Minister,Lin Wei,7,General Staffer,M52035
52068,Minister of Security,Liu Fei,7,Silent Lawyer,M52068
52080,Head of Military Intelligence,Mao Renfeng,7,Logistics Specialist,M52080
52101,Chief of Navy,Ouyang Ge,7,Open Seas Doctrine,M52101
52090,Chief of Staff,Qian Dajun,7,School of Defence,M52090
183624,Chief of Staff,Qiu Qingquan,7,School of Psychology,CHIQiu Qingquan
183604,Minister of Armament,She Zhenxing,7,Submarine Proponent,She Zhenxing
52109,Chief of Air Force,Shen Honglie,7,Naval Aviation Doctrine,M52109
52036,Foreign Minister,Shen Zui,7,Apologetic Clerk,M52036
183522,Minister of Security,Sheng Shicai,7,Prince of Terror,CHISheng
183509,Chief of Air Force,Sun Li-Gen,7,Army Aviation Doctrine,Sun Li-Gen
183501,Head of Government,Sun Li-Gen,7,Old General,Sun Li-Gen
183502,Foreign Minister,T. V. Soong,7,Biased Intellectual,T. V. Soong
183681,Head of Government,Tang Jiyao,7,Old General,Tang Jiyao
52064,Minister of Security,Walther Stennes,7,Back Stabber,M52064
52111,Chief of Air Force,Wang Shuming,7,Vertical Envelopment Doctrine,M52054
183669,Chief of Staff,Wang Shuming,7,School of Mass Combat,Wang Shuming
52054,Minister of Armament,Wang Shuming,7,Air to Sea Proponent,M52054
52065,Minister of Security,Wu Zhongxin,7,Compassionate Gentleman,M52065
52092,Chief of Staff,Xiao Yishu,7,School of Fire Support,M52092
183580,Head of Government,Xu Shichang,7,Backroom Backstabber,kaiserreich Xu Shichang
52098,Chief of Army,Xu Tingyao,7,Armoured Spearhead Doctrine,M52098
52046,Minister of Armament,Xu Yongchang,7,Theoretical Scientist,M52046
52004,Minister of Armament,Xue-Zhong Yu,7,Air Superiority Proponent,CHIZhongyu
52053,Minister of Armament,Yu Feipeng,7,Infantry Proponent,M52053
183596,Chief of Army,Yu Hanmou,7,Static Defence Doctrine,Yu Hanmou
52102,Chief of Navy,Zeng Yiding,7,Base Control Doctrine,M52102
52083,Head of Military Intelligence,Zheng Jiemin,7,Technical Specialist,M52083
52100,Chief of Army,Bao Wenyue,8,Static Defence Doctrine,M52018
52076,Minister of Security,Chan Hon-sam,8,Prince of Terror,M52076
52113,Chief of Air Force,Chen Changchu,8,Army Aviation Doctrine,M52020
52086,Head of Military Intelligence,Chen Fake,8,Logistics Specialist,M52077
52077,Minister of Security,Chen Fake,8,Efficient Sociopath,M52077
52059,Minister of Armament,Chen Gongbo,8,Laissez-Faire Capitalist,M52014
52074,Minister of Security,Ding Motun,8,Crooked Kleptocrat,M52015
183674,Minister of Security,Ding Zhipan,8,Crime Fighter,M501005
52085,Head of Military Intelligence,Li Shiqun,8,Political Specialist,M52016
183673,Minister of Armament,Liu Wenhui,8,Battle Fleet Proponent,M501004
183677,Chief of Army,Long Yun,8,Guns and Butter Doctrine,M750056
183676,Chief of Staff,Long Yun,8,School of Psychology,M750056
183671,Head of Government,Long Yun,8,Political Protege,M750056
183679,Chief of Air Force,Lu Han,8,Carpet Bombing Doctrine,M750055
183678,Chief of Navy,Lu Han,8,Open Seas Doctrine,M750055
183683,Head of Government,Lu Han,8,Old General,M750055
183675,Head of Military Intelligence,Mi Zaiming,8,Political Specialist,M501006
183668,Chief of Staff,Peng Meng-ji,8,School of Mass Combat,Peng Meng-ji
183665,Minister of Security,Peng Meng-ji,8,Prince of Terror,Peng Meng-ji
52075,Minister of Security,Wang Kemin,8,Man of the People,M52012
52043,Foreign Minister,Yang Luchang,8,Great Compromiser,M52043
52060,Minister of Armament,Yang Luchang,8,Resource Industrialist,M52043
183672,Foreign Minister,Zhou Zhirou,8,Apologetic Clerk,M501003
