HUN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
21200,Head of Government,Zsigmond Kunfi,3,Flamboyant Tough Guy,kunfi_zsigmond
21198,Head of Government,Károly Rassay,4,Flamboyant Tough Guy,rassay_karoly
21183,Foreign Minister,Móric Esterházy,5,Great Compromiser,esterhazy_moric
21090,Minister of Armament,Albert Apponyi,6,Strategic Air Proponent,M21090
21187,Chief of Staff,Antal Lehár,6,School of Fire Support,lehar_antal
21166,Chief of Air Force,Béla Rákosi,6,Vertical Envelopment Doctrine,M21020
21203,Head of Government,Endre Bajcsy-Zsilinszky,6,Flamboyant Tough Guy,M21074
21077,Foreign Minister,Ferenc Nagy,6,Great Compromiser,M21012
21063,Head of Government,Ferenc Nagy,6,Happy Amateur,M21012
21148,Chief of Army,Ferenc Szombathelyi,6,Static Defence Doctrine,M21148
21156,Chief of Navy,Francois Deak,6,Power Projection Doctrine,M21076
21076,Foreign Minister,Francois Deak,6,Apologetic Clerk,M21076
21182,Head of Government,János Esterházy,6,Naive Optimist,janos_esterhazy
21078,Foreign Minister,János Gyöngyösi,6,Great Compromiser,M21013
21149,Chief of Army,János Vörös,6,Elastic Defence Doctrine,M21017
21137,Chief of Staff,János Vörös,6,School of Manoeuvre,M21017
21125,Head of Military Intelligence,József Széll,6,Political Specialist,M21108
21108,Minister of Security,József Széll,6,Efficient Sociopath,M21108
21109,Minister of Security,Miklós Bonczos,6,Silent Lawyer,M21109
21091,Minister of Armament,Miklos Olgyay,6,Resource Industrialist,M21014
21181,Head of Government,Pál Teleki,6,Silent Workhorse,kaiserreich Teleki
21062,Head of Government,Zoltán Tildy,6,Silent Workhorse,M21011
21124,Head of Military Intelligence,Zoltán Tildy,6,Dismal Enigma,M21011
21145,Chief of Army,Béla Miklós de Dalnók,7,Static Defence Doctrine,M21059
21059,Head of Government,Béla Miklós de Dalnók,7,Corporate Suit,M21059
21153,Chief of Navy,Edgar Keksz,7,Base Control Doctrine,M21073
21073,Foreign Minister,Edgar Keksz,7,Iron Fisted Brute,M21073
21121,Head of Military Intelligence,Edgar Keksz,7,Naval Intelligence Specialist,M21073
21087,Minister of Armament,Edgar Keksz,7,Corrupt Kleptocrat,M21073
21104,Minister of Security,Edgar Keksz,7,Crooked Kleptocrat,M21073
21074,Foreign Minister,Endre Bajcsy-Zsilinszky,7,General Staffer,M21074
21088,Minister of Armament,Etienne de Winchkler,7,Resource Industrialist,M21088
21164,Chief of Air Force,Ferenc Keresztes-Fischer,7,Air Superiority Doctrine,M21100
21122,Head of Military Intelligence,Ferenc Keresztes-Fischer,7,Industrial Specialist,M21100
21146,Chief of Army,Hugó Sónyi,7,Decisive Battle Doctrine,M21146
21086,Minister of Armament,Imre Oltványi,7,Administrative Genius,M21086
21163,Chief of Air Force,Kálmán Ternegg-Ratz,7,Army Aviation Doctrine,M21163
21060,Head of Government,Karoly Barthá von Dálnokfalva,7,Old General,M21060
21105,Minister of Security,Laszlo Baky,7,Crime Fighter,M21105
21184,Minister of Security,Miklós Bánffy,7,Compassionate Gentleman,banffy_miklos
21154,Chief of Navy,Otto I Habsburg,7,Indirect Approach Doctrine,M21044
21135,Chief of Staff,Vilmos Röder,7,School of Fire Support,M21135
21119,Head of Military Intelligence,András Zákó,8,Political Specialist,M21119
21083,Minister of Armament,Bela Imrédy de Omoravia,8,Infantry Proponent,M21024
21069,Foreign Minister,Béla Imrédy de Omoravia,8,Ideological Crusader,M21024
21054,Head of Government,Béla Imrédy de Omoravia,8,Corporate Suit,M21024
21143,Chief of Army,Edgar Keksz,8,Guns and Butter Doctrine,M21073
21161,Chief of Air Force,Ferenc Feketehalmy-Czeydner,8,Army Aviation Doctrine,M21161
21177,Foreign Minister,Ferenc Keresztes-Fischer,8,Apologetic Clerk,M21100
21175,Head of Government,Ferenc Keresztes-Fischer,8,Happy Amateur,M21100
21100,Minister of Security,Ferenc Keresztes-Fischer,8,Silent Lawyer,M21100
21144,Chief of Army,Géza Lakatos,8,Elastic Defence Doctrine,M21058
21058,Head of Government,Géza Lakatos,8,Old General,M21058
21007,Chief of Staff,Gustáv Henneyey,8,School of Mass Combat,M21007
21072,Foreign Minister,Gustáv Henneyey,8,General Staffer,M21007
21162,Chief of Air Force,Györghyi De Brody,8,Vertical Envelopment Doctrine,M21040
21002,Head of Government,Gyula Gömbös de Jakfa,8,Flamboyant Tough Guy,M21002
21006,Head of Military Intelligence,Gyula Gömbös de Jakfa,8,Political Specialist,M21002
21142,Chief of Army,Henrik Werth,8,Static Defence Doctrine,M21142
21070,Foreign Minister,István Csáky,8,The Cloak N Dagger Schemer,M21070
21008,Chief of Army,István Shvoy,8,Decisive Battle Doctrine,M21008
21179,Foreign Minister,Jenö Ghyczy,8,Apologetic Clerk,M21179
21053,Head of Government,K. Darányi de Pusztaszentgyörgyi,8,Smiling Oilman,M21053
21098,Minister of Security,K. Darányi de Pusztaszentgyörgyi,8,Back Stabber,M21053
21120,Head of Military Intelligence,Kádár Gyula,8,Dismal Enigma,M21120
21003,Foreign Minister,Kálmán Kánya,8,Great Compromiser,M21003
21103,Minister of Security,Kalmán Szell,8,Crime Fighter,M21103
21131,Chief of Staff,Karoly Barthá von Dálnokfalva,8,School of Psychology,M21060
21084,Minister of Armament,Lajos Reményi-Schneller,8,Administrative Genius,M21084
21071,Foreign Minister,László Bárdossy,8,Iron Fisted Brute,M21056
21056,Head of Government,László Bárdossy,8,Silent Workhorse,M21056
21085,Minister of Armament,Laszlo Endre,8,Strategic Air Proponent,M21085
21010,Chief of Air Force,László Tomor,8,Air Superiority Doctrine,M21010
21178,Foreign Minister,M. Kállay de Nagy-Kalló,8,General Staffer,M21057
21057,Head of Government,M. Kállay de Nagy-Kalló,8,Happy Amateur,M21057
21102,Minister of Security,M. Kállay de Nagy-Kalló,8,Man of the People,M21057
21118,Head of Military Intelligence,Mihaly Ujvári,8,Logistics Specialist,M21118
21009,Chief of Navy,Miklós Horthy de Nagybánya,8,Decisive Naval Battle Doctrine,M21001
21005,Minister of Security,Miklós Kozma,8,Prince of Terror,M21005
21176,Foreign Minister,Pál Teleki de Szek,8,Great Compromiser,M21055
21055,Head of Government,Pál Teleki de Szek,8,Naive Optimist,M21055
21099,Minister of Security,Pál Teleki de Szek,8,Compassionate Gentleman,M21055
21117,Head of Military Intelligence,Rezsö Andorka,8,Technical Specialist,M21117
21133,Chief of Staff,Sandór Szurmay,8,School of Fire Support,M21133
21004,Minister of Armament,Tihamér Fabinyi,8,Military Entrepreneur,M21004
21132,Chief of Staff,Vilmos Nagy,8,School of Defence,M21132
21116,Head of Military Intelligence,Andor Jaross,9,Political Specialist,M21025
21095,Minister of Security,Andor Jaross,9,Prince of Terror,M21025
21066,Foreign Minister,Döme Sztójay,9,Ideological Crusader,M21051
21051,Head of Government,Döme Sztójay,9,Happy Amateur,M21051
21171,Chief of Army,Ferenc Feketehalmy-Czeydner,9,Elastic Defence Doctrine,M21161
21115,Head of Military Intelligence,Ferenc Rajniss,9,Dismal Enigma,M21115
21159,Chief of Air Force,Ferenc Szálasi,9,Naval Aviation Doctrine,M21021
21169,Foreign Minister,Ferenc Szálasi,9,Iron Fisted Brute,M21021
21204,Head of Government,Ferenc Szálasi,9,Backroom Backstabber,M21021
21067,Foreign Minister,Gábor Kemény,9,Great Compromiser,M21067
21096,Minister of Security,Gábor Vajna,9,Man of the People,M21096
21052,Head of Government,Jenö Rácz,9,Political Protege,M21022
21082,Minister of Armament,Jenö Rácz,9,laissez-faire capitalist,M21022
21140,Chief of Army,Károlyi Beregffy,9,Guns and Butter Doctrine,M21129
21129,Chief of Staff,Károlyi Beregffy,9,School of Manoeuvre,M21129
21139,Chief of Army,Lajos Csatay von Csatai,9,Armoured Spearhead Doctrine,M21128
21128,Chief of Staff,Lajos Csatay von Csatai,9,School of Manoeuvre,M21128
21151,Chief of Navy,Sandor Csia,9,Base Control Doctrine,M21151
21170,Head of Military Intelligence,Sandor Csia,9,Industrial Specialist,M21151
21158,Chief of Air Force,Sandor Maguarosy,9,Army Aviation Doctrine,M21030
