U01,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
41039,Head of Government,Juan de Amezaga,5,Corporate Suit,M41033
41078,Chief of Staff,Juan Franki Franque,5,School of Manoeuvre,M41078
41072,Head of Military Intelligence,Julio Escalona Vasquez,5,Dismal Enigma,M41072
41063,Minister of Security,Mario Cassinoni,5,Silent Lawyer,M41063
41095,Chief of Air Force,Olindo Ojeto Varela,5,Army Aviation Doctrine,M41095
41053,Minister of Armament,Vittorio Amato Masso,5,Tank Proponent,M41053
41043,Foreign Minister,Alberto Guani,6,The Cloak N Dagger Schemer,M41043
41037,Head of Government,Alfredo Baldomir,6,Old General,M41004
41108,Head of Government,Benito Nardone Cetrulo,6,Corporate Suit,URU_benito_nardone_cetrulo
41104,Head of Government,Daniel Fernández Crespo,6,Naive Optimist,URU_daniel_fernandez_crespo
41081,Chief of Army,Enrico Amancias Rodriguez,6,Elastic Defence Doctrine,M41081
41070,Head of Military Intelligence,Enrique Moutisch,6,Industrial Specialist,M41070
41061,Minister of Security,Horacio Arredondo,6,Man of the People,M41061
41054,Minister of Armament,Jorge Elio Mendoza,6,Infantry Proponent,M41008
41069,Head of Military Intelligence,Julio T. Fernandéz,6,Technical Specialist,M41069
41101,Head of Government,Luis Giannattasio Finocchetti,6,Silent Workhorse,URU_luis_giannattasio
41112,Head of Government,Martín Recaredo Echegoyen,6,Naive Optimist,URU_martin_recaredo_echegoyen
41093,Chief of Air Force,Valentín Gomez,6,Carpet Bombing Doctrine,M41051
41051,Minister of Armament,Valentín Gomez,6,Strategic Air Proponent,M41051
41004,Minister of Armament,Alfredo Baldomir,7,Military Entrepreneur,M41004
41068,Head of Military Intelligence,Antonio de Lara Rivas,7,Industrial Specialist,M41068
41009,Chief of Navy,Carlos Jackson Urribé,7,Decisive Naval Battle Doctrine,M41009
41010,Chief of Air Force,Cosme Alvaréz Berisso,7,Air Superiority Doctrine,M41010
41006,Head of Military Intelligence,Cristiano Piraguy Trellés,7,Logistics Specialist,M41006
41002,Head of Government,Gabriel Terra,7,Smiling Oilman,M41001
41005,Minister of Security,Heinz Glockenberger,7,Prince of Terror,M41005
41050,Minister of Armament,Ignacio Justé Morales,7,laissez-faire capitalist,M41050
41008,Chief of Army,Jorge Eloi Mendoza,7,Static Defence Doctrine,M41008
41003,Foreign Minister,José Espalter,7,Iron Fisted Brute,M41003
41007,Chief of Staff,Manuel Heinz Azpurua,7,School of Fire Support,M41007
41060,Minister of Security,Paulo Ortega Fruscí,7,Back Stabber,M41060
41014,Minister of Armament,Abelardo Díaz Alvarez,8,Infantry Proponent,M41014
41012,Head of Government,Abelardo Martínez,8,Old Admiral,M41011
41020,Chief of Air Force,Francisco Castilla Paredes,8,Army Aviation Doctrine,M41020
41019,Chief of Navy,Hector Bonilla Gomez,8,Base Control Doctrine,M41019
41016,Head of Military Intelligence,Lui Soro Contioni,8,Industrial Specialist,M41016
41013,Foreign Minister,Luís Santiago Reguera,8,The Cloak N Dagger Schemer,M41013
41015,Minister of Security,Roberto Acosta Díez,8,Crime Fighter,M41015
41018,Chief of Army,Teo Bucardí Ramos,8,Elastic Defence Doctrine,M41017
41017,Chief of Staff,Teo Bucardí Ramos,8,School of Manoeuvre,M41017
