DOM,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
49075,Head of Military Intelligence,Hector Trujillo,7,Political Specialist,M49067
49067,Minister of Security,Hector Trujillo,7,Crooked Kleptocrat,M49067
49087,Chief of Navy,Honoracio Yuna Robles,7,Open Seas Doctrine,M49087
49009,Chief of Navy,Humberto Rojas,7,Indirect Approach Doctrine,M49009
49056,Minister of Armament,Ignacio Bajordo,7,Administrative Genius,M49056
49002,Head of Government,Jacinto Bienvenido Peynado,7,Happy Amateur,M49002
49064,Minister of Security,Jacinto Bienvenido Peynado,7,Crooked Kleptocrat,M49002
49006,Head of Military Intelligence,Jesus da Costa Ruiz,7,Technical Specialist,M49006
49074,Head of Military Intelligence,Jorge Balaguer,7,Logistics Specialist,M49014
49092,Chief of Air Force,Julio Ortega Frier,7,Army Aviation Doctrine,M49047
49047,Foreign Minister,Julio Ortega Frier,7,The Cloak N Dagger Schemer,M49047
49058,Minister of Armament,Luis Amiamo Tio,7,Corrupt Kleptocrat,M49058
49038,Head of Government,Manuel de Jesus Troncoso,7,Silent Workhorse,M49004
49073,Head of Military Intelligence,Manuel de Jesus Troncoso,7,Naval Intelligence Specialist,M49004
49004,Minister of Armament,Manuel de Jesus Troncoso,7,Infantry Proponent,M49004
49080,Chief of Staff,Manuel Pena Battle,7,School of Defence,M49049
49049,Foreign Minister,Manuel Pena Battle,7,General Staffer,M49049
49101,Foreign Minister,Porfirio Rubirosa,7,The cloak n dagger schemer,DOM_rubirosa
49100,Head of Military Intelligence,Porfirio Rubirosa,7,Dismal Enigma,DOM_rubirosa
49008,Chief of Army,Rafel Trujillo,7,Static Defence Doctrine,M49001
49088,Chief of Navy,Rafel Trujillo,7,Base Control Doctrine,M49088
49007,Chief of Staff,Rafel Trujillo,7,School of Defence,M49001
49039,Head of Government,Rafel Trujillo,7,Backroom Backstabber,M49001
49057,Minister of Armament,Rafel Trujillo,7,Corrupt Kleptocrat,M49001
49005,Minister of Security,Rafel Trujillo,7,Prince of Terror,M49001
