DEN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
16106,Chief of Staff,William Nebendahl,7,School of Manoeuvre,M16101
16141,Head of Government,Knud Bach,8,Smiling Oilman,M16015
16142,Chief of Air Force,Poul Sommer,8,Army Aviation Doctrine,M16016
16054,Foreign Minister,Axel Christian Hartel,9,Ideological Crusader,M16013
16105,Chief of Staff,C.P. Kryssing,9,School of Fire Support,M16017
16115,Chief of Army,F. von Schalburg,9,Guns and Butter Doctrine,M16018
16044,Head of Government,Fritz Clausen,9,Naive Optimist,M16011
16068,Minister of Armament,Jorgen Sehested,9,Infantry Proponent,M16014
16082,Minister of Security,Knud Bach,9,Prince of Terror,M16015
16095,Head of Military Intelligence,Poul Sommer,9,Dismal Enigma,M16016
