USA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
6246,Minister of Security,Allan Dulles,4,Crime Fighter,kai_alldlls
6247,Head of Government,Averell H. Harriman,4,Silent Workhorse,M6177
6156,Chief of Navy,Chester W. Nimitz,4,Power Projection Doctrine,M6156
6009,Chief of Navy,Claude A. Swanson,4,Decisive Naval Battle Doctrine,M6009
6003,Foreign Minister,Cordell Hull,4,Great Compromiser,M6003
6198,Minister of Armament,Dean Acheson,4,Laissez-Faire Capitalist,M6198
6060,Foreign Minister,Edward Stettinius,4,The Cloak N Dagger Schemer,M6060
6106,Minister of Security,Francis B. Biddle,4,Prince of Terror,M6106
6184,Head of Military Intelligence,Frank B. Rowlett,4,Naval Intelligence Specialist,M6184
6153,Chief of Navy,Frank Knox,4,Base Control Doctrine,M6048
6144,Chief of Army,George C. Marshall,4,Decisive Battle Doctrine,M6064
6136,Chief of Staff,George C. Marshall,4,School of Fire Support,M6064
6064,Foreign Minister,George C. Marshall,4,Ideological Crusader,M6064
6199,Minister of Armament,Harold Ickes,4,Resource Industrialist,M6199
6159,Chief of Navy,Harold R. Stark,4,Open Seas Doctrine,M6159
6078,Minister of Armament,Harry I. Hopkins,4,Laissez-Faire Capitalist,M6078
6046,Head of Government,Harry S. Truman,4,Flamboyant Tough Guy,M6034
6248,Minister of Armament,Harry S. Truman,4,Laissez-Faire Capitalist,M6034
6044,Head of Government,Henry A. Wallace,4,Silent Workhorse,M6032
6120,Head of Military Intelligence,Henry J. Kaiser,4,Industrial Specialist,M6082
6061,Foreign Minister,Henry L. Stimson,4,Apologetic Clerk,M6061
6207,Minister of Armament,Henry L. Stimson,4,Infantry Proponent,M6061
6205,Minister of Security,Hugo Black,4,Compassionate Gentleman,M6205
6180,Chief of Air Force,Ira C. Eaker,4,Carpet Bombing Doctrine,L60506
6125,Head of Military Intelligence,J. Edgar Hoover,4,Political Specialist,M6005
6005,Minister of Security,J. Edgar Hoover,4,Crime Fighter,M6005
6155,Chief of Navy,James V. Forrestal,4,Decisive Naval Battle Doctrine,M6155
6079,Minister of Armament,Jesse H. Jones,4,Laissez-Faire Capitalist,M6079
6195,Chief of Staff,Joe L. Collins,4,School of Manoeuvre,L60105
6045,Head of Government,Joel B. Clark,4,Backroom Backstabber,M6045
6002,Head of Government,John Nance Garner,4,Corporate Suit,M6002
6196,Chief of Army,Joseph Stilwell,4,Decisive Battle Doctrine,L60341
6008,Chief of Army,Malin Craig,4,Guns and Butter Doctrine,M6007
6007,Chief of Staff,Malin Craig,4,School of Defence,M6007
6194,Chief of Army,Mark Clark,4,Decisive Battle Doctrine,L60098
6081,Minister of Armament,Preston T. Tucker,4,Strategic Air Proponent,M6081
6206,Minister of Armament,Robert F. Wagner,4,Laissez-Faire Capitalist,M6206
6083,Minister of Armament,Robert P. Patterson,4,Tank Proponent,M6083
6127,Head of Military Intelligence,Roscoe H. Hillenkoetter,4,Dismal Enigma,M6127
6203,Foreign Minister,Thomas Connally,4,Ideological Crusader,M6203
6104,Minister of Security,Victor Selden Clark,4,Compassionate Gentleman,M6104
6124,Head of Military Intelligence,Vincent Astor,4,Dismal Enigma,M6124
6062,Foreign Minister,Walker Lyerly,4,The Cloak N Dagger Schemer,M6062
6193,Chief of Staff,Walter Bedell-Smith,4,School of Fire Support,L60031
6157,Chief of Navy,William C. Bullitt,4,Base Control Doctrine,M6157
6006,Head of Military Intelligence,William F. Friedman,4,Logistics Specialist,M6006
6158,Chief of Navy,William H. Standley,4,Base Control Doctrine,M6158
6197,Chief of Navy,William Halsey,4,Power Projection Doctrine,L60414
6240,Minister of Armament,Alf M. Landon,5,Military Entrepreneur,M6035
6067,Foreign Minister,Alfred E. Smith,5,Apologetic Clerk,M6067
6160,Chief of Navy,Andrew J. Higgins,5,Base Control Doctrine,M6160
6066,Foreign Minister,Arthur Vandenberg,5,Iron Fisted Brute,M6066
6179,Chief of Air Force,Carl A. Spaatz,5,Army Aviation Doctrine,L60557
6230,Head of Government,Charles Curtis,5,Backroom Backstabber,kaiserreich charlescurtis
6234,Chief of Navy,Charles F. Adams,5,Decisive Naval Battle Doctrine,kaiserreich CharlesFAdams
6049,Head of Government,Charles McNary,5,Political Protege,M6037
6085,Minister of Armament,Daniel C. Roper,5,Air Superiority Proponent,M6085
6182,Chief of Army,Douglas MacArthur,5,Elastic Defence Doctrine,L60250
6181,Chief of Staff,Douglas MacArthur,5,School of Psychology,L60250
6147,Chief of Army,Dwight D. Eisenhower,5,Guns and Butter Doctrine,M6137
6137,Chief of Staff,Dwight D. Eisenhower,5,School of Manoeuvre,M6137
6237,Chief of Air Force,Edward V. Rickenbacher,5,Air Superiority Doctrine,Kaiserreich Rickenbacher 2
6048,Head of Government,Frank Knox,5,Naive Optimist,M6048
6107,Minister of Security,Frank Murphy,5,Crime Fighter,M6107
6091,Minister of Armament,Frederick Vinson,5,Resource Industrialist,M6091
6068,Foreign Minister,Gerald Nye,5,Biased Intellectual,M6068
6089,Minister of Armament,Harry H. Woodring,5,Strategic Air Proponent,M6089
6131,Head of Military Intelligence,Henry Cabot Lodge,5,Dismal Enigma,M6131
6253,Minister of Security,Henry Cabot Lodge,5,Crime Fighter,M6131
6167,Chief of Air Force,Henry H. Arnold,5,Carpet Bombing Doctrine,M6167
6161,Chief of Navy,Henry J. Kaiser,5,Open Seas Doctrine,M6082
6130,Head of Military Intelligence,Hoyt S. Vandenberg,5,Technical Specialist,M6130
6110,Minister of Security,Hugh Simons Gibson,5,Compassionate Gentleman,M6110
6086,Minister of Armament,James M. Cox,5,Military Entrepreneur,M6086
6065,Foreign Minister,John Bassett Moore,5,General Staffer,M6065
6050,Head of Government,John Bricker,5,Corporate Suit,M6050
6090,Minister of Armament,John D. Rockefeller,5,Laissez-Faire Capitalist,M6090
6245,Foreign Minister,John Foster Dulles,5,Apologetic Clerk,kai_jhnfstdll
6171,Chief of Air Force,Leroy Grumman,5,Naval Aviation Doctrine,M6080
6092,Minister of Armament,Louis Johnson,5,Battle Fleet Proponent,M6092
6093,Minister of Armament,Norman H. Davis,5,Laissez-Faire Capitalist,M6093
6233,Chief of Staff,Patrick J. Hurley,5,School of Defence,kaiserreich patrickjhurley
6232,Minister of Security,Ray L. Wilbur,5,Compassionate Gentleman,kaiserreich raylwilbur
6108,Minister of Security,Robert H. Jackson,5,Silent Lawyer,M6108
6183,Chief of Navy,Robert L. Ghormley,5,Open Seas Doctrine,L60406
6231,Minister of Armament,Roy D. Chapin,5,Laissez-Faire Capitalist,kaiserreich robertchapin
6178,Chief of Navy,Thomas C. Hart,5,Decisive Naval Battle Doctrine,L60417
6241,Head of Government,Thomas E. Dewey,5,Flamboyant Tough Guy,M6038
6088,Minister of Armament,Warren G. Hooper,5,Corrupt Kleptocrat,M6033
6162,Chief of Navy,William D. Leahy,5,Decisive Naval Battle Doctrine,M6162
6176,Chief of Staff,William D. Leahy,5,School of Manoeuvre,M6162
6128,Head of Military Intelligence,William J. Donovan,5,Political Specialist,M6128
6249,Minister of Security,William J. Donovan,5,Crime Fighter,M6128
6204,Minister of Security,Charles E. Hughes,6,Efficient Sociopath,M6204
6215,Head of Government,Charles Lindbergh,6,Happy Amateur,M6020
6187,Head of Government,Dennis Lawrence,6,Happy Amateur,M6187
6238,Minister of Security,Douglas MacArthur,6,Man of the People,L60250
6051,Head of Government,Strom Thurmond,6,Old General,M6051
6202,Minister of Security,Burton K. Wheeler,7,Efficient Sociopath,M6202
6070,Foreign Minister,Charles Coughlin,7,Ideological Crusader,M6013
6257,Head of Government,Dwight D. Eisenhower,7,Political Protege,M6137
6111,Minister of Security,Dwight D. Eisenhower,7,Compassionate Gentleman,M6137
6095,Minister of Armament,Francis Townsend,7,Resource Industrialist,M6095
6052,Head of Government,George Van Horn Moseley,7,Old General,M6052
6191,Minister of Security,Gerald B. Winrod,7,Efficient Sociopath,M6191
6053,Head of Government,Gerald K. Smith,7,Happy Amateur,M6040
6226,Head of Military Intelligence,Gerald K. Smith,7,Political Specialist,M6040
6188,Minister of Security,Gerald K. Smith,7,Back Stabber,M6040
6096,Minister of Armament,Henry Ford,7,Administrative Genius,M6014
6113,Minister of Security,John L. DeWitt,7,Prince of Terror,Kaiserreich DeWitt
6148,Chief of Army,Kenneth Althaus,7,Armoured Spearhead Doctrine,M6018
6173,Chief of Air Force,Nathan B. Forrest III,7,Army Aviation Doctrine,M6173
6192,Chief of Staff,Robert E. Wood,7,School of Defence,M6190
6190,Head of Government,Robert E. Wood,7,Silent Workhorse,M6190
6097,Minister of Armament,William F. Lemke,7,Theoretical Scientist,M6097
6054,Head of Government,William Leahy,7,Old Admiral,Kaiserreich Leahy
6133,Head of Military Intelligence,Carl Spaatz,8,Logistics Specialist,KRSpaatz
6112,Minister of Security,Carl Spaatz,8,Crime Fighter,KRSpaatz
6163,Chief of Navy,Earnest King,8,Power Projection Doctrine,Kaiserreich EarnestKing
6069,Foreign Minister,Earnest King,8,General Staffer,Kaiserreich EarnestKing
6217,Head of Government,Father Charles Coughlin,8,Spiritual Leader,M6013
6218,Head of Government,Fritz Kuhn,8,Flamboyant Tough Guy,M6011
6140,Chief of Staff,George Van Horn Moseley,8,School of Defence,M6052
6059,Head of Government,Huey Long,8,Backroom Backstabber,kaiserreich hueylong
6219,Minister of Armament,Huey Long,8,Resource Industrialist,kaiserreich hueylong
6071,Foreign Minister,Lawrence Dennis,8,Apologetic Clerk,M6071
6174,Chief of Air Force,Martin J. Monti,8,Naval Aviation Doctrine,M6174
6164,Chief of Navy,William Leahy,8,Open Seas Doctrine,Kaiserreich Leahy
6132,Head of Military Intelligence,William Leahy,8,Naval Intelligence Specialist,Kaiserreich Leahy
6094,Minister of Armament,William Leahy,8,Battle Fleet Proponent,Kaiserreich Leahy
