FIN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
29061,Head of Government,Juho K. Paasikivi,6,Flamboyant Tough Guy,M29035
29094,Minister of Armament,Juho K. Paasikivi,6,Resource Industrialist,M29035
29144,Chief of Army,K.L. Oesch,6,Armoured Spearhead Doctrine,M29007
29007,Chief of Staff,K.L. Oesch,6,School of Manoeuvre,M29007
29032,Head of Government,Kaarlo Juhlo Stahlberg,6,Flamboyant Tough Guy,kai_kaarljuh
29160,Head of Government,Karl R. Waldén,6,Happy Amateur,M29098
29062,Head of Government,Kyosti Järvinen,6,Silent Workhorse,M29062
29115,Minister of Security,Kyosti Järvinen,6,Silent Lawyer,M29062
29093,Minister of Armament,Leonard Grandell,6,laissez-faire capitalist,M29093
29092,Minister of Armament,Pehr E. Svinhufvud,6,Tank Proponent,M29001
29058,Head of Government,Risto Ryti,6,Backroom Backstabber,M29033
29116,Minister of Security,Risto Ryti,6,Back Stabber,M29033
29074,Foreign Minister,Rolf J. Witting,6,The Cloak N Dagger Schemer,M29074
29112,Minister of Security,Toivo J. Horelli,6,Compassionate Gentleman,M29112
29002,Head of Government,Toivo M. Kivimäki,6,Smiling Oilman,M29002
29127,Head of Military Intelligence,Toivo M. Kivimäki,6,Logistics Specialist,M29002
29155,Chief of Air Force,Toivo Somerto,6,Air Superiority Doctrine,M29155
29064,Head of Government,Urho J. Castrén,6,Corporate Suit,M29064
29095,Minister of Armament,Urho J. Castrén,6,Infantry Proponent,M29064
29068,Foreign Minister,Väinö A. Tanner,6,Ideological Crusader,M29068
29009,Chief of Navy,Väinö Valve,6,Base Control Doctrine,M29009
29126,Head of Military Intelligence,Väinö Valve,6,Naval Intelligence Specialist,M29009
29125,Head of Military Intelligence,Yrjö W. Puhakka,6,Dismal Enigma,M29005
29005,Minister of Security,Yrjö W. Puhakka,6,Silent Lawyer,M29005
29098,Minister of Armament,Karl R. Waldén,7,Resource Industrialist,M29098
29118,Minister of Security,Bruno Salmiala,8,Back Stabber,M29011
29079,Foreign Minister,Hilja Riipinen,8,Ideological Crusader,M29013
29117,Minister of Security,Jouko Itälä,8,Prince of Terror,M29015
29138,Chief of Staff,Kurt Wallenius,8,School of Psychology,M29017
29151,Chief of Navy,Lauri Tiainen,8,Decisive Naval Battle Doctrine,M29019
29156,Chief of Air Force,Tauno Viljanen,8,Army Aviation Doctrine,M29020
29065,Head of Government,Vihtori Kosola,8,Silent Workhorse,kaiserreich VihtoriKosola
29130,Head of Military Intelligence,Vihtori Kosola,8,Industrial Specialist,kaiserreich VihtoriKosola
29100,Minister of Armament,Vihtori Kosola,8,Infantry Proponent,kaiserreich VihtoriKosola
29129,Head of Military Intelligence,Vilho Annala,8,Dismal Enigma,M29016
29146,Chief of Army,Vilho Helanen,8,Static Defence Doctrine,M29018
