YEM,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
93045,Chief of Army,Hasan bin Yahya,7,Decisive Battle Doctrine,unknown
93046,Chief of Army,Ali bin Yahya,7,Guns and Butter Doctrine,unknown
93047,Chief of Army,Mutahir bin Yahya,7,Elastic Defence Doctrine,unknown
93048,Chief of Army,Abdu'llah bin Yahya,8,Armoured Spearhead Doctrine,unknown
93049,Chief of Navy,Yahya bin Yahya,7,Base Control Doctrine,unknown
93050,Chief of Navy,Ibrahim bin Yahya,8,Decisive Naval Battle Doctrine,unknown
93051,Chief of Navy,Ismail bin Yahya,8,Open Seas Doctrine,unknown
93052,Chief of Navy,Qasim bin Yahya,7,Power Projection Doctrine,unknown
93053,Chief of Navy,Abbas bin Yahya,8,Indirect Approach Doctrine,unknown
93054,Chief of Air Force,Yahya bin Yahya,7,Vertical Envelopment Doctrine,unknown
93055,Chief of Air Force,Muhsin bin Yahya,7,Carpet Bombing Doctrine,unknown
93056,Chief of Air Force,Sati al-Husri,8,Air Superiority Doctrine,unknown
93057,Chief of Air Force,Mutahir bin Yahya,7,Army Aviation Doctrine,unknown
93058,Chief of Air Force,Qasim bin Yahya,7,Naval Aviation Doctrine,unknown
93061,Head of Government,Hahmoud Al-Jaifi,6,Silent Workhorse,unknown
93062,Head of Government,Ahmad Muhammad Numan,6,Flamboyant Tough Guy,unknown
93063,Foreign Minister,Ahmad Muhammad Numan,6,ideological crusader,unknown
93064,Foreign Minister,Hahmoud Al-Jaifi,6,biased intellectual,unknown
93065,Minister of Armament,Ahmad Muhammad Numan,6,resource industrialist,unknown
93066,Minister of Armament,Hahmoud Al-Jaifi,6,theoretical scientist,unknown
93067,Minister of Security,Ahmad Muhammad Numan,6,compassionate gentleman,unknown
93068,Minister of Security,Hahmoud Al-Jaifi,6,silent lawyer,unknown
93069,Head of Military Intelligence,Ahmad Muhammad Numan,6,industrial specialist,unknown
93070,Head of Military Intelligence,Hahmoud Al-Jaifi,6,technical specialist,unknown
93073,Head of Government,Salih Saeed Ba-Amer,2,Ambitious Union Boss,unknown
93074,Head of Government,Qahtan Muhammad al-Shaabi,2,Naive Optimist,unknown
93075,Foreign Minister,Qahtan Muhammad al-Shaabi,2,great compromiser,unknown
93076,Foreign Minister,Salih Saeed Ba-Amer,2,ideological crusader,unknown
93077,Minister of Armament,Qahtan Muhammad al-Shaabi,2,administrative genius,unknown
93078,Minister of Armament,Salih Saeed Ba-Amer,2,resource industrialist,unknown
93079,Minister of Security,Qahtan Muhammad al-Shaabi,2,man of the people,unknown
93080,Minister of Security,Salih Saeed Ba-Amer,2,efficient sociopath,unknown
93081,Head of Military Intelligence,Qahtan Muhammad al-Shaabi,2,political specialist,unknown
93082,Head of Military Intelligence,Salih Saeed Ba-Amer,2,industrial specialist,unknown
93084,Head of Government,Abdul Rahman Yahya Al-Eryani,3,old general,Al-Eryani
93085,Foreign Minister,Abdul Rahman Yahya Al-Eryani,3,general staffer,Al-Eryani
93086,Minister of Security,Abdul Rahman Yahya Al-Eryani,3,prince of terror,Al-Eryani
93087,Chief of Staff,Abdullah al-Sallal,3,School of Defence,al-Sallal
93088,Chief of Army,Abdul Rahman Yahya Al-Eryani,3,Guns and Butter Doctrine,Al-Eryani
93089,Chief of Army,Abdullah al-Sallal,3,Static Defence Doctrine,al-Sallal
93090,Chief of Navy,Qadhi Abdullah al-Hajjri,3,indirect approach doctrine,unknown
93091,Chief of Navy,Hassan al-Amri,3,decisive naval battle doctrine,unknown
93092,Chief of Air Force,Qadhi Abdullah al-Hajjri,3,naval aviation doctrine,unknown
93093,Chief of Air Force,Ali Halukeh,3,Vertical Envelopment Doctrine,M93027
