IRE,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
25095,Minister of Security,Gerald Boland,5,Crime Fighter,M25006
25155,Chief of Air Force,H.T. Green,6,Naval Aviation Doctrine,M25009
25009,Chief of Navy,H.T. Green,6,Base Control Doctrine,M25009
25108,Head of Military Intelligence,Hugh Kennedy,5,Technical Specialist,M25108
25112,Head of Military Intelligence,Jack Lynch,5,Political Specialist,M25112
25089,Minister of Security,Jack Thomas,3,Man of the People,M25089
25157,Chief of Air Force,Jack White,2,Army Aviation Doctrine,M25020
25090,Minister of Security,James Geoghegan,5,Silent Lawyer,M25090
25166,Chief of Air Force,James O'Donovan,3,Air Superiority Doctrine,JamesO'Donovan
25086,Minister of Armament,Jim Larkin jr.,1,Air Superiority Proponent,M25022
25060,Foreign Minister,John A. Costello,6,Great Compromiser,M25077
25048,Head of Government,John A. Costello,6,Backroom Backstabber,M25077
25077,Minister of Armament,John A. Costello,6,Air to Ground Proponent,M25077
25146,Chief of Navy,John O'Byrne,6,Power Projection Doctrine,M25081
25081,Minister of Armament,John O'Byrne,6,Laissez-Faire Capitalist,M25081
25097,Minister of Security,John W. Dulanty,6,Crime Fighter,M25097
25106,Head of Military Intelligence,Joseph Conolly,5,Political Specialist,M25106
25114,Head of Military Intelligence,Joseph Walshe,6,Industrial Specialist,M25114
25093,Minister of Security,Kevin Dixon,3,Efficient Sociopath,M25093
25100,Minister of Security,Kevin Haugh,6,Silent Lawyer,M25100
25058,Foreign Minister,Kevin O'Higgins,7,Ideological Crusader,M25058
25137,Chief of Army,Liam Archer,6,Armoured Spearhead Doctrine,M25113
25128,Chief of Staff,Liam Archer,6,School of Fire Support,M25113
25113,Head of Military Intelligence,Liam Archer,6,Dismal Enigma,M25113
25168,Chief of Staff,Liam Lynch,3,School of Mass Combat,LiamLynch
25051,Foreign Minister,Liam O'Monahan,3,Great Compromiser,M25051
25099,Minister of Security,Ludwig Bieler,6,Prince of Terror,M25099
25164,Chief of Staff,Maurice Twomey,1,School of Psychology,MossTwomey
25123,Chief of Staff,Michael Brennan,6,School of Defence,M25123
25151,Chief of Air Force,Michael J. Costello,5,Army Aviation Doctrine,M25007
25136,Chief of Army,Michael J. Costello,5,Elastic Defence Doctrine,M25007
25007,Chief of Staff,Michael J. Costello,5,School of Defence,M25007
25052,Foreign Minister,Michael O'Rafferty,3,The Cloak N Dagger Schemer,M25052
25163,Chief of Army,Michael O'Riordan,1,Guns and Butter Doctrine,MichaelO'Riordan
25121,Chief of Staff,Norman Devlin,3,School of Manoeuvre,M25121
25062,Foreign Minister,Oliver J. Flanagan,7,Biased Intellectual,M25011
25083,Minister of Armament,Oliver J. Flanagan,7,Resource Industrialist,M25011
25152,Chief of Air Force,Oscar Traynor,5,Vertical Envelopment Doctrine,M25152
25129,Chief of Staff,Oscar Traynor,5,School of Mass Combat,M25152
25111,Head of Military Intelligence,Oscar Traynor,5,Logistics Specialist,M25111
25156,Chief of Air Force,P. Quinn,6,Carpet Bombing Doctrine,M25156
25130,Chief of Staff,Padraig O'Connor,1,School of Psychology,M25027
25107,Head of Military Intelligence,Padraig O'Connor,3,Industrial Specialist,M25107
25010,Chief of Air Force,Patrick A. Mulcahy,5,Air Superiority Doctrine,M25010
25056,Foreign Minister,Patrick A. Mulcahy,5,General Staffer,M25010
25075,Minister of Armament,Patrick A. Mulcahy,5,Military Entrepreneur,M25010
25080,Minister of Armament,Patrick Lynch,6,Submarine Proponent,M25080
25082,Minister of Armament,Patrick McGilligan,6,Resource Industrialist,M25082
25049,Head of Government,Patrick Sweeney,8,Happy Amateur,M25012
25118,Head of Military Intelligence,Patrick Sweeney,8,Dismal Enigma,M25012
25050,Head of Government,Peadar O'Donnell,1,Naive Optimist,PeadarO'Donnell
25158,Chief of Air Force,Pieras Beaslai,7,Air Superiority Doctrine,M25030
25126,Chief of Staff,Richard Mulcahy,7,School of Psychology,M25126
25059,Foreign Minister,Richard Mulcahy,7,Apologetic Clerk,M25126
25047,Head of Government,Richard Mulcahy,7,Corporate Suit,M25126
25078,Minister of Armament,Richard Mulcahy,7,Military Entrepreneur,M25126
25165,Chief of Navy,Robert E. Childers,3,Open Seas Doctrine,RobertErskineChilders
25141,Chief of Navy,S. O'Muiris,3,Decisive Naval Battle Doctrine,M25141
25043,Head of Government,Seán Lemass,5,Smiling Oilman,M25033
25065,Minister of Armament,Seán Lemass,5,Resource Industrialist,M25033
25068,Minister of Armament,Sean Lester,3,Battle Fleet Proponent,M25068
25061,Foreign Minister,Sean MacBride,3,Ideological Crusader,M25061
25142,Chief of Navy,Seán MacEntee,5,Open Seas Doctrine,M25004
25004,Minister of Armament,Seán MacEntee,5,Laissez-Faire Capitalist,M25004
25116,Head of Military Intelligence,Sean MacEoin,7,Political Specialist,M25028
25101,Minister of Security,Sean MacEoin,7,Compassionate Gentleman,M25028
25139,Chief of Army,Seán MacEoin,7,Decisive Battle Doctrine,M25028
25079,Minister of Armament,Seán Moylan,5,Infantry Proponent,M25079
25063,Foreign Minister,Sean Murray,1,General Staffer,M25026
25119,Head of Military Intelligence,Sean Murray,1,Naval Intelligence Specialist,M25026
25067,Minister of Armament,Sean Murray,3,Air to Ground Proponent,M25026
25122,Chief of Staff,Seán O'Grady,5,School of Psychology,M25122
25144,Chief of Navy,Seán T. O'Ceallaigh,5,Base Control Doctrine,M25036
25073,Minister of Armament,Seán T. O'Ceallaigh,5,Military Entrepreneur,M25036
25085,Minister of Armament,Sighle Humphreys,2,Administrative Genius,SighleHumphreys
25143,Chief of Navy,Thomas Derrig,5,Power Projection Doctrine,M25143
25053,Foreign Minister,Thomas Johnson,3,Ideological Crusader,M25042
25042,Head of Government,Thomas Johnson,3,Ambitious Union Boss,M25042
25167,Chief of Army,Tom Barry,3,Elastic Defence Doctrine,TomBarry
25154,Chief of Air Force,W. Delamere,5,Naval Aviation Doctrine,M25154
25066,Minister of Armament,William Gallacher,3,Air Superiority Proponent,M25066
25133,Chief of Army,William Norton,3,Guns and Butter Doctrine,M25044
25054,Foreign Minister,William Norton,3,Apologetic Clerk,M25044
25044,Head of Government,William Norton,3,Happy Amateur,M25044
25070,Minister of Armament,William Norton,3,Resource Industrialist,M25044
25057,Foreign Minister,William T. Cosgrave,6,Biased Intellectual,M25046
25046,Head of Government,William T. Cosgrave,6,Silent Workhorse,M25046
