CHL,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
44119,Chief of Staff,Arturo Espinoza Mujica,6,School of Fire Support,M44122
44049,Foreign Minister,Carlos D. Soto,6,The Cloak N Dagger Schemer,M44063
44117,Chief of Staff,Dario Cellejas Rojas,6,School of Psychology,M44116
44111,Head of Military Intelligence,Dario Cellejas Rojas,6,Logistics Specialist,M44116
44064,Minister of Armament,Enrique Villegas,6,laissez-faire capitalist,M44078
44098,Minister of Security,Ernesto Barras Jarpa,6,Crooked Kleptocrat,M44056
44058,Foreign Minister,Francisco O'Ryan Orrego,6,General Staffer,M44062
44073,Minister of Armament,Francisco O'Ryan Orrego,6,Battle Fleet Proponent,M44062
44134,Chief of Navy,Gaston Kulzcewski Garcia,6,Base Control Doctrine,M44142
44034,Head of Government,Gustavo Ross Santa Maria,6,Naive Optimist,M44002
44083,Minister of Armament,Gustavo Ross Santa Maria,6,Administrative Genius,M44002
44136,Chief of Air Force,Ismael Sarazua Teran,6,Vertical Envelopment Doctrine,M44149
44094,Minister of Security,J.R.Guiterréz Allende,6,Crime Fighter,M44059
44059,Foreign Minister,Luis Renard Valenzuela,6,Apologetic Clerk,M44064
44120,Chief of Staff,Luis Vidal Vargas,6,School of Fire Support,M44126
44036,Head of Government,Manuel Mora Miranda,6,Happy Amateur,M44045
44095,Minister of Security,Manuel Rivas Vicuna,6,Prince of Terror,M44099
44142,Chief of Air Force,Manuel Tovarias,6,Army Aviation Doctrine,M44150
44082,Minister of Armament,Misael Galleguillos,6,Corrupt Kleptocrat,M44012
44128,Chief of Army,Oscar Izurieta Molina,6,Guns and Butter Doctrine,M44134
44118,Chief of Staff,Raul Array Stiglich,6,School of Manoeuvre,M44125
44106,Head of Military Intelligence,Victor Larens Quijada,6,Naval Intelligence Specialist,M44079
44068,Minister of Armament,Victor Larens Quijada,6,Submarine Proponent,M44079
44037,Head of Government,Carlos Ibáñez del Campo,7,Old General,M44035
44085,Minister of Security,Carlos Ibáñez del Campo,7,Man of the People,M44035
44113,Chief of Staff,E. Novoa Fuentes,7,School of Defence,M44008
44074,Minister of Armament,Ernesto Barras Jarpa,7,Corrupt Kleptocrat,M44056
44075,Minister of Armament,Manuel Bianchi Gúndian,7,Infantry Proponent,M44054
44109,Head of Military Intelligence,Pietro Campos Valenzana,7,Industrial Specialist,M44118
44125,Chief of Army,Rafael Fernandez Reyes,7,Elastic Defence Doctrine,M44135
44093,Minister of Security,Vicente Merino Bielich,7,Prince of Terror,M44102
44137,Chief of Air Force,Ariosto Herrera,8,Air Superiority Doctrine,M44016
44100,Head of Military Intelligence,Ariosto Herrera,8,Logistics Specialist,M44016
44087,Minister of Security,Carlos Keller,8,Back Stabber,M44015
44079,Minister of Armament,Carlos Puga Monsalve,8,Air to Sea Proponent,M44087
44122,Chief of Army,Diaz Valderrama,8,Static Defence Doctrine,M44017
44114,Chief of Staff,Diaz Valderrama,8,School of Defence,M44017
44130,Chief of Navy,Hernan Sarratea,8,Decisive Naval Battle Doctrine,M44019
44044,Foreign Minister,Jorge Gonzalez von Mareés,8,Ideological Crusader,kaiserreich jorgegonzalezvonmarees
44144,Head of Government,Jorge Gonzalez von Mareés,8,Naive Optimist,kaiserreich jorgegonzalezvonmarees
44029,Head of Government,Misael Galleguillos,8,Ambitious Union Boss,M44012
44061,Minister of Armament,Ramón Callís,8,Infantry Proponent,M44014
